"","V1","V2","V3","V4","V5","R2","F"
"Valence.Evaluation",165.509281859655,-401.163628901149,NA,NA,NA,0.814586783144364,342.681984395597
"Equality",191.530308535599,230.642796563978,NA,NA,NA,0.536458018045862,90.2695484693275
"Activity.Intensity",223.671383468349,-79.9150797184821,NA,NA,NA,0.505636119163779,79.7785170471239
"Socioemotional",287.627206022601,117.888403966692,NA,NA,NA,0.847533700936481,433.588465641868
"Formality.and.Regulation",-261.833131155043,-202.736389897532,NA,NA,NA,0.80338753882412,318.719513776011
"Intimacy",260.512882798143,1.86059765969576,NA,NA,NA,0.656344693399481,148.971615167494
"Visibility",-159.302874534737,-74.1785917118907,NA,NA,NA,0.264215549973729,28.0093074775024
"Communal.Sharing",288.106236143372,34.1918219765085,NA,NA,NA,0.806725932824664,325.57199048975
"Expected.Reciprocity",210.163225102735,-132.919674856792,NA,NA,NA,0.487493206706251,74.1931046000662
"Strategic",-252.05456615636,-148.738001483776,NA,NA,NA,0.689967009908869,173.586129518258
"Concreteness",-174.135626330723,-195.768733797467,NA,NA,NA,0.424153668859794,57.4528036074414
"Uniqueness",198.680366825616,32.5345920429399,NA,NA,NA,0.385362356612287,48.9040398666206
"Love.Expression",298.836089309541,-54.5611603786721,NA,NA,NA,0.87380594916174,540.095698504604
"Information.Exchange",37.4990668456798,-388.928538019577,NA,NA,NA,0.530250950780051,88.0461051055334
"Money.Exchange",-165.659286335793,-225.778506888556,NA,NA,NA,0.439507773976889,61.1633931364889
"Goods.Exchange",-7.90214866934913,-202.213022241852,NA,NA,NA,0.140265386835832,12.7256713940232
"Service.Exchange",-194.675988333229,-332.270917607335,NA,NA,NA,0.743602315382091,226.214915654319
"Attachment",281.470946556495,-104.678578751947,NA,NA,NA,0.803609729949841,319.16835248548
"Mating",190.723382121145,77.1489618316529,NA,NA,NA,0.372111130806827,46.2258046399656
"Conflict",-165.419447957586,350.617780222562,NA,NA,NA,0.68451098435428,169.235232074104
"Negotiation",26.398051840646,-73.1958277816851,NA,NA,NA,0.0250383761579197,2.00314893690018
"Coercion",-188.418019741572,239.5577908186,NA,NA,NA,0.53933947444183,91.3220835570607
"Importance.for.society",-41.0534474331677,-249.252331598995,NA,NA,NA,0.228495017916133,23.1010969615761
"Importance.for.individuals",232.269371327728,-177.563334848262,NA,NA,NA,0.629422032102993,132.482022022632
"Affiliation_Coalition",211.47165154129,-266.497327106117,NA,NA,NA,0.675057971824717,162.042817600451
"Occupational",-250.154204181819,-232.926989046326,NA,NA,NA,0.790485198360739,294.288732775544
"Activeness",131.065313961687,-185.160736015347,NA,NA,NA,0.283227235860246,30.821099101907
"Endurance",253.520929477641,-45.9231073202997,NA,NA,NA,0.628777901192608,132.116801371974
"Synchronicity",38.4002686990677,-172.432545769281,NA,NA,NA,0.115814462119189,10.2167787848556
"Spatial.Distance",54.3489943987028,-183.673933317457,NA,NA,NA,0.143792759442327,13.0994398379489
