,Dim1,Dim2,cl_k2,cl_h2,cl_k3,cl_h3,cl_k4,cl_h4,cl_k5,cl_h5,cl_k6,cl_h6
parent and child,-2.4880152,3.6693275,1,0,2,0,2,0,0,1,2,0
parent and teenager,-2.4697893,3.628077,1,0,2,0,2,0,0,1,2,0
wife and husband,-1.1045108,9.218331,1,0,2,0,1,3,3,3,4,3
fiance and fiancee,-0.84555787,8.968477,1,0,2,0,1,3,3,3,4,3
siblings,-3.0597515,5.9148593,1,0,2,0,2,0,0,1,2,0
divorced spouses,4.7665677,6.253574,1,0,1,2,3,2,2,2,3,5
a person and their in laws,-1.9216737,4.391052,1,0,2,0,2,0,0,1,2,0
employer and employee,2.7170725,12.177931,0,1,0,1,0,1,4,0,5,1
interviewer and job applicant,3.3589487,12.316646,0,1,0,1,0,1,4,0,5,1
guard and prisoner,5.835418,6.360252,1,0,1,2,3,2,2,2,3,5
nurse and patient,2.140058,14.3271475,0,1,0,1,0,1,1,0,0,2
therapist and patient,2.2481635,14.205558,0,1,0,1,0,1,1,0,0,2
salesperson and customer,2.72519,11.3633795,0,1,0,1,0,1,4,0,5,1
business partners,3.0319998,14.219592,0,1,0,1,0,1,1,0,0,2
opposing negotiators,5.270044,6.5640388,1,0,1,2,3,2,2,2,3,5
political opponents,5.116139,6.617195,1,0,1,2,3,2,2,2,3,5
business rivals,5.1004066,6.5460687,1,0,1,2,3,2,2,2,3,5
enemies,4.6891575,6.136917,1,0,1,2,3,2,2,2,3,5
teacher and student,2.879337,14.653923,0,1,0,1,0,1,1,0,0,2
professor and graduate student,2.963801,14.604987,0,1,0,1,0,1,1,0,0,2
master and servant,6.0143847,6.285965,1,0,1,2,3,2,2,2,3,5
close friends,-3.0673335,5.9473267,1,0,2,0,2,0,0,1,2,0
casual acquaintances,0.073441125,4.6681604,1,0,2,0,2,0,0,4,1,4
teammates in sports,-2.2033052,5.7115483,1,0,2,0,2,0,0,1,2,0
second cousins,-0.40696758,4.5435443,1,0,2,0,2,0,0,4,1,4
grandparent and grandchild,-2.224639,4.0374913,1,0,2,0,2,0,0,1,2,0
foster parent and foster child,-2.2957876,3.8494139,1,0,2,0,2,0,0,1,2,0
godparent and godchild,-2.0401495,4.3280487,1,0,2,0,2,0,0,1,2,0
step grandparent and step grandchild,-2.1412666,4.194813,1,0,2,0,2,0,0,1,2,0
ancestor and descendant,-0.43012947,4.4745803,1,0,2,0,2,0,0,4,1,4
man and his mistress,-0.25548995,8.569977,1,0,2,0,1,3,3,3,4,3
step siblings,-2.377843,5.0660534,1,0,2,0,2,0,0,1,2,0
distant relatives,-0.2662075,4.554988,1,0,2,0,2,0,0,4,1,4
twins,-3.0735974,5.7999525,1,0,2,0,2,0,0,1,2,0
a person and their family friends,-2.0083563,4.764479,1,0,2,0,2,0,0,1,2,0
manager and staff,2.7985737,12.175948,0,1,0,1,0,1,4,0,5,1
union leader and union member,3.4675999,13.851932,0,1,0,1,0,1,1,0,0,2
manager and assistant,2.5368922,12.30465,0,1,0,1,0,1,4,0,5,1
entrepreneur and investor,2.553194,11.350088,0,1,0,1,0,1,4,0,5,1
drug dealer and addict,2.4444263,11.1612015,0,1,0,1,0,1,4,0,5,1
victim and witness,4.287304,13.5390415,0,1,0,1,0,1,1,0,0,2
criminal and police officer,5.8732104,6.646653,1,0,1,2,3,2,2,2,3,5
criminal and prosecutor,5.6048074,6.636635,1,0,1,2,3,2,2,2,3,5
customer and businessman,2.64405,11.314271,0,1,0,1,0,1,4,0,5,1
representative and citizen,3.6988893,13.5477085,0,1,0,1,0,1,1,0,0,2
officer and soldier,3.2509525,13.437214,0,1,0,1,0,1,1,0,0,2
religious followers,-0.10176209,4.902922,1,0,2,0,2,0,0,4,1,4
reader and writer,4.1844835,14.108816,0,1,0,1,0,1,1,0,0,2
reviewer and writer,3.8657596,13.881602,0,1,0,1,0,1,1,0,0,2
