,Dim1,Dim2,cl_k3,cl_k6
opposing negotiators,7.954018,0.5331779,1,0
nurse and patient,-14.461517,-2.1731374,0,1
man wife and man mistress,8.092745,0.21527824,1,0
parent and infant,-15.128256,-2.3638694,0,1
a person and their crush,-14.963077,-0.45366699,0,4
volunteer and organizer,-14.219362,-4.0640845,0,3
doctor and patient,-14.702699,-2.0186899,0,1
prostitute and customer,-14.3042965,-5.7384796,0,3
distant relatives,-12.730759,8.381038,2,2
landlord and tenant,-13.514593,-5.507498,0,3
ancestor and descendant,-12.787947,8.486404,2,2
representative and citizen,-14.291602,-5.4385605,0,3
a person and their deceased spouse,-15.347933,-1.4954258,0,4
television host and guest,-14.061106,-5.327557,0,3
guest and host,-14.149702,-5.8801355,0,3
neighbors,-15.821962,-3.6163447,0,1
dealer and buyer,-13.654971,-6.033744,0,3
friends,-15.074822,-0.036076803,0,4
judge and lawyer,-13.964666,-6.139251,0,3
officer and soldier,-17.08579,-2.5711348,0,5
teammates in sports,-14.690502,-3.0644736,0,1
patient and caretaker,-14.637635,-2.0741436,0,1
frenemies,-14.715779,-3.3634112,0,1
enemies,7.9756255,0.18912871,1,0
slave and master,-15.016937,-3.6203327,0,1
therapist and patient,-14.558505,-2.2714067,0,1
godparent and godchild,-12.416629,8.515952,2,2
step parent and step child,-12.770443,8.478364,2,2
wife and husband,-15.347573,-1.7762645,0,1
romantic rivals,7.9159017,0.08929803,1,0
romantic lovers,-15.4207,-1.7007679,0,1
brothers in arms,-15.139608,-0.463659,0,4
driver and passenger,-14.218072,-5.6147127,0,3
employer and employee,-14.271644,-4.220175,0,3
university student and administrator,-13.70355,-5.8109827,0,3
athletic trainer and trainee,-16.885363,-2.9379175,0,5
native and tourist,-14.07119,-5.526516,0,3
co workers,-15.587407,-3.670984,0,1
bride and bridesmaid,-15.234693,-0.12057333,0,4
alumni,-15.401673,-0.34959346,0,4
sports rivals,7.72079,0.06748794,1,0
classmates,-15.863061,-3.3619242,0,1
psychologist and client,-14.567258,-2.017149,0,1
reader and writer,-17.00492,-2.549403,0,5
aunt and niece/nephew,-12.711126,8.15044,2,2
guard and prisoner,8.086915,-0.12545282,1,0
criminal and police officer,7.878164,0.2573162,1,0
church members,-15.782353,-3.4303296,0,1
friends with benefits,-15.661919,-1.5862831,0,4
parent and child,-15.138414,-3.36932,0,1
predecessor and successor,-14.3649435,-4.259424,0,3
defendant and plaintiff,8.140113,0.14018945,1,0
