,Dim1,Dim2,cl_k3,cl_k6
wife and husband,3.1956713,6.047454,0,4
nurse and patient,4.0658107,11.957206,2,2
officer and soldier,18.29428,0.8923255,1,1
neighbors,3.6658494,11.712331,2,2
athletic trainer and trainee,1.713028,3.3093917,0,0
police officer and offender,16.777382,0.12339242,1,1
principal and teacher,17.731358,-0.115282826,1,1
doctor and nurse,18.347279,1.0314339,1,1
victim and criminal,16.70848,0.08018959,1,1
coach and athlete,5.454977,1.9389865,0,3
man and god,1.8999639,5.200528,0,0
half siblings,3.0766706,7.0057416,0,4
parent and teenager,3.161385,6.471269,0,4
prostitute and customer,17.92546,0.26467294,1,1
church members,4.7673035,0.27004066,0,3
foreman and laborer,17.50947,0.6605473,1,1
a person and their family friends,3.2751036,6.574057,0,4
a person and their social media follower,3.2599282,12.988846,2,2
guide and tourist,4.0793552,11.855531,2,2
bride and bridesmaid,4.6795645,4.880541,0,5
teammates in sports,4.955266,0.71503067,0,3
twins,3.1508791,7.124286,0,4
celebrity and haters,3.319078,12.941599,2,2
employer and employee,17.369303,0.9837118,1,1
teacher and student,1.486997,3.1253526,0,0
guest and host,17.524061,1.2668929,1,1
man wife and man mistress,3.5830338,6.8445544,0,4
religious followers,4.760609,0.24343322,0,3
intern and employee,17.568562,1.3036157,1,1
criminal and police officer,16.971708,-0.016031945,1,1
step grandparent and step grandchild,1.8127106,4.639717,0,0
chef and customer,3.3358727,12.912863,2,2
union leader and union member,3.8648944,11.425818,2,2
professor and graduate student,1.6031026,3.1536696,0,0
second cousins,1.2559466,4.8963203,0,0
fans of the same sports team,5.046931,0.7589356,0,3
master and servant,16.85941,0.57239866,1,1
siblings,3.1890748,7.123414,0,4
landlord and housekeeper,3.7533922,12.415452,2,2
close friends,4.670789,4.7224097,0,5
entrepreneur and investor,18.022114,0.8904907,1,1
fraternity brothers,2.9519258,6.8054333,0,4
psychologist and client,18.139793,1.1781492,1,1
chief and deputy,16.987408,-0.14459832,1,1
sugar daddy and sugar baby,3.6493287,6.9174366,0,4
uncle and niece/nephew,1.2460873,5.093324,0,0
childhood friends,4.4750886,4.9171276,0,5
ex lovers,1.8174291,3.8912113,0,0
man and his mistress,3.6507916,6.934846,0,4
step siblings,1.4709749,5.2796206,0,0
confidants,4.5873113,4.7767787,0,5
parole officer and parolee,17.037449,0.4771094,1,1
grandparent and grandchild,2.137497,4.7973557,0,0
judge and contestant,17.480139,0.54341954,1,1
romantic lovers,3.0952022,5.2410984,0,5
researcher and research subject,17.715254,0.44703144,1,1
brother and sister,3.097119,7.0347195,0,4
therapist and patient,1.6846937,3.315717,0,0
parent and infant,3.150102,6.120432,0,4
slave and master,16.91403,0.55236286,1,1
reader and writer,3.2133589,13.04298,2,2
representative and citizen,18.366228,0.76684874,1,1
criminal and hostage,16.712591,0.24116224,1,1
ancestor and descendant,1.9448967,4.9704466,0,0
peers,1.4181658,3.3624387,0,0
groom and groomsman,4.676417,4.681563,0,5
opposing negotiators,5.0516863,1.9156872,0,3
adoptive parents and adopted kids,1.2993033,5.2573485,0,0
driver and passenger,3.8167987,11.435657,2,2
a person and their significant other,3.1646495,5.201532,0,5
romantic rivals,3.4353986,5.1827273,0,5
strangers,4.019524,11.890173,2,2
predecessor and successor,18.038012,0.9437164,1,1
a person and their crush,3.6239245,5.2696238,0,5
brothers in arms,2.9903436,6.9237685,0,4
playmates,5.3482423,1.6520131,0,3
volunteer and organizer,3.837852,11.463679,2,2
a monarch and their minister,4.9202228,0.49669915,0,3
roommates,5.152463,1.4707688,0,3
criminal and prosecutor,16.979132,0.4471292,1,1
friends,3.0629313,7.0160246,0,4
television host and guest,3.142928,13.116216,2,2
university student and administrator,3.6213582,12.536126,2,2
life partners,3.2877712,4.9562683,0,5
political allies,4.9222174,0.48557147,0,3
criminal and their accomplice,17.944109,1.1376783,1,1
consultant and client,17.729124,0.37967077,1,1
diplomats,3.7669742,11.531598,2,2
bully and victim,5.072646,1.883441,0,3
close relatives,3.3366904,6.803573,0,4
godparent and godchild,2.1188893,4.5122304,0,0
guard and prisoner,17.574606,1.1241266,1,1
