"","V1","V2","V3","V4","V5","R2","F"
"Valence.Evaluation",139.521901434418,-62.8239100574094,NA,NA,NA,0.440499447335246,61.4100499606417
"Equality",-20.7919896110333,-128.286015986205,NA,NA,NA,0.286371435338242,31.3005575484076
"Activity.Intensity",20.5999132320333,50.9366947821428,NA,NA,NA,0.0519875144298171,4.27739738373471
"Socioemotional",112.857280471997,-108.111832662348,NA,NA,NA,0.442072123807083,61.8030163544465
"Formality.and.Regulation",-98.6621000484304,129.514945791775,NA,NA,NA,0.470348665342915,69.2666920597867
"Intimacy",69.435435631736,-90.2246283050574,NA,NA,NA,0.230128076758061,23.3155534644532
"Visibility",-76.8218036634775,78.6918094902064,NA,NA,NA,0.217957559096882,21.7388324729846
"Communal.Sharing",83.3521330697909,-128.664601117296,NA,NA,NA,0.413127601257548,54.9079373423221
"Expected.Reciprocity",38.6724490932476,-108.169631400634,NA,NA,NA,0.226418841531853,22.8297567051095
"Strategic",-102.920738603593,126.380057715144,NA,NA,NA,0.473279440385611,70.086112410542
"Concreteness",-56.1046670198178,93.8090145921264,NA,NA,NA,0.20913673124855,20.6264036805503
"Uniqueness",64.3955375441872,-60.6252901134981,NA,NA,NA,0.141732190221626,12.8807240715943
"Love.Expression",121.289371324298,-113.821403095493,NA,NA,NA,0.501395632704045,78.4366562270838
"Information.Exchange",138.584926738558,-31.6466370469074,NA,NA,NA,0.385729888436916,48.9799694494651
"Money.Exchange",-2.35394641449992,66.0652643267483,NA,NA,NA,0.0738529433761288,6.2198865095325
"Goods.Exchange",0.910652275101487,45.5417939519325,NA,NA,NA,0.0350600767256927,2.83404792220068
"Service.Exchange",15.6431982477975,65.9305235191341,NA,NA,NA,0.0781451822063633,6.61202186553069
"Attachment",121.761496652209,-109.411052029447,NA,NA,NA,0.486964067791042,74.0361345143186
"Mating",31.0414014517725,-96.0715223125837,NA,NA,NA,0.174453104701909,16.4828215625904
"Conflict",-131.3730671615,81.1057768322714,NA,NA,NA,0.442568990085391,61.9276298100972
"Negotiation",-38.8522948908867,13.9973825777946,NA,NA,NA,0.0322973544419105,2.60327245981244
"Coercion",-86.293869358326,66.601753267077,NA,NA,NA,0.21794653628525,21.7374266837211
"Importance.for.society",82.4043860355742,-39.8351364446321,NA,NA,NA,0.157209316569567,14.549670438352
"Importance.for.individuals",75.4232091931473,-16.7537217509075,NA,NA,NA,0.11398175740443,10.0343047695054
"Affiliation.Coalition",138.255645153174,-60.7281656995199,NA,NA,NA,0.429369987363701,58.6910226814772
"Occupational",-65.9612295454622,118.062708957617,NA,NA,NA,0.319066058874104,36.5485564591335
"Activeness",-12.6788789100288,6.08213182176582,NA,NA,NA,0.00371199145168134,0.29061409024989
"Endurance",85.823906995023,-115.490040952103,NA,NA,NA,0.366808001543844,45.1853848282653
"Synchronicity",16.7479151926349,-0.738991295836524,NA,NA,NA,0.00539551778895449,0.423133411386688
"Spatial.Distance",41.048609156671,2.88034053034398,NA,NA,NA,0.032496948858657,2.61990079306214
