"","V1","V2"
"wife and husband",0.0036923843926164,-0.00551130233926218
"nurse and patient",0.00619975136771157,0.00271611139565701
"officer and soldier",0.000248008243128203,-0.00353031900148346
"neighbors",-0.00512986692360797,-0.00624931913216667
"athletic trainer and trainee",0.00480050909670217,0.00334963212026492
"police officer and offender",-0.00690182467998007,0.0041805556933464
"principal and teacher",0.000225552491110741,0.000505316250785754
"doctor and nurse",-0.00341646450251552,-0.00245531862356793
"victim and criminal",-0.00578562884309783,0.00746935646340689
"coach and athlete",0.00544469492045804,0.00475604034787527
"man and god",0.00697556513151238,-0.00340272227950896
"half siblings",0.0064919901571066,0.000324837467550004
"parent and teenager",0.00665692677152311,-0.00133719183696744
"prostitute and customer",-0.00440751300461516,0.00173937847549239
"church members",-0.00329690495294396,-0.00395221901913101
"foreman and laborer",-0.00115810309815613,0.00714774829627548
"a person and their family friends",0.0023270723162829,-0.00379421090688449
"a person and their social media follower",-0.00221392742116938,0.00271767098816444
"guide and tourist",0.0013373152439678,0.00178532555968517
"bride and bridesmaid",0.00213656738274539,-0.00311952852893505
"teammates in sports",0.00605498543572044,0.00139813661258675
"twins",0.00443136195196549,-0.00262967951784523
"celebrity and haters",-0.00605691419389175,0.00290473337364043
"employer and employee",0.00344590739303034,0.00498916614786346
"teacher and student",0.00412019363216438,0.00534191902230549
"guest and host",-0.0010254831075954,0.00198695198420746
"man wife and man mistress",-0.0058546832854486,0.00622971149745718
"religious followers",0.00368701544304865,-0.000162732425175095
"intern and employee",0.00416243451436998,0.00480691766001741
"criminal and police officer",-0.00693467049290932,0.00444905385729452
"step grandparent and step grandchild",0.00398788063848263,0.00158117212357148
"chef and customer",-0.00174114964702412,0.00246529835359061
"union leader and union member",0.00185493468281745,-0.000196274540708841
"professor and graduate student",0.00430377702556516,0.0040669091655423
"second cousins",-0.00225739705093738,-0.00420678815450581
"fans of the same sports team",-0.00220170321428715,-0.00449308698856891
"master and servant",-0.00979253020788319,0.00104384402309227
"siblings",0.00632078678326043,-0.000970169772225576
"landlord and housekeeper",-0.00166213668072514,0.00723525870954066
"close friends",0.00352963447277964,-0.00357877031195186
"entrepreneur and investor",0.00205703097526919,0.00634882310803826
"fraternity brothers",-0.000676943509263839,-0.00440037883414443
"psychologist and client",0.00531100340938594,0.00357599211186501
"chief and deputy",0.00445174661943803,0.0058358285078254
"sugar daddy and sugar baby",-0.0065498690078653,0.000911071000215574
"uncle and niece/nephew",0.00168055205409176,-0.00213206438079479
"childhood friends",0.00227562909571282,-0.00370454309861846
"ex lovers",-0.00831029132099275,-0.0006678967759929
"man and his mistress",-0.000716346789025324,-0.00841434904206887
"step siblings",0.00530240160357561,-0.000433159779937333
"confidants",0.00402315909752826,-0.00117911336824892
"parole officer and parolee",0.000220735109799386,0.00681543007409231
"grandparent and grandchild",0.00694885813840523,-0.00160759467807742
"judge and contestant",-0.00358094120773957,-0.00177533121278739
"romantic lovers",0.00149490081797237,-0.00715390253996086
"researcher and research subject",0.0040177795105532,0.00300891683805128
"brother and sister",0.00679493515594735,-0.000721612949217717
"therapist and patient",0.00249719530504417,-0.000351631526614494
"parent and infant",0.00571616090247453,-0.00175441995741386
"slave and master",-0.00919431553847075,0.00534529114199326
"reader and writer",-0.0043921139642687,-0.00117435523368004
"representative and citizen",0.00376676226298956,0.00410718239059156
"criminal and hostage",-0.00963799413477359,0.00358554988556642
"ancestor and descendant",0.00150200642742431,-0.00265602299748437
"peers",-0.00117574740642745,-0.0039271737176347
"groom and groomsman",0.00182467897732654,-0.00342001236406219
"opposing negotiators",-0.00795207457300372,-0.00257234124607199
"adoptive parents and adopted kids",0.00649462737513172,-0.00122537267264012
"driver and passenger",0.000118648195061701,0.000515361100152776
"a person and their significant other",0.00285980295091457,-0.00691279635983127
"romantic rivals",-0.00475725820965077,0.00711355361892265
"strangers",-0.00817941677941594,-0.005026290751606
"predecessor and successor",0.00127239073330634,0.00349193682053029
"a person and their crush",-0.000203884186403223,-0.007702923218286
"brothers in arms",0.00193681101746964,-0.00324492529303088
"playmates",0.00493813106446021,0.00189385356579933
"volunteer and organizer",-0.0037476665396995,-0.00394456955585578
"a monarch and their minister",0.00110474642986492,0.000394092525967196
"roommates",0.00062732935302001,-0.00253094460907306
"criminal and prosecutor",-0.00895367255419597,0.00478847190038917
"friends",0.00278345607562002,-0.00346393979676236
"television host and guest",-0.0053820177382503,-0.00476080017422333
"university student and administrator",-0.000562437297213832,0.00130935809786775
"life partners",0.00240856738185097,-0.00705628433895772
"political allies",-0.00388790867752925,-0.00629659707602891
"criminal and their accomplice",0.00068557780982626,-0.00447326291796856
"consultant and client",-0.000294794162728066,-0.00276094267783156
"diplomats",-0.00431122679495064,-0.0064329273797749
"bully and victim",-0.00639159761075558,0.00542951063093009
"close relatives",0.00225541390647883,-0.00354479545497675
"godparent and godchild",0.000545753366673151,-0.000720696607431884
"guard and prisoner",-0.00656616447845674,0.00347290387676048
"fans of opposing sports teams",-0.00928712753146533,0.000795023935937856
"pen friends",-0.000336252684014839,-0.000731200712512921
"mentor and mentee",0.00438299704221142,0.00407043549533723
"casual acquaintances",-0.00315924266970585,-0.00392923341582305
"judge and lawyer",-0.00131791627073506,0.000668716384873554
"student and dorm resident assistant",0.00333820978826324,0.0044420461151143
"superior and subordinate",0.00295699864662139,0.00643062807313695
"step parent and step child",0.00336754962292539,-0.000170271671792705
"boss and secretary",-0.00332869190773257,0.00346537323496682
"dealer and buyer",-0.00270337700394218,0.00278580833564469
"salesperson and customer",-0.00167168414835969,0.00282959533748294
"sports rivals",-0.00868921850354967,-0.00180288862542275
"professor and teaching assistant",-0.00184066122951043,-0.00623879314279295
"cohabitants",0.000641876088012754,-0.00247766148643102
"celebrity and fans",0.00136235779839433,0.00305552421166739
"athlete and referee",0.00128396638579332,0.00466570098799557
"soul mates",0.00383691376268497,-0.0060543988060502
"enemies",-0.00901473145349499,0.00512508470612953
"long distance lovers",0.000966288214062054,-0.0069849978051182
"team captain and team members",-0.000115085748943148,-0.00172181363352503
"alumni",-0.00270615570985976,-0.0031941063088915
"politician and supporter",0.00455520149213312,0.00307459317322689
"patient and caretaker",0.00551746406297063,0.00181678172150039
"babysitter and infant",0.00199248927337624,-0.000627008805635783
"co workers",-0.00377534708570328,-0.00333969433375217
"competitors in sports",-0.00373477031570319,-0.00517584767273215
"manager and staff",0.0038627058191849,0.00607931608198547
"interviewer and job applicant",-0.0071351257196055,-0.00262214334970084
"reviewer and writer",0.004484642554949,0.00456005537549693
"performer and audience",-0.000553093711136487,0.00487823284357997
"frenemies",-0.00414992177122779,0.00296436678292147
"religious leader and congregant",0.00295661721484821,0.00450767755500501
"a person and their deceased spouse",0.00207982917275999,-0.00669573385947471
"distant relatives",-0.00230716898273098,-0.00150143863729702
"divorced spouses",-0.00822358708043287,-0.000526383046358897
"defendant and plaintiff",-0.00680730836678937,0.00396894941839653
"a person and their in laws",-0.00113769759432344,-0.00359615763347663
"lawyer and client",0.00221948209955446,-4.03393140696678e-05
"customer and businessman",-0.00190139435532712,0.00269903465884502
"fiance and fiancee",0.00176204676271892,-0.00740411140431641
"facebook friends",-0.000826796433030467,-0.00069421094742392
"drug dealer and addict",-0.00421740691743714,0.00247198295697471
"police officer and civilian",0.00260485118124692,0.00565489882324127
"cousins",0.00562660368690976,0.000112713369487685
"mother and infant",0.00692197439399032,-0.00258997506841066
"landlord and tenant",-0.00131056365633855,0.00649981698503937
"director and performer",0.00521467156171226,0.00376238229925836
"native and tourist",-0.00099897283128562,0.00179870604990565
"owner and manager",0.0040546478058248,0.00662302125466523
"customer and server",-0.00690801431125856,-0.00431027225579114
"companions",0.00459074532456743,0.00198164961146023
"doctor and patient",0.00297847796813068,0.00127003131192876
"aunt and niece/nephew",0.00199940285175,-0.00197801375845279
"parent and child",0.00699062872075671,-0.00193526162223541
"leader and follower",0.00293292790182478,0.00252226817811833
"supervisor and subordinate",-0.000645482798951484,0.0063854596560379
"bride and groom",0.00279432403627638,-0.00617033080896188
"sorority sisters",-0.000997526105058508,-0.00471717191824616
"classmates",-0.00123845932739939,-0.0038843573085126
"club member and club president",0.00330130640578848,0.0032939945400549
"political opponents",-0.00396718906908393,0.00735823449279477
"friends with benefits",-0.00106934358415706,-0.00836798071696495
"foster parent and foster child",0.00654809060883265,-0.000483880533212931
"business rivals",-0.00487132618240974,-0.0059487234673058
"manager and assistant",-0.00198415290958505,0.0019163732583581
"victim and witness",0.00334044683445183,0.0024392913185003
"business partners",-0.00362639793605585,-0.00645993328317146
