,parent and child,parent and teenager,wife and husband,fiance and fiancee,siblings,divorced spouses,a person and their in laws,employer and employee,interviewer and job applicant,guard and prisoner,nurse and patient,therapist and patient,salesperson and customer,business partners,opposing negotiators,political opponents,business rivals,enemies,teacher and student,professor and graduate student,master and servant,close friends,casual acquaintances,teammates in sports,second cousins,grandparent and grandchild,foster parent and foster child,godparent and godchild,step grandparent and step grandchild,ancestor and descendant,man and his mistress,step siblings,distant relatives,twins,a person and their family friends,manager and staff,union leader and union member,manager and assistant,entrepreneur and investor,drug dealer and addict,victim and witness,criminal and police officer,criminal and prosecutor,customer and businessman,representative and citizen,officer and soldier,religious followers,reader and writer,reviewer and writer,sugar daddy and sugar baby,director and performer,psychologist and client,judge and contestant,man and god,university student and administrator,student and dorm resident assistant,athletic trainer and trainee,researcher and research subject,peers,classmates,bride and bridesmaid,guest and host,television host and guest,volunteer and organizer,bully and victim,a person and their social media follower,childhood friends,pen friends,friends with benefits,life partners,soul mates,church members,fans of the same sports team,fans of opposing sports teams,superior and subordinate,a monarch and their minister,cousins,parent and infant,step parent and step child,bride and groom,man wife and man mistress,brother and sister,close relatives,a person and their deceased spouse,foreman and laborer,owner and manager,chief and deputy,supervisor and subordinate,boss and secretary,intern and employee,lawyer and client,judge and lawyer,victim and criminal,criminal and hostage,defendant and plaintiff,police officer and offender,police officer and civilian,parole officer and parolee,consultant and client,chef and customer,customer and server,doctor and patient,doctor and nurse,patient and caretaker,driver and passenger,coach and athlete,team captain and team members,club member and club president,politician and supporter,leader and follower,babysitter and infant,religious leader and congregant,prostitute and customer,guide and tourist,athlete and referee,slave and master,performer and audience,dealer and buyer,co workers,sports rivals,romantic rivals,criminal and their accomplice,diplomats,principal and teacher,professor and teaching assistant,mentor and mentee,roommates,sorority sisters,fraternity brothers,groom and groomsman,predecessor and successor,landlord and tenant,landlord and housekeeper,celebrity and fans,celebrity and haters,native and tourist,friends,facebook friends,political allies,romantic lovers,ex lovers,strangers,neighbors,aunt and niece/nephew,uncle and niece/nephew,frenemies,half siblings,adoptive parents and adopted kids,mother and infant,alumni,confidants,a person and their significant other,companions,playmates,competitors in sports,a person and their crush,cohabitants,long distance lovers,brothers in arms
parent and child,0.0,1.7228047638414814,2.917991460224655,4.545301827389518,2.588101864976416,6.89576585065355,3.4706871598274764,9.782948725042651,10.327114370415606,11.945470254039751,8.816150937870091,6.753338836058291,10.044887969250889,7.404186320452805,10.02737164969884,11.209297745850597,10.20721380558936,9.17761806618188,7.7197454569233805,7.387148126938777,10.80965806998235,3.8688827651045354,7.860836291345373,6.543180479730213,6.01210394504692,2.701882841001154,3.9419795565618587,2.90126853539851,4.3951763875148995,7.814949379116827,5.7809081802689555,4.686782259669464,6.174343524409178,3.3365405904157677,4.153768303846353,10.163510943363303,8.507931875927953,9.846360173074256,9.108605919694096,10.339185423530102,9.842875491715553,12.358059054254174,11.523025827478197,10.70163873672499,9.806772096073612,9.365744724824093,6.755949822269899,8.402148633974042,9.73389571567248,6.948345558803786,6.765145120863086,6.847757619216453,9.690935079569414,7.011999590898271,10.635496216596255,8.479936954822874,7.575953912333867,8.9358614367664,6.561067749259551,7.351819141274278,4.171020122188922,6.7189466880370325,7.80068124853307,8.103168868358255,9.798494375021514,7.90100530526034,4.2714854483667954,4.1435707383771625,6.452847174798161,4.615979669509754,3.606692725398925,6.688111580425556,7.301252387071671,9.953710212032632,10.150957455368102,9.871310135818522,6.569133317958484,6.071435358729677,6.351872915392004,6.128553230789035,4.891467656192386,5.7017057744561,5.219550181532306,7.043444420333388,9.031167412752803,8.394337979792608,8.133218894020402,9.000446385658275,8.721184755136493,9.541451917061654,8.674938985642104,9.966541079417246,10.560137464879356,10.882705289033732,10.564848049556145,9.878600406249294,10.372161626159478,10.28394484898807,8.26899899526507,9.04973993601097,8.577188927786608,7.1353557708277,8.08240028829184,6.34931374863924,8.405889082326453,6.090888371594379,6.317513425346716,5.751770211697013,8.16507260308662,6.979920925603656,5.920860923440031,5.958195442024225,9.563377662901738,9.219428275684146,9.67640522939738,11.001525817736125,6.381710006988912,11.079076630610931,9.614751285449696,9.935369239819012,8.016198320270115,7.910183201959578,8.68095534468162,8.145171892194467,7.755582753074109,6.72311979089982,7.075937882204301,7.580263236176827,8.079049451414358,6.64513047384226,6.787137184396409,10.574269771066016,9.606564747110518,7.208580045408978,9.219822789197552,9.741079616569058,4.666986629187658,7.5792820203275975,6.979084915271027,5.8282152497025645,6.59768278184486,10.35341317392653,7.285924733752031,5.278056384146013,5.201978985139767,8.238461514197294,6.432886639510389,5.425269224417619,6.144718646094291,8.705989758974242,4.956781464529817,5.794973017461483,4.9326658039058255,6.042288155985254,9.610789282544916,5.319481388591483,7.438277899757286,4.705099478859025,8.135873010555764
parent and teenager,1.7228047638414814,0.0,2.876009341396832,4.7044913228971605,2.326646337131835,6.813368319459502,2.758773147491781,9.802187260212191,10.249447057225623,11.523023103495442,8.628858640094489,7.140645477474831,9.908432321118882,7.355297525416294,9.814878284493554,10.941631267145086,9.818400408780521,8.83810397264095,7.579390256723408,7.584138889488845,10.654777460478181,3.755186469345362,7.489373376077044,6.225228314962738,5.174708690229098,2.1217263798287247,3.3500439848677077,2.012365657240791,3.7599186030596017,7.052054611343559,5.711058812481008,3.9659527272923056,5.538714323259849,3.3471462107243903,3.7094448610844175,10.07313945323519,8.079652705075667,9.795501531181232,8.963944938880859,10.15838831697084,9.54974025734438,11.955612906044383,11.166961019715565,10.61571929871931,9.473112045915,9.261368611858092,6.188202562414262,7.919453130140094,9.566105817407697,7.1188055708019595,6.756142548875722,7.120477201725527,9.394428451763817,6.474844812552988,10.332711713058119,8.193069877345895,7.584992125447208,8.720096692376577,5.7991566169897295,6.79954991086597,4.241450241584662,6.805693080065472,7.8635677104611075,7.789465728551307,9.44668864060469,7.578588050688912,3.7127034711778792,3.6425668350790366,6.427423424069495,4.7267167914672195,3.677076779181942,6.055962401006766,6.589933345201961,9.272137751713249,10.142832221111721,9.507006567176033,5.56116493015362,6.1248019937260505,6.102940174534503,6.102365907363462,4.961811245003306,5.370448110611996,4.836137051987697,7.001021037266364,9.112273327000102,8.444658422418954,8.153529025835518,9.075080310524934,8.933603691372095,9.5771348791635,8.865037714475664,9.977676728769577,10.30867960279575,10.757962585874425,10.540001605834062,9.617486931898144,9.938338803264513,10.219913211148283,8.507989382765038,9.006563701813233,8.686224388168563,7.337588784385553,8.187012131015308,6.458949020708643,7.999838514975584,6.175450893539147,6.356428589220098,5.690763491198235,8.202101165399373,6.86522881511554,6.1509322525232655,5.667581032432621,9.66931453686561,9.059534185903583,9.518251606658202,10.670213242145808,6.3650389252607305,10.964972128976296,9.11815207584465,9.51032169860785,7.466381181086712,7.785442521608432,8.595438261129281,7.9540741735144325,7.99636200662819,6.778366884511172,6.434395182600188,6.8435152343397,7.444072441980247,6.340000044679222,6.693068430604316,10.422097437390528,9.52222519895445,6.826420896446162,8.614513326038605,9.199747946241343,4.586639293257357,6.8031066202364565,7.041353158236471,5.85439154935179,6.060703647924439,9.464418661373761,6.46208119483682,4.992510102807558,4.932508868456846,7.593922511543568,5.915373936719047,5.296682180223781,6.228751229140952,7.889770291830048,5.013927527735049,5.820238033083124,4.678972227866874,5.638288705021384,9.241866541134884,5.078996947179257,6.784304923862217,4.871434238970049,7.574467817712541
wife and husband,2.917991460224655,2.876009341396832,0.0,3.785260398141587,3.1198443043450124,6.895973268870826,3.3551833681909717,10.522413362260892,10.936295760298025,12.447294676892804,9.083578385411704,7.308489093047046,10.520800467181724,7.294064909946691,10.540613930626922,11.577135411730605,10.590351322971323,9.48791102653015,8.134411037584604,8.198225253470577,11.439295379662266,2.5712903109761385,7.757884949979974,6.143570061009869,5.349019693030461,3.4905825003214206,4.386505720229591,3.293084569104022,4.929965965374297,8.25136435839485,5.229741470915122,3.8793161455890135,6.273144482332189,1.6781608577441673,3.009792184367842,10.745805498758681,8.923292452363041,10.512730698131541,9.296545230860763,10.613782663335808,10.45493547967316,12.811966880359474,12.120511924420816,11.367697621176585,10.24227648532691,9.932123872092072,6.859028586211538,8.095798072994784,10.155724900192155,7.326320253959228,7.472302883807637,7.461106315687381,10.254710895473654,7.533886043784472,11.143199589538773,8.974990144443678,7.459161452691813,9.431385429447827,6.072963312004805,6.919079445819165,3.5742002446527175,6.664610096462167,8.246413631120591,8.500601142262914,10.450509212627459,8.476641308057486,2.9796374582122263,2.9210652364170637,5.785360196507077,3.724733299796717,2.098614582079184,6.377451804577731,6.651890136293709,9.773197737095753,10.78319491285132,10.580613657332604,5.821380776623877,6.775644005254807,6.665649538944558,5.577872981250728,5.370319952223298,5.124053015029,4.426978911359059,6.861519558563863,9.728188068090187,9.231242690540734,8.916646739766131,9.806773616418635,9.566164262061454,10.186807003190246,9.294066957120158,10.752551226190747,10.96753580402574,11.467448844768887,10.934162092954734,10.439313864254487,10.904343760834225,10.937350306609135,8.95885526473412,9.663726170116352,9.154483859738905,7.6400336682060885,8.892822176318457,6.71391517962252,8.456345385257219,6.454594751115404,6.9501917420218104,6.280976850211888,8.991504738150695,7.6884098777591,6.585705994462108,6.565317575726223,9.981275534555037,9.27770264499412,10.42288737634096,11.620925971053875,6.779139308970409,11.640359729287702,9.466360819629571,10.580350183302649,8.19354277444432,7.878833674031576,8.69429470142587,8.793810231533733,8.730167772751301,7.602831930928098,6.930513307001911,7.458405347079961,7.966712165212038,6.767264245401751,7.573368969174272,11.349653322944054,10.391398153723273,7.851850216310978,9.741726382714264,9.838391511267846,3.550619587900534,6.897922875420016,7.516206700478383,4.881507737466849,6.547039022064801,9.970343776622935,6.607100765829816,6.082451009271182,6.124760440326151,8.400540109324075,6.049884235644058,5.9142543976769755,6.8121153755117065,8.303566907211131,4.001087867344597,5.07939553938992,3.9254048553966854,5.4314255084016265,10.22031538346397,5.379824367624515,6.931295012942544,3.7968520729445188,7.732403550039142
fiance and fiancee,4.545301827389518,4.7044913228971605,3.785260398141587,0.0,4.7916972741031065,6.817479935957683,4.919676637770153,10.9773876470163,11.431929367745207,12.989942293579965,9.93711738007713,8.142027707663818,11.077177718409162,8.113064418870735,11.078360817876495,11.960064337740741,11.256325955368359,10.094699861691947,8.652874769571392,8.753283497257927,11.974423344486116,4.646654255470362,8.704535800023425,6.952799768497168,6.520305733396197,5.04330782177918,5.903745934302566,5.213916207763938,6.108197459513302,9.121281663556754,4.494067298460146,5.412549833024441,7.463696413146403,4.335606759205339,4.925125204783262,11.283780316125542,9.519838433461524,11.046032782421474,9.940150426138874,11.4887210635953,10.973052333991355,13.337597783499248,12.480898469796015,11.830061291135724,10.67497364552811,10.47234880951949,6.760527949679322,9.099957460938162,10.597266394737815,6.993740464945066,8.125950434451811,8.29579999464881,10.815508768551522,7.50052267966588,11.728848801193521,9.771927798805283,8.398838275451268,10.147464046912264,7.212218777985375,7.730322839500743,2.798049915344397,7.525611847362818,8.680645375952501,9.188784527855201,11.077302329611998,9.116819542104883,4.968959344644387,4.832306067204284,5.028020236533781,1.8533769060815475,4.415376152035388,6.34622463440535,7.707720424000179,10.526215760010608,11.308123787804485,11.192330242794396,7.199997237246476,6.247863023979106,6.426628278007474,4.636522747786168,5.448915754760127,6.458542632107563,5.920073225441099,6.555602751036725,10.331137039019275,9.856445148076517,9.466500286131481,10.332554906644436,10.09397121529738,10.728542114414035,9.861827570638884,11.093237045677963,11.726363510153012,12.129462324409143,11.328910958164606,11.03139021450789,11.521284531164659,11.330915529850659,9.510980250880149,10.329882586752497,9.806301508883868,8.601144641224385,9.418116949735834,7.809124502703488,9.483802907716157,7.426641148966286,7.5061241308436,7.049095408254441,9.513854418823904,8.291684419530524,7.945874051584795,7.232848789209136,10.86502307324038,9.982549874905454,10.773552577229088,12.183812904533413,7.721038855438828,12.174937421554702,9.971337296085126,11.08179860179528,8.739247405689456,8.842096984851613,9.108730419506866,9.395555834658571,9.104357890022724,8.20331129984235,8.079619742226622,8.514776728733139,8.963968357888856,7.8796309855610325,8.24757756726614,11.810247582002118,10.96273322466223,8.702327931636049,10.46809974576171,10.59491145788056,5.27094482254992,8.018176803951091,8.110457396864392,4.5222955640193065,7.322942535427037,10.77083877413042,7.810922905231203,7.266157472981071,7.109487951233539,9.349069712562137,5.7134060551619426,6.612766539360541,6.215402596011387,9.159262315583945,5.60088731150351,4.359921156294143,5.566983281522542,6.607691314292666,10.810976094337816,5.088796562938456,8.150786033778388,2.7703738228766555,8.540838886506469
siblings,2.588101864976416,2.326646337131835,3.1198443043450124,4.7916972741031065,0.0,7.193695694708858,3.092184020375833,10.311540796392833,10.595169175201544,12.090288410274022,9.503844188935712,7.400536987281771,10.51633231820413,7.622368814115311,9.952293551022862,10.914024179840592,10.097983728454075,8.864605889346148,7.755945946017148,7.855081238451582,11.172531263845565,2.6822890311677794,7.169274636400262,6.2172967586260555,5.223499966568534,2.6984006291006315,4.009545954712765,2.413574479245579,3.743559663245449,7.299434277356933,5.471772046443217,4.4110507458230614,5.478909303450579,2.8480463582743414,2.832310980182452,10.588666494207038,8.675721099024527,10.236349880245331,9.402969955048356,10.424714693389458,9.622265353177744,12.315157433333376,11.455753226869858,11.323148327420276,9.622391669264925,9.630599830197148,6.5308033391434535,8.299059885122064,9.835180552062651,7.391778749958721,7.219772690706273,7.434769172615945,9.820247133797913,6.808841519503363,11.020021500993467,8.733265180822967,7.9037191617369515,9.25209757838101,6.128530493254251,6.741981788537529,4.300714854315154,6.998160500731813,7.832930565288931,8.336516278056656,9.412064767931621,7.552805402397042,3.0938101818186627,3.477544563835907,6.294065735044544,4.6460443536302725,2.664630030518016,6.320334415263717,6.499471008522576,9.261840627180748,10.581356245373627,10.195051245079547,5.427457237108176,6.454569525978283,5.775900385862159,5.590339585141571,4.6454527617372445,4.639369137979752,4.2206394919677495,6.672232098238706,9.557400589395577,9.005583696551719,8.7388667980804,9.444317512063252,9.359711749971,10.109926467117596,9.346832774916027,10.283290767536343,10.50595654059543,10.94442550117279,10.850515318380333,9.912963730321296,10.584465996315691,10.588627610297856,9.077348428051305,9.59879241772057,9.172803408855817,7.973153129076194,8.602262237601984,7.1616231628364035,8.42463003640066,6.325556368305588,6.463548979215728,5.935723538370244,8.288688867875209,7.251650392055115,6.41793553647628,6.0485555338160815,10.039414488906383,9.598622773577675,9.583520121898447,11.258854810390975,6.96120746596628,11.163528479038261,9.337882186851697,9.259160097376371,7.061910134760386,7.840411452880357,8.778674576867045,8.618523011364772,8.233446257504317,6.979166115794379,6.643604093159115,6.878960496999158,7.280527685349316,5.994887808680504,6.723514520975136,10.86640756871312,10.016950258195767,7.1357729704455855,8.627297830109235,9.35670223924661,3.6898577848495178,6.494593936107901,7.132921454099071,5.332390782707827,5.663604492625589,9.38265379949555,6.312142210381885,4.7851584409987895,4.650516113354939,7.12347652387454,5.337767274111929,5.190011760476328,6.266469031724266,8.0828196112641,4.376232392936625,5.226252490717998,3.785347938819415,4.890838500930243,9.282199247949992,4.800963510534428,6.9808320483401625,4.030395590968575,7.603946572910678
divorced spouses,6.89576585065355,6.813368319459502,6.895973268870826,6.817479935957683,7.193695694708858,0.0,6.307930565104959,7.666360137349089,8.193200763266283,9.083498112490773,7.887634818414886,7.687919132208033,7.734146368858013,6.43339477156191,6.404434428219878,7.897305167235704,6.3600512950458805,6.093978504075563,8.526654690487733,6.772193730969329,8.185728486466367,6.81941152226567,6.888606366471394,7.149628660852738,6.440010176620949,6.979398716903314,6.077650525354941,6.953344601907187,6.422919279032073,8.58655616780854,6.756754141482424,5.431356290648912,6.472309675120001,7.20629120615341,6.953754772920732,7.982181216535383,8.067780984497508,7.581154877916,6.377450595258897,8.541771341127355,7.901212093800115,9.671642533633106,8.221476664594286,8.022523261789466,8.51944335114682,8.098444121843825,6.780856239391924,8.077577365965098,8.050693143982455,6.41242783224037,6.775937170990396,7.516633586229268,7.273493960244093,7.880471927377792,8.122850340661223,7.780079158782383,6.340779206783113,7.887964777813744,6.661032201539216,6.966631901820621,6.235126017806771,7.030906035337822,7.149621208936533,7.6581530710861365,7.845911291357717,7.561250369926667,6.606552453373725,6.3827673716993045,6.764551908224988,7.317805991591818,7.651492127331935,6.809551023723208,7.856295825197394,7.208861425722966,7.860053864075932,7.529460017332232,7.78203744256191,8.093140244199692,7.920713990298476,8.324750421038717,7.42514254512576,7.603278602474545,7.524345242120527,8.63954636400541,7.903911825434234,7.203760770611727,8.242188510560805,7.775972819846861,7.669680189734712,8.205093396987834,7.476836377101554,8.29232891201782,8.802626467293075,8.857278431158358,7.596477625284769,8.284564440394663,8.506311762344392,8.634052645637011,7.576926805709729,7.9666461340760355,7.8434906487978955,7.780808894099594,8.303973513071472,7.609003304288483,7.364475424726871,6.81461382247687,7.183841303115606,6.977771202479531,7.820414274917269,7.505747378729676,8.39863449276341,7.175127797359666,8.402002995947038,7.656474762466915,7.55553291567508,9.070275866321772,6.7996603731367085,8.213438720684211,7.896861770743556,7.412291367826567,7.098282317464245,6.650731309027179,6.952813187571569,8.31822357505872,7.557226323930298,7.8146239061340035,6.623745178038893,8.95509830888878,8.988846600624603,9.139683613545886,7.1277470564896666,7.595564470435317,7.496535549636348,7.6566579503090715,7.700487145668132,7.8795229209192055,7.778374863091923,7.822681857767322,7.276920950057359,7.944626731330136,6.131216973616409,8.718375602394381,7.27394340609962,8.39609542866834,8.142167318785717,7.256782471117869,6.4800535595510835,8.025161965416315,8.296812990975852,8.272356820397631,6.779506353995967,8.035068897128117,7.697221202995401,7.477906445971422,7.708624025296793,7.995774213735043,6.536890431446572,7.36177425996379,8.465510676017109
a person and their in laws,3.4706871598274764,2.758773147491781,3.3551833681909717,4.919676637770153,3.092184020375833,6.307930565104959,0.0,8.977300189318235,9.290380195120797,10.632488550649358,7.989193797119467,6.613169986472236,8.932559755575273,6.7013514264413265,9.096728159606036,9.801933900425363,9.154903557607694,7.832712441285753,6.660719243519517,7.262354051543163,9.893776921789962,3.2446853141920817,6.071736964830005,5.274339245862723,3.830656149602702,2.633577635880802,2.794819325962269,2.4174592623217133,2.5833502563948225,6.039539803443617,5.527695050935086,2.9690722640771394,4.407630193304436,3.8557645689147733,3.1786470940348726,9.25210587143109,7.276890352204235,8.996903086526542,8.006363040595456,9.292711909873994,8.42474479902821,10.95309375574276,10.07741056157993,9.493719415860562,8.225381451049076,8.531172017281664,5.037399075408241,6.5160996640172915,8.175645388215298,7.308342206589407,6.05798387222234,6.58951197716638,8.150238892875485,6.272861590205088,9.22170211027034,7.076249915445671,6.741713003009076,7.811988795861474,4.7850235639094665,5.322478928782517,3.9966873232017517,5.629015579611053,6.819220983476583,6.959285806013592,8.596329269786889,6.2307881215117344,2.7384996945573232,2.6414568292789005,6.193439179403804,5.241343816012168,3.8921079617495895,5.00560088505487,5.043771215194899,7.839528217422809,9.155484440533,8.61728477049116,4.7617407971249435,6.969155353528013,5.782907078493474,6.366680467022318,4.992395188233654,5.333554342549259,4.277091367812148,7.013215401668614,8.486729589905323,8.121254033255587,7.965222707875449,8.489424921815031,8.535301405639517,8.760514502438719,8.618923499664854,9.190989440723435,9.73571005534718,10.156887419685939,9.881016185803656,8.842361455660006,9.148092137952563,9.524715987609275,8.080304088063963,8.40770826366862,8.04662377783001,7.335337019904743,7.787948474465831,6.487298081323904,6.974994301688327,5.787461893535913,5.966636542988899,5.211153796443068,7.5064001173542385,6.353868411597646,6.612197398702807,4.601663494144857,9.028079722518514,7.7794436288820945,8.473664962357718,10.063680603675877,5.681933345345192,10.217648146080517,7.727881798344119,8.767785354676564,7.055184861408887,7.207503058128184,7.630976272138852,7.603900629585565,7.461110918113851,6.704064324238182,5.5267012375795375,5.751356334313312,6.189913940873479,5.770222426913157,6.243254337106706,9.61420705876058,8.810243502919384,6.029045060730032,7.407428842021003,7.699498824779621,4.216030981214705,5.297369344557921,6.73127490092763,5.579330999107404,5.182497275866998,8.05134904115733,4.988129229818895,5.090302984860782,4.9038496274140275,6.878579893787204,5.184726548134523,5.64521581144245,6.915300706702123,6.637742547211636,4.486743553907659,5.987766143781612,4.251425968511861,4.9301178148741664,8.594282698422523,5.24899499334888,6.018298702250708,4.921647753750233,6.803711487496228
employer and employee,9.782948725042651,9.802187260212191,10.522413362260892,10.977387647016299,10.311540796392833,7.666360137349089,8.977300189318235,0.0,3.521650180401486,7.660927947583701,5.858723062527958,6.835989677258523,5.193652657483737,5.779889680994482,6.740356444912182,7.356809484518904,7.429500459874398,8.42478574809558,6.514932101442496,4.67034047792612,5.829921833952922,10.149983914488201,7.985760654855254,8.384040300212703,9.449438613940547,9.777188923126838,8.32249997057272,9.50609695400851,8.893300182377299,8.996519371766245,10.678430646334728,8.920455130141264,8.57868166485919,10.848864767658643,10.042743499327704,3.099746647837965,5.092038173494004,4.513756092561342,3.984019394851459,6.516014787029106,7.961482550852766,8.535588744837813,6.696649849923022,4.287935181380663,4.385167942099023,4.388993249884751,8.326111376049786,7.398313677118488,3.9784626290240444,8.844728393530097,5.486811832703605,6.3713298467531025,6.199305930121401,9.568185513102723,4.389787780372858,5.7868022185098456,5.96103096630443,5.48324989600719,8.11106637625247,7.776850895671432,9.730134205465486,7.268055688688352,6.182668668859757,4.939339497145163,9.513629083962432,6.14878584103791,9.84955178129168,9.24577874281999,10.276507471835586,11.46078441697378,11.30155277259333,8.701584951159234,9.354859380586253,9.397840323494677,4.257247800804626,5.933608101585845,10.42173487769674,10.832363761210615,10.395674818275806,12.296629687776672,10.364503232724113,11.041547786434094,10.51399422419029,12.045723876188587,5.041898809839822,5.135597956130879,6.2933520783444035,4.951633246839362,5.272299387595519,4.705820885241722,5.089667938261262,5.5909687749307215,9.13562309792113,7.81338401898294,7.064629790693534,8.454187521689374,5.9509966572741115,5.944992194618724,5.002512390721947,5.330889826749782,5.176302775275078,7.516648465833843,5.766487291096786,7.559242540051023,7.393793395105898,7.215253899368895,7.13601001507742,7.164602839574207,5.361047933250782,7.223039939208263,9.237962525280377,7.34072848427863,6.901937913245074,6.101743778172182,6.648507020289288,7.927386198163548,6.330421490859512,5.710431836206619,6.735328407388628,8.504058906521722,10.25252821656885,6.931701855540826,5.330688202100726,5.609269254365447,5.390388204015509,6.534480616748806,8.551967402688872,10.14557189670111,10.067197143407402,10.61328381533841,7.043198967089778,4.9023577595004015,4.042514445365497,7.560308690608414,8.268845410609533,7.9540872557186,11.0152576615165,9.693311346943062,6.248958451860477,11.567829901300268,9.930595030568734,10.271441632330207,8.926427215876327,10.220589591359401,9.571331040377855,9.94501345981433,10.247595455127463,9.764068109324642,10.953060148842006,9.120106792294953,9.911514315281064,12.112822177152736,10.878298211674933,10.082165588622738,8.518469776026354,11.307916150397851,8.654719939717301,11.461757164029885,8.649450227444358
interviewer and job applicant,10.327114370415606,10.249447057225623,10.936295760298025,11.431929367745207,10.595169175201544,8.193200763266283,9.290380195120797,3.521650180401486,0.0,6.542520828315501,5.261134550493166,6.526726547579771,3.9211036376625112,6.035812172874708,6.029395603179685,6.567108513222743,7.082478056178521,7.763265985463728,6.063772962287854,5.352334697424006,5.093649833430236,10.437287036029078,7.267259166774563,7.695618835498209,9.490616664282234,10.337334612327897,8.305209503058588,9.915899616283367,8.97316463070075,9.16355805286888,10.270982227319676,9.062581222911628,8.97243021157296,11.303504016720886,10.207136507398534,2.21944271123296,4.973400646399308,3.433268372970063,4.354749382624002,5.130515110079297,7.60749744770292,7.172047871094184,5.917474928773077,5.451719451879034,4.719663536396469,3.2561667462646455,8.815980689102057,7.782464513287614,5.032762040068773,8.564202840732536,4.619410076003573,6.067325161496471,5.317389151032439,10.046669020266911,3.7143440515309587,4.962924730724192,5.547810119650954,4.478934206609191,7.738704068800219,7.111811921646906,9.90612112682547,6.698249171501934,5.2617718344800855,4.5732936605145404,8.729578034265714,6.160194968527915,9.8791318315183,9.480435744920792,9.901200226648424,11.895120184486476,11.582039494402343,8.522563200044559,9.288274266896812,8.949254780131058,2.7432806834327077,6.42860659485166,10.25640244121894,10.897526828775566,9.767911344796971,11.846321138836919,9.929660517036815,10.728042629720097,10.269608098806586,11.964602500273791,5.0265465968389,5.420451451440517,6.347967658128229,5.183091824143912,5.445265112942497,4.694551032694478,5.377531567522162,5.661042479339204,8.568551365641165,7.308816285891572,6.532599141306833,7.795098978792428,5.428715470335749,5.9142275885057565,5.606230108430272,4.986484534675067,5.166497369687855,7.461443654766178,5.721112737023336,7.523715680763179,6.372614326299441,6.9254962297702845,6.864557542851516,6.8437697301219025,5.776525911378185,6.9544409758839265,8.908386101655475,7.338108052911049,5.73324434554553,6.085977203133473,5.592975545575148,7.412590327340079,6.828796165506411,5.657858856371139,7.164658740661592,7.993715361952127,9.296324307530766,6.706014507135348,6.098861199009506,5.773692451670003,5.611365289174668,6.867261914348565,7.934097503867356,9.743117339802662,9.567767960458086,9.68429890167683,6.971860075645786,4.589598541982035,4.702194244263916,7.562854736492684,8.268164106155576,7.4886055112993475,10.653623239240268,9.41301168809371,6.486815609826266,11.168591118018936,9.33758909833032,9.411694954105004,8.32531936146413,10.182702030909208,9.733942068746709,8.932155203094817,10.075667583989862,9.611321220734505,10.871275797374496,9.38745598191914,9.650095152643306,11.710310601035255,10.370317826160699,9.52197117313979,7.596767264324914,10.71137670329273,8.057345574725,11.77218912374594,8.557996234778182
guard and prisoner,11.945470254039751,11.523023103495442,12.447294676892804,12.989942293579965,12.09028841027402,9.083498112490773,10.632488550649356,7.660927947583701,6.542520828315501,0.0,7.420830920772717,9.610038558261767,7.08923714969987,9.194522800911171,7.706494738224495,6.936119310458592,7.291524922068595,7.831770518923689,8.795214133658149,8.932450152791858,4.825836119545619,12.090402419496153,8.759668974282995,9.614799564935087,10.081372289061981,11.614248729388477,9.633960439754475,11.223734153945912,9.940305808334255,9.866543235225956,11.341756360859877,9.948712627449579,9.887400394137337,12.769680237078436,11.789742033309256,6.519388288612684,7.698819510660894,7.190739023455365,8.029508939545927,7.3336133397090215,6.183083974201962,2.499078785688566,4.929857652530739,7.531372129009201,7.815532132056535,6.511280140210379,10.056958274327009,9.147641897975609,8.143870675688097,10.747539202672522,7.585770508878973,9.341730321251006,7.1782382194633705,10.809757134196571,5.150974911842392,6.452605813630608,8.317790924701647,7.181068031567715,8.92331558826082,8.396132836988345,11.69816666832347,8.970189415315312,8.32554340131215,7.631020315702521,6.796414889533168,8.435889646720984,11.337978728078253,11.086455482613518,11.502643048168332,13.382783911423212,13.16737325288372,9.873912297280807,10.226495927144535,8.335946578474264,6.171393675580672,6.1693184904037714,10.920800363769228,11.980492059232098,10.550314737387533,13.189026947126827,11.041521791662127,11.790604006841834,11.539769296224922,13.179494903987168,7.286642540317003,7.051887235251375,7.938516424085598,7.064284107860436,7.382245338112029,7.300112570263655,7.90351150588984,6.7194081523572375,7.801494704530494,7.453146470904979,6.788255148514247,5.899901900380921,4.835207377450847,5.239444529496442,8.66497218621775,7.51810091117408,7.873631010333956,9.042255652063682,7.40970660113406,8.895794659092385,7.309338101661099,9.105848201856647,8.95367789819672,9.224949225815019,7.692048968534854,7.719665267348978,10.667881020639138,8.89172780540803,8.469108288034917,7.6674572222097,6.719464498283369,5.366921821531666,8.3826746992045,7.323715091808966,8.721612569473495,7.821769530402685,9.421467509696376,8.272448755218143,7.929883560224694,7.386605814903258,8.415902814498295,8.45151565797005,8.561702231981233,10.658491680902502,10.275518767134079,11.244221306107423,8.455508630635245,6.235586627569051,6.854362610773452,8.5644940510994,8.121947911881158,7.02814210812337,12.175732310392721,10.029854072477763,8.607510472180387,12.568589759976584,9.716429530768327,8.79899191751725,9.28346325720269,11.33221858522237,11.004177248654855,9.230632580526901,10.883169033207354,10.673627397763902,12.195091548875391,10.390721552054465,11.42579998263758,13.10695104404,11.855485440382846,10.972073882542096,6.925004128096191,12.11645864066793,8.415433728537325,13.427423893601285,9.104611505905934
