,parent and child,parent and teenager,wife and husband,fiance and fiancee,siblings,divorced spouses,a person and their in laws,employer and employee,interviewer and job applicant,guard and prisoner,nurse and patient,therapist and patient,salesperson and customer,business partners,opposing negotiators,political opponents,business rivals,enemies,teacher and student,professor and graduate student,master and servant,close friends,casual acquaintances,teammates in sports,second cousins,grandparent and grandchild,foster parent and foster child,godparent and godchild,step grandparent and step grandchild,ancestor and descendant,man and his mistress,step siblings,distant relatives,twins,a person and their family friends,manager and staff,union leader and union member,manager and assistant,entrepreneur and investor,drug dealer and addict,victim and witness,criminal and police officer,criminal and prosecutor,customer and businessman,representative and citizen,officer and soldier,religious followers,reader and writer,reviewer and writer,sugar daddy and sugar baby,director and performer,psychologist and client,judge and contestant,man and god,university student and administrator,student and dorm resident assistant,athletic trainer and trainee,researcher and research subject,peers,classmates,bride and bridesmaid,guest and host,television host and guest,volunteer and organizer,bully and victim,a person and their social media follower,childhood friends,pen friends,friends with benefits,life partners,soul mates,church members,fans of the same sports team,fans of opposing sports teams,superior and subordinate,a monarch and their minister,cousins,parent and infant,step parent and step child,bride and groom,man wife and man mistress,brother and sister,close relatives,a person and their deceased spouse,foreman and laborer,owner and manager,chief and deputy,supervisor and subordinate,boss and secretary,intern and employee,lawyer and client,judge and lawyer,victim and criminal,criminal and hostage,defendant and plaintiff,police officer and offender,police officer and civilian,parole officer and parolee,consultant and client,chef and customer,customer and server,doctor and patient,doctor and nurse,patient and caretaker,driver and passenger,coach and athlete,team captain and team members,club member and club president,politician and supporter,leader and follower,babysitter and infant,religious leader and congregant,prostitute and customer,guide and tourist,athlete and referee,slave and master,performer and audience,dealer and buyer,co workers,sports rivals,romantic rivals,criminal and their accomplice,diplomats,principal and teacher,professor and teaching assistant,mentor and mentee,roommates,sorority sisters,fraternity brothers,groom and groomsman,predecessor and successor,landlord and tenant,landlord and housekeeper,celebrity and fans,celebrity and haters,native and tourist,friends,facebook friends,political allies,romantic lovers,ex lovers,strangers,neighbors,aunt and niece/nephew,uncle and niece/nephew,frenemies,half siblings,adoptive parents and adopted kids,mother and infant,alumni,confidants,a person and their significant other,companions,playmates,competitors in sports,a person and their crush,cohabitants,long distance lovers,brothers in arms
Valence Evaluation,98,71,99,91,81,29,59,6,27,0,98,99,62,94,0,0,5,1,89,75,3,99,55,95,55,80,59,61,59,67,41,83,55,100,62,6,95,22,41,98,58,1,0,72,38,1,60,90,7,38,89,97,20,0,14,57,83,28,86,73,95,83,89,70,0,60,78,74,97,100,100,84,87,3,2,22,67,100,26,96,38,95,98,51,69,67,91,26,66,63,94,22,2,0,0,0,23,1,99,97,96,83,79,97,93,89,92,74,78,76,99,77,75,71,24,0,96,36,79,0,2,98,17,74,71,98,77,64,92,82,46,1,66,97,3,49,99,26,99,95,19,52,64,60,75,6,81,94,99,24,96,98,99,93,0,57,99,98,92
Equality,0,2,99,99,100,100,65,0,1,0,0,0,1,100,99,100,99,100,0,1,0,100,100,100,100,0,0,0,0,0,73,97,98,100,80,0,0,0,1,26,99,0,0,0,0,0,100,26,2,0,0,0,0,0,0,1,0,5,100,99,86,75,41,1,0,26,98,99,99,99,100,78,98,99,0,1,99,1,1,34,2,100,98,100,1,1,2,2,0,1,1,1,1,0,99,2,1,1,2,2,1,1,1,2,2,1,25,25,1,24,2,1,1,1,1,0,1,26,99,98,99,99,2,1,0,1,99,28,26,25,42,1,2,1,1,1,99,99,98,98,98,99,99,42,29,99,99,1,0,99,98,99,99,98,98,1,99,99,1
Activity Intensity,100,100,100,100,100,1,41,98,3,96,3,96,0,90,3,0,2,95,94,98,60,100,0,73,1,78,97,9,1,1,87,0,44,100,1,95,33,62,0,1,3,2,78,0,2,99,0,2,1,99,1,99,1,0,11,1,96,2,72,95,80,0,1,1,97,0,70,96,95,100,100,1,0,1,89,2,56,100,98,99,97,96,97,100,2,4,5,25,4,7,2,3,2,1,2,2,2,49,20,2,1,19,24,17,3,68,64,40,2,24,67,6,4,2,3,0,1,2,60,11,1,60,3,15,6,77,57,68,4,92,1,2,2,1,0,0,91,1,1,99,81,0,39,60,59,90,88,95,100,1,96,97,76,63,27,55,60,99,80
Socioemotional,100,81,100,88,100,59,43,25,23,0,0,30,0,18,14,8,74,83,32,36,0,100,60,16,65,100,77,59,70,27,84,69,72,100,70,9,14,0,6,11,8,0,6,5,6,0,30,17,11,25,18,14,10,100,7,43,0,0,100,88,59,73,10,24,85,69,90,64,100,100,100,84,88,56,20,0,84,91,76,63,100,100,100,100,1,0,35,8,6,20,5,0,0,0,0,0,0,0,26,8,4,13,17,38,2,42,40,34,4,47,45,41,1,0,4,0,25,26,40,45,81,0,0,7,22,43,42,61,63,65,5,9,4,56,67,2,98,55,1,100,100,50,54,94,87,77,87,74,90,54,70,100,76,65,47,82,72,100,33
Formality and Regulation,0,1,0,0,1,37,44,77,91,99,96,76,97,75,98,96,44,1,75,81,98,1,3,81,47,1,20,0,14,1,0,11,3,0,1,98,88,40,97,0,88,100,99,77,100,100,6,0,99,98,90,77,96,100,91,92,84,100,1,26,39,60,81,84,0,0,1,90,0,0,0,46,0,0,100,91,2,1,2,99,1,1,1,0,98,98,96,92,93,82,100,100,1,0,99,94,87,100,81,76,81,99,99,93,90,67,61,88,62,35,34,74,79,65,97,50,91,56,81,83,3,1,98,94,81,39,28,69,75,89,26,76,80,1,1,19,2,1,24,1,1,1,69,2,3,2,3,2,1,1,1,1,2,7,80,1,2,2,20
Intimacy,99,93,100,100,96,61,60,31,0,0,0,77,13,22,0,0,1,0,60,35,0,98,55,62,3,98,91,32,32,0,63,76,23,96,62,1,1,1,1,24,0,0,0,1,0,0,0,0,0,100,2,74,9,0,0,14,0,2,68,80,95,70,3,27,0,0,86,11,100,100,100,33,0,6,4,2,66,99,81,98,98,97,99,50,2,2,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,24,1,48,0,1,2,10,78,0,99,1,1,0,1,1,25,2,66,1,2,1,1,44,64,72,75,76,18,2,1,1,1,0,96,1,1,98,82,0,36,64,62,71,88,97,100,1,78,99,85,63,1,31,64,99,65
Visibility,0,8,0,11,26,27,35,88,2,100,100,0,86,29,3,98,42,38,99,43,34,2,99,94,58,1,22,57,5,59,0,21,3,1,35,98,97,96,2,0,100,98,100,93,99,86,100,2,1,1,100,0,97,0,99,76,41,3,17,85,96,43,100,98,80,99,10,0,20,2,1,98,98,91,35,87,59,1,20,46,0,6,5,0,67,83,88,76,72,97,25,97,3,1,99,80,96,3,58,58,91,13,79,3,96,84,99,96,100,90,13,83,1,97,95,100,100,97,92,97,81,0,1,89,80,23,70,80,88,85,60,81,78,100,100,100,76,100,97,2,46,99,87,41,43,82,33,34,1,99,1,3,15,26,86,66,19,1,30
Communal Sharing,98,98,100,99,98,65,90,5,0,0,1,0,0,14,1,79,1,98,76,39,1,99,98,0,71,99,31,47,77,97,63,91,58,98,98,0,8,2,0,2,97,1,0,0,2,0,99,72,4,0,7,2,2,0,1,9,1,0,98,96,93,63,0,9,98,42,98,78,97,100,100,98,99,97,2,2,98,99,94,95,2,99,99,100,2,1,2,2,2,2,1,2,42,2,49,19,26,1,1,2,1,1,3,2,3,68,67,34,26,35,39,6,1,0,28,0,2,2,80,57,79,83,2,17,5,99,70,36,31,77,50,1,1,99,99,0,98,48,97,98,88,50,66,64,61,82,97,97,99,50,99,98,99,99,50,50,69,99,80
Expected Reciprocity,97,1,99,99,98,98,1,33,1,1,2,1,1,92,98,98,2,99,1,0,0,98,98,61,98,1,0,2,1,1,68,99,59,99,36,1,0,2,2,10,2,6,0,4,1,0,96,2,2,89,86,0,2,0,1,25,1,1,99,100,15,1,0,3,1,0,99,93,100,100,100,78,0,97,1,1,80,13,78,81,3,99,96,0,28,11,23,21,23,45,26,9,0,0,4,1,5,10,29,36,21,8,10,3,26,44,61,42,21,38,23,0,23,38,43,0,41,99,93,29,10,73,49,34,43,63,59,84,98,90,1,33,26,0,0,3,99,0,92,100,2,57,64,66,63,2,92,41,17,40,96,99,84,96,74,52,75,97,88
Strategic,2,2,1,1,1,65,3,95,77,1,1,99,98,98,97,97,93,61,1,99,97,0,1,75,1,1,72,1,1,2,85,1,1,1,38,99,98,99,97,1,2,93,98,97,80,99,1,2,1,96,98,98,97,0,99,4,92,97,3,2,0,11,98,91,1,0,1,2,78,3,1,2,3,2,91,97,1,1,1,1,99,2,1,0,97,98,98,97,91,97,96,96,1,27,99,76,52,92,98,93,76,3,77,94,93,77,91,79,88,83,56,71,100,98,1,100,86,97,91,1,77,83,99,92,97,80,80,94,67,1,2,99,91,30,56,71,4,1,97,1,2,0,1,0,1,2,1,1,1,1,90,1,4,2,2,19,68,71,1
