"","V1","V2","V3","V4","V5"
"Valence.Evaluation",-0.685204931740138,0.519771928227509,-0.301172819142203,0.0161030771447349,-0.0056383185392604
"Equality",-0.548597995642339,-0.304345552778169,-0.00137496705201688,0.124878528686221,-0.0298922953829738
"Activity.Intensity",-0.739610750207374,0.327859508550785,0.250207383264542,-0.130648628138159,0.270598037447043
"Socioemotional",-0.892006710206569,-0.288127274614191,0.0529507983479686,-0.00826295019961646,0.00300808392434765
"Formality.and.Regulation",0.757178983252573,0.507570400542968,-0.0394483369838865,-0.0497230033727594,0.0392162526736224
"Intimacy",-0.702266275257414,0.166385342390531,0.386969603894763,-0.0844741686654707,-0.324008950484438
"Visibility",0.368133437752225,0.18515136731815,-0.411900108915345,0.367357895302068,0.318816625239013
"Communal.Sharing",-0.880552401016924,-0.00438730065956993,-0.183585204769342,0.0145489696345495,0.150108462547587
"Expected.Reciprocity",-0.722441644027775,0.304033681162369,0.0122319758194088,-0.0440279372323631,0.086448811110429
"Strategic",0.492467430630153,0.409282022602309,0.146291661856578,-0.198315480271406,-0.190140151740633
"Concreteness",0.286922550441479,0.395081157816813,0.0817109737895313,0.59496638170256,-0.269476602689052
"Uniqueness",-0.805787671907227,0.108821428027062,0.171340490143395,-0.125056302711044,-0.0311553576908613
"Love.Expression",-0.910955626043916,0.237573580980574,0.000818654342308973,0.0727547650967558,0.0354510454435451
"Information.Exchange",0.333234667186814,0.53857004943729,-0.363745152436729,-0.21295332000369,0.224746119507751
"Money.Exchange",0.577688978899053,0.374738690159962,-0.0796379169729255,0.0993335276590724,-0.517871247010311
"Goods.Exchange",-0.574567455335629,0.33839328840343,0.164568906353117,0.0852341401292103,-0.388525940214535
"Service.Exchange",0.665344154431027,0.501995770285915,0.00338456459609867,-0.0605814287133113,-0.134184642348607
"Attachment",-0.905363866343565,0.260615723391324,-0.0446268085618109,0.0321896246492016,0.0215943158447097
"Mating",-0.44308262084436,-0.0250498405672312,0.425553103217414,0.123514801292925,-0.395386927034021
"Conflict",0.427942724862446,-0.305429321644496,0.570295667587123,-0.304460350571745,0.279828033559492
"Negotiation",0.115313095786048,0.584464974844419,0.125606082766268,-0.458630552962737,-0.148848786428165
"Coercion",0.481579437522945,-0.19634101835116,0.589479154871764,-0.100793659005652,0.25887310316181
"Importance.for.society",0.0584180534614544,0.585172050323328,-0.0258525557462796,-0.486557507468512,0.0116028287150464
"Importance.for.individuals",-0.749307645620888,0.37670302283575,-0.0231815423683625,-0.0477231616750629,0.0389717395665986
"Affiliation.Coalition",-0.595536395537243,0.189564302442009,-0.478144719366792,0.0325964695334354,0.131824413285659
"Occupational",0.766748575777312,0.451987841418203,-0.135276771271725,-0.0309816305542765,0.0660682262433253
"Activeness",-0.275507319076814,0.717170768398651,0.325992027572155,0.115649697256625,0.311936125050367
"Endurance",-0.633198932805977,-0.18072273398257,-0.227389829088793,-0.292788028434194,-0.063507592120606
"Synchronicity",-0.040692721665621,0.339305554149847,0.461719649482792,0.241448712771246,0.272331409765469
"Spatial.Distance",0.00559801856999,0.458868415660797,0.342098463151285,0.477266004308434,0.240357476553721
