"","V1","V2","V3","V4","V5"
"Valence.Evaluation",-0.302989579331189,0.217117362364249,-0.0139592089554707,0.804493140254193,0.124629851784629
"Equality",-0.378192725715219,-0.224994716252937,0.653281500243506,0.255142150920926,0.0533511203343231
"Activity.Intensity",-0.712538568990568,0.246181457493067,-0.149037036253909,0.30893321823781,0.00369047957045985
"Socioemotional",-0.826397582609582,0.0359322736976756,0.295139721329372,0.101723127173249,0.0595513819267053
"Formality.and.Regulation",0.813468538194042,0.0185111260990094,-0.377847474311549,-0.0199756974689286,-0.134577278793714
"Intimacy",-0.675008349079833,0.421965785366533,0.140212326161168,0.0770837705620828,-0.151029916001738
"Visibility",0.142511342736838,-0.125028974315818,-0.22661879864733,0.313053445589926,0.476117999503496
"Communal.Sharing",-0.866226045966279,0.0272443129128758,-0.0287376860673263,0.231670618652157,0.226779234849686
"Expected.Reciprocity",-0.634982943419695,-0.32016304535399,0.0786001076714647,0.190667988484138,-0.26880653084675
"Strategic",0.830570429302001,0.0624300326528353,-0.131613610427461,-0.16986270791228,-0.122236234892185
"Concreteness",0.356945201242921,-0.126842864767231,-0.349808169476033,-0.207087292708371,-0.635536356720784
"Uniqueness",-0.585585626286342,0.405507586288186,-0.204056337336979,-0.00648414437599911,0.117295471718893
"Love.Expression",-0.828100590802057,-0.0211894090904223,-0.217989830180877,0.15385374951972,-0.245433671216128
"Information.Exchange",-0.159327585415074,-0.0584242896755658,-0.621662142911463,0.416464564080696,-0.0212123078983423
"Money.Exchange",0.520745102407541,0.018682918957822,-0.299708916855189,-0.0837376862387682,-0.612307965126722
"Goods.Exchange",0.0507688450494591,-0.199701571502188,-0.200220651328504,-0.00842728291913441,-0.771363424040023
"Service.Exchange",0.667594430239069,0.133268404620896,-0.451807877815922,0.0255262559243741,-0.304794484497337
"Attachment",-0.842819721230382,0.268214331050581,-0.0470531362534108,0.250530740532685,0.0985589044340234
"Mating",-0.473096664213722,0.512071321442919,0.276029062354813,-0.0520631804389284,-0.259769495905393
"Conflict",0.196001147080811,-0.205704425992075,0.0227385103208262,-0.837755071068072,-0.171571525064219
"Negotiation",0.425955841736369,0.0484342107660032,0.104689527416254,-0.244878406870115,-0.270432581124356
"Coercion",0.0841797535046652,0.0151936248583074,-0.0331762253317093,-0.763236186211958,0.0509159559131255
"Importance.for.society",-0.111569418923846,-0.218165244752511,-0.74785586277015,-0.163244185307617,-0.225571233388383
"Importance.for.individuals",-0.583521329542991,0.577828101306948,-0.0981093626112627,0.084939932099145,0.118791246373964
"Affiliation.Coalition",-0.185794860593835,0.299998083396664,0.283338087462445,0.722816247568157,0.248027436900424
"Occupational",0.793217274140667,0.108349456671638,-0.413195328366002,0.009615141649811,-0.206403776649109
"Activeness",-0.103988277926767,0.700257465397768,-0.00519724147273975,0.111217935211214,0.367912836126591
"Endurance",-0.788367962387359,-0.018816580459231,-0.202581321507073,0.0933120467608051,0.126927200012362
"Synchronicity",0.407470527445362,0.662198545412532,0.181784335434616,0.136559918328937,0.0824406272996635
"Spatial.Distance",0.0249667417821535,0.646992333867758,-0.0205273434195774,0.217817314538757,-0.0803872697291343
