"","PC1","PC2","PC3","PC4","PC5"
"parent and child",-3.33541702557931,-0.197121320361208,-0.9174645757862,-1.5893753116309,-0.943447550550729
"parent and teenager",-3.26866239263146,-0.620295182005746,-0.692833465027551,-1.53185808210007,-1.22113534878542
"wife and husband",-5.08667411367626,0.594182781452274,-1.38476827332428,-1.34626931098426,0.0472529997844014
"fiance and fiancee",-4.58445578778,0.631756379111071,-1.29868559642187,-0.876126043596925,-0.0960994611704679
"siblings",-4.49245807468839,0.00993781112073841,-0.719769441720192,-0.509599532068352,-0.434140328644397
"divorced spouses",0.619190276283625,3.00728601568452,-2.25912453577414,-0.295543535517058,1.86482882838202
"a person and their in laws",-3.82755061086058,1.61328355618339,0.718157829424253,-1.49158616207322,-0.707268222808796
"employer and employee",2.5749451504562,-2.50504208689692,-0.327699828642375,0.455028096932673,0.651076698063692
"interviewer and job applicant",3.88236701580574,0.726955314120503,1.81887678560239,-0.161208388323991,0.161394865296462
"guard and prisoner",4.37345238963475,2.29003083748603,-2.95709869376871,0.936455689025464,0.00836666865499
"nurse and patient",-0.704701320026532,-0.250973637703346,-1.01774870481647,-2.56347778170794,-0.561600399043997
"therapist and patient",0.315991645945866,-1.54322839776723,-0.986879292712341,-1.73423118827536,0.88686153762454
"salesperson and customer",3.91804997476953,-1.58944899118167,0.572705548405094,0.275402444558594,0.342259927058018
"business partners",0.102837190034434,-1.99448825924049,-0.313618042594687,0.139093015850779,0.600037272722407
"opposing negotiators",4.64089519415005,3.97367442373436,-0.87317148186481,1.83359321518954,0.755413216184926
"political opponents",3.77670786046865,4.08003899613838,0.551768855447071,0.971887869902348,0.77895461441627
"business rivals",4.22929294824475,4.000073487366,-0.406895802857745,-0.180758769005664,-0.157398398122679
"enemies",3.07746315097986,4.56163806418801,0.922415044879875,1.59638412568231,0.860217341069227
"teacher and student",-1.8752300339406,1.03463891417367,0.0665361925008846,-1.72758940233282,-0.467141205762121
"professor and graduate student",-0.894167169431709,-0.791063558225867,0.686311065681707,-0.542722679174029,1.34200604860116
"master and servant",2.4499521336302,2.31605785506131,-1.597464718584,-0.808874738883631,-0.77505805346215
"close friends",-4.35802002909838,-0.273013859814443,-0.335803055419694,-1.34132371787111,-0.0342773233986811
"casual acquaintances",-0.552484417060915,2.95155893767082,3.27163053993614,-0.900486559978946,-0.0552527410495187
"teammates in sports",-2.58860453034071,-0.945046871978771,-1.86574747546696,-0.940215884520994,0.609464139133168
"second cousins",-3.01882506816964,2.71127348205152,2.84872549594328,-1.49901127308356,-0.272768787006895
"grandparent and grandchild",-3.73835876984714,0.451953872987891,-0.165008665651995,-2.47342996731961,-1.73158339514361
"foster parent and foster child",-2.93951641695667,0.923696171774561,-0.0800869801454103,-2.88565677317113,0.184448760310006
"godparent and godchild",-3.43659268106488,0.910619868599576,0.131963605156134,-1.96567612559943,-1.96543561419357
"step grandparent and step grandchild",-3.61507659475819,0.797530191268386,0.461000800943542,-2.23284751002092,-1.01638503059491
"ancestor and descendant",-2.76094583742837,1.48428746378547,0.338393975214692,-1.90291937613681,-0.572933447664853
"man and his mistress",-3.0485332768844,1.24102688424723,-2.29666564085444,-0.108105698640713,2.3394646473001
"step siblings",-3.94870676670654,0.507616875748199,-0.318863172833471,-0.689837759798135,-1.22603399872129
"distant relatives",-2.12640445427855,3.28759572045488,1.69984396510474,-2.31228380284535,0.417866182542827
"twins",-4.32657106508953,0.774238914247213,-0.477025684861886,-0.91250473586809,-1.49383245338947
"a person and their family friends",-1.52432935630268,0.968518703038285,0.805344904945241,-1.02936549499248,-1.94195441986149
"manager and staff",2.02847441139146,-1.16916316943658,-0.138403348748979,-0.616577916016015,0.0186141971961374
"union leader and union member",1.98998382596575,-1.97238077758092,0.676350282258707,-1.04599367690877,0.460204347321833
"manager and assistant",2.9145321679448,-1.93579421747853,0.453773210028893,0.0486670195205839,0.411442598351063
"entrepreneur and investor",3.27698463032216,-1.25175727144673,0.113378748460797,-0.487547073986507,0.952535687973453
"drug dealer and addict",0.345563320577041,1.71685492760396,-1.46784220999372,-1.90647367738688,0.158218772849893
"victim and witness",1.75578611218944,1.86666579968429,-0.396223664993882,-1.34022021199828,0.199501214748298
