"","V1","V2","V3","V4","V5"
"Valence.Evaluation",-0.243118453616983,0.278065635097868,-0.858052071766527,0.152297261884936,-0.11116389624747
"Equality",-0.196262911420311,-0.0417403936748857,-0.153413775019556,-0.329640736030723,0.797514317714176
"Activity.Intensity",-0.615049756089214,0.623879407392425,-0.239140407442588,-0.276992285393774,-0.0447678794588426
"Socioemotional",-0.735781202878497,-0.0141595248003156,-0.293718988678158,-0.488365963343506,0.261805817676241
"Formality.and.Regulation",0.713158417720475,0.119864889392456,0.140344048359032,0.491123641830789,-0.346957001068033
"Intimacy",-0.830481125645078,0.269667886221154,-0.265554601412842,-0.134492306466089,0.155332399200769
"Visibility",0.836010210708263,0.0765625751310753,0.0204442533343629,-0.104757842630746,-0.0331713022326038
"Communal.Sharing",-0.543491648453415,0.233306767680721,-0.410210248362088,-0.616219780380676,0.203215506257045
"Expected.Reciprocity",-0.27259890007921,0.490415783090955,-0.50949544109649,0.0071424690424376,0.511848250433033
"Strategic",0.696947552347588,0.0960536632985263,0.195616511752833,0.603146634381332,-0.0725719099409395
"Concreteness",0.228526081342612,0.151910294001963,0.131228889751931,0.843677646594522,-0.122867122974028
"Uniqueness",-0.756072170533646,0.356747877659273,-0.0382845410325943,-0.168191101082413,-0.0332353062077327
"Love.Expression",-0.664919623645973,0.228188755217212,-0.511685211786782,-0.406664465784449,0.105619810227575
"Information.Exchange",0.157785602023519,0.680385176836431,-0.489117690583017,0.178112993909889,-0.218348984573129
"Money.Exchange",0.24590899283216,0.0376848483002196,0.0105750878237248,0.887110829295588,-0.0857714223204904
"Goods.Exchange",-0.12433289997605,0.0585858176361769,-0.226052489330281,0.786730732881432,0.17594835761817
"Service.Exchange",0.429701736784729,0.179682650948884,-0.0741713608970518,0.713799621682868,-0.379479798270875
"Attachment",-0.665197923291115,0.396613122857231,-0.489614672292819,-0.311025638801999,0.0358184518407506
"Mating",-0.807163053424628,0.0683940899895646,-0.0927056894920276,0.0109474941806383,0.16202607789068
"Conflict",0.132332220801224,-0.000437113647590785,0.930610368636149,-0.0615948609724227,-0.00236534178646847
"Negotiation",-0.0062191651782241,0.379953295461234,-0.0606284911560463,0.49691833501912,0.548200565618849
"Coercion",0.120118973764488,0.0795531106810195,0.880534026564763,0.0256605759030525,-0.234511565573082
"Importance.for.society",0.296642934788301,0.464348451836518,-0.207997961002343,0.0197277123326103,-0.499810869275452
"Importance.for.individuals",-0.520426758972465,0.564112097062686,-0.469551330626659,-0.245955686468265,-0.118852149719175
"Affiliation_Coalition",-0.199462128058095,0.382956518114743,-0.769729967087899,-0.239203485338123,0.0646739687574617
"Occupational",0.714833001093224,0.150589884796108,0.0821222901999177,0.506534084781354,-0.339525781705757
"Activeness",-0.322914255974027,0.853175108271476,-0.153335543453753,0.093989084068668,0.035088726627694
"Endurance",-0.601876405614125,0.282849625793641,-0.400849386908205,-0.415133134166555,0.0082937274632851
"Synchronicity",0.012496423843456,0.826845229986983,-0.000990017307041662,0.137190713732868,0.112765878844131
"Spatial.Distance",-0.0923376292991922,0.80384875775478,-0.0179281138660763,0.139228541227503,-0.0311153152467896
