"","V1","V2","V3","V4"
"Parent 每 Child",-0.528556467645766,-1.57562921917414,1.48499073012897,1.18297318360881
"Parent 每 Teenager",0.405823801573168,-1.48008467095818,1.25930086968086,0.683672975293164
"Wife 每 Husband",-0.783649262585201,-1.21889517482674,-0.806069595612134,0.766028265402834
"Fiance 每 Fiancee",-0.818285764235067,-1.15357301448328,-1.04604111760166,0.681258899156985
"Between Siblings",0.179914440371639,-1.26325487844715,-0.734096004910667,0.217556087790583
"Between divorced spouses",1.45521572674181,-0.908981073867912,0.205973619264666,-1.28044484771869
"Between a person and their in-laws",-0.023094055383077,-0.702686987791345,0.208800170800629,-1.18101168239657
"Between second cousins",-0.7428180182757,-0.482110093799803,-0.908184048454767,-1.94869476360987
"Employer 每 Employee",-0.344272515754194,1.09565023601632,0.880896149043837,0.0958817664636252
"Interviewer 每 Job applicant",-0.5466654161727,1.56409338850275,0.593778827891141,-0.0514930130620704
"Guard 每 Prisoner",1.33231339756679,-0.158732994983338,1.73839497195013,-0.122515554255746
"Nurse 每 Patient",-1.0349179097048,0.521023197548349,0.890575289306942,0.417768773904629
"Therapist 每 Patient",-0.995657439674705,0.12590548881333,0.682078999388659,0.403571337363588
"Salesperson 每 Customer",-0.599960522648589,1.3028784184257,-0.0077035856117425,-1.24431766442853
"Between Business Partners",-0.384554339610974,1.03780251906487,-1.13276381470498,0.924148903525867
"Between opposing negotiators",1.24005473516894,1.21754297087404,-1.13042308142114,1.0762020188265
"Between political opponents",1.73180462311431,0.901000789269934,-0.677558597467702,0.951572626444232
"Between business rivals",1.51078267935652,0.92725634100386,-0.860063081998918,0.270390267273465
"Between enemies",2.18962915371811,-0.811519085171385,-0.339877326138474,-0.541709655965034
"Teacher 每 Student",-0.723899398689267,0.678858258029175,1.0859447057617,0.753809744598733
"Professor 每 Graduate student",-0.789947772990408,1.03405053858019,0.402749936421809,0.217207041449238
"Master 每 Servant",0.456946138774191,0.18493942712574,1.59085687788732,-1.0411202893009
"Between Close Friends",-0.994496122238259,-1.08854618871721,-1.19528213088695,0.423672375833691
"Between casual acquaintances",-0.858033223263385,0.257534582674336,-0.951585210652657,-2.52410054748617
"Between teammates in sports",-0.333676467513385,-0.00452277370811371,-1.23469355206485,0.869693751287644
