"","FAVEE","FV"
"sub-301",0.202484869868087,0.228819397813338
"sub-693",0.153899318155994,0.0561727668352092
"sub-700",0.244821749203,0.462005633298773
"sub-701",0.120434897302876,0.275751274410789
"sub-706",0.166835582593365,0.290413384600409
"sub-716",0.1362650319527,0.0925582649242217
"sub-720",0.182325102382679,0.182505823345319
"sub-722",0.159330647071634,0.194388598049192
"sub-754",0.410289383780735,0.371267339599726
"sub-759",0.129065797868596,0.156381806730099
"sub-762",0.181094340965995,0.239993172996021
"sub-765",0.20493572719836,0.249810070501759
"sub-766",0.184442777495236,0.299293693420554
"sub-767",0.390137241625409,0.660859151889827
