,Dim1,Dim2,cl_k2,cl_h2,cl_k3,cl_h3,cl_k4,cl_h4,cl_k5,cl_h5,cl_k6,cl_h6,cl_k7,cl_h7
opposing negotiators,8.269601,-1.3242667,1,0,2,2,3,0,3,2,3,0,4,6
nurse and patient,9.354192,5.761349,0,0,0,0,0,3,0,3,0,3,1,1
man wife and man mistress,8.022098,-1.5417422,1,0,2,2,3,0,3,2,3,0,4,6
parent and infant,-2.2582214,3.246506,1,0,1,0,1,2,4,0,4,5,0,5
a person and their crush,4.8238144,-6.857611,1,0,2,2,3,0,3,4,5,4,5,4
volunteer and organizer,2.9772356,4.3339405,1,0,1,0,1,2,1,0,1,2,3,2
doctor and patient,9.354563,5.7718415,0,0,0,0,0,3,0,3,0,3,1,1
prostitute and customer,8.433633,6.039974,0,0,0,0,0,3,0,3,0,3,1,1
distant relatives,-2.376317,2.4470894,1,0,1,0,1,2,4,0,4,5,0,5
landlord and tenant,8.377103,5.5574894,0,0,0,0,0,3,0,3,0,3,1,1
ancestor and descendant,-2.356291,2.4880035,1,0,1,0,1,2,4,0,4,5,0,5
representative and citizen,8.361524,6.525273,0,0,0,0,0,3,0,3,0,3,1,1
a person and their deceased spouse,4.869344,-6.50363,1,0,2,2,3,0,3,4,5,4,5,4
television host and guest,8.177676,6.2515073,0,0,0,0,0,3,0,3,0,3,1,1
guest and host,8.21297,6.0968585,0,0,0,0,0,3,0,3,0,3,1,1
neighbors,8.225913,13.9096575,0,1,0,1,2,1,2,1,2,1,2,0
dealer and buyer,8.455347,5.9537244,0,0,0,0,0,3,0,3,0,3,1,1
friends,8.873388,14.721532,0,1,0,1,2,1,2,1,2,1,2,0
judge and lawyer,2.7482436,4.5256705,1,0,1,0,1,2,1,0,1,2,3,2
officer and soldier,2.9112222,4.4579554,1,0,1,0,1,2,1,0,1,2,3,2
teammates in sports,8.309717,14.585311,0,1,0,1,2,1,2,1,2,1,2,0
patient and caretaker,9.31442,5.8204246,0,0,0,0,0,3,0,3,0,3,1,1
frenemies,8.228226,-1.4741873,1,0,2,2,3,0,3,2,3,0,4,6
enemies,8.184637,-1.4099046,1,0,2,2,3,0,3,2,3,0,4,6
slave and master,7.8564105,0.057254717,1,0,2,2,3,0,3,2,3,0,6,3
therapist and patient,9.449102,5.6767097,0,0,0,0,0,3,0,3,0,3,1,1
godparent and godchild,-1.9721787,2.7935524,1,0,1,0,1,2,4,0,4,5,0,5
step parent and step child,-1.9488344,2.966299,1,0,1,0,1,2,4,0,4,5,0,5
wife and husband,4.7582335,-6.41523,1,0,2,2,3,0,3,4,5,4,5,4
romantic rivals,8.139576,-1.4940547,1,0,2,2,3,0,3,2,3,0,4,6
romantic lovers,4.816007,-6.7824726,1,0,2,2,3,0,3,4,5,4,5,4
brothers in arms,8.602334,14.893256,0,1,0,1,2,1,2,1,2,1,2,0
driver and passenger,8.62063,6.089806,0,0,0,0,0,3,0,3,0,3,1,1
employer and employee,2.2839894,4.5047646,1,0,1,0,1,2,1,0,1,2,3,2
university student and administrator,3.6681218,4.187291,1,0,1,0,1,2,1,0,1,2,3,2
athletic trainer and trainee,3.4476664,3.6783242,1,0,1,0,1,2,1,0,1,2,3,2
native and tourist,8.873856,6.5319767,0,0,0,0,0,3,0,3,0,3,1,1
co workers,7.823143,14.191368,0,1,0,1,2,1,2,1,2,1,2,0
bride and bridesmaid,9.003394,14.938525,0,1,0,1,2,1,2,1,2,1,2,0
alumni,8.113405,14.072558,0,1,0,1,2,1,2,1,2,1,2,0
sports rivals,8.203998,-1.1668442,1,0,2,2,3,0,3,2,3,0,4,6
classmates,8.088676,14.036539,0,1,0,1,2,1,2,1,2,1,2,0
psychologist and client,9.291304,5.8047285,0,0,0,0,0,3,0,3,0,3,1,1
reader and writer,8.621733,6.2589784,0,0,0,0,0,3,0,3,0,3,1,1
aunt and niece/nephew,-2.1102948,2.8522518,1,0,1,0,1,2,4,0,4,5,0,5
guard and prisoner,7.695819,0.002670698,1,0,2,2,3,0,3,2,3,0,6,3
criminal and police officer,7.983454,-0.17232107,1,0,2,2,3,0,3,2,3,0,6,3
church members,8.11903,14.160861,0,1,0,1,2,1,2,1,2,1,2,0
friends with benefits,4.853399,-6.8532524,1,0,2,2,3,0,3,4,5,4,5,4
parent and child,-2.3243039,3.17656,1,0,1,0,1,2,4,0,4,5,0,5
predecessor and successor,3.061405,4.7938905,1,0,1,0,1,2,1,0,1,2,3,2
defendant and plaintiff,7.948031,-0.56538045,1,0,2,2,3,0,3,2,3,0,6,3
roommates,8.604736,14.259063,0,1,0,1,2,1,2,1,2,1,2,0
mentor and mentee,3.5110338,3.6655645,1,0,1,0,1,2,1,0,1,2,3,2
customer and businessman,8.561907,5.64638,0,0,0,0,0,3,0,3,0,3,1,1
superior and subordinate,2.9581306,4.9645567,1,0,1,0,1,2,1,0,1,2,3,2
victim and witness,7.821551,14.59915,0,1,0,1,2,1,2,1,2,1,2,0
leader and follower,3.2541702,4.540666,1,0,1,0,1,2,1,0,1,2,3,2
bride and groom,4.939507,-6.3896694,1,0,2,2,3,0,3,4,5,4,5,4
union leader and union member,2.4161818,4.7422905,1,0,1,0,1,2,1,0,1,2,3,2
foster parent and foster child,-2.012885,3.0720549,1,0,1,0,1,2,4,0,4,5,0,5
police officer and civilian,7.699389,-0.031530675,1,0,2,2,3,0,3,2,3,0,6,3
political opponents,8.084328,-1.1945277,1,0,2,2,3,0,3,2,3,0,4,6
teacher and student,3.6045117,3.78349,1,0,1,0,1,2,1,0,1,2,3,2
politician and supporter,8.441627,6.5179954,0,0,0,0,0,3,0,3,0,3,1,1
siblings,-2.7673829,2.6362662,1,0,1,0,1,2,4,0,4,5,0,5
second cousins,-2.4596326,2.408486,1,0,1,0,1,2,4,0,4,5,0,5
manager and staff,2.4036202,4.7425776,1,0,1,0,1,2,1,0,1,2,3,2
drug dealer and addict,8.61889,5.905416,0,0,0,0,0,3,0,3,0,3,1,1
team captain and team members,3.392361,4.321734,1,0,1,0,1,2,1,0,1,2,3,2
life partners,4.7522936,-6.5274124,1,0,2,2,3,0,3,4,5,4,5,4
soul mates,4.8090234,-6.575896,1,0,2,2,3,0,3,4,5,4,5,4
close friends,8.858326,14.9151125,0,1,0,1,2,1,2,1,2,1,2,0
salesperson and customer,8.727287,5.7167873,0,0,0,0,0,3,0,3,0,3,1,1
competitors in sports,7.986387,-1.0356259,1,0,2,2,3,0,3,2,3,0,4,6
boss and secretary,2.3901289,4.814318,1,0,1,0,1,2,1,0,1,2,3,2
bully and victim,7.995764,-0.34674492,1,0,2,2,3,0,3,2,3,0,6,3
director and performer,2.7629886,4.83315,1,0,1,0,1,2,1,0,1,2,3,2
confidants,8.795129,14.91222,0,1,0,1,2,1,2,1,2,1,2,0
playmates,9.024724,14.58527,0,1,0,1,2,1,2,1,2,1,2,0
uncle and niece/nephew,-2.159945,2.8067827,1,0,1,0,1,2,4,0,4,5,0,5
step grandparent and step grandchild,-1.8412021,3.106396,1,0,1,0,1,2,4,0,4,5,0,5
guide and tourist,8.864847,5.878151,0,0,0,0,0,3,0,3,0,3,1,1
fiance and fiancee,4.7962956,-6.4328876,1,0,2,2,3,0,3,4,5,4,5,4
criminal and prosecutor,7.9373975,-0.28225222,1,0,2,2,3,0,3,2,3,0,6,3
long distance lovers,4.9432745,-6.592798,1,0,2,2,3,0,3,4,5,4,5,4
fraternity brothers,8.767456,14.947625,0,1,0,1,2,1,2,1,2,1,2,0
chief and deputy,2.758197,4.614328,1,0,1,0,1,2,1,0,1,2,3,2
adoptive parents and adopted kids,-2.0730002,3.1320918,1,0,1,0,1,2,4,0,4,5,0,5
master and servant,7.688131,0.09381191,1,0,2,2,3,0,3,2,3,0,6,3
a person and their family friends,9.088603,14.915937,0,1,0,1,2,1,2,1,2,1,2,0
owner and manager,2.6586564,4.7731833,1,0,1,0,1,2,1,0,1,2,3,2
groom and groomsman,9.090628,14.896698,0,1,0,1,2,1,2,1,2,1,2,0
strangers,8.014149,13.703919,0,1,0,1,2,1,2,1,2,1,2,0
a monarch and their minister,2.8330667,4.213308,1,0,1,0,1,2,1,0,1,2,3,2
step siblings,-2.697199,2.6291976,1,0,1,0,1,2,4,0,4,5,0,5
business rivals,8.053776,-1.1752073,1,0,2,2,3,0,3,2,3,0,4,6
interviewer and job applicant,2.6545372,4.8415775,1,0,1,0,1,2,1,0,1,2,3,2
student and dorm resident assistant,3.7133482,4.1811895,1,0,1,0,1,2,1,0,1,2,3,2
manager and assistant,2.4761596,4.8982577,1,0,1,0,1,2,1,0,1,2,3,2
a person and their significant other,4.9104533,-6.594629,1,0,2,2,3,0,3,4,5,4,5,4
ex lovers,8.116573,-1.5733459,1,0,2,2,3,0,3,2,3,0,4,6
chef and customer,8.787226,5.8245807,0,0,0,0,0,3,0,3,0,3,1,1
professor and teaching assistant,3.3704267,3.9642017,1,0,1,0,1,2,1,0,1,2,3,2
grandparent and grandchild,-2.275448,3.0407708,1,0,1,0,1,2,4,0,4,5,0,5
business partners,7.610301,14.610442,0,1,0,1,2,1,2,1,2,1,2,0
peers,8.049903,13.831522,0,1,0,1,2,1,2,1,2,1,2,0
twins,-2.7926419,2.7452857,1,0,1,0,1,2,4,0,4,5,0,5
performer and audience,8.639553,6.19358,0,0,0,0,0,3,0,3,0,3,1,1
celebrity and fans,8.652816,6.6731834,0,0,0,0,0,3,0,3,0,3,1,1
cohabitants,8.616902,14.213502,0,1,0,1,2,1,2,1,2,1,2,0
pen friends,8.907098,14.674399,0,1,0,1,2,1,2,1,2,1,2,0
judge and contestant,7.9536777,6.4067855,0,0,0,0,0,3,0,3,0,3,1,1
casual acquaintances,8.112973,13.964559,0,1,0,1,2,1,2,1,2,1,2,0
diplomats,7.6122527,14.559108,0,1,0,1,2,1,2,1,2,1,2,0
facebook friends,8.197142,13.943351,0,1,0,1,2,1,2,1,2,1,2,0
club member and club president,3.4086607,4.3405824,1,0,1,0,1,2,1,0,1,2,3,2
victim and criminal,7.960694,-0.23994255,1,0,2,2,3,0,3,2,3,0,6,3
man and his mistress,4.841748,-6.80975,1,0,2,2,3,0,3,4,5,4,5,4
sugar daddy and sugar baby,4.815618,-6.9077697,1,0,2,2,3,0,3,4,5,4,5,4
companions,9.099471,14.869806,0,1,0,1,2,1,2,1,2,1,2,0
criminal and hostage,7.9062476,-0.14859152,1,0,2,2,3,0,3,2,3,0,6,3
fans of opposing sports teams,8.091593,-1.1183176,1,0,2,2,3,0,3,2,3,0,4,6
reviewer and writer,8.402814,5.5093417,0,0,0,0,0,3,0,3,0,3,1,1
close relatives,-2.6151087,2.7430496,1,0,1,0,1,2,4,0,4,5,0,5
lawyer and client,8.738529,5.7800236,0,0,0,0,0,3,0,3,0,3,1,1
athlete and referee,2.6910636,4.793649,1,0,1,0,1,2,1,0,1,2,3,2
consultant and client,8.754004,5.761649,0,0,0,0,0,3,0,3,0,3,1,1
researcher and research subject,8.35357,5.852545,0,0,0,0,0,3,0,3,0,3,1,1
coach and athlete,3.4774172,3.6885374,1,0,1,0,1,2,1,0,1,2,3,2
criminal and their accomplice,7.7820444,14.669748,0,1,0,1,2,1,2,1,2,1,2,0
babysitter and infant,9.266768,5.8297987,0,0,0,0,0,3,0,3,0,3,1,1
religious followers,8.083992,14.208492,0,1,0,1,2,1,2,1,2,1,2,0
mother and infant,-2.2920961,3.2364292,1,0,1,0,1,2,4,0,4,5,0,5
childhood friends,8.951249,14.944243,0,1,0,1,2,1,2,1,2,1,2,0
man and god,3.1431735,4.093456,1,0,1,0,1,2,1,0,1,2,3,2
divorced spouses,8.05054,-1.6134524,1,0,2,2,3,0,3,2,3,0,4,6
half siblings,-2.6679704,2.663951,1,0,1,0,1,2,4,0,4,5,0,5
parole officer and parolee,7.79412,-0.05968466,1,0,2,2,3,0,3,2,3,0,6,3
landlord and housekeeper,2.4994347,4.3735027,1,0,1,0,1,2,1,0,1,2,3,2
a person and their social media follower,8.14765,13.84363,0,1,0,1,2,1,2,1,2,1,2,0
parent and teenager,-2.2125413,3.1940026,1,0,1,0,1,2,4,0,4,5,0,5
entrepreneur and investor,8.12194,5.705596,0,0,0,0,0,3,0,3,0,3,1,1
professor and graduate student,3.5632403,3.8736029,1,0,1,0,1,2,1,0,1,2,3,2
sorority sisters,8.706905,14.999696,0,1,0,1,2,1,2,1,2,1,2,0
doctor and nurse,2.777049,4.288483,1,0,1,0,1,2,1,0,1,2,3,2
intern and employee,2.306061,4.4900723,1,0,1,0,1,2,1,0,1,2,3,2
cousins,-2.5442097,2.4880168,1,0,1,0,1,2,4,0,4,5,0,5
brother and sister,-2.7006133,2.7009811,1,0,1,0,1,2,4,0,4,5,0,5
political allies,7.789893,14.577052,0,1,0,1,2,1,2,1,2,1,2,0
supervisor and subordinate,2.8677988,4.9172387,1,0,1,0,1,2,1,0,1,2,3,2
religious leader and congregant,3.3126152,4.2528615,1,0,1,0,1,2,1,0,1,2,3,2
fans of the same sports team,8.247716,14.316063,0,1,0,1,2,1,2,1,2,1,2,0
principal and teacher,2.8124788,4.1670327,1,0,1,0,1,2,1,0,1,2,3,2
celebrity and haters,8.1287565,-1.150753,1,0,2,2,3,0,3,2,3,0,4,6
a person and their in laws,-2.341762,2.5114703,1,0,1,0,1,2,4,0,4,5,0,5
police officer and offender,7.9545636,-0.1858701,1,0,2,2,3,0,3,2,3,0,6,3
customer and server,8.478903,5.6917195,0,0,0,0,0,3,0,3,0,3,1,1
foreman and laborer,2.528318,4.4305634,1,0,1,0,1,2,1,0,1,2,3,2
