,Dim1,Dim2,cl_k3,cl_h3,cl_k4,cl_h4,cl_k5,cl_h5,cl_k6,cl_h6,cl_k7,cl_h7
Student and Dorm Resident assistant,12.5713625,9.341927,1,0,3,0,0,0,0,2,0,2
Between long-distance lovers,4.9576664,-6.7608123,2,1,2,3,3,3,3,3,3,3
Between business rivals,16.526423,8.294039,1,0,3,0,0,0,5,1,5,0
Uncle and Niece/Nephew,-7.3342204,9.242559,0,2,1,2,2,2,2,5,2,5
Native and Tourist,8.910611,13.543587,1,0,0,0,4,4,4,4,4,1
Driver and Passenger,9.562742,13.5601015,1,0,0,0,4,4,4,4,4,1
Police officer and Offender,15.481301,8.206713,1,0,3,0,0,0,5,1,5,0
Between a person and their social media follower,4.296575,16.378246,0,0,0,1,1,1,1,0,1,4
Union leader and union member,13.5849,9.400013,1,0,3,0,0,0,0,2,0,2
Between alumni,4.119367,16.533743,0,0,0,1,1,1,1,0,1,4
Between childhood friends,2.783227,17.536236,0,0,0,1,1,1,1,0,6,6
Sugar-daddy and Sugar-baby,4.786676,-6.825849,2,1,2,3,3,3,3,3,3,3
Between a person and their deceased spouse,4.8974223,-6.5005794,2,1,2,3,3,3,3,3,3,3
Intern and Employee,13.67084,8.887911,1,0,3,0,0,0,0,2,0,2
Between peers,3.9702883,16.325182,0,0,0,1,1,1,1,0,1,4
Between close relatives,-6.9980116,8.876445,0,2,1,2,2,2,2,5,2,5
Mentor and Mentee,12.059325,9.132705,1,0,3,0,0,0,0,2,0,2
Groom and Groomsman,2.993735,17.475248,0,0,0,1,1,1,1,0,6,6
Criminal and Prosecutor,15.674178,8.13569,1,0,3,0,0,0,5,1,5,0
Religious leader and Congregant,12.584828,8.866538,1,0,3,0,0,0,0,2,0,2
Between friends,2.874851,17.474133,0,0,0,1,1,1,1,0,6,6
Nurse and Patient,10.107913,12.514391,1,0,0,0,4,4,4,4,4,1
Teacher and Student,12.154984,9.0948925,1,0,3,0,0,0,0,2,0,2
Representative and Citizen,9.228428,13.526488,1,0,0,0,4,4,4,4,4,1
Parole officer and Parolee,15.218214,8.33055,1,0,3,0,0,0,5,1,5,0
Employer and Employee,13.497362,8.726531,1,0,3,0,0,0,0,2,0,2
Supervisor and Subordinate,13.108485,9.312424,1,0,3,0,0,0,0,2,0,2
Reviewer and Writer,10.122805,13.62039,1,0,0,0,4,4,4,4,4,1
Between strangers,4.394714,16.170462,0,0,0,1,1,1,1,0,1,4
Between teammates in sports,3.5728745,16.985783,0,0,0,1,1,1,1,0,1,4
Between a person and their in-laws,-6.995449,9.489434,0,2,1,2,2,2,2,5,2,5
Between divorced spouses,16.868788,8.4400215,1,0,3,0,0,0,5,1,5,0
Bully and Victim,15.840017,8.003114,1,0,3,0,0,0,5,1,5,0
Victim and Criminal,15.618798,8.1238165,1,0,3,0,0,0,5,1,5,0
Guard and Prisoner,15.406384,8.118546,1,0,3,0,0,0,5,1,5,0
Between competitors in sports,16.743353,8.204443,1,0,3,0,0,0,5,1,5,0
Between fans of opposing sports teams,16.74229,8.133641,1,0,3,0,0,0,5,1,5,0
Between companions,2.9465895,17.666739,0,0,0,1,1,1,1,0,6,6
Between distant relatives,-6.879204,9.508014,0,2,1,2,2,2,2,5,2,5
Entrepreneur and Investor,10.329624,13.578161,1,0,0,0,4,4,4,4,4,1
Between sorority sisters,3.1884048,17.27688,0,0,0,1,1,1,1,0,6,6
Between diplomats,3.46721,16.352427,0,0,0,1,1,1,1,0,1,4
Dealer and Buyer,9.992588,13.458324,1,0,0,0,4,4,4,4,4,1
Mother and Infant,-7.6849656,9.249768,0,2,1,2,2,2,2,5,2,5
Between cohabitants,4.0947638,16.557816,0,0,0,1,1,1,1,0,1,4
Between casual acquaintances,4.10777,16.237492,0,0,0,1,1,1,1,0,1,4
Between second cousins,-6.7954803,9.326315,0,2,1,2,2,2,2,5,2,5
Team Captain and Team Members,12.598792,9.209509,1,0,3,0,0,0,0,2,0,2
Predecessor and Successor,13.397816,9.361538,1,0,3,0,0,0,0,2,0,2
Between life-partners,5.0099864,-6.681342,2,1,2,3,3,3,3,3,3,3
Between romantic lovers,4.885597,-6.8747087,2,1,2,3,3,3,3,3,3,3
Interviewer and Job applicant,13.625559,8.987715,1,0,3,0,0,0,0,2,0,2
Officer and Soldier,13.101853,8.566463,1,0,3,0,0,0,0,2,0,2
Ancestor and Descendant,-7.0243707,9.421799,0,2,1,2,2,2,2,5,2,5
Reader and Writer,9.430265,13.578098,1,0,0,0,4,4,4,4,4,1
Between soul-mates,4.9303975,-6.661573,2,1,2,3,3,3,3,3,3,3
Between a monarch and their minister,12.888969,8.67041,1,0,3,0,0,0,0,2,0,2
Professor and Graduate student,12.166676,9.145047,1,0,3,0,0,0,0,2,0,2
Director and Performer,13.461791,9.259273,1,0,3,0,0,0,0,2,0,2
Athletic trainer and Trainee,12.016648,9.185037,1,0,3,0,0,0,0,2,0,2
Godparent and Godchild,-7.373807,9.629263,0,2,1,2,2,2,2,5,2,5
Defendant and Plaintiff,16.03809,8.16209,1,0,3,0,0,0,5,1,5,0
Doctor and Nurse,13.250819,8.677934,1,0,3,0,0,0,0,2,0,2
Between twins,-6.7633824,9.069242,0,2,1,2,2,2,2,5,2,5
Patient and Caretaker,10.084131,12.5584345,1,0,0,0,4,4,4,4,4,1
Psychologist and Client,9.968962,12.722945,1,0,0,0,4,4,4,4,4,1
Therapist and Patient,9.970472,12.688322,1,0,0,0,4,4,4,4,4,1
Parent and Child,-7.5818996,9.026598,0,2,1,2,2,2,2,5,2,5
Between criminal and their accomplice,3.4262908,16.411676,0,0,0,1,1,1,1,0,1,4
Between Business Partners,3.5059931,16.276299,0,0,0,1,1,1,1,0,1,4
Man Wife and Man Mistress,16.865608,8.4863825,1,0,3,0,0,0,5,1,5,0
Between neighbors,4.105227,16.319069,0,0,0,1,1,1,1,0,1,4
Between ex-lovers,16.914265,8.3011675,1,0,3,0,0,0,5,1,5,0
Brother and Sister,-6.9524164,8.930494,0,2,1,2,2,2,2,5,2,5
Landlord and Housekeeper,13.241021,8.571148,1,0,3,0,0,0,0,2,0,2
Politician and Supporter,9.355724,13.727529,1,0,0,0,4,4,4,4,4,1
Between fraternity brothers,2.9915547,17.331953,0,0,0,1,1,1,1,0,6,6
Aunt and Niece/Nephew,-7.302034,9.388161,0,2,1,2,2,2,2,5,2,5
Between fans of the same sports team,4.127594,16.700323,0,0,0,1,1,1,1,0,1,4
Between roommates,3.711902,16.94484,0,0,0,1,1,1,1,0,1,4
