"","V1","V2","V3","V4","V5"
"parent and child",-1.95773487114668,0.310987379483238,0.397086069528243,0.276676215266025,0.953167905987242
"parent and teenager",-1.75976369757171,0.260392669702001,-0.0375819675656597,0.290981372886549,0.785156817489471
"wife and husband",-2.01244063467415,0.563185332464752,0.430509962853453,-0.332436851626217,-0.44789879735262
"fiance and fiancee",-1.86802764950404,0.720520687590271,0.408364860705794,-0.322061521103363,-0.625036510992458
"siblings",-0.981572025986272,0.722293618610866,0.509632356449983,0.789376703985311,-0.933324593694605
"divorced spouses",-0.884340831329101,-1.1803429686978,-1.91134819372774,-1.7348503910414,-0.725814920690405
"a person and their in laws",-0.805052412968307,-0.766446042002933,0.0721431660541054,0.506465665708362,-0.011390454571742
"employer and employee",0.62754531717028,0.232088963706272,0.352064736568348,-1.00162680257208,0.955104840064709
"interviewer and job applicant",0.873318896197675,0.364375511948755,-0.135803400395187,-0.825057471155396,0.327465951775753
"guard and prisoner",0.289391038813527,0.543839233918127,-2.21581784523055,1.09513940487442,1.06976951307976
"nurse and patient",0.193493657186832,0.631963631931422,0.603669562212722,0.229278341500061,1.43251629512169
"therapist and patient",-0.419220522849623,0.684264714584208,0.65696641879799,-0.178701084286032,1.6530830449183
"salesperson and customer",1.06538792565421,-0.281524971707767,-0.0403746547450122,-3.14241113038605,-0.433895679554636
"business partners",0.4660629721738,0.90486501433287,0.741660002142364,-1.59646567056128,-0.736240331564358
"opposing negotiators",0.824837094255881,0.622314946251192,-2.27853456598323,-1.5261240294112,-1.24373555893691
"political opponents",0.965715387027554,0.404808582594161,-2.04786575645151,0.176989213118742,-1.05634268351361
"business rivals",0.533927531813084,-0.316480236582454,-2.11162452778156,-0.716085354823982,-0.625241167371417
"enemies",-0.162892359604378,-0.429839099890564,-2.58906530089323,0.590078401911849,-0.872562483659162
"teacher and student",0.224810095145904,0.921231911666443,0.626339417626731,1.05599331694568,0.939965736644084
"professor and graduate student",0.265238540653933,0.539354046864028,0.738008368191837,0.35821924131759,0.614834635871498
"master and servant",-0.702590139364478,-0.271404101303683,-2.2148816072098,-0.0421268704459747,1.68572541965637
"close friends",-1.03842392766356,0.76449375072585,0.799855398127668,0.664606243655305,-0.858416806336178
"casual acquaintances",0.810442142765172,-1.741982652649,0.135609675956082,0.419708492463373,-1.48345213006116
"teammates in sports",0.45925942747305,1.33088928326502,0.719140544371607,0.478841642184191,-1.64167923238042
"second cousins",-0.106855871125258,-1.95747098086145,0.307594054178215,0.645744763625158,-0.736618520742507
"grandparent and grandchild",-1.57373186517062,-0.642179325768784,0.647288350624717,0.497680008902689,0.753033809090053
"foster parent and foster child",-1.31180972634888,0.129062562817503,0.152241575969407,0.434216092602765,0.688157703677711
"godparent and godchild",-0.951723996917472,-0.89665199600826,0.545059000437662,0.882169847496787,0.458380426108353
"step grandparent and step grandchild",-1.10747817745432,-0.841133191376172,0.39273775646641,0.596313892463274,0.427962579876102
"ancestor and descendant",-0.717950132142256,-3.41213726631946,0.650500943227386,0.467286315853275,0.919689789742263
"man and his mistress",-1.86924075198749,0.268698193597016,-0.769814757039722,-1.31637191938237,-0.240138441274851
"step siblings",-0.679530512665498,-0.00239162959128117,0.289085409325555,0.645923638628126,-0.851168421917236
"distant relatives",-0.107308418187185,-2.77762691707241,0.113333479518051,0.133293924599628,-0.611270790737795
"twins",-1.10530528976467,0.39904778120475,0.563541172349413,0.821468306108789,-0.867583456686841
"a person and their family friends",-0.411324600825155,-0.586335380188764,0.579026544116832,0.57704484143755,-0.785710580494175
"manager and staff",0.567195751112645,0.137827868669287,0.0804516954819793,-0.639042047792553,0.966291776663308
"union leader and union member",0.838576427010861,-0.10133087153717,0.9237530711813,-0.447294802168746,0.42288936663571
"manager and assistant",0.421738669490001,0.187134312544111,0.140580431806158,-0.538801285270813,1.02465840483836
"entrepreneur and investor",0.511799145001329,-0.170696780724908,0.165646389342787,-2.60043154879455,0.306433661297852
"drug dealer and addict",-0.569018135633129,-0.414905686202485,-1.04616694024026,-3.1739249617324,0.355516094191387
"victim and witness",0.285362573140756,-0.0676831135280513,-0.633330038865298,1.01920073518585,0.185697560845596
"criminal and police officer",0.481450140546186,0.643420691166521,-2.45167386048706,1.20561592880977,1.11558990858344
"criminal and prosecutor",0.582952664670981,0.952757736745034,-2.22546092411835,0.663921186337818,0.503269642465165
"customer and businessman",0.809548106423915,-0.647166737050599,-0.061100973103072,-3.07800736071941,-0.0126291481059566
"representative and citizen",1.05337348138833,-1.18166993490729,0.433037170547675,-0.139395330952984,0.682256628076473
"officer and soldier",0.539100110082962,0.345043183606963,-0.0176248498286386,0.919427001572517,1.11065575979042
"religious followers",0.745788552657642,-1.19169770715001,0.705535163112575,0.614734283733955,-1.18871944639028
"reader and writer",0.179705395836807,-2.01419037356539,0.81139724009308,-0.388341349487678,0.712731990587246
"reviewer and writer",0.351118919139969,-1.14817956506334,0.434369601513302,-1.09607345426133,0.799201956045643
"sugar daddy and sugar baby",-1.8159200961266,-0.172456080059751,-0.545757253354559,-3.84454658156083,0.329900166796222
"director and performer",0.569255085325425,0.841343145533473,0.59738791525612,0.337473460460725,0.425332142454739
"psychologist and client",-0.404955253160327,0.584627329355919,0.502351196473802,-0.40675962264947,1.61035280981308
"judge and contestant",0.990484161752129,-0.0654450044817014,-0.52211649624648,-0.295050927712158,-0.0254038423989977
"man and god",-1.41628589293733,-1.80277844320843,-0.315415294952105,0.585144673049485,1.52586426846062
"university student and administrator",1.10587389609502,-0.922169829184554,0.373199822404081,-0.269563819874252,0.612958457607048
"student and dorm resident assistant",0.798521902825994,-0.387651357510297,0.2477603345295,0.597760153659983,0.215268497851215
"athletic trainer and trainee",0.342620568961326,0.309534567896196,0.431586356551151,-0.34193714985937,0.691637047820929
"researcher and research subject",0.604342214444487,-0.308458434342246,0.282184306886874,-0.704910447768542,1.01450622295989
"peers",0.365254303035814,-0.130648703192038,0.521474926156384,0.674243409470344,-1.28626652168884
"classmates",0.789456678761607,0.208072307256904,0.556060330092155,0.952338111701863,-1.46731187156637
"bride and bridesmaid",-0.704810492964396,0.762816194527437,0.529050081360613,0.721077482581277,-0.514634565354677
"guest and host",0.528925598444146,0.0655137834432637,0.0334900764142143,0.0168235855687853,-0.373771369993423
"television host and guest",1.17352771556104,0.204490013261839,-0.0130841622335976,-0.0312028826723955,-0.388374362908897
"volunteer and organizer",0.822153921999354,0.298497437340798,0.788669491349661,0.57552049561833,0.21123578533424
"bully and victim",-0.369427992691321,0.246845939893216,-2.91797911921426,1.13691537877238,0.216867833175141
"a person and their social media follower",0.582277591878908,-2.74678280236643,0.277239234267657,0.0508224539454599,-0.126957723790562
"childhood friends",-0.680689661253156,0.0194385187718543,0.636462951741131,0.64631084056033,-0.988837670401979
"pen friends",-0.324908677474163,-1.79939223616028,0.677080635746462,-0.329567142672016,-0.843636651950815
"friends with benefits",-1.3203127274359,0.641590611549342,-0.312965323157625,-1.19152226581651,-1.07706141405323
"life partners",-2.02782637858635,0.536333188927022,0.612345514021677,-0.469156855635994,-0.392655653953424
"soul mates",-1.98679414145255,0.591287487027979,0.610589522769683,-0.356750616486794,-0.533107640947618
"church members",0.645740685343455,-0.343386294179997,0.777211915414441,0.492878735968558,-1.25245697403384
"fans of the same sports team",0.688779680540235,-1.22441911852242,0.879382587957899,0.778533816071891,-1.27808478882015
"fans of opposing sports teams",0.509083994254568,-1.7093037796444,-1.86697528603463,0.487797815153814,-1.07051170587955
"superior and subordinate",0.328907251634081,-0.195125432062893,-0.629570721775223,-0.313510926236261,1.19738537570546
"a monarch and their minister",0.384439428687533,-0.0544782638799196,-0.0727177077001636,0.637788775492686,0.841715038143624
"cousins",-0.446786069646683,-0.430523909698978,0.493496434977689,0.457369767243511,-1.30340533865194
"parent and infant",-2.48307264098223,0.204339804894131,0.227308966179302,0.796520547361816,1.81277526542651
"step parent and step child",-1.52440094767013,0.440035359494177,0.121636907263104,0.812597850691959,0.449569396944772
"bride and groom",-1.6747858654681,1.39692239763431,0.32634649868822,-0.605031030396696,-1.01641471075725
"man wife and man mistress",-1.65692056167373,-0.378027390218265,-1.39759853481253,-0.57223293454274,0.0852873680280226
"brother and sister",-0.940391953680452,0.599048184696512,0.398927058382314,0.280740216712474,-1.43683116742827
"close relatives",-0.999302860822102,0.27647492165947,0.567514583746738,0.261415238882002,-1.17302307734193
"a person and their deceased spouse",-2.06296218847249,-3.38701982426567,0.195519653591091,0.691062383605114,1.22598711533587
"foreman and laborer",0.978664226816057,0.535592216450781,0.658675878318248,0.051768136801541,1.05482941379646
"owner and manager",0.727445543351011,0.448114548438378,0.577093180274942,-0.285504934871097,1.02981620768464
"chief and deputy",0.834478349753484,0.727742611059331,0.68701342206326,0.963487506850784,1.08890479472072
"supervisor and subordinate",1.0379031303889,0.59546935973644,0.419560790500404,0.57125068594079,0.908370014951114
"boss and secretary",0.756853236980472,0.693694153838235,0.585841802127558,-0.0679575720517288,1.09582971167647
"intern and employee",1.14871971108516,0.717226547447189,0.789120176559772,0.575248369370416,0.781508852147219
"lawyer and client",0.80504312134592,1.0346512988409,0.731928757479369,-1.03548454294287,1.00551646329781
"judge and lawyer",1.4313262824608,1.3925172565425,0.0802396601115933,0.192005371502672,0.0955839604351101
"victim and criminal",-0.188773201838046,0.289378293366307,-2.76396261175088,0.268188139915086,0.524863601099018
"criminal and hostage",-0.0559254731214237,0.768626564602276,-2.89475765960555,-0.309004368710781,0.243208680288442
"defendant and plaintiff",1.02479541153211,1.64841639263021,-1.87512610483758,-0.0967612013764272,-0.861109922105095
"police officer and offender",0.60870271077311,1.09563367845583,-2.37763746836288,1.02432652869209,0.759089062172744
"police officer and civilian",1.16358164857385,-0.65404669315099,-0.545806908623521,1.29882945476111,0.988744085006409
"parole officer and parolee",0.187630795474263,0.825259882695252,-1.58353029869792,0.872445552056967,1.42686198233266
"consultant and client",1.05009142648935,0.544535542896412,0.678110538489077,-1.43653019419663,0.502119304113945
"chef and customer",0.945597267867607,-0.441979385992759,0.476365435033812,-2.11403796463218,0.472987859574425
"customer and server",0.941151847856492,0.305900025492214,0.345250027739205,-1.86877617157108,0.630575897282408
"doctor and patient",0.241610460304341,0.78230131068604,0.715958491337918,-0.264935792900905,1.69441315800146
"doctor and nurse",0.805102642937578,1.02442145140358,0.902827341088474,0.903936999493139,0.985641419701742
"patient and caretaker",-0.439234652427695,0.810357052647042,0.749075143911838,-0.206882727697833,1.91024941149827
"driver and passenger",1.02638804724846,0.29514356796479,0.0753655006468086,-0.312254306582869,0.211100120931144
"coach and athlete",0.434113132627995,1.06545386221671,0.77957467215938,0.822229167907664,0.742074225891007
"team captain and team members",0.530293737608353,1.36019458318802,0.838129221388815,0.98078224035943,-0.0171451133866073
"club member and club president",0.815106961953536,0.52912818003434,0.803691102993965,0.365860698322817,0.102784529181782
"politician and supporter",1.00312264614441,-0.536021348774467,0.815131666600343,0.00695992514010842,0.952807725015036
"leader and follower",0.51960781466943,0.357090054033511,0.686995106075434,1.13638922994523,0.878993115979682
"babysitter and infant",-0.49198987177278,0.50628674409565,0.304051081762867,0.616856947186153,1.37945151122042
"religious leader and congregant",0.442083999899932,0.197309599094689,0.791231735841741,0.923390541148207,0.894721521385909
"prostitute and customer",-0.330099586952223,0.135423488961962,-0.649411080526384,-3.2318508377587,0.653170285439644
"guide and tourist",1.31090549423002,0.451164938066766,0.666793331637334,-0.572280276179955,0.372651655780835
"athlete and referee",1.27066860909696,0.893362733297689,-0.427756028811987,0.501956531310662,0.0903866293233231
"slave and master",-0.266724344391874,0.732328940133328,-2.50630710466527,0.961905526792757,1.76327504562983
"performer and audience",1.12231159364397,0.095984066966098,0.703120064678862,-0.0538600916767766,0.509079807805855
"dealer and buyer",0.881777274209997,0.0562545974576427,0.24335430453447,-3.51528898651023,-0.276911972641645
"co workers",1.20140875571594,0.993137770188776,0.835020527759599,-0.175149246605229,-1.1367105402981
"sports rivals",0.88906073465706,0.000952976900117641,-1.7907484694521,1.05739514586137,-1.39669395299595
"romantic rivals",-0.65339261406391,0.186352622782433,-2.52704996628564,0.64484909708798,-0.893231042945433
"criminal and their accomplice",0.0921612542203363,1.08319887781444,-0.0781613956591477,-0.684277544588962,-0.707069742583174
"diplomats",1.44803655712356,0.638855499618005,0.200711501772053,-0.744565421939638,-1.1628559289355
"principal and teacher",1.01940520065162,0.83297864417495,0.842387726018682,0.778712708752389,0.872481541473151
"professor and teaching assistant",0.78791639519541,0.705395625745195,0.826734301589623,0.253325135077375,1.08101013272567
"mentor and mentee",0.210406118517362,1.23404012856922,0.99625364541759,1.0771867355132,0.828591707548685
"roommates",-0.128838094501206,1.02917777631996,0.110442966967503,-0.547242993053465,-1.8445737624604
"sorority sisters",-0.0719550344495343,0.212244876195396,0.752335735564512,0.18062857200093,-1.52492600629887
"fraternity brothers",-0.0493277021035788,0.298323194824562,0.754823706184327,0.369695933806546,-1.56180787486332
"groom and groomsman",-0.727699749810314,0.990743107253597,0.493510466116902,0.501800963199439,-0.79054734535194
"predecessor and successor",0.600737049567251,-1.51765298399062,0.818415785266701,0.595386623069649,0.651639030935319
"landlord and tenant",0.593918059148825,-0.871729255323401,-0.445487212429699,-1.85936252866978,0.851640465107977
"landlord and housekeeper",0.614723560007301,-0.97014277925149,0.216290526587726,-1.17358762335238,1.22558597621474
"celebrity and fans",0.405027290046876,-1.84840953900496,0.841535416261759,0.517726868582746,0.876026202473547
