,Dim1,Dim2,cl_k3,cl_k6
wife and husband,3.863478,4.680223,1,2
nurse and patient,-3.9682107,3.6262338,0,1
officer and soldier,5.385957,0.757292,2,0
neighbors,5.815296,8.761978,1,5
athletic trainer and trainee,-4.0754523,3.423334,0,1
police officer and offender,5.1492796,2.1798308,2,0
principal and teacher,5.1991205,0.98182786,2,0
doctor and nurse,5.2806034,0.9572195,2,0
victim and criminal,6.8020906,2.6771026,2,0
coach and athlete,-5.406669,2.7152174,0,1
man and god,-0.4443927,0.4575706,0,3
half siblings,4.271696,4.229355,1,2
parent and teenager,-3.170236,4.747372,0,1
prostitute and customer,7.300296,3.1205156,2,0
church members,6.2564178,8.986328,1,5
foreman and laborer,5.329847,1.0100634,2,0
a person and their family friends,4.460856,5.564046,1,2
a person and their social media follower,-0.40148437,1.4472378,0,3
guide and tourist,-4.1231327,3.462206,0,1
bride and bridesmaid,-0.28106508,-5.312694,0,4
teammates in sports,6.218534,8.990988,1,5
twins,4.1236343,4.625234,1,2
celebrity and haters,9.430647,1.8536464,2,0
employer and employee,5.3169045,0.92852134,2,0
teacher and student,-5.364189,2.7577922,0,1
guest and host,3.5219915,4.3708425,1,2
man wife and man mistress,9.499572,1.7895567,2,0
religious followers,6.33604,9.01636,1,5
intern and employee,-5.406415,2.714889,0,1
criminal and police officer,5.407721,1.6217127,2,0
step grandparent and step grandchild,-2.9983068,4.967422,0,1
chef and customer,3.064474,4.4725223,1,2
union leader and union member,-0.65205246,1.3557452,0,3
professor and graduate student,-5.376631,2.7423055,0,1
second cousins,4.1778693,4.367556,1,2
fans of the same sports team,5.5933857,9.0029,1,5
master and servant,-0.42340937,0.47207958,0,3
siblings,4.128408,4.177239,1,2
landlord and housekeeper,5.325985,1.2445834,2,0
close friends,4.4657702,5.293807,1,2
entrepreneur and investor,5.6776958,5.792746,1,2
fraternity brothers,5.741353,8.933144,1,5
psychologist and client,-3.858929,3.7549906,0,1
