"","V1","V2","V3","V4","V5","R2","F"
"Valence.Evaluation",0.587248159471741,0.132951467976539,NA,NA,NA,0.0520609730168129,4.28377330157484
"Equality",1.54426915476048,-0.321714210207509,NA,NA,NA,0.358009197254019,43.4970676626073
"Activity.Intensity",1.17310486866723,0.764037817572182,NA,NA,NA,0.262573943829432,27.7733169954039
"Socioemotional",1.57081848785554,0.638987188944998,NA,NA,NA,0.402601529055282,52.5661192547945
"Formality.and.Regulation",-1.75053226748004,-0.717652332568431,NA,NA,NA,0.500841871921846,78.2631070444824
"Intimacy",0.858175521848251,1.25082859389068,NA,NA,NA,0.274277984928031,29.4791702333363
"Visibility",-0.295906977208676,0.106725391035791,NA,NA,NA,0.0139557367655965,1.10395395856358
"Communal.Sharing",1.58061794885008,1.10420555094875,NA,NA,NA,0.493723974826806,76.0661538798262
"Expected.Reciprocity",1.30277455559861,-0.0101356399606077,NA,NA,NA,0.246934944246991,25.5767088170169
"Strategic",-1.49744608448104,-0.771836989915409,NA,NA,NA,0.389870114805588,49.8416315816853
"Concreteness",-1.28343472989887,-0.291347663012152,NA,NA,NA,0.248714637703942,25.8220680376609
"Uniqueness",0.469462061113146,1.47002293632967,NA,NA,NA,0.262904850208289,27.8208021339461
"Love.Expression",1.15746824606306,1.34230460475103,NA,NA,NA,0.387385016571096,49.3230366704738
"Information.Exchange",0.0747859840912497,0.583422157257366,NA,NA,NA,0.0371741446484652,3.01153450176266
"Money.Exchange",-1.34353878921889,-0.346085958990312,NA,NA,NA,0.275413124827969,29.6475474131122
"Goods.Exchange",-0.455768767319776,-0.138684419964531,NA,NA,NA,0.0322759076639692,2.60148612370748
"Service.Exchange",-1.69710657439914,-0.33595215987041,NA,NA,NA,0.431084322185877,59.102918836215
"Attachment",1.39923282463691,1.28474499989502,NA,NA,NA,0.46116065559978,66.7555766122117
"Mating",0.576982966234908,0.805313928560996,NA,NA,NA,0.117711786665808,10.4064853425116
"Conflict",-0.315276203477914,-0.130161200411205,NA,NA,NA,0.0162710748006898,1.29013572941008
"Negotiation",-0.536149609653293,-0.352225476068795,NA,NA,NA,0.0550739356058113,4.54614084542941
"Coercion",0.00895675568006035,0.107131873313083,NA,NA,NA,0.00123770044336937,0.0966602710431372
"Importance.for.society",0.169879884166512,0.582058613771369,NA,NA,NA,0.0403893221883956,3.28296381390761
"Importance.for.individuals",0.870884285298101,1.202385228991,NA,NA,NA,0.264779941376614,28.0906854827192
"Affiliation.Coalition",0.604702217591007,-0.162707172317159,NA,NA,NA,0.0560275177814138,4.62952731066829
"Occupational",-1.92487472608536,-0.555192039829728,NA,NA,NA,0.571977571861283,104.233441222199
"Activeness",0.0847630254107912,0.781232613827559,NA,NA,NA,0.0662417587059589,5.53339927892293
"Endurance",1.15631959856236,1.15836659012534,NA,NA,NA,0.337863299932028,39.8004481430993
"Synchronicity",-0.72136437355325,-0.479767299531057,NA,NA,NA,0.100294741454314,8.69505847512979
"Spatial.Distance",-0.371782933624625,0.3554326756511,NA,NA,NA,0.033604768288693,2.71231877031972
