"","V1","V2"
"opposing negotiators",0.16238338028904,0.1300712127575
"nurse and patient",0.230192559463005,0.400363662465272
"man wife and man mistress",0.162383380289044,0.1300712127575
"parent and infant",0.111000634208277,0.0631138320770668
"a person and their crush",-0.533190516294733,-0.065368812448409
"volunteer and organizer",-0.533190516294733,-0.0653688124484061
"doctor and patient",0.230192559463003,0.400363662465272
"prostitute and customer",-0.533190516294733,-0.0653688124484061
"distant relatives",0.117776614098592,0.0696309718229241
"landlord and tenant",0.358517227372277,-0.512516453652343
"ancestor and descendant",0.117776614098592,0.069630971822924
"representative and citizen",0.230192559463004,0.400363662465272
"a person and their deceased spouse",0.2056556676571,0.25121265440733
"television host and guest",-0.533190516294733,-0.0653688124484061
"guest and host",-0.533190516294733,-0.0653688124484061
"neighbors",-0.533190516294733,-0.0653688124484061
"dealer and buyer",0.230192559463003,0.400363662465272
"friends",-0.533190516294733,-0.0653688124484061
"judge and lawyer",-0.533190516294733,-0.0653688124484061
"officer and soldier",0.358517227372277,-0.512516453652343
"teammates in sports",-0.533190516294733,-0.0653688124484061
"patient and caretaker",0.230192559463003,0.400363662465272
"frenemies",0.162383380289039,0.1300712127575
"enemies",0.162383380289039,0.1300712127575
"slave and master",0.162383380289039,0.1300712127575
"therapist and patient",0.230192559463003,0.400363662465272
"godparent and godchild",0.2056556676571,0.25121265440733
"step parent and step child",0.2056556676571,0.25121265440733
"wife and husband",0.2056556676571,0.25121265440733
"romantic rivals",0.162383380289039,0.1300712127575
"romantic lovers",-0.533190516294733,-0.0653688124484061
"brothers in arms",-0.533190516294733,-0.0653688124484061
"driver and passenger",0.230192559463003,0.400363662465272
"employer and employee",0.104961915614632,0.057712231760671
"university student and administrator",-0.533190516294733,-0.0653688124484061
"athletic trainer and trainee",-0.533190516294733,-0.0653688124484061
"native and tourist",0.230192559463003,0.400363662465272
"co workers",-0.533190516294733,-0.0653688124484061
"bride and bridesmaid",-0.533190516294733,-0.0653688124484061
"alumni",-0.533190516294733,-0.0653688124484061
"sports rivals",0.162383380289039,0.1300712127575
"classmates",-0.533190516294733,-0.0653688124484061
"psychologist and client",-0.533190516294733,-0.0653688124484061
"reader and writer",0.230192559463003,0.400363662465272
"aunt and niece/nephew",0.111000634208277,0.0631138320770666
"guard and prisoner",0.104961915614632,0.057712231760671
"criminal and police officer",0.358517227372277,-0.512516453652342
"church members",-0.533190516294733,-0.0653688124484061
"friends with benefits",-0.533190516294733,-0.0653688124484061
"parent and child",0.111000634208277,0.0631138320770666
"predecessor and successor",0.2056556676571,0.25121265440733
"defendant and plaintiff",0.162383380289039,0.1300712127575
"roommates",-0.533190516294733,-0.0653688124484061
"mentor and mentee",0.358517227372277,-0.512516453652342
"customer and businessman",0.230192559463003,0.400363662465272
"superior and subordinate",0.358517227372277,-0.512516453652342
"victim and witness",0.162383380289039,0.1300712127575
"leader and follower",0.230192559463003,0.400363662465272
"bride and groom",0.2056556676571,0.25121265440733
"union leader and union member",-0.533190516294733,-0.0653688124484061
"foster parent and foster child",0.2056556676571,0.25121265440733
"police officer and civilian",0.358517227372277,-0.512516453652342
"political opponents",0.162383380289039,0.1300712127575
"teacher and student",0.358517227372277,-0.512516453652342
"politician and supporter",0.230192559463003,0.400363662465272
"siblings",0.2056556676571,0.25121265440733
"second cousins",0.117776614098592,0.0696309718229241
"manager and staff",0.358517227372277,-0.512516453652343
"drug dealer and addict",0.358517227372277,-0.512516453652343
"team captain and team members",-0.533190516294733,-0.0653688124484062
"life partners",0.2056556676571,0.25121265440733
"soul mates",0.2056556676571,0.25121265440733
"close friends",-0.533190516294733,-0.0653688124484062
"salesperson and customer",0.230192559463003,0.400363662465272
"competitors in sports",0.162383380289039,0.1300712127575
"boss and secretary",0.358517227372277,-0.512516453652343
"bully and victim",0.162383380289039,0.1300712127575
"director and performer",0.358517227372277,-0.512516453652343
"confidants",-0.533190516294733,-0.0653688124484062
"playmates",-0.533190516294733,-0.0653688124484062
"uncle and niece/nephew",0.2056556676571,0.25121265440733
"step grandparent and step grandchild",0.117776614098592,0.069630971822924
"guide and tourist",0.230192559463003,0.400363662465272
"fiance and fiancee",0.2056556676571,0.25121265440733
"criminal and prosecutor",0.358517227372277,-0.512516453652343
"long distance lovers",0.2056556676571,0.25121265440733
"fraternity brothers",-0.533190516294733,-0.0653688124484062
"chief and deputy",0.358517227372277,-0.512516453652343
"adoptive parents and adopted kids",0.2056556676571,0.25121265440733
"master and servant",0.162383380289039,0.1300712127575
"a person and their family friends",-0.533190516294733,-0.0653688124484062
"owner and manager",0.358517227372277,-0.512516453652343
"groom and groomsman",-0.533190516294733,-0.0653688124484062
"strangers",0.117776614098592,0.0696309718229241
"a monarch and their minister",0.358517227372277,-0.512516453652343
"step siblings",0.2056556676571,0.25121265440733
"business rivals",0.162383380289039,0.1300712127575
"interviewer and job applicant",0.104961915614632,0.057712231760671
"student and dorm resident assistant",-0.533190516294733,-0.0653688124484062
