"","V1","V2","V3","V4","V5","R2","F"
"Valence.Evaluation",62.7949101918766,-106.076794299737,NA,NA,NA,0.233730150028163,23.7918165550514
"Equality",136.116704909141,-19.9932908186058,NA,NA,NA,0.348750686299615,41.7697999201037
"Activity.Intensity",92.7461821565163,50.2968291049704,NA,NA,NA,0.195397136310827,18.942235132452
"Socioemotional",130.933310925247,27.2289483684637,NA,NA,NA,0.328002212050349,38.0718106498352
"Formality.and.Regulation",-123.865886839947,-48.329435947524,NA,NA,NA,0.317433337595763,36.2745526499301
"Intimacy",87.201377619341,39.1325032593838,NA,NA,NA,0.162662475524551,15.1523999821496
"Visibility",8.059447144222,-35.8131680557855,NA,NA,NA,0.0195223889967523,1.5530658983519
"Communal.Sharing",127.525378011785,3.27518446176242,NA,NA,NA,0.301257249807336,33.6290651724016
"Expected.Reciprocity",48.1949600703463,-79.1540867386668,NA,NA,NA,0.132497060700639,11.9132400208312
"Strategic",-139.36200278299,-20.3840597817879,NA,NA,NA,0.365528643354668,44.9369918484781
"Concreteness",-102.030079224423,-82.9421803940693,NA,NA,NA,0.291005394188387,32.0149413840891
"Uniqueness",94.2627628166391,65.9167302764387,NA,NA,NA,0.226576260968458,22.8502791725391
"Love.Expression",98.6468824736409,-32.4238128289006,NA,NA,NA,0.19518942551338,18.9172156438866
"Information.Exchange",-26.7403930066976,-23.208692344956,NA,NA,NA,0.0209328179579461,1.66766880829805
"Money.Exchange",-65.9419271569001,-59.3253373015462,NA,NA,NA,0.13078006282122,11.735631528614
"Goods.Exchange",-42.8968107999343,-45.8785387080331,NA,NA,NA,0.0641345482042905,5.34531406233239
"Service.Exchange",-78.1148922470212,-78.3095013750358,NA,NA,NA,0.200568976613847,19.5693933788247
"Attachment",100.639350298301,21.1878895664938,NA,NA,NA,0.193937154187531,18.7666484135987
"Mating",47.3175145187368,21.1889494255418,NA,NA,NA,0.0478669489242454,3.92132382325428
"Conflict",-57.1588075608742,130.076127753602,NA,NA,NA,0.302164525872708,33.7741973457945
"Negotiation",55.1970802461004,-70.0603650029659,NA,NA,NA,0.12651976332228,11.2979562956946
"Coercion",-79.8624434940476,84.542946079651,NA,NA,NA,0.220180090671836,22.0230938797127
"Importance.for.society",-29.3712673229789,-15.7529598804779,NA,NA,NA,0.0195168745092599,1.55261847159312
"Importance.for.individuals",91.4469266852599,3.59089588132709,NA,NA,NA,0.155016477968633,14.3094923939884
"Affiliation.Coalition",50.578320266901,-106.609807789821,NA,NA,NA,0.209705507924937,20.6973853192329
"Occupational",-139.028205071097,-32.1300431834955,NA,NA,NA,0.372618598107401,46.3262866331393
"Activeness",-67.6038486441145,-10.9170710879491,NA,NA,NA,0.0863210066676705,7.3691510576618
"Endurance",103.480349494353,62.0575777840994,NA,NA,NA,0.253269567935416,26.4553652170612
"Synchronicity",-30.8284076357191,-39.1528294566802,NA,NA,NA,0.0394922506904213,3.20704914256764
"Spatial.Distance",-22.66164279714,-13.3648837349932,NA,NA,NA,0.0120596884866513,0.95213819194996
