"","V1","V2"
"wife and husband",0.0119887582683979,3.13606091690515e-06
"nurse and patient",-0.00183999678924904,0.00154855018507758
"officer and soldier",-0.00206337149638948,0.00198527540436528
"neighbors",-0.00960119839659251,-0.000945447603309921
"athletic trainer and trainee",-0.0012694053163875,0.00227251474336151
"police officer and offender",-0.0126172719069437,-0.00107066510479714
"principal and teacher",-0.00200724618050678,0.00203831539591385
"doctor and nurse",-0.00173486958614789,0.00135919820673506
"victim and criminal",-0.00443345331404213,-0.000711798926427378
"coach and athlete",-0.00200359950801093,0.00201318870720903
"man and god",0.0133867136928073,6.20781079008756e-05
"half siblings",0.00686914207439165,-0.000208200574280593
"parent and teenager",0.00726935108678617,-0.000205565674078142
"prostitute and customer",0.00031075599780581,-0.00202687242843347
"church members",0.00346906174302288,0.00103143433394737
"foreman and laborer",-0.00198251194508653,0.00201784530238195
"a person and their family friends",0.00495227732871912,-0.000613505953296188
"a person and their social media follower",-0.00274211661735821,-0.000597515891815183
"guide and tourist",-0.00196960507445673,0.00204133966312767
"bride and bridesmaid",0.00783675156460472,-0.000193972813696018
"teammates in sports",0.00235604260962866,-0.00242209887442846
"twins",0.00790036416813037,-0.000186441041599968
"celebrity and haters",-0.00590920667544122,-0.00077858729874575
"employer and employee",-0.00206710337146481,0.00198286240980236
"teacher and student",-0.00199048902060909,0.00199426597569975
"guest and host",-0.00200127106317856,0.00203869399413313
"man wife and man mistress",-0.00695194859696305,-0.000833410870192135
"religious followers",0.00352957717060511,0.00107703786601928
"intern and employee",-0.00205635114137814,0.00197980928146661
"criminal and police officer",-0.0126718714094133,-0.00107727887476352
"step grandparent and step grandchild",0.00228020430552317,-0.00599484611698316
"chef and customer",-0.00176936862400364,-0.00223735124848018
"union leader and union member",-0.00204253816982632,0.0020149684868417
"professor and graduate student",-0.00199868219394182,0.00200261413239338
"second cousins",0.00215318609191337,-0.00414848475404655
"fans of the same sports team",0.0024705680474559,-0.00207882957058857
"master and servant",-0.0125814324214178,-0.00105918480365821
"siblings",0.00791841221008366,-0.000191209335499892
"landlord and housekeeper",-0.00197993281437566,0.0020271560174238
"close friends",0.00793213310844869,-0.00018814004259504
"entrepreneur and investor",-0.00178140529605415,-0.00196470821117172
"fraternity brothers",0.00259358682750075,0.00192608336520491
"psychologist and client",-0.00189191222374961,0.00169942834600042
"chief and deputy",-0.00196576894130618,0.00203268475373833
"sugar daddy and sugar baby",0.00071958929999248,-0.00202225987399038
"uncle and niece/nephew",0.00689256300409963,-0.00022238137643322
"childhood friends",0.00777520319019719,-0.000196709035139372
"ex lovers",-0.00443416219173785,-0.000708049924885602
"man and his mistress",0.0011175971775048,-0.00184259459982
"step siblings",-0.00557676552715203,-0.000760402831410873
"confidants",0.00444384585258384,0.000204249164224983
"parole officer and parolee",-0.0117349594623538,-0.00104249979625895
"grandparent and grandchild",0.00704028281141363,-0.000214649032746913
"judge and contestant",-0.00195807914565059,0.00204531277078976
"romantic lovers",0.0112469841248431,-3.00719459987058e-05
"researcher and research subject",-0.00169856810251969,0.00211259587651261
"brother and sister",0.00794466547111044,-0.000190641942478953
"therapist and patient",-0.00192628660760811,0.00149282284263456
"parent and infant",0.013180473804375,5.51654251309007e-05
"slave and master",-0.0126186274389731,-0.00107054863692073
"reader and writer",-0.00195956928611568,0.00200448673210451
"representative and citizen",-0.00196078963666004,0.00164115926989159
"criminal and hostage",-0.00445612834339349,-0.000711974014482638
"ancestor and descendant",0.00658356320432431,-0.000234114170158
"peers",-0.00905082307335413,-0.000915379955620438
"groom and groomsman",0.00780554343515902,-0.000195646646223249
"opposing negotiators",-0.00336173343915907,-0.000343689632290144
"adoptive parents and adopted kids",0.00684241459299067,-0.00022685036049025
"driver and passenger",-0.00197079853461988,0.00203778453957665
"a person and their significant other",0.010748864867079,-7.39730943803113e-05
"romantic rivals",-0.00447046034368544,-0.000714412928566545
"strangers",-0.0103187480844397,-0.000974908004118618
"predecessor and successor",-0.00774124456755365,-0.00086598448603256
"a person and their crush",0.00132336765656511,-0.00210073078664559
"brothers in arms",0.00874540808710832,-0.000163173135398814
"playmates",0.00776160125527325,-0.000187226440928231
"volunteer and organizer",-0.00194953183083055,0.00202208014298509
"a monarch and their minister",0.00328543757144704,0.000948890073875948
"roommates",0.00287743775787059,-0.00226394234808445
"criminal and prosecutor",-0.0117326246112809,-0.00103538749156314
"friends",0.00771232741940901,-0.000191212754376186
"television host and guest",-0.00197695553164848,0.0020427130109248
"university student and administrator",-0.00204599914272137,0.00200952940571639
"life partners",0.0124371637172036,2.55461581105674e-05
"political allies",0.00220181367957805,0.00164528191422243
"criminal and their accomplice",0.00434814054613623,-0.000316715378975317
"consultant and client",-0.00193455041862465,0.00164934043677892
"diplomats",-0.00191961513681348,0.00206796826962211
"bully and victim",-0.0109862207140771,-0.00100471009507275
"close relatives",0.00791367521730458,-0.000191561926825025
"godparent and godchild",0.00678246906067822,-0.000230752500114698
"guard and prisoner",-0.0116940789848984,-0.00103022933232814
"fans of opposing sports teams",-0.00332098081966286,-0.000467953235633573
"pen friends",0.00447996744080346,0.000199052832611766
"mentor and mentee",-0.00173755743418573,0.0021239217613927
"casual acquaintances",-0.00956218074052647,-0.000938243184068067
"judge and lawyer",-0.00191610119819871,0.00206548432623005
"student and dorm resident assistant",-0.00197141131677224,0.00202376666864326
"superior and subordinate",-0.00204141415704376,0.00123927988850161
"step parent and step child",0.0067113626477863,-0.00128723734745155
"boss and secretary",-0.00196467237993922,0.00200743794471164
"dealer and buyer",-0.000258641062989962,-0.0019476031245656
"salesperson and customer",-0.00171757301624861,-0.00197400019827824
"sports rivals",-0.00334575829803312,-0.000466375660597854
"professor and teaching assistant",-0.0020890947390186,0.00196010531112744
"cohabitants",0.00174351245206911,-0.00268357281176786
"celebrity and fans",-0.00229868971749282,-0.000417259262859508
"athlete and referee",-0.00190955192686229,0.00203799107959801
"soul mates",0.0124469678876016,2.48436421222832e-05
"enemies",-0.00699168567216733,-0.000825532275114303
"long distance lovers",0.00987701361896166,-9.95125019006693e-05
"team captain and team members",-0.00118241861005132,0.000829677041368717
"alumni",-0.00958772409142594,-0.000941342657207714
"politician and supporter",-0.000663613617631326,0.000638707764749956
"patient and caretaker",-0.00197057476129748,0.00147538184960169
"babysitter and infant",-0.00143812325140759,-0.00699337916884284
"co workers",-0.00083598857146202,-0.00429275422547143
"competitors in sports",-0.00337163396783833,-0.000487473703323282
"manager and staff",-0.00195613634684038,0.00201131677753784
"interviewer and job applicant",-0.00166553518280096,0.00213913498697807
"reviewer and writer",-0.0020537892967649,0.00197183995082849
"performer and audience",-0.00267909430982341,-0.000560153330772113
"frenemies",0.00138297670844317,-0.00250692886807656
"religious leader and congregant",0.00350647870236075,0.00107580293340226
"a person and their deceased spouse",0.0087704521582394,-0.000157885080451909
"distant relatives",0.00182592224149054,-0.00437190892448514
"divorced spouses",-0.00561664745875635,-0.000762104193415865
"defendant and plaintiff",-0.0117252478644729,-0.00104131612727735
"a person and their in laws",0.00563011452643276,-0.000284659194162523
"lawyer and client",-0.00199628484681842,0.00202533741363208
"customer and businessman",-0.00176665488497696,-0.00197944772869353
"fiance and fiancee",0.0115875898451198,-1.19534420439988e-05
"facebook friends",-0.00857319653238538,-0.000901287616845749
"drug dealer and addict",-0.000222945326752755,-0.00196265655380327
"police officer and civilian",-0.0109915344940244,-0.000998908782827559
"cousins",0.00207422803515744,-0.00450678135468093
"mother and infant",0.0131989941058377,5.61493439364868e-05
"landlord and tenant",-0.00195933679515262,0.00202869457072706
"director and performer",-0.00203243308982042,0.00198438043896566
"native and tourist",-0.00199873492688145,0.00201930050101953
"owner and manager",-0.0018706652055341,0.00205483649794013
"customer and server",-0.0016564193438503,-0.00224087407667916
"companions",0.0110636396595672,-3.98145341424562e-05
"doctor and patient",-0.0017216479579235,0.00213021492054738
"aunt and niece/nephew",0.00702780895916997,-0.000215746831281037
"parent and child",0.0129051303221757,4.37489811610824e-05
"leader and follower",-0.00190358238724643,0.00203936415023895
"supervisor and subordinate",-0.00192264643576409,0.00203370227362745
"bride and groom",0.011981533019532,6.14890794240697e-06
"sorority sisters",0.00260133045141157,0.00192349761675691
"classmates",-0.00906750756000074,-0.000918303300764611
"club member and club president",-0.00203179504438255,0.00201159872985227
"political opponents",-0.00319133160997125,-0.000412246923664951
"friends with benefits",0.00113324187757226,-0.00212923279056831
"foster parent and foster child",0.00215252408377647,-0.00582356134513461
"business rivals",-0.00336002206526884,-0.000332320085706345
"manager and assistant",-0.00201225118904718,0.00201382133067772
"victim and witness",-0.00962162016735231,-0.000934570939900497
"business partners",0.00212559007945315,0.00157445466491343
