,parent and child,parent and teenager,wife and husband,fiance and fiancee,siblings,divorced spouses,a person and their in laws,employer and employee,interviewer and job applicant,guard and prisoner,nurse and patient,therapist and patient,salesperson and customer,business partners,opposing negotiators,political opponents,business rivals,enemies,teacher and student,professor and graduate student,master and servant,close friends,casual acquaintances,teammates in sports,second cousins,grandparent and grandchild,foster parent and foster child,godparent and godchild,step grandparent and step grandchild,ancestor and descendant,man and his mistress,step siblings,distant relatives,twins,a person and their family friends,manager and staff,union leader and union member,manager and assistant,entrepreneur and investor,drug dealer and addict,victim and witness,criminal and police officer,criminal and prosecutor,customer and businessman,representative and citizen,officer and soldier,religious followers,reader and writer,reviewer and writer,sugar daddy and sugar baby,director and performer,psychologist and client,judge and contestant,man and god,university student and administrator,student and dorm resident assistant,athletic trainer and trainee,researcher and research subject,peers,classmates,bride and bridesmaid,guest and host,television host and guest,volunteer and organizer,bully and victim,a person and their social media follower,childhood friends,pen friends,friends with benefits,life partners,soul mates,church members,fans of the same sports team,fans of opposing sports teams,superior and subordinate,a monarch and their minister,cousins,parent and infant,step parent and step child,bride and groom,man wife and man mistress,brother and sister,close relatives,a person and their deceased spouse,foreman and laborer,owner and manager,chief and deputy,supervisor and subordinate,boss and secretary,intern and employee,lawyer and client,judge and lawyer,victim and criminal,criminal and hostage,defendant and plaintiff,police officer and offender,police officer and civilian,parole officer and parolee,consultant and client,chef and customer,customer and server,doctor and patient,doctor and nurse,patient and caretaker,driver and passenger,coach and athlete,team captain and team members,club member and club president,politician and supporter,leader and follower,babysitter and infant,religious leader and congregant,prostitute and customer,guide and tourist,athlete and referee,slave and master,performer and audience,dealer and buyer,co workers,sports rivals,romantic rivals,criminal and their accomplice,diplomats,principal and teacher,professor and teaching assistant,mentor and mentee,roommates,sorority sisters,fraternity brothers,groom and groomsman,predecessor and successor,landlord and tenant,landlord and housekeeper,celebrity and fans,celebrity and haters,native and tourist,friends,facebook friends,political allies,romantic lovers,ex lovers,strangers,neighbors,aunt and niece/nephew,uncle and niece/nephew,frenemies,half siblings,adoptive parents and adopted kids,mother and infant,alumni,confidants,a person and their significant other,companions,playmates,competitors in sports,a person and their crush,cohabitants,long distance lovers,brothers in arms
parent and child,0.0,3.7235538819364806,5.479141448969791,5.926425514480713,4.26444964393529,10.003146215295333,6.936003839202126,9.358171240520093,8.348511933713562,9.771011002990216,7.176769333795867,7.256610914564188,9.543486150654461,7.730776952531969,10.38640436488868,9.453167214654872,9.893524898018368,9.173292668360974,6.984342919730612,5.545997745029145,10.652482715558754,3.9868805874488444,8.684639785613275,5.412878307867426,7.308001748065621,5.6963240786704405,3.744801612276996,5.771625019063943,5.437515127404051,7.126547607376517,6.695031561605064,6.347761057154601,7.916916922476797,5.5485931548409155,3.7818643709028756,8.986048447114623,9.187909197228691,9.302550034389602,8.709726973234279,7.533478596616143,9.923511110278538,9.089489811991982,9.291078213902555,8.76286945384348,8.57569240158932,8.384797182389027,6.67058295561142,6.583852783652429,8.491014257796301,8.10464381842596,6.460505993610225,6.4367651497647556,8.616354067051248,6.074231187334455,9.15429459138313,7.811897798033346,8.431221901016023,8.976767231521167,5.089863198635449,6.114688820870488,4.69409342339733,7.576690586665038,8.281222491937587,7.196601258370824,9.922408873815685,9.486576672485711,4.639304502486557,7.438545106021653,6.643401475169504,5.57002379683604,5.2354428544809295,7.041476326492756,6.444933081271429,7.782051017763899,9.939717836368319,9.200384373570156,7.241593260716405,5.3284292021943305,4.989026934492153,5.635687990636177,10.875567028353572,4.625371763481497,5.666402367835421,8.818656515249343,9.629775749256511,8.37468461147563,8.12064658540969,9.077772378302017,9.181723562840176,8.268905743391109,8.608977586155746,9.743844270833634,10.47317548258309,10.763171759752169,8.590986703311465,11.106209860231266,10.959382544064901,9.707922074727856,10.839998099368813,11.350149713183718,11.30478518787524,8.416731935603249,7.412838653479783,8.145793097519853,11.583712019446622,8.240839703459342,6.4600491876554775,8.022082899520683,11.165326316295248,8.913750402418309,7.4149274858454435,8.232552029430607,10.745805469831751,9.548980654985192,10.667027136451413,9.758893521874336,9.46657109882261,11.115637489259903,7.073092454855832,9.851667596562981,10.184545281261324,7.725299441700616,8.435138358895188,8.34592925424035,5.646854685098086,5.100461073402181,5.174784178299978,6.592378821862346,6.425188241485645,4.698244839238609,9.827306025856084,10.685876237430877,10.858090244635706,11.277933975690528,12.467174434426521,9.850468779905306,4.959785031313192,10.195615380827507,8.642761380785908,6.429271876920058,10.505875181382379,11.935580982986709,8.01748278647967,5.897511596638602,6.457663604166283,9.153109317600524,5.419042691095956,4.494858019236124,4.846380693767342,9.796459005085898,4.43745274363244,5.657623958870894,4.8160518317770284,3.6855718234976957,9.746124891049305,8.507738678533398,7.803713572029001,6.8457260474122625,6.74065012525983
parent and teenager,3.7235538819364806,0.0,6.367958550551708,6.438679282078693,4.979160249600861,8.90713382608664,5.77062063961937,8.194796726535097,7.068683747211648,8.5291736187928,6.403690031820282,5.947277835192367,8.755975190299234,7.537685985866165,8.460044402673091,8.63953288636535,8.479684475838221,8.255178076320185,6.399191918275595,4.7325626096689675,9.198808986667421,4.217578361532742,8.507666463742684,5.144080335842334,7.0164480413123815,4.818949233225854,2.8674193430880233,5.306519585093399,4.892727757289494,6.727900207138789,6.0104601232474355,6.219930624255896,7.6799588188365036,5.8060487642504,4.505259768994542,7.635004986375384,7.991861101372819,8.019470353810704,8.100492336382333,7.181760773562751,8.459560086155793,7.935724507779707,8.139456406917319,8.018717518177155,7.256572478474475,7.163504579639854,6.255465440449937,5.4716718965615785,7.932273646728293,7.652752945070552,5.809619965552351,5.00167695795626,7.312462058695315,5.664805698663629,7.991889169753213,6.921008396776389,6.8234061915898785,7.784359087591654,5.348171935659536,6.485046980572512,4.559930282831926,6.467408227726924,6.951508618627818,6.521149746462018,8.575290059636327,8.051786028861228,5.047475500620271,7.479373164912653,6.323052488448463,6.537772481603289,6.8383788877334695,6.326712254308411,6.559116314852127,6.007899692952164,8.557399261680432,7.936021277521326,6.490992561297095,5.317976681603671,4.616033310496839,6.949206298732496,9.325650111862645,4.904417127878392,4.935413189837118,8.22571089049978,8.416459259343874,7.345063556847511,6.764809967477882,7.9270505944564675,7.9337927520077995,7.166140249512849,7.966011701684525,8.403713761323097,8.830398590361293,9.167918911915512,6.829820632619865,9.191531522566072,9.57827493344839,8.281076675110567,9.303634595997629,10.909226359826045,10.652430307065973,7.646357692985572,7.046325051184544,7.364658397452444,10.752328806914733,7.650413117006145,6.9085642763257535,8.02146063345923,9.671846269378047,8.098043351159461,6.312711355120423,6.957426912455545,9.551960549621821,8.533683844125523,9.39421227471476,8.358064591368581,8.458327407866484,10.213961093727372,6.562339461612023,8.555164357460042,8.890294183460474,6.950632171190848,7.909470431947537,7.6405143619996565,5.95453617281486,5.599535394861207,5.624341734055388,6.1802909730490985,6.46553043745619,4.5001021136743615,8.355012269443415,9.707074266091118,9.049070917855161,10.163293939921136,10.752175044056962,8.624135550575259,6.334298270813093,9.176640893764759,8.427177262131938,6.958824060125626,9.270440757605943,10.80287354825402,7.413144476114469,5.178529793431863,5.675624545571637,7.699923017986349,5.524474703198433,4.7077600709627525,4.730751963306866,9.176805258541503,5.583259265636029,7.156579311668115,5.412401808987411,5.2064161129882285,8.468691501492243,7.749413321542009,7.068165826716722,6.606451035304677,6.704732511046954
wife and husband,5.479141448969791,6.367958550551708,0.0,3.792957836692983,5.067952313878472,11.077979281541595,8.558701439029146,10.796145728607362,10.00187269708488,11.469090007080917,8.354594119136186,8.898747815202077,11.763897248385758,9.566573988968264,11.78551447347651,10.96980600678582,11.404509639931952,10.399039398766828,8.349541039764766,7.7280250173186475,12.322230055195813,4.803499139079792,9.286932125143611,6.438149712163241,8.562915835975836,7.372121276790929,5.565342665713691,6.892967177659502,7.14673388444234,8.509844591012376,6.412426741475748,7.493439241397189,9.46810270857504,6.267851878877631,4.670700822296038,10.715157746979664,10.68303695769975,10.52332278336091,10.937876719808008,9.793047388670134,11.485483712136533,10.599788709919308,11.269414886852468,10.93065942893993,10.419843075418374,9.898917858569648,7.879092413746242,8.087785202486053,10.202797118630313,9.018409107026653,7.916187955526781,8.100243118896312,10.483724062450664,7.791476765403297,10.516630333905256,9.626202348996559,9.875341796365333,10.250878257419926,6.4234677463815,7.312336602897762,6.491648123847875,9.151494883649384,10.009257330481384,8.889374362997822,11.649131854421267,10.648396074716864,5.230424922147526,8.736528339476573,6.517874911443509,3.788857110396696,4.7045685748222645,8.171104815174123,7.366589693495575,9.50403728571693,11.37836233846574,10.747247956280567,8.618136648055856,4.726190819677051,7.619846384865036,4.251825745129226,11.597159991553234,5.6252512973360735,5.17713581226908,8.290540370840432,11.209843062691956,10.414968981370649,9.967330749701869,10.698092937029164,10.890893407737686,9.692171717089836,10.860441368388539,11.418585916506789,11.560512885559369,12.979085720382995,10.580521921228183,13.015097900820805,12.465748344828064,11.581651484883375,12.606313591898386,12.859498498705229,13.277701663724676,10.330561715415625,9.154464945885964,10.27602857778525,13.088803083950861,9.39775032733881,8.259270613089859,10.126518001005833,12.455001296775016,10.558383300286161,8.913899591535516,9.166406536378565,11.980823073941364,11.209852978040963,12.09152116247909,11.778929270328016,10.705647104657093,13.24559951759592,9.145350159963398,11.662777350409293,10.609298674270875,9.842541925196462,10.552620677277911,10.113468127588275,7.927116445345356,6.454723281131508,5.932456702571633,7.816773569092852,7.211772875061464,5.458858294641122,10.573618891821914,12.667007455653232,12.484323327270257,12.076652984341544,13.604391541976211,11.622698221791843,5.579548359032052,10.41342432854083,10.913449883991643,4.481206430479157,10.292839043442534,12.615597206231437,9.239134669855432,7.789928939194953,7.67936851627157,10.234062808166012,6.928659631862649,6.533598667456174,5.939998868157846,10.312272753820302,4.74186612927761,4.175289629852873,5.252060885953839,5.451160210086396,10.877247106965195,8.304179543089957,9.3710334465531,5.948281280683768,7.6256887896740695
fiance and fiancee,5.926425514480713,6.438679282078693,3.792957836692983,0.0,6.197046308216008,11.308780010669018,8.829921291784288,10.789160575214813,10.087626879215982,11.473925215516514,9.014512976456613,9.037735316940438,11.604590857366144,9.441379219584451,11.503368192272623,11.169457123287371,10.939227492102434,11.10295402971663,8.782324252272714,8.1167695066206,12.90587448693402,5.022934352476942,9.713896311645522,5.935899113981303,9.585428835352351,8.045690608695047,6.091363218581776,7.791787516921849,7.59062633012284,8.945762670555704,6.91849106428353,8.305808553862406,10.31506491110596,7.242081808571072,5.407137626172413,10.56653305592422,10.146342469858245,11.01462189232162,10.65752070141923,9.757013422036879,11.81453879258925,10.414109732721812,10.80013559730773,11.032455395176546,10.104437083122338,10.35102534692138,7.89547432736014,8.03728936098664,10.210623707341137,9.276259686689064,8.87688150970809,8.47383300978551,10.367530995676328,8.162722530996655,10.855391972470196,10.01921880928864,9.967264936154466,10.560760121645854,5.36451151896395,8.213437465472266,6.9007528718193365,9.548481770069767,10.338442698542543,9.273384468372882,11.683150176088096,10.559609479894823,6.0143272610577645,9.214915489754949,6.713061939506271,4.0084037602001255,2.992054498462533,7.946074582680312,7.755416136954499,9.345084319752527,11.834657835581144,11.046506329365588,9.302266963389453,5.812446870827854,7.796138603840555,3.952211756537091,12.465700355960262,6.4155229835247765,5.993270136123399,9.271690843418432,11.4259420382029,10.47883312503147,9.931845930956817,11.155635074639058,10.801373634086193,9.82198740886492,11.259284135501478,11.036469507994564,12.092446703498668,13.064907837953045,10.423441125185114,12.900930386645861,12.655033214698133,12.166985903524713,12.874104562640063,13.281869958195646,13.45139671013917,10.724233486750565,9.922506102975088,10.774165684510628,13.430063412386604,9.76401108844626,8.507813004617663,10.136942705091004,12.504987430902096,10.604687277056497,9.25484450447354,9.35367065773116,12.204704970707633,11.146223341900827,12.139260111845502,12.270579984338932,10.83081829162799,13.026761228146325,9.189646000886347,11.539459858376711,11.124786004960221,10.260033173331104,10.167633257305708,9.877327376085255,8.262588217177614,6.802512358015242,6.159931633814875,8.166742119242354,7.849525490993365,5.980366264007407,11.033341201827215,13.026617372119407,12.907379756501589,12.33082260779858,13.816315156634278,11.501958478753858,6.02061954731672,11.124082592432034,10.340959413851872,4.336456413739253,11.286336040988749,13.382058400099424,9.627620813297188,8.205325736293965,8.570850064279503,10.947252483377966,7.456665166257292,7.171905205498981,7.085618848997551,11.187660013358775,5.0974804452902545,4.6426984502423885,5.361079032691553,5.910795658680512,10.793266149667144,9.320280904246692,9.218853638966088,6.484590087733425,7.67349986212289
siblings,4.26444964393529,4.979160249600861,5.067952313878472,6.197046308216008,0.0,9.9464277682903,6.820171108975138,8.88956919258141,8.438799885642776,9.911456952585109,6.796337161729307,7.625564890160382,9.776102767881486,8.029131575294588,10.336225303307335,9.014442318748834,9.91578671727434,8.459302672644869,6.528324576829317,6.2747536834695,10.397942416150546,4.0978393445091505,7.441602724269722,5.04427718824459,6.129329222384759,5.7224901246907685,4.004820479703547,5.465646411945572,5.0468693603627575,6.901061276025958,7.103811599992195,5.154001498894447,7.182538710342734,3.9700163432944398,3.28806208975695,8.647087823988823,9.360100274040901,8.79721709716891,9.25122856792791,8.771251040779248,9.882980363724178,9.102014421237184,9.21048204495722,8.81813424053427,8.640637976958267,8.112835828748308,6.09169363108215,6.761234007524918,8.55115364557069,8.900119412425326,6.977137900600276,6.610432279256627,8.523351604369289,6.597558333107477,8.922032155346857,7.552115347178931,8.478151693464126,8.230200110882597,4.256181922203732,4.745582970449606,3.836292469973349,6.9999218375841155,7.796890382417191,6.766483904457419,9.790087901101968,9.34663827730631,3.00888707266474,6.36961114111293,7.248666121708158,5.953137369755868,6.159129429058768,6.899663788495998,5.354802235787941,7.895941810402991,9.248893679190276,8.626303845677336,6.231982453205333,5.867286017548367,6.270448456603269,6.305621011343933,10.012800534664928,3.1874224679248155,5.2950850588125675,7.802392276242062,9.639350864058953,8.854338456535125,8.444970019929611,9.29185047069465,9.145880736768616,8.344167582697146,9.574721032304161,9.9482975916937,10.089438166525072,10.991357211457977,8.689181228671572,11.367732192998602,10.811609750215837,9.79331431014454,10.924622198033303,11.158473944968158,11.306064160735662,9.124200533698424,7.571733934933107,8.557673227760192,11.379703123554922,7.8861990122120265,6.956613495159403,8.607493451822704,10.879411003512054,9.237033979162382,6.895748314972217,8.306962288755857,10.970199989238964,9.677665842730386,10.346279763000554,10.207108953575919,9.216628463469295,11.70370330868212,8.054481695957115,9.764242426559894,9.190828012470147,8.368589594491452,8.841357302181471,8.530361914273573,6.385526522226399,4.667173562254945,5.383131946185849,5.613095302333433,5.346446105992261,4.477873745663299,8.758624654909308,11.150595665841456,10.597390932114315,10.707410151430024,11.713972661189015,9.820416328394117,5.039616850843553,8.750744679500379,9.234144038175542,6.000409035267971,9.530632172054714,10.249514593742672,7.087200956243288,5.236739806244434,5.266699522681176,8.01970655133811,4.043067734290843,4.653944840659274,5.283103063295723,8.34716113970802,3.321579275090747,6.069344998774114,3.8045905216718445,4.0473561630376755,9.136001258322425,7.442361928468387,7.745755565459246,6.391989822909025,6.578283351621
divorced spouses,10.003146215295333,8.907133826086639,11.077979281541595,11.308780010669018,9.9464277682903,0.0,6.4356806616164945,7.315748694459321,6.391813031032554,7.362284239083938,9.073028774324468,8.989342948728352,6.559296725794019,7.92994716950428,5.971182747679933,6.765002469875569,6.285626575882636,6.829620644220676,8.858523457506081,8.547748473566452,7.147755635577821,9.936251933045801,7.184816749902929,8.144779568300402,6.7837977180008515,7.843888615624695,9.14988763527597,7.6377128053046155,8.148428614281013,7.315495333941482,8.1181585989084,7.84087644907192,6.625136157908977,8.34276941572038,9.635401237252843,6.8840910436614875,7.453786439053992,7.558133039177223,8.140493875571424,7.097016365700503,7.8291678917829275,8.137919091307763,7.976768724748371,6.754043087548051,6.277590653031424,7.687590219146421,7.626938599719222,7.942398973440611,7.264280722917542,8.001211507053396,8.92484215539775,8.805408349574197,6.853516448875859,8.197303442253505,7.0349571440297005,5.939025065109629,8.027350868008755,7.8492780417993275,9.206660747513379,8.064763313535531,8.589919866350428,6.369770082771139,6.784199467538539,7.991958637733355,8.129162468050014,6.060165083252566,9.2462546915135,7.079467066142567,8.281902681723443,11.643587636888032,11.500210555665289,8.204965052895547,8.845960784054498,6.0817439694665305,6.9914957058492995,7.451196063457892,7.135057950519944,11.387345228267915,7.828574555950053,10.963877541259038,7.746638217454257,9.269048002009857,7.877424374856336,9.862216459296668,7.577028404555005,8.162986558444457,8.1181477340288,7.603626431850032,8.21240613870358,6.67227471401023,7.35090776017276,6.732999694200843,7.8778099276948925,7.274875667451931,6.099669423200675,7.867767479322734,8.380552332848438,6.99996068356139,6.702348195970549,7.970823827176668,7.149427168750631,7.350763602780644,9.05648197987855,8.127202534226337,7.47808374997735,9.244437204450499,9.22814847173853,7.541842621012597,7.147950138095665,8.307034112490621,8.57225104480221,9.285893829128026,5.929024722295844,7.515726782510713,7.438274641490943,8.985739451971614,7.897982788518864,7.113948895472062,7.2208998610300155,6.35214421196669,6.708641893529793,8.407969967530631,6.676672997945151,7.550453375222022,9.098039439081305,10.166927111114145,8.167219873739057,7.1410308025903895,7.975523471856616,8.771395970276902,7.456637928262079,6.095805869501223,6.658028926543606,7.848359347589438,7.967088916007966,5.551784458416465,9.401730502543538,7.801529358613957,6.716212399705221,9.766757715887026,6.912661996285307,7.819673451693112,6.744436093902084,8.295560299228535,8.100788342020836,6.976373767791287,8.02184164080129,11.017652764368805,11.723620831761718,7.774163305920529,10.739490019419838,11.165873950048328,9.582836998510315,8.908485652134491,5.8757045118414855,7.073678776115378,5.928652113619966,8.379638264929055,7.496107826809763
a person and their in laws,6.936003839202126,5.77062063961937,8.558701439029146,8.829921291784288,6.820171108975138,6.4356806616164945,0.0,6.799395617336591,5.573322716686953,7.211987485880801,6.767063747211328,6.011637009317784,6.943406957000839,7.347869972760255,7.400689459077394,6.919563702135275,7.8711635025099,7.731429828557032,6.443352134398489,5.844690017159537,7.073121435211753,7.0114958196661314,6.575445583812563,5.744115295204577,4.435800595590706,3.7889426701284634,5.532868362330879,4.4311877272419675,4.774843325164047,5.719919561386771,6.93523296312641,6.012924582584173,5.4874746175160904,5.639196242146428,6.621648165444355,5.525754781194396,6.271045635169754,6.3879375833686565,7.816511123310632,6.747155215379729,8.805847996600585,7.08167995639686,7.614866233612737,7.032132263692925,4.925922718115897,6.528746930683482,5.478616510730944,5.986549070877968,6.6673006379323585,8.243299543665733,6.428954959832878,6.473087156968943,5.981305853007311,5.304432177162026,6.031912386334451,5.23364619378471,6.388853149712542,6.988097202984868,6.2920631167437655,5.598033262008434,6.031697125877604,4.5711340604819135,5.050232530573999,4.984382480402042,8.0941985049627,5.308909137721192,6.380233254894869,6.025187771059875,6.741802583644372,8.955564721059782,9.250782391024472,6.399832568114801,6.595777785729436,4.91498037647881,7.325147049653643,6.232341596021523,4.8393370493399255,8.043535135144486,6.1357298232649775,8.956203017187796,8.103301489109015,6.239596684505177,6.083029191475752,7.902860580945117,7.057496627129668,7.289635624122542,6.380960840344525,6.875127235489207,7.355142523703256,5.691159045097946,7.321974208113156,6.7439041784155975,8.642788276003452,8.790362672347273,6.685574090476912,7.995410149132108,7.66409132045657,6.718150419464735,7.082816861356762,8.879841522697234,8.668025674695183,6.6920938510797585,6.655714216638502,7.073797739795757,8.56131902948774,7.193372393893197,6.211292513662245,6.423067707200244,7.209074626739218,6.383613355031874,5.604103072023145,6.301463109565503,7.454628785922518,7.202046633443871,7.393352701934351,9.127177763865282,6.615589583317637,8.226921590228173,6.02081413726386,7.742138102971689,7.504115304326708,7.050095986294841,7.075225598157962,6.030147712063386,6.947814734670185,6.623494211706913,6.6035802465695586,5.2940228414813895,5.259728621117502,5.639013272607424,6.581827128065114,7.823673123603245,7.262649170987942,7.793629461363531,8.238708719545468,6.679206960744773,6.845636839124887,6.811652445167582,7.566318117768463,7.782843660585438,7.160188013012554,8.123632654248588,6.172766153284845,5.073821022926295,5.759348183249393,7.404746670909916,6.319806074091445,7.404549774063587,7.626091063893843,6.143045338801018,7.369601777046412,8.980512786315431,6.883514856759105,6.4681682100270015,7.5117663445321385,6.569794643861396,5.225311556514857,6.267475074791127,5.674817528875162
employer and employee,9.358171240520093,8.194796726535097,10.796145728607362,10.789160575214813,8.88956919258141,7.315748694459321,6.799395617336591,0.0,3.8074697819529426,5.441816315961263,5.190071986234798,5.8665659150642915,4.381166664653075,5.985930331175809,5.722993906886125,6.961405764200655,7.257598721372229,8.788400010962457,5.622404945637928,6.151930710633426,6.984352299519818,9.346576897353284,6.894420535082935,6.967290180485817,7.032964682697583,6.984244099810409,8.211607084747257,7.402567187473442,7.273926637728192,7.59276938120274,8.603556356407013,7.501793974597454,7.100972259986784,7.367567733406697,8.617817839322566,3.0753434769450516,4.322512983841939,3.163705880278152,4.776015517531372,6.367972324151726,7.9465901777186385,5.9061715571314775,5.341493723679452,4.4457849876292626,4.525837629990445,4.571304317239975,5.548015027346359,6.025733241310742,4.368484242439197,7.205061952624146,5.830168534631202,5.454690783296685,5.0656009978612975,8.534820347085294,3.8446631024183406,4.931947216836553,4.705741085337423,3.2680626871025495,7.687522694125773,7.134467155905599,7.0022592082299475,5.166938321031812,5.605996483463515,5.2381928413570265,8.290277477470488,5.923878369263718,7.71649850483784,7.501933224203219,7.627711717666315,10.567798117035483,10.820813816540971,6.577722434398999,6.619258947429316,6.5800823722453305,4.826047683036641,4.253719761402375,7.073018035966663,10.26904427600713,7.726943424339622,10.76716548763986,9.77981904508454,8.7126908552053,8.281712230184432,10.276458744571842,4.393275985928339,5.26906527387821,5.4286341191007415,4.177760333914948,3.866032375133491,5.505447260875048,5.38884633491703,5.484982330448573,8.25762715577191,8.447067111798706,6.803567314586947,7.081806668027005,7.81459138295768,7.15074638048489,5.270750871824792,5.928285459454632,5.635350155971821,5.4126391367125,5.258628727391796,4.8037450086912745,5.691789419589564,5.257679314067315,6.241945756948234,6.141020946064712,5.26497666718796,6.221885343625793,5.584381215384192,6.520785031616341,5.4269407780839165,4.811467302164119,4.538597540297967,8.8761463608462,4.855531959485366,6.059070356502777,4.922195716535283,7.415846886623327,9.33393408733945,7.431238175613333,5.393054803682574,3.468713240721902,5.751462311452912,7.512032498035966,7.012966083720528,5.938043574034948,6.678879026722388,7.06559329461318,6.439777727234186,6.428529190472741,5.84295736212331,6.630495952946786,9.69543452241883,5.9934048960884265,8.513356849824822,8.524405378432933,6.582182158191132,9.27591537472224,9.347229237489039,8.63198494586363,7.132789462848157,7.589063624735945,7.67149932057426,7.670232856833718,7.283337773792079,9.07781049048128,10.213255038380678,7.288139130481101,9.201133146380707,10.688602812799306,8.525170698864057,8.30302880764302,6.997541366640439,7.8490445160080275,5.305151271424007,9.656381207908385,6.352397760228387
interviewer and job applicant,8.348511933713562,7.068683747211648,10.001872697084877,10.087626879215982,8.438799885642776,6.391813031032554,5.573322716686953,3.8074697819529426,0.0,5.998564892939301,5.607698016563105,5.440002620134964,5.388239356036535,6.07391178788958,5.746868214267065,7.094979290744108,7.17005223292898,8.237924186551796,5.348173461794527,5.171742106805122,7.0478323161955005,8.276433381743704,7.493764666521412,6.387850074827668,6.979039694132101,5.967093850839182,7.036715445955021,6.4499786234049195,6.75873230163148,6.812917770050424,7.603293831523866,7.1989848457794325,7.1261923696233325,7.060318830414833,7.856549226558954,3.9569468840514532,3.970606518464445,4.062337737033648,5.102528464970751,5.660126092130215,7.759217588440916,5.70301297734489,5.56658918439278,4.728829041038816,4.429285035175665,4.761279612234438,5.88092050429129,4.993184157486204,4.953962836512581,7.36277310329268,4.959268945475887,4.937834266515334,5.4760939050802975,6.761351269708948,4.172246828335209,4.829716560742353,4.444276700803073,4.326933990291595,7.523792970037838,7.093245553716302,6.756332351144455,4.813545012919673,5.655383758918856,5.187326919584582,8.285633180768299,5.968272837182367,7.45260368649942,7.9607210035234175,6.639711832772121,9.92655833596844,10.425138075117953,6.992760148375001,7.471003648550989,5.66377005892188,5.743207875081081,5.269406864768262,7.317450639845834,9.293426569770157,7.043053033266585,10.245648648807622,9.75650303902267,8.05179068528119,7.422763159359868,10.233886816169228,5.25540512227429,5.153749204375607,5.004513859486739,4.750635477661732,5.076735330282121,5.151435492703969,4.839777638659614,5.041192012206247,8.482991011092295,8.551620719630126,6.122071438289138,7.192144192588419,7.9004233700210005,6.610012408435934,5.215507909227525,7.22938345138074,6.586985542475814,4.021678553227491,5.096476455596668,4.739333246941554,6.790390154164711,5.518653894744269,6.120428547332757,6.034928244850566,6.088932751299432,6.444810942012317,5.02167375348915,7.033179046278643,5.5260999114415865,5.455514966006422,5.766337855679646,8.374469854397864,5.694905192195508,6.55469531513487,4.477383079002387,7.930116045336417,8.962293632628569,7.152514374317236,5.509363237171087,4.57841359538401,6.066661226120057,6.906456615538765,6.8890185290638195,5.949901418919717,6.443608253925401,6.72060784707541,6.95625986879545,6.76216268142809,6.446890558207884,7.7204125931999945,9.70563625572915,5.8215450908564215,8.207634805310727,9.117048473709875,6.936934580815002,8.973008324617586,9.365041934627078,9.439191178433623,7.480397901205906,7.184089494758524,7.361774872419214,7.723714751487422,7.362685059572956,8.22500779637562,9.277051735981251,8.09644546878731,8.78712480951913,10.11759668025052,8.199501760128522,7.675873136888623,7.269905368260574,7.7678072600692145,5.749932265200242,8.737317357228033,6.11224000539941
guard and prisoner,9.771011002990216,8.5291736187928,11.469090007080917,11.473925215516514,9.911456952585109,7.362284239083938,7.211987485880801,5.441816315961263,5.998564892939301,0.0,7.0933464146684315,7.939412098593612,5.82934098986315,8.544307285211447,5.7811054198923575,5.046712600008308,6.22664739949679,7.404414222341457,6.832462538141643,7.439109955962818,5.80077500022123,10.290544342318082,6.81723606543212,8.000670028275408,7.828128991053682,8.00169450843152,9.076496618485386,7.456243128672488,7.556123115181572,8.897808097842255,7.953250976519611,7.369551661752451,7.93210715630734,8.211276815316982,9.597657369329225,5.361013310794409,6.884147234090528,5.482468911211132,6.95872247493541,6.785785785885801,5.99015597744369,3.913033167682015,5.9561712680136125,5.90644757138458,5.363677853486954,4.534066225665198,6.433290128040391,6.511362002643689,6.516313233075221,8.229240026859689,7.101577811443846,7.715319717378559,4.27512866163693,8.79879331903748,5.000503635583749,5.447416462317127,6.763795432135146,5.757919893373333,9.019236899398564,8.099286322489457,8.247731036428448,5.042001902754764,6.282819721589175,6.148464507501921,5.7174254543779375,5.084090890837896,8.707200830088814,8.181803789176493,8.287264688015634,11.782533405851884,11.786021626963041,7.281081045676948,7.760886085026207,5.740241177758652,5.717470592036484,4.845052435224842,7.696766049720147,10.743099102935364,7.801353061711832,12.069266627903367,8.43687782901872,9.9230273775234,9.057019201007183,10.494921127174056,5.755578747716562,7.686079526549637,6.405451187734766,5.065606773426498,6.513182846900096,6.2554337316491155,7.574461634044656,6.312039782667611,6.137056865849511,6.697721200324474,5.216207477020281,5.768672397541055,5.5188580574200135,6.270377932570388,6.893512728944322,7.398575438595375,7.694727751557007,7.612798262139955,7.796393098677748,7.738344666650023,5.860090741548737,7.411452087730175,7.526313967534134,7.008694561506837,4.608648010960978,6.865009514075707,8.174848157986387,6.848867343267782,6.639399949703501,6.645233751312773,4.256587835489064,6.849979250206409,7.431106226465097,7.8111991560382,6.847105082605417,5.754713729320685,7.713288441559546,7.208980464291844,6.399406791662721,6.00112462202922,7.643074451444597,8.759243071175183,8.350150219542634,7.756507755952195,8.122317285419808,8.10628395726218,8.085010612844657,6.875058194029977,6.324597337897339,8.015961573954629,7.510244873592517,6.901615236392056,10.280832997861047,8.807061231057066,7.262449522762762,10.442182844664218,8.328887814179087,8.697259335160146,7.742379042128724,8.537344651310999,8.01485771682612,6.950023924127371,8.453032609419864,10.513663536295025,10.85015479983846,8.2725075783021,10.731166746404682,12.025891241943226,10.294093397885534,9.594631421227632,7.100614009242211,7.837937526988358,7.0712914278835735,10.318592730152327,7.761474943549312
