,parent and child,parent and teenager,wife and husband,fiance and fiancee,siblings,divorced spouses,a person and their in laws,employer and employee,interviewer and job applicant,guard and prisoner,nurse and patient,therapist and patient,salesperson and customer,business partners,opposing negotiators,political opponents,business rivals,enemies,teacher and student,professor and graduate student,master and servant,close friends,casual acquaintances,teammates in sports,second cousins,grandparent and grandchild,foster parent and foster child,godparent and godchild,step grandparent and step grandchild,ancestor and descendant,man and his mistress,step siblings,distant relatives,twins,a person and their family friends,manager and staff,union leader and union member,manager and assistant,entrepreneur and investor,drug dealer and addict,victim and witness,criminal and police officer,criminal and prosecutor,customer and businessman,representative and citizen,officer and soldier,religious followers,reader and writer,reviewer and writer,sugar daddy and sugar baby,director and performer,psychologist and client,judge and contestant,man and god,university student and administrator,student and dorm resident assistant,athletic trainer and trainee,researcher and research subject,peers,classmates,bride and bridesmaid,guest and host,television host and guest,volunteer and organizer,bully and victim,a person and their social media follower,childhood friends,pen friends,friends with benefits,life partners,soul mates,church members,fans of the same sports team,fans of opposing sports teams,superior and subordinate,a monarch and their minister,cousins,parent and infant,step parent and step child,bride and groom,man wife and man mistress,brother and sister,close relatives,a person and their deceased spouse,foreman and laborer,owner and manager,chief and deputy,supervisor and subordinate,boss and secretary,intern and employee,lawyer and client,judge and lawyer,victim and criminal,criminal and hostage,defendant and plaintiff,police officer and offender,police officer and civilian,parole officer and parolee,consultant and client,chef and customer,customer and server,doctor and patient,doctor and nurse,patient and caretaker,driver and passenger,coach and athlete,team captain and team members,club member and club president,politician and supporter,leader and follower,babysitter and infant,religious leader and congregant,prostitute and customer,guide and tourist,athlete and referee,slave and master,performer and audience,dealer and buyer,co workers,sports rivals,romantic rivals,criminal and their accomplice,diplomats,principal and teacher,professor and teaching assistant,mentor and mentee,roommates,sorority sisters,fraternity brothers,groom and groomsman,predecessor and successor,landlord and tenant,landlord and housekeeper,celebrity and fans,celebrity and haters,native and tourist,friends,facebook friends,political allies,romantic lovers,ex lovers,strangers,neighbors,aunt and niece/nephew,uncle and niece/nephew,frenemies,half siblings,adoptive parents and adopted kids,mother and infant,alumni,confidants,a person and their significant other,companions,playmates,competitors in sports,a person and their crush,cohabitants,long distance lovers,brothers in arms
Valence Evaluation,100,79,100,100,100,10,44,52,38,21,53,95,57,78,0,0,0,0,56,44,38,96,50,94,50,100,37,56,53,51,54,87,50,100,60,43,68,60,77,46,50,0,0,83,53,38,73,55,45,57,45,71,46,59,50,54,59,58,53,51,65,50,54,62,3,50,67,57,56,100,100,64,79,0,60,54,78,61,73,100,73,94,100,100,45,53,59,51,54,53,69,58,0,0,0,0,40,55,69,61,28,61,91,91,49,85,92,55,60,60,59,62,54,87,41,0,56,27,51,0,0,19,67,39,65,74,64,61,71,62,49,78,92,76,0,61,100,50,100,100,0,49,60,68,72,0,65,85,100,49,100,100,100,100,0,82,74,100,100
Equality,3,4,100,100,86,91,35,0,0,0,19,38,90,100,50,87,80,49,18,11,0,100,100,90,61,18,4,41,33,61,100,90,100,100,77,12,46,16,56,5,100,0,0,77,2,0,100,100,13,27,24,2,14,0,9,46,25,40,90,100,49,38,12,51,0,44,91,100,100,100,100,100,100,100,0,4,100,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,29,0,80,0,0,0,0,55,100,15,100,34,100,0,0,0,0,0,0,0,32,60,0,0,31,0,100,100,100,100,100,0,0,0,100,100,100,100,0,0,33,32,30,100,100,100,100,100,100,100,100,100,100,100,100,0,0,100,100,100,100,100,100,71,100,100,100
Activity Intensity,100,100,100,100,100,83,67,10,2,33,17,78,2,52,19,59,59,65,40,20,28,91,0,78,6,100,16,20,26,7,23,92,6,100,64,13,0,23,21,41,38,25,14,0,6,20,53,27,13,21,14,55,12,62,0,0,29,6,26,9,77,49,1,10,60,16,77,30,31,100,100,58,10,0,5,37,64,100,77,100,80,100,100,100,0,25,8,64,0,0,0,0,0,0,0,0,0,24,0,0,0,26,0,29,0,37,53,47,0,32,19,54,0,0,0,0,0,30,54,0,35,0,19,22,9,62,28,66,78,92,25,0,0,0,0,0,100,0,17,100,100,0,15,69,64,25,77,76,100,0,100,100,81,65,0,23,75,100,100
Socioemotional,100,100,100,100,100,13,61,0,0,0,0,13,17,0,0,0,0,21,30,24,0,99,40,62,51,90,45,54,57,54,63,71,36,100,74,20,0,0,0,11,0,0,0,11,0,0,37,32,6,51,3,23,3,71,0,30,18,6,53,42,81,0,17,23,39,18,63,45,73,100,100,52,52,40,0,0,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,18,0,65,35,0,31,20,14,50,0,0,0,0,35,0,36,0,81,0,0,0,0,51,49,71,82,89,49,0,0,51,54,20,100,50,39,100,100,0,32,100,100,23,100,100,100,13,100,100,100,87,0,100,67,100,100
Formality and Regulation,0,18,0,0,0,50,52,94,79,100,88,85,90,59,64,62,67,39,88,56,100,9,45,21,49,24,42,46,45,50,55,20,49,0,28,68,56,68,84,42,39,100,100,81,87,100,56,31,100,56,65,85,56,0,99,56,55,87,22,18,31,65,70,57,31,37,10,40,46,0,0,45,26,37,95,100,15,0,19,3,15,6,0,0,100,70,72,58,87,71,100,100,49,51,100,100,100,100,97,100,95,100,38,72,83,68,62,65,66,51,76,75,92,57,100,100,67,71,68,45,7,22,100,76,78,45,20,19,0,16,55,72,100,38,20,33,0,83,92,0,0,50,54,14,15,21,35,0,0,84,2,0,0,36,72,61,17,4,12
Intimacy,93,73,100,100,71,27,15,0,0,0,0,13,0,0,0,0,0,0,0,0,0,83,0,19,0,74,41,0,54,0,64,55,0,92,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,77,0,0,0,0,0,66,0,55,100,100,0,0,1,0,0,12,100,21,100,100,27,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,100,0,0,0,50,49,0,0,50,100,0,50,100,70,0,0,58,22,100,0
Visibility,66,17,17,19,71,8,50,43,44,57,100,0,81,53,54,73,49,41,100,55,14,72,91,75,94,42,51,53,49,18,0,67,50,50,65,56,58,51,71,13,27,39,62,68,62,82,66,30,21,0,66,0,63,12,52,87,63,52,82,50,56,51,99,61,43,100,42,52,16,17,16,100,75,75,90,62,50,26,100,23,0,58,42,72,100,100,100,100,100,100,15,100,0,20,100,30,100,33,51,100,59,28,100,19,100,100,100,100,30,74,61,100,4,100,100,48,100,26,100,100,26,0,100,100,100,25,49,100,100,100,52,26,54,100,100,100,100,100,27,20,22,100,100,100,70,0,100,53,23,100,0,30,35,75,100,0,75,28,66
Communal Sharing,100,100,100,100,100,0,57,0,48,0,34,34,0,23,0,0,0,11,35,27,0,96,31,75,49,100,44,56,55,50,38,92,58,100,90,0,50,6,11,3,49,0,15,0,30,12,56,39,16,0,41,33,30,75,0,44,43,16,52,53,87,37,22,68,37,30,73,58,9,100,100,73,58,0,0,15,70,100,65,97,69,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,52,44,0,57,55,53,60,40,31,70,0,0,0,0,17,0,49,0,0,0,35,0,0,56,65,57,55,80,37,0,0,56,23,0,98,56,10,99,50,34,60,62,68,29,84,92,100,51,91,100,93,88,0,52,67,100,81
Expected Reciprocity,5,76,100,98,83,16,58,72,49,0,2,85,100,73,33,4,6,71,12,54,5,89,41,91,20,87,20,51,57,50,55,88,50,74,62,42,63,44,67,87,13,3,7,97,40,27,71,56,24,10,42,79,13,13,33,28,45,87,53,54,56,43,47,7,9,4,74,56,94,97,88,62,50,5,9,45,60,13,53,100,53,85,81,0,56,29,0,11,20,20,70,26,0,0,17,0,39,0,55,84,56,33,0,12,51,55,78,0,12,57,11,35,76,62,0,0,54,80,100,0,0,51,51,33,31,32,47,84,82,57,51,76,18,0,0,15,100,13,49,100,0,0,51,55,52,0,50,60,1,0,100,100,100,100,0,57,80,100,100
Strategic,0,0,0,0,0,49,0,100,80,49,48,66,92,80,84,70,55,0,0,62,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,42,70,80,68,0,50,50,86,0,38,0,55,72,14,54,59,42,6,56,0,62,52,0,0,0,28,39,0,0,38,0,0,40,0,0,0,0,0,61,32,0,0,30,0,0,0,0,0,100,54,67,71,100,75,100,100,100,100,94,100,100,100,100,73,100,68,81,54,56,54,29,67,64,64,34,75,100,79,40,100,100,100,36,53,87,100,67,34,70,31,32,24,31,8,87,100,100,55,57,60,0,12,12,0,66,50,20,0,0,78,29,0,0,79,0,0,0,0,75,16,19,0,0
