,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance
parent and child,0.2435767996935636,-1.3160339133071275,1.2953854128482305,1.2390939663639504,1.3218736815947973,0.5879282375796729,0.7316708360310831,0.7966030818953664,-0.32397550825255744,0.47043057399078547,-1.03747385832544,0.8829651501687257,1.6971853152651606,0.8816050575733756,-0.6417737881811336,0.04870747464942559,-0.8242449702440938,1.879097347074884,1.5161566563687583,0.6950849614118498,-0.041303905367286606,0.6995772017556381,1.762912184670947,1.2486012684584316,0.7929600572553519,-1.21009066683009,-1.3684640868503488,1.4498734742731059,1.0928174954885368,-1.2383578569270182
parent and teenager,-0.9095367766791496,-1.412595700208758,1.0115386867254141,0.7791601379287072,1.0385726124975747,-0.6714330565430674,0.3565045234487423,1.2076458404255208,0.5519661209927483,0.6435751602512829,-1.2094129280291557,0.850094286465418,1.4312880716369694,0.84392355108032,-0.05572157552788894,-0.27018322702593156,0.15218306435473025,1.2872410079689653,1.8500985026460697,1.0265300063236649,1.1059991527565618,-0.4509786966272583,1.2673403791881714,0.9827902536502098,0.40140524637460373,-1.1537991466352437,-1.4029413154685084,0.39010927715028143,0.6158348003988343,0.4619256215738561
wife and husband,-0.19381110858574138,1.2589470707363524,1.2953854128482305,1.0091270521463287,1.070050509063933,1.991216536745012,0.39061055186531873,1.2076458404255208,1.3605276249114922,-0.49917910906800006,-1.3813519977328714,1.1788029234984954,1.7636596261722084,0.6555160186150422,-0.7451947668846474,-0.4068506706010846,-0.9768118506501601,1.472196113939565,2.4437728960279568,-0.18876849168632387,0.4334421876494783,-0.7850110542222928,1.0767358386178734,1.6140914138197364,-0.14677148885844377,-1.238236426927513,-1.4718957727048276,1.3875344038541162,0.786185762930871,0.8262720812526149
fiance and fiancee,-0.23357364570204184,1.0658234969330913,1.0115386867254141,0.9434222195127225,0.5664041640022038,2.0631800392663115,1.2432612622797297,1.0314846581983117,0.8888667476255583,-0.5338080263200996,-1.518903253495844,0.9487068775753412,1.0989165171017303,0.6555160186150422,-0.9520367242916749,-0.4068506706010846,-1.342972363624719,0.4364475205042073,2.109831049750645,-0.4097318549608673,0.5916908853217332,-0.7850110542222928,1.0386149305038137,1.2818276453094593,0.3622497652865289,-1.21009066683009,0.38987457267579273,-0.07743375099214117,0.3092030678411683,0.4315634166006262
siblings,-0.7902491653302481,0.7761381362281999,0.7276919606025977,0.9434222195127225,1.2903957850284393,0.6598917401009724,-0.29151001646621,1.06084485523618,0.9899369356154013,0.08951248421769113,-0.9343104165032103,-0.859190626106585,1.4645252270904932,0.7308790316011533,-1.0209840434273507,-0.4524064851261356,-1.2819456114622927,1.2502499867748456,-1.006959515504262,0.5477760525621542,0.5521287109036694,-0.1911757518311204,0.5430431250210382,1.0160166305012375,0.20562784093422962,-1.0693618663429745,-1.713236373031945,1.4187039390636111,0.4114136453603903,0.9477209011455345
divorced spouses,0.362864411042465,-0.1572924704875615,1.0115386867254141,0.9762746358295257,-1.2593138368465637,0.6239099888403227,-1.007736613214315,-1.1705301196418005,-1.0651568868447394,1.093751084528576,-0.8311469746809809,0.324160467212494,-0.1973325455857017,-0.6633367086419028,1.0474355306429244,-0.4068506706010846,0.15218306435473025,-1.3021304756194287,2.1469356993370132,1.799901777784567,1.699431769027518,0.9593801465517761,-1.477365005024123,0.41794184718273863,-1.5563688080291374,-1.0975076264403976,-0.16176108521476146,1.4187039390636111,-1.598727712517642,-1.299082266873478
a person and their in laws,-0.9095367766791496,-0.1572924704875615,-0.12384821776585136,0.45063597476067635,-0.6927116986521186,-0.8153600615856663,0.3565045234487423,0.708522490781762,0.28244561968650045,0.26265707047818854,-0.8655347886217241,0.587127376838956,0.9992050507411586,0.20333794069837535,-0.4349318307741061,-0.4068506706010846,-0.8852717224065203,0.36246547811596747,-0.4503897717087429,0.621430506987002,0.4334421876494783,-0.0056022198338790494,1.1529776548459927,0.8831111230971267,-0.8124146673557158,-0.9849245860507052,-1.2650324009958698,0.7329741644547246,-1.1217450174279395,-1.1169090370340986
employer and employee,0.12428918834466224,-1.2194721264054968,-1.0818309184303565,-0.6334937636938254,1.2589178884620813,-0.9592870666282651,0.5611406939482009,-1.4641320900204822,-1.1999171374978632,0.1587703187218901,-0.8655347886217241,-0.9578032172165083,-1.1944472091914187,0.31638246017754207,1.219803828482114,-0.49796229965118666,0.7929639620602086,0.4364475205042073,-0.8956455667451583,0.5109488253497303,1.1455613271746257,0.8480360273534312,1.305461287302231,0.31826271662965544,0.5188716896388282,1.2667362217431428,0.838078544711868,-0.4826377087155741,-0.6106921298318295,0.24939018676124683
interviewer and job applicant,0.3231018739261645,-1.3160339133071275,-1.1173117591957087,-1.1591324247626746,-0.6297559055194025,-1.103214071670864,-0.2232979596330571,-1.3173311048311414,-1.4357475761408303,0.6435751602512829,1.0257949781191495,-0.7605780349966618,-0.5297041001209407,0.2787009536844865,0.7371725945323832,0.04870747464942559,1.0065575946287013,-0.4883280093487906,-1.04406416509063,-1.1831036264217694,1.2642478504288168,0.10574189936446576,0.8480103899335154,0.31826271662965544,-0.14677148885844377,1.294881981840566,0.14853397234867527,-1.480062835419409,-0.6106921298318295,0.7351854663329251
guard and prisoner,-1.1481119993769522,-1.5413447494109318,-0.656060829246132,-0.4035268494762038,0.8811831296657845,0.15614722245187623,-0.1209798743833278,-1.1118097255660642,-1.1999171374978632,0.7128329947554818,1.2321218617636085,-0.990674080919816,-1.2941586755519905,-1.7561003969405142,-0.5383528094776198,-0.49796229965118666,0.6709104577353555,-0.22939086098995118,-0.04223862625869553,1.1738389151733606,-0.9907960914008164,2.035706632135776,-1.058035015769467,-0.9775659805604255,-1.869612656733736,1.069715901061181,0.04510228649419637,-0.45146817350607926,-0.03149885722290498,0.6137366464400056
nurse and patient,0.362864411042465,-0.640101404995714,-0.08836737700049932,-0.20641235157538532,0.597882060568562,0.8757822476648707,-0.9736305847977387,-0.9943689374145914,-0.6945661975486483,0.6435751602512829,0.9570193502376633,0.9815777412786489,0.26798763076363286,0.7685605380942089,0.28901502015049024,-0.1335157834507785,0.9150174663850615,-0.8582382212899897,0.5143311175368236,0.2899854620751869,-0.7929852193104977,-0.26540516463001695,-0.21937503726015462,0.28503633977862775,-0.10761600777036896,0.9289871005740655,0.5277834871484313,-1.1371979481149657,0.13885210530913167,0.795909876279385
therapist and patient,0.6809647079728686,-0.12510520818701804,0.4083643937144293,0.08925939527584244,1.2274399918957233,0.695873491361622,-1.6898571815458439,-0.4365251936950964,-0.9977767615181773,0.26265707047818854,0.9226315362969202,0.5213856494323404,0.4674105634847763,1.2207386160108757,0.4269096584218419,-0.4068506706010846,0.8539907142226351,0.4734385416983272,-0.4503897717087429,0.21633100765033905,0.9873126295023706,0.03151248656556922,0.466801308792919,0.45116822403376633,-0.2642379321226682,1.2667362217431428,0.6656924016210698,-0.23328142703961538,0.8883963404500929,0.7655476713061551
salesperson and customer,-1.1878745364932526,0.10020562791678646,-1.5430818483799331,-0.9291655105450531,-0.9760127677493412,-0.9952688178889149,1.2091552338631533,0.8553234759711028,0.3498257450130624,1.4054113397974715,0.8194680944746907,-1.4837370364694322,-1.2609215200984665,0.5424714991358754,1.219803828482114,3.3742819349781503,0.9150174663850615,-1.7090317087547477,-0.1906572246041673,-1.0357947175720736,1.224685676010753,-0.9705845862195341,-0.9055513833132283,-1.4095088796237858,-0.14677148885844377,1.2385904616457197,-1.437418544086668,-1.3865542297909244,0.34327326034757566,-0.26676729778366143
business partners,0.4423894852750659,0.9370744477309174,0.4083643937144293,-1.1262800084458715,-1.2593138368465637,-0.9952688178889149,-0.2232979596330571,1.1489254463497844,0.7877965596357153,1.093751084528576,0.7506924665932043,-0.8920614898098927,-0.7956013437491319,0.7308790316011533,1.3232248071856278,3.100947047827844,0.9455308424662748,0.28848343572772767,-0.07934327584506348,0.4372943709248825,0.9081882806662431,-0.5994375222250514,1.114856746731933,0.5176209777358217,0.6754936139911275,1.323027741937989,0.49330625853027166,-0.1709423566206257,0.10478191280272434,-0.02386965799782226
opposing negotiators,-2.261463038633365,0.7117636116271129,-1.472120166849229,-0.9620179268618562,1.3533515781611554,0.04820196866992706,-0.530252215382245,0.06259815594866237,0.24875555702321941,1.440040257049571,1.0257949781191495,-0.7605780349966618,-1.2941586755519905,0.16565643420531978,1.1853301689142761,2.2809423863769256,0.7014238338165688,-1.3391214968135488,-0.48749442129511084,1.4316295056603279,2.25330221088041,1.0336095593506727,-0.5624632102866914,-1.4759616333258414,-2.222011986526409,0.6475294995998345,0.5967379443847506,-0.9501807368579966,0.37734345285398296,0.492287826547086
