,V1,V2,V3,V4,V5,cl_k3
parent and child,-1.45645794874941,0.425863709586836,1.30095633402857,0.0958026916773381,0.256402893385239,0
parent and teenager,-1.09293248743543,-0.0593872443446133,1.66654446810535,0.20564474192974,0.395243732653733,0
wife and husband,-1.37615765663811,-1.53285326129424,-1.40739556107262,1.53439033163056,-1.38820819112225,0
fiance and fiancee,-1.318308437833,-1.72028930652157,-1.48623130108255,1.50501458629848,-1.28228905153409,0
siblings,-1.32529955960864,-1.49559440895567,0.187637288107656,1.05705806743359,0.622585271232863,0
divorced spouses,1.43253197659413,0.238354504424617,0.363060337634107,-0.44976962112494,-1.63159565845659,1
a person and their in laws,-0.840197838733687,-1.27343849985932,-0.620320004978007,-0.736553182852188,0.379250200140973,0
employer and employee,-0.106198786137202,1.75858288422272,-0.794335747489799,-0.863351275270751,0.216301614568317,2
interviewer and job applicant,0.432895569684758,1.59118592307475,-0.48755955165198,0.827615559330913,0.206288399489905,2
guard and prisoner,2.19222444954495,0.173528204096604,1.11296247752826,1.65729820008197,0.386556612253351,1
nurse and patient,0.465983868457034,0.939339805345599,-0.010910196993806,1.41352198887159,0.782438251873533,2
therapist and patient,-0.589611624187315,1.18398109319801,0.0816444993067857,0.233962157232939,0.545263292902309,2
salesperson and customer,0.142641847690872,1.56139561549616,-1.92573636660422,-0.276793958604255,-0.435833105006209,2
business partners,-1.21585094669496,0.55792351655604,-0.157556843078742,0.459494824971609,1.09363911162067,2
opposing negotiators,1.51068837162723,1.48840802560385,0.327050787205126,1.16973377293218,-0.396698467014927,1
political opponents,1.35151514052739,1.15006657470728,1.70921537331536,-0.0509113551403322,-0.282911063766568,1
business rivals,1.38835696603042,0.977329517999757,0.73129372144909,0.39678936392301,0.108884691499188,1
enemies,2.10071276353761,-1.30004707824079,1.73220797395422,0.47466302518573,-0.307622114603923,1
teacher and student,-0.708869986044986,1.22215650393853,1.27132309451725,0.984312900139924,1.51670229896699,2
professor and graduate student,-0.700091403805572,1.23283993694569,0.604670745511711,0.970831638812414,1.2731696247294,2
master and servant,1.03478754465786,0.412552283599143,-1.3272287495917,0.493388644692232,-0.641614984473984,2
close friends,-1.46611339650519,-1.38553348613087,-0.0497651710469911,0.999999660224126,0.587787945026686,0
casual acquaintances,-0.378886230347536,-1.78769699457326,-0.501040423955675,-0.288231988751527,0.982105617282962,0
teammates in sports,-1.36495268790887,-1.20900420478963,-0.500973623925693,1.86346700099779,1.52212959421286,0
second cousins,-0.121015216876354,-1.61780098262579,0.157413996678768,-1.41838691916564,0.284895324753363,0
grandparent and grandchild,-1.54575056616282,-0.0325688019403482,1.06378335713357,-0.052540954962505,0.320894375007935,0
foster parent and foster child,-0.965391791866856,-0.254289970100195,1.02824577247572,0.906518367102217,0.611372998424445,0
godparent and godchild,-1.47293011689189,-0.775330422067733,-0.0011159764295771,0.161958283000524,0.447043238861867,0
step grandparent and step grandchild,-1.23095320487334,-1.07546352129864,-0.0756803563346402,0.431088265338125,0.458159635289294,0
ancestor and descendant,-0.0156954139751898,-1.17649170407996,0.0855160940100002,-2.88951616804202,-0.310202333417831,0
man and his mistress,-0.0773527802033112,-0.856079702102072,-1.19886643785311,1.03940554916241,-2.39826330459409,0
step siblings,-1.18120920411926,-1.32293465772949,0.0902393337868515,0.243737759287914,0.404580032004376,0
distant relatives,0.137749887705807,-1.45125610071481,0.341995167486344,-1.30263263883481,-0.132875063529213,0
twins,-1.50517022566601,-1.08918672447647,0.749329018678016,0.827644388520346,0.755829314925659,0
