,Dim1,Dim2,cl_k3,cl_k6
parent and child,10.051893,4.194342,1,1
parent and teenager,10.055628,4.164774,1,1
wife and husband,8.915985,3.9875953,1,1
fiance and fiancee,8.985342,4.055791,1,1
siblings,10.572283,4.075986,1,1
divorced spouses,10.517434,4.9854245,1,1
a person and their in laws,10.685013,4.3346257,1,1
employer and employee,9.734949,10.484732,2,2
interviewer and job applicant,9.820998,10.551657,2,2
guard and prisoner,11.251783,9.744704,2,5
nurse and patient,8.923054,13.29639,0,0
therapist and patient,9.061578,13.217014,0,0
salesperson and customer,10.466649,11.152401,2,2
business partners,10.51642,11.488798,2,2
opposing negotiators,10.787243,10.855201,2,2
political opponents,10.357344,9.825445,2,5
business rivals,10.449293,10.854272,2,2
enemies,9.55912,4.6837587,1,1
teacher and student,10.266617,11.071276,2,2
professor and graduate student,9.018037,11.486422,0,3
master and servant,9.072706,13.311847,0,0
close friends,8.888572,3.8024068,1,1
casual acquaintances,11.380455,3.9094474,1,4
teammates in sports,10.360137,3.8368351,1,1
second cousins,11.241469,3.7955291,1,4
grandparent and grandchild,11.087436,3.7979376,1,4
foster parent and foster child,9.842945,4.048926,1,1
godparent and godchild,10.967993,3.9018607,1,4
step grandparent and step grandchild,10.962966,4.018845,1,4
ancestor and descendant,11.124661,3.0204296,1,4
man and his mistress,9.836851,4.645288,1,1
step siblings,10.56715,4.2962966,1,1
distant relatives,11.339082,3.3838482,1,4
twins,10.432646,2.9906905,1,4
a person and their family friends,11.190241,3.4180799,1,4
manager and staff,10.394818,10.973075,2,2
union leader and union member,9.838436,10.755774,2,2
manager and assistant,10.423889,11.073803,2,2
entrepreneur and investor,9.62595,10.907183,2,2
drug dealer and addict,10.39947,11.709707,2,2
victim and witness,9.731158,5.2067533,1,1
criminal and police officer,11.274524,9.932241,2,5
criminal and prosecutor,11.040795,10.113627,2,5
customer and businessman,10.530175,11.351455,2,2
representative and citizen,9.547886,10.581863,2,2
officer and soldier,9.981907,10.248887,2,2
religious followers,11.481944,3.5948346,1,4
reader and writer,10.203864,11.357673,2,2
reviewer and writer,9.193994,10.953824,0,3
sugar daddy and sugar baby,9.281433,4.9067082,1,1
director and performer,8.936,11.358153,0,3
psychologist and client,9.083895,13.244427,0,0
judge and contestant,9.180696,11.356244,0,3
man and god,10.191034,4.5381756,1,1
university student and administrator,10.0365715,11.028099,2,2
student and dorm resident assistant,8.735009,10.763844,0,3
athletic trainer and trainee,9.2806,13.092118,0,0
researcher and research subject,9.370827,10.972319,2,2
peers,10.826618,3.772623,1,4
classmates,11.386812,4.168859,1,4
bride and bridesmaid,10.022566,3.8550644,1,1
guest and host,11.050891,4.2269716,1,4
television host and guest,8.086854,11.5406475,0,3
volunteer and organizer,8.933501,10.614157,0,3
bully and victim,11.449099,9.819811,2,5
a person and their social media follower,8.661293,10.815192,0,3
childhood friends,10.330587,3.0054207,1,4
pen friends,10.8526125,3.6646862,1,4
friends with benefits,9.412567,4.603611,1,1
life partners,8.981889,3.6981347,1,1
soul mates,8.9803705,3.6535578,1,1
church members,11.487724,3.7636862,1,4
fans of the same sports team,11.241425,4.0013533,1,4
fans of opposing sports teams,10.463771,9.721429,2,5
superior and subordinate,10.063457,10.402824,2,2
a monarch and their minister,9.535154,10.606613,2,2
cousins,10.475646,2.4073298,1,4
parent and infant,9.597458,4.0749416,1,1
step parent and step child,9.7903,4.0131035,1,1
bride and groom,9.337302,4.3444014,1,1
man wife and man mistress,10.53387,4.9260535,1,1
brother and sister,10.209189,2.6470141,1,4
close relatives,10.747606,2.9486473,1,4
a person and their deceased spouse,10.62718,2.64616,1,4
foreman and laborer,9.543043,11.306779,0,2
owner and manager,8.905807,12.111363,0,0
chief and deputy,8.275635,12.341268,0,0
supervisor and subordinate,8.955471,11.787634,0,3
boss and secretary,8.545025,12.580324,0,0
intern and employee,8.174204,12.073194,0,3
lawyer and client,9.243743,12.61101,0,0
judge and lawyer,9.785354,12.143903,0,0
victim and criminal,11.277016,9.965307,2,5
criminal and hostage,11.338915,9.923835,2,5
defendant and plaintiff,9.568957,12.226858,0,0
police officer and offender,11.106747,10.0747175,2,5
police officer and civilian,9.542138,11.603571,0,2
parole officer and parolee,10.982124,10.194875,2,5
consultant and client,9.447632,12.179464,0,0
chef and customer,10.0183,11.343531,2,2
customer and server,9.177085,12.373712,0,0
doctor and patient,8.890547,12.696856,0,0
doctor and nurse,8.40608,12.469717,0,0
patient and caretaker,9.147796,13.012736,0,0
driver and passenger,8.702257,12.1772175,0,0
coach and athlete,8.278021,10.736925,0,3
team captain and team members,8.221968,11.228407,0,3
club member and club president,8.431985,11.02903,0,3
politician and supporter,9.691052,11.2586155,2,2
leader and follower,8.493764,11.074036,0,3
babysitter and infant,8.351946,10.623139,0,3
religious leader and congregant,8.490042,11.485166,0,3
prostitute and customer,9.406403,12.575427,0,0
guide and tourist,8.580238,11.930561,0,3
athlete and referee,9.430109,11.768426,0,2
slave and master,11.461962,9.789329,2,5
performer and audience,8.142672,11.634658,0,3
dealer and buyer,10.198043,11.985659,0,2
co workers,8.083206,11.570941,0,3
sports rivals,10.42162,9.471347,2,5
romantic rivals,9.82071,4.888049,1,1
criminal and their accomplice,8.730854,13.087011,0,0
diplomats,9.5413265,12.288959,0,0
principal and teacher,8.379402,12.462364,0,0
professor and teaching assistant,8.351582,11.968126,0,3
mentor and mentee,8.507674,12.706535,0,0
roommates,9.760848,3.1586852,1,1
sorority sisters,9.691039,3.1570008,1,1
fraternity brothers,9.718611,3.1395454,1,1
groom and groomsman,9.877277,3.9095,1,1
predecessor and successor,8.51605,11.840123,0,3
landlord and tenant,9.867815,11.388719,2,2
landlord and housekeeper,9.725806,11.303778,2,2
celebrity and fans,11.076681,2.7192783,1,4
celebrity and haters,10.688842,9.76497,2,5
native and tourist,8.623341,10.632268,0,3
friends,9.776803,2.8294442,1,4
facebook friends,11.310167,3.110044,1,4
political allies,8.505815,12.360628,0,0
romantic lovers,9.149742,3.5045812,1,1
ex lovers,10.373674,4.9210076,1,1
strangers,11.370333,3.2852914,1,4
neighbors,10.2527485,2.467441,1,4
