"","V1","V2","V3","V4","V5"
"Valence.Evaluation",-0.428787877089417,-0.706202915291973,0.260305547990755,-0.144076413618934,0.0248425439862522
"Equality",-0.538234968184758,0.242065440482152,0.225695089803654,0.182635011033278,-0.0926751613238142
"Activity.Intensity",-0.823208314023895,-0.0161316370336954,-0.102526159252904,0.0761531091624889,-0.229192353158644
"Socioemotional",-0.92983962201163,0.0554074673604969,-0.103961131341348,0.00305837039656122,0.0678403123330501
"Formality.and.Regulation",0.724926545877086,-0.483597267645974,0.0175553631141501,-0.154625372130637,-0.0448004906403621
"Intimacy",-0.752587587657751,-0.125107473121621,-0.191292537805146,0.157356959338505,-0.0447601664187763
"Visibility",0.230353723400997,-0.25050404495771,-0.377652559902775,-0.287899105689136,0.535062736734855
"Communal.Sharing",-0.905694845478732,0.0293646326242551,-0.0465049899466902,-0.084886082995581,0.0107863180301107
"Expected.Reciprocity",-0.675597947850433,-0.224805184020623,0.23813329410815,0.136359252574168,-0.21509601702576
"Strategic",0.499212189324773,-0.395739414861744,-0.0488678029743327,0.197889431088686,-0.153393258928271
"Concreteness",0.679227813872812,-0.242851784780122,0.117724124454027,0.437665256810639,-0.167881896924145
"Uniqueness",-0.741603646553368,0.0588114109152996,-0.14865706471486,0.126671160953423,-0.117711717097223
"Love.Expression",-0.883080182264835,-0.0947346517455521,-0.127565096033503,-0.0210331965989135,0.0595160591298639
"Information.Exchange",-0.149715086297165,-0.708248698207461,-0.0275144651396054,-0.143296768900718,-0.182682093708032
"Money.Exchange",0.206013193330642,-0.370012469865048,0.125904044199297,0.612442698209718,0.16884707667052
"Goods.Exchange",-0.237132710845133,-0.339059362948972,-0.280048130013005,0.537318603475779,0.516843968886534
"Service.Exchange",0.671850700330669,-0.418837567460824,0.056215225750454,0.0420205801042983,-0.029412599047361
"Attachment",-0.904697438594486,-0.134075644509449,0.0330603133166176,-0.0571875675364877,-0.020109532361373
"Mating",-0.449854946125328,-0.0782905945767219,-0.0961678123586854,0.40143579893113,-0.253187843455685
"Conflict",0.276768843596768,0.431548250363863,-0.713051712849711,-0.0274260047765119,-0.0505485969265012
"Negotiation",0.108034434414699,-0.423045270546133,-0.260719926119456,0.354722377618088,0.25796227898996
"Coercion",0.30277088578914,0.39127386901504,-0.634059136729974,-0.150163641101099,-0.25551279687663
"Importance.for.society",-0.405518515869007,-0.513618619854955,-0.23426510255269,-0.237693209376115,0.274359198126336
"Importance.for.individuals",-0.747625995384718,-0.393428241597087,-0.061741902464909,-0.0546133509114122,0.12995973256126
"Affiliation.Coalition",-0.0300896328126625,-0.668303052290682,0.257910460593899,-0.363945658093987,0.0786429325135455
"Occupational",0.613046726017923,-0.52381657813102,0.0835353926952632,-0.159934866374179,-0.0460403224574541
"Activeness",-0.0991961347581567,-0.62237558150789,-0.324872003248459,-0.0372285645358765,-0.431841827110563
"Endurance",-0.654403345989793,-0.203635525302508,-0.0256894057625165,-0.183780768930744,0.060931586136502
"Synchronicity",0.372601457713938,-0.556327104838976,-0.390819226441337,0.0392678805460573,-0.07855347301781
"Spatial.Distance",-0.019059089122291,-0.5444976455763,-0.236599003590156,0.00698591364963546,-0.416063561860815
