"","V1","V2","V3","V4","V5"
"Valence.Evaluation",-0.0541056802726392,-0.224339477026449,0.864806699326123,0.152228522673657,0.0913327011489694
"Equality",-0.708892865002096,0.138488622729024,-0.0634151914300771,-0.224842576798798,-0.209373603170166
"Activity.Intensity",-0.106485528836857,-0.797499853084791,0.120798659578574,-0.0998636546835882,-0.0610848866730936
"Socioemotional",-0.816082329479791,-0.21503230754499,0.00756370963940281,0.184364162504795,-0.0584596191630532
"Formality.and.Regulation",0.902521690668007,0.00257528507941165,-0.0642452761084064,0.0222468874728185,0.0137726212020918
"Intimacy",-0.614443353256899,-0.25315809182405,0.117119260373825,0.234634733697091,-0.371568676809275
"Visibility",0.515634719735095,0.303475116402214,0.189653373181201,-0.439309742421184,-0.176145037215946
"Communal.Sharing",-0.869368238878319,-0.228853303210348,0.0526354139606493,0.0229826902334494,-0.0914501134476804
"Expected.Reciprocity",-0.74892423179611,-0.0494435001068991,0.0631651748395036,-0.158669011019974,-0.349736574087665
"Strategic",0.807792353618966,-0.0745645196123412,-0.0174476606027789,-0.148989611888854,-0.132849190367682
"Concreteness",-0.0981564994652918,-0.297252714151634,0.089680226684259,0.69361892626942,-0.259375751563951
"Uniqueness",-0.469426965372623,-0.494170053364482,0.0321113361217139,0.0157911219749124,-0.0261012583824332
"Love.Expression",-0.833971621062504,-0.259191708846358,0.258396321824014,0.148656812736566,-0.0102823030403776
"Information.Exchange",0.0222397781767321,-0.652608321636745,0.342258153559982,-0.0588663708972421,-0.0626936928662542
"Money.Exchange",0.765255060455876,-0.0412756055533517,0.0499012787830572,0.295713459840316,-0.0459678011320045
"Goods.Exchange",0.118693282025266,-0.0131570668006192,0.238816831395022,0.707661419813134,-0.0593499926477071
"Service.Exchange",0.678274839764445,-0.16628471207659,0.117279809705172,0.383809687192843,-0.0423883462291668
"Attachment",-0.787039578796105,-0.316160011416692,0.272249791423909,0.104826626689283,-0.00999049587365758
"Mating",-0.415803538329233,-0.0185864784681748,0.0364262847054396,0.149290098775053,-0.612493872269937
"Conflict",-0.0948255136350552,-0.33363120477925,-0.670748080233265,-0.137843596590955,0.0889379018799006
"Negotiation",0.141565383235562,0.00963930985403367,-0.0743754540078938,0.0594427936305068,-0.738336165947082
"Coercion",0.174433756603702,0.170635869687074,-0.882096679102211,0.0265695165461265,-0.0248074229922694
"Importance.for.society",0.509561470857647,-0.114715034170273,0.0345660896784004,0.138073289010262,-0.307257850128879
"Importance.for.individuals",-0.501513667197903,-0.515223849677492,0.277271602208094,-0.0692247495788032,-0.01451432476092
"Affiliation.Coalition",-0.0195038391119762,-0.284604582622294,0.852911390028971,0.0201646474973348,-0.00127873050434174
"Occupational",0.871371531426993,-0.152596147977537,0.0596490664993717,0.110525744102035,-0.0571205947988888
"Activeness",-0.0887988181942788,-0.616350291484705,0.118722745061552,0.104024913632377,-0.110572764785779
"Endurance",-0.428972781470016,-0.238871645863375,0.210293497002448,-0.451861128258697,0.0052061484692553
"Synchronicity",0.186108594573534,-0.714123890434603,-0.11793853452804,0.195219971969102,0.144732477219441
"Spatial.Distance",0.0443534731603182,-0.752119107925585,0.00244850838515666,0.174655345369765,0.0398928231621079
