"","PC1","PC2","PC3","PC4","PC5"
"parent and child",-2.84852089957328,1.44612994498255,0.597309067940508,0.692345486047051,-0.195845462066247
"parent and teenager",-1.76235350538386,1.71115673868185,0.717125309439896,0.173333911728438,0.675820848902284
"wife and husband",-4.73510756190222,2.12021050533036,0.355558299735901,-0.706329382199163,1.04684348848305
"fiance and fiancee",-3.62086805412075,1.7931539729966,-0.0994117605606711,-0.54655745601817,1.08371777219704
"siblings",-2.63027963590454,0.438786355340008,0.232204746507919,-0.10576852100719,1.62416326368869
"divorced spouses",-0.0446692598225372,-0.0815845200776127,3.25414962754421,-0.600319146541451,-2.86613243027981
"a person and their in laws",-1.19571264807081,-1.40473920360933,0.963721334666843,-0.529197314890596,-0.123003004814959
"employer and employee",3.16129744862639,0.621611944657656,-0.193371726494084,0.631096164371537,-0.2468174211869
"interviewer and job applicant",3.45071895863,0.251127498395113,-1.10343490201228,0.322290680076904,-0.995775716621881
"guard and prisoner",3.08967491078276,-0.967719336364916,2.86997041669039,1.70780852511695,0.237038129729439
"nurse and patient",1.24584651651729,1.91997674590176,0.141307758618215,1.15187439566568,-0.995097486958196
"therapist and patient",1.05641240480788,2.9268218716258,0.0436598535430595,0.917301185975342,-0.653967336587022
"salesperson and customer",3.25543185300311,-1.35735777001944,-1.54836803248455,-3.49698027187499,0.947675128741185
"business partners",1.36662430743163,1.26793660285714,-1.41314640095228,-3.05123894747337,-0.231001152882291
"opposing negotiators",4.21129539175695,0.549537940256591,2.53282369487941,-3.07460271416937,1.11318495205672
"political opponents",1.85624968264061,-1.14596616318125,2.87527884688254,-2.00075353156442,1.93151788189732
"business rivals",1.91520345509131,-0.459366712994117,2.04932989466808,-4.02858648443918,-0.0476913501474847
"enemies",-2.02389652209489,3.01733195593771,4.20285518102798,-2.27238935502625,1.24465801962535
"teacher and student",1.60957988429812,0.588864161466904,-0.358670304865369,-0.203817301259385,0.885206735051575
"professor and graduate student",1.95472001237686,0.831519491856554,-1.19420796461938,0.795318443353738,-0.159033533586665
"master and servant",1.34296233037106,1.55337739382009,1.98768091572057,1.60247500725059,-1.2586382160352
"close friends",-5.12661075564208,2.79939387597677,-1.17742167889256,0.414127111852338,0.607360091717267
"casual acquaintances",-1.77933341696912,-1.77413299771439,-1.0240095690439,0.0370330799681518,1.20400359269397
"teammates in sports",-1.86921222826573,0.353839940075459,-0.341255044963947,-0.27277416359539,1.22744538015723
"second cousins",-1.46618898013784,-2.90584140248232,-0.593797219487828,0.160528997386212,0.427634659487212
"grandparent and grandchild",-1.82740737620498,-1.95314660214123,-1.52491714570854,0.493632619454142,0.00311426822441646
"foster parent and foster child",-2.94400653405401,0.775803067998067,0.549318322786805,1.6592391495153,-0.0854075317356483
"godparent and godchild",-1.69883994036637,-1.62712394063789,-0.243777422322433,0.757911694588109,0.186604437513578
"step grandparent and step grandchild",-1.97910396076454,-1.24841816088948,-1.03071163068875,0.422042349372187,0.316116161261995
"ancestor and descendant",-3.64026032987939,-2.97140818601732,-1.52283798705979,-0.339093417675996,-2.36835906871623
"man and his mistress",-2.27061803827365,2.15348902115906,1.07036359825892,0.785034634947183,-1.50890610757324
"step siblings",-1.88090177096481,-0.314406760043226,0.526710255628612,0.527777621734902,-0.4622393486712
"distant relatives",-1.45093854834347,-2.91760921133661,0.0321606259399366,-0.178934161681652,0.577895798465665
"twins",-4.57790706032002,-1.30659984276867,0.895434297714775,-0.575558084915236,0.898010228792222
