"","V1","V2","V3","V4","V5"
"parent and child",-1.23966661833736,-0.322454054546526,-0.103235402483679,0.466206148097002,-0.3003296923242
"parent and teenager",-0.837840674647912,0.000801058233023427,0.231158769814971,0.936071342158201,0.233918246165463
"wife and husband",-1.42161871925282,-0.369241980785764,-0.135385284941793,1.10796871553111,1.26137871809369
"fiance and fiancee",-0.978945248562827,-0.242013412103303,-0.266411949532094,1.09222549776744,1.08294163872657
"siblings",-0.237627588749088,-0.677493644098369,0.148643559142607,1.24189537008754,0.861790901668068
"divorced spouses",-1.52276821180309,0.329276980157244,1.31650712546565,-2.27410185982322,-0.726162532819945
"a person and their in laws",-0.0497846659109712,-0.668611340025783,0.515528629382174,-0.575904824059432,0.392664553743036
"employer and employee",0.450869110437693,0.835957637822546,0.0583456953734309,0.0934765712067489,-0.812650142210837
"interviewer and job applicant",0.568697959787908,1.00924366244664,-0.495851708505227,-0.575558630506631,-0.834940853907778
"guard and prisoner",0.488059768345711,-0.219390275577044,1.82259062489812,0.274927488565699,-1.52195908525805
"nurse and patient",-0.664995921939031,0.81164702617841,-0.177543051332356,0.0801388362501465,-1.25936807214684
"therapist and patient",-0.892728459955986,1.12154949984861,-0.233500161694528,0.486596137255246,-0.967546493446256
"salesperson and customer",1.71365133715698,1.0360115920815,-0.0583178873100168,-0.757271004761822,2.46879891116296
"business partners",0.094504868381927,1.56215582266251,-0.54957144573655,-0.771177122837515,1.92674113324292
"opposing negotiators",0.586430534345613,1.54528561408974,2.13181854605804,-0.234690561682042,1.92158396781045
"political opponents",0.799092748289746,0.0428694172454443,2.27349641856729,0.302090072688043,1.69062524748363
"business rivals",0.129856471544264,1.09427517398604,1.58656800621477,-1.47915183118666,2.4307410876011
"enemies",-1.80669151593226,0.662467190664244,2.29126719275245,0.777600592358692,1.92379619416059
"teacher and student",0.512582075765851,0.506645992690511,0.0827756416986379,0.653467137275737,0.296763304002577
"professor and graduate student",0.348373963838807,0.639870790218138,-0.604381117094037,0.31772158042594,-0.726885414449032
"master and servant",-0.971439382568443,0.536041732576759,0.780642942816761,-0.115801004007304,-1.75740913111707
"close friends",-1.55362302925277,-0.330943371254458,-1.19897891766998,1.36803220714369,0.464849143372321
"casual acquaintances",0.745827597559402,-1.13611887781151,-0.405858487066881,0.50094729615539,0.619217542234811
"teammates in sports",-0.0608454092389275,-0.402880735395937,-0.14585371806841,0.900151729458787,0.797404709612903
"second cousins",0.836811236327488,-1.39058641180878,-0.217814025772311,-0.280970857167886,0.227083231204921
"grandparent and grandchild",0.511587147055342,-1.10834567291389,-0.910873138977195,-0.206470580374625,-0.0655318731620925
"foster parent and foster child",-1.00510690344907,-0.808532069172492,-0.145323121719037,0.681667177851999,-0.903619672246017
"godparent and godchild",0.247208686513886,-1.13010160044798,-0.208864104489977,0.0280639971087918,-0.263872258565081
"step grandparent and step grandchild",0.262182955956769,-0.960742861592564,-0.639478463046281,0.137987710030692,0.0736475385060556
"ancestor and descendant",-0.313416386553259,-1.33143135612418,-1.36519356366962,-2.27433862939236,-0.12041638698929
"man and his mistress",-1.84015887905136,0.193803954673686,-0.0695306407786699,-0.270206125381243,-0.892714295271276
"step siblings",-0.554854283869084,-0.621103496390088,0.0180287120783263,-0.200421676930284,-0.357766509191488
