"","sub","exp","imp"
"1","sub-203","0.534537065440715","0.404951659672218"
"2","sub-301","0.438348170419552","0.505088016016396"
"3","sub-320","0.537396005125469","0.431385087258117"
"4","sub-502","0.382024908658093","0.0964727735682302"
"5","sub-651","0.378419361076962","0.20626985685404"
"6","sub-653","0.353535891177085","0.30676721551766"
"7","sub-690","0.417838663153808","0.257800241719799"
"8","sub-691","0.250831993563707","0.0426530689643615"
"9","sub-692","0.384895935077413","-0.00361142733099566"
"10","sub-693","0.428078132539194","0.48132645835606"
"11","sub-694","0.407023027584738","0.440454290304948"
"12","sub-695","0.428325392990551","0.442997373199674"
"13","sub-696","0.379578581726705","0.416644054444878"
"14","sub-697","0.374125498431248","0.551192541000132"
"15","sub-698","0.454951498409116","0.0598080538187608"
"16","sub-699","0.451482348257534","0.328736459879868"
"17","sub-700","0.515011156567907","0.605577757799203"
"18","sub-701","0.330805900563504","0.23129329817841"
"19","sub-703","0.237027387660298","0.442336317267209"
"20","sub-704","0.361196607508444","0.0763688800211376"
"21","sub-705","0.42441593477469","0.35823127595648"
"22","sub-706","0.325990806745225","0.37555815626339"
"23","sub-715","0.304996118164447","0.432717155813689"
"24","sub-716","0.370520158718886","0.421331526163428"
"25","sub-719","0.622751803699116","0.372092332717791"
"26","sub-720","0.48223767767404","0.298144449325501"
"27","sub-721","0.530068461668362","0.472322896435412"
"28","sub-722","0.382865896258739","0.198741399272661"
"29","sub-723","0.45757157421191","0.381990527096954"
"30","sub-724","0.216312596319609","0.201720727236933"
"31","sub-726","0.29476419281718","0.263483834236456"
"32","sub-727","0.474045426619011","0.329144780972023"
"33","sub-729","0.447920501750641","0.18752780167098"
"34","sub-730","0.373280297569726","0.459595266712319"
"35","sub-738","0.400382422526387","0.525998988681625"
"36","sub-739","0.515968179402406","0.466724827476779"
"37","sub-740","0.394692193251","0.531306643288555"
"38","sub-743","0.525240218449681","0.197816682446696"
"39","sub-744","0.346179618575613","0.432517666504226"
"40","sub-745","0.468284226566451","0.297909297799018"
"41","sub-746","0.450627058417777","0.429863875493968"
"42","sub-747","0.329125592075645","0.402862253206525"
"43","sub-748","0.432421744126212","0.159011869189802"
"44","sub-749","0.376313498760819","0.402945498396755"
"45","sub-751","0.428651823626017","0.390449009461744"
"46","sub-752","0.358373203914025","0.530903469461955"
"47","sub-753","0.445702501685831","0.265956874263911"
"48","sub-754","0.599788946742773","0.566426528828603"
"49","sub-755","0.418931888787957","0.216556680209112"
"50","sub-757","0.347250888326617","0.199908823787458"
"51","sub-758","0.498751827050627","0.448194576510617"
"52","sub-759","0.405095478634083","0.46766234307146"
"53","sub-760","0.432004812319952","0.241587978685739"
"54","sub-761","0.419447596679966","0.524825000739627"
"55","sub-762","0.356732497590764","0.44037791114879"
"56","sub-763","0.487044090504015","0.563707748153403"
"57","sub-764","0.368115406799083","0.3590563067215"
"58","sub-765","0.457035607221264","0.445580957429849"
"59","sub-766","0.453233780359697","0.424568905078152"
"60","sub-767","0.528254731576693","0.512796342021103"
