,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation_Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance
Parent and Child,0.5526466394966806,-1.3570378512557133,1.6821440798807568,1.4441265964263268,-1.2141567086420262,1.990321769605188,-0.5428612023054565,1.616873038603411,0.3219809160419396,-1.1248265150881245,-0.5977561208042851,1.0373235806175778,1.790270179570318,1.3409094311000969,-0.19390662545445234,0.4993463137459154,-1.0314582925452356,1.811417142632139,2.014317780042935,0.7719161250486781,-0.12288710093777544,0.24600159615410724,1.6440445897825753,1.7548289803777792,0.3730367679943939,-1.0574287737824672,1.3339277713330862,1.7221206680060916,0.48922552509035694,1.0404441383673542
Parent and Teenager,-0.383107065637671,-0.7789368184670479,1.40388908947718,1.2234543677967604,-1.0111320316418735,1.0090276706024595,-0.8972308953429664,1.6112579054412137,0.7878876801065231,-1.0350292586208663,-0.6011647656663867,1.2096199603207876,1.5807291929212997,1.0407111081506928,-0.11722099500624271,1.463014923117197,-0.49184225636421536,1.4002192285073485,1.3036506932428207,1.0237609736662066,1.3070915261548328,1.0816573285158015,1.362657793965933,1.5203485097546887,0.6329078836058248,-0.7818694113708092,0.9316622277448535,1.3509401070958122,-0.5014393123584786,1.0263099871284056
Wife and Husband,1.1812582194051158,1.3546073246425023,1.7566591583538784,1.427758854965061,-0.9876263869728963,2.55709886742917,-0.659942246146318,1.5260444656959775,1.7917315902243685,-0.8867587694866135,-0.06121017028829066,1.9586481881386246,1.7524176142401726,1.049063518372682,-0.11860080565790598,1.136001423058049,-0.22444467321793257,1.7535109653618632,3.1217371965709533,-0.061838467903938786,1.4517078385698206,-0.5008848459567113,1.0805434304807282,1.7661200250074325,1.4845647080353659,-1.2026153875969463,1.6869855151471418,1.5316257818306787,1.59221222086966,1.3082491092105872
Fiance and Fiancee,1.261849447598505,1.3634793478590255,1.8331351599447132,1.395201282275804,-0.9510754615441144,2.5369836050846866,-1.0229047724140143,1.325644915947831,1.716226951295246,-1.2781153900084596,-0.458001681458119,1.4840389431339498,1.790270179570318,-0.08083197554646773,-0.6520356035909324,0.26775957894571795,-0.9282251821752245,1.801424483722667,2.9270059600570133,-0.5152310228232951,0.8512804004299989,-0.6682379156546774,-0.6557968105442683,1.7394321013373417,1.1316986953239463,-1.217107212266044,1.6267779176740602,1.3577224761489897,0.575036634249658,1.2778978791816875
Between Siblings,-0.07568216417247953,1.0671537724271438,1.4941755924541986,1.554294087031001,-1.5321344771096335,1.0635027136484934,-0.2999439528462065,1.3198780224298985,1.3449777810878705,-0.9298411380275095,-0.42141555993822843,1.6158633655601502,1.5237572195927649,0.569959987583556,-0.9444174806783825,0.12388216398282068,-0.9119118017710747,1.524960920560596,-0.333965825448057,0.49660061464534117,0.6149618824152299,0.1649215630449623,0.4868482129335259,1.5120509916681697,1.0801525817023758,-1.2332092396761525,0.6295282982909332,1.7075539890168803,0.7194504521031149,0.7399924663165651
Between divorced spouses,-1.3503808955765482,0.5700986717214196,-0.38140068099331387,0.48865968862493303,0.05114474478052146,0.12976012395573372,-1.0989867519153598,-0.6716225390960509,-0.4760702935912621,-0.15122524112476943,0.27886713431972904,1.8848843655584466,-0.4380742913531132,-1.2962147450282888,1.0695455226727764,0.15271649254389205,-1.2857009962487698,-0.4084103980283736,1.1391237212375611,2.1684205013043054,1.2066200247096823,0.58320245870709,-0.8890731942771992,-1.1274667759920076,-1.9588194660069045,-1.2185479199816853,-0.7672862577284502,0.3671883048826039,-2.2988880390576494,-2.112036953967701
Between a person and their in-laws,-0.26162325128689545,0.3581016769625926,0.5367688868241736,1.306754480590703,-0.5027377723879087,0.5108942847760554,-1.214405234750218,0.561531524821803,0.7024311403443358,-0.8658857075090456,-1.0317902332452236,0.9257263010483918,0.9080012349779595,0.0017429891482024207,-0.5316241273891162,-0.21842250793504184,-0.8058748291441005,0.6088006428771314,-0.08019645694732117,-0.03867861809969956,0.5009991565925882,-0.4850364666369213,-0.4822719215920531,0.8690245336399578,0.49928438587559054,-1.1173896568048718,-0.15989609241283656,1.377375931928085,-0.731932566791997,-0.57849817295502
Between cousins,0.19523093858822158,1.4124972761303176,0.18841089496233118,1.2579435373044279,-1.5112608051515584,-0.31148772471714115,-0.5591193221830689,1.2837722543176269,0.6737237340951103,-1.4962245327918888,-1.1601825230510507,0.9187229247043504,1.1661856649562143,-0.5338342243918761,-1.254874877302622,-0.9881274476075483,-1.5308006708535107,0.960542236490561,-0.16798912807471802,-0.5812224537444657,-1.047282923183183,-1.2802179941592293,-0.4899113821119619,0.8655932291680891,0.2961903918927961,-1.1095686720628188,0.1446761770944701,1.433424676186985,-0.7829914417139077,-1.3181299930825796
Employer and Employee,0.07075242373518473,-1.1717900064947047,0.7114871366124658,-1.0738750587309105,1.2974747533534983,-0.5529937488878917,1.1211327336532049,-1.1858372111116795,-0.10561993816647351,1.0472479201037943,2.1119160360451956,0.23604597847211456,-0.479531862905177,1.1337476775678546,2.046667059464705,0.6822898304914278,1.5257733271918932,-0.6220332222746253,-0.5494845119326668,0.00591273450846292,0.7692325415131279,-0.05329171845174281,1.4153700715533044,0.22050798845675584,0.8480487081828432,1.3058121157744687,0.7442561306093461,-0.3468872550911798,0.6796843283463654,0.7414283166011564
Interviewer and Job applicant,-0.2123730562798243,-1.068215472601234,-1.3692031315216144,-1.2700110583842372,1.1599869040024344,-0.9379507197465315,0.3700962075349601,-0.15760009686435322,-0.1510525289261174,1.247776762766874,0.5100534593787384,0.0769475376129072,-0.9697066794913436,0.8653104934889112,-0.13598641986886356,-1.0167214900972776,0.7134941003151317,-1.3258858859653646,-0.5351405061766196,-0.5793369842895751,1.0422226603358047,-0.5766371911457994,0.5834328209352307,-1.041983303559502,-0.45325781177151375,1.2392033957213193,0.148063634458961,-1.3745446206069676,0.6820762756400044,0.5956895127151108
