"","V1","V2","V3","V4","V5"
"Parent and Child",-5.3139180971385,-1.30513113557304,-2.15311899722216,-1.12760150901139,-1.64876187909088
"Parent and Teenager",-4.17095429452046,-1.11147570290824,-2.30958611637409,-0.038942278415391,-0.821280436609329
"Wife and Husband",-6.75119780367093,-2.91951655547075,-1.83245706537814,1.26108420082067,0.368954743128622
"Fiance and Fiancee",-6.9244829183138,-1.1107286058685,-1.30912131826243,1.45124879949861,0.202655260413957
"Between Siblings",-5.09039500181983,-0.338451796647379,-1.32534859936169,-0.588255407365545,1.0828151298622
"Between divorced spouses",0.787176376860712,3.59263689504467,-1.81683106252539,2.99531033101311,-0.944807536782972
"Between a person and their in-laws",-3.18962670474514,1.24878277418122,0.150772683598169,0.334793032147796,-0.131436106024367
"Between cousins",-4.10332617414391,2.63785660214795,1.45083383129667,-0.567421939916759,0.321936119706473
"Employer and Employee",2.6571276248743,-4.23882086533104,-0.431157734729213,-0.293024523054091,-0.458078020647662
"Interviewer and Job applicant",3.20568705800837,-1.55968193088731,0.351382991014369,-0.680883601466685,0.772607699675158
"Guard and Prisoner",4.23097179855948,1.85376603944456,-2.99259465809275,-2.48394870174299,-1.82141209075197
"Nurse and Patient",1.83156312905584,-2.43509744335897,0.575573313044816,-1.41737544623048,-1.07252622140259
"Therapist and Patient",0.465291288896704,-3.31613902801361,-0.0596665450118568,0.208224975663379,-1.13754327189997
"Salesperson and Customer",5.35148995453991,-2.81155475127897,0.576631444634255,2.98326908527018,0.681613171667368
"Between Business Partners",0.987224531215513,-4.60417679727477,0.276700301595469,0.963267333325157,1.7066750391725
"Between opposing negotiators",4.46154169574008,0.355933728834056,-1.94187957784035,1.25748308727788,1.90534498338586
"Between political opponents",4.11307679681176,1.95148902213339,-2.48082044034396,-0.890229332496375,2.07161636458542
"Between business rivals",4.45603225031569,2.83135877224833,-1.32816875906514,1.22974026987235,1.05835989524011
"Between enemies",2.2231703234009,5.27205178334854,-2.8033937708618,-0.175068049707553,0.905949894857087
"Teacher and Student",1.10721271307502,-2.38280392510586,0.199327774678065,-2.61466132016856,-0.0622700300400026
"Professor and Graduate student",2.11448282267699,-2.23160948318537,0.634803238992165,-0.716624020879381,-0.483188054610377
"Master and Servant",2.79361600511693,0.745919955501728,-2.91979189907978,-0.381781827673568,-2.49568997502241
"Between Close Friends",-5.75526432743904,-1.17701778744173,0.0317805040747564,0.0710552130472497,1.22918751522791
"Between casual acquaintances",0.508033143463422,3.86747596677142,2.54105398000939,0.231620927194218,0.753255494924368
"Between teammates in sports",-1.96110856673319,-1.61243253451599,0.253341269377319,-0.785919118379486,2.3330900901685
"Between second cousins",-3.10989366690645,3.16413614265879,1.95012342923918,0.435657262090666,-0.423346325488004
"Parent and Infant",-5.77752553977249,-0.923761105742353,-0.665770728505533,-0.747569134562167,-2.62565214387951
"Grandparent and Grandchild",-5.71533709134027,-0.247132639769365,-0.355262928936622,-1.43807351205292,-1.70378830698716
"Step-parent and Step-child",-4.71791526403861,-0.714052661935849,-1.63085337528773,-0.61352423455701,-0.827131050270137
"Foster-parent and Foster-child",-4.18730595457378,-1.44030510181824,-1.10076069109419,-1.22569013267695,-1.38989513950782
"Godparent and Godchild",-4.29790590880882,0.916670147804516,1.04228300617133,-0.64554424516941,-1.41303769604745
"Step-grandparent and Step-grandchild",-4.71516256682473,0.931921575153642,0.905518658563329,-0.582515400632945,-1.30575178820143
"Ancestor and Descendant",-2.28698262695616,4.60860023129849,3.13486409657543,-0.0133956794070033,-2.44942724961137
"Bride and Groom",-6.68414259353952,-1.84932102689524,-1.5333907828513,1.35369344365004,0.403421523025557
"Man and His Mistress",-3.28915645553395,-0.0371900628828285,-1.8493010608261,3.42537642332621,-1.28370772893139
"Man Wife and Man Mistress",-1.07410142263933,3.99214126407742,-1.69811424661659,2.27133672129662,-1.6658661132147
"Brother and Sister",-4.65834343796042,0.461625697603999,0.1369204865182,-1.57250197936821,0.664881651207389
"Between step-siblings",-4.0938787035648,1.15134342072934,-0.300014002187578,-0.52864374533167,1.26571108246728
"Between distant relatives",-1.08920874266886,4.97163246078935,2.97246362449964,0.736985411627092,-0.678930990841407
"Between close relatives",-5.25885188659313,0.238488523657656,-0.522718342992358,-0.230165176860845,0.153414339235121
"Between twins",-5.72089008984097,0.58134551778802,-0.582411489917568,-0.728398211557935,0.82302595997392
"Between a person and their family friends",-4.70073043630778,0.0719242596222584,0.239382004451884,0.20458639639852,0.831330362771922
"Between a person and their deceased spouse",-4.39555939532438,5.95121823396149,2.22863160574542,0.11097160575556,-3.47402262441377
"Manager and Staff",2.483207499732,-2.77612927435299,-0.224492330372546,-1.12126010341147,0.381736358259315
"Foreman and Laborer",3.70547045703541,-2.46904106092642,-0.0206381737751097,0.0565980463836491,-0.809393121827465
"Owner and Manager",3.07299521959502,-2.50025135528227,-0.417158290027758,-0.0798180292350953,-0.449295082020392
"Union leader and union member",2.93888483825214,-2.48667993986635,1.17067156673758,-0.359097387548258,0.289035124337021
"Manager and Assistant",2.06001307920405,-2.6318631707565,-0.569071857427145,-1.20316972369825,-0.171604333460628
"Chief and Deputy",0.707914380521803,-2.17097712783689,0.409247051766928,-2.82067437836874,-0.377015884391553
"Supervisor and Subordinate",2.63234913048921,-2.47491260625477,-0.346465766125776,-1.2485715841227,0.0733537622321602
"Boss and Secretary",1.93413351259084,-3.25365598704639,-0.113673814053797,-0.840678969967806,-0.765021570287678
"Entrepreneur and Investor",3.04387368417897,-3.45890757178004,1.04858654317072,2.16612326188781,-0.514824983685964
"Intern and Employee",2.3845965621538,-1.9340230045303,0.417224058409917,-0.236303868928459,0.707306073774706
"Lawyer and Client",2.68002145483007,-3.55650499766379,-0.254033942159188,1.10809371910761,-0.957305771416749
"Judge and Lawyer",3.51144138631208,-1.61673261031785,-0.473224600237962,-1.05305790248401,0.786809309702149
"Victim and Criminal",3.5067748023426,3.93631751657698,-3.02567351392183,-0.192223391686091,-1.25336606164864
"Drug dealer and Addict",2.88000460625645,-1.44611842517938,-1.58110639743743,4.40292403534518,-0.851815511924742
"Victim and Witness",1.52185080574583,1.79447899235225,-0.0112819169866786,-1.31247940372359,0.0465063127278713
"Criminal and Police officer",5.0435458609266,2.97697534274128,-2.38167890171329,-2.7828504089104,-0.596115504830243
"Criminal and Prosecutor",4.67873359308788,1.63109830758339,-2.21304271246406,-1.45912552232205,0.0262357911253433
"Criminal and Hostage",4.21656333478945,2.26068959681412,-4.82165097975003,0.55264441986746,0.436083829124073
"Defendant and Plaintiff",4.45095016642943,0.415695954567195,-3.20281977863438,-0.0228243745000014,1.34020058677544
"Police officer and Offender",5.18937409332262,2.25222969940036,-2.41281865595842,-2.34663502003244,-0.20677417823402
"Police officer and Civilian",4.28336949418189,1.09825741273848,0.0757025587509048,-2.72435790283109,-0.442854224057725
"Parole officer and Parolee",3.49967014719109,-0.132877791671507,-0.990248593174284,-2.48298569411639,-1.64626896079022
"Consultant and Client",3.2796926370128,-2.72661734099203,1.27283723102103,1.67686583022698,-0.638219347899274
"Chef and Customer",5.12257762755083,-1.11076463316231,2.35208429308333,2.91062198734667,-0.838780535756258
"Customer and Server",4.6710905457473,-2.75908736915531,1.01591966486919,2.09242051373014,-0.403081522748005
"Customer and Businessman",4.66259614439097,-3.55348063443025,0.223695765823841,2.40348739639156,0.733852962822256
"Doctor and Patient",2.36324897564599,-2.88430933716473,0.324636665930053,0.111397706513772,-1.90280054836143
"Doctor and Nurse",1.23650456635466,-2.66632859638494,0.522912175831507,-1.75313557100078,0.141040888537839
"Patient and Caretaker",0.337657255484383,-3.07855536434057,-0.296379790241508,-1.15922506685101,-1.58229592890521
"Driver and Passenger",2.47641973362854,-1.12832112339877,0.340282387990734,0.829388060887811,1.14548043468499
"Coach and athlete",0.5213865837248,-2.49530088602773,0.215190434148785,-1.67876813144393,0.234238231819994
"Team Captain and Team Members",0.0525558887009975,-1.65324233294071,0.721213945231541,-1.9690094210743,1.38335413477759
"Club Member and Club President",1.38043806727125,-0.853174703847551,0.961961771979303,-0.50538049744762,-0.190353556110888
"Politician and Supporter",3.63584770901651,0.349066570382962,2.33783437410861,-0.798655330085498,-0.0705220472069998
