"","x"
"1","Student and Dorm Resident assistant"
"2","Union leader and union member"
"3","Intern and Employee"
"4","Mentor and Mentee"
"5","Religious leader and Congregant"
"6","Teacher and Student"
"7","Employer and Employee"
"8","Supervisor and Subordinate"
"9","Team Captain and Team Members"
"10","Predecessor and Successor"
"11","Interviewer and Job applicant"
"12","Officer and Soldier"
"13","Between a monarch and their minister"
"14","Professor and Graduate student"
"15","Director and Performer"
"16","Athletic trainer and Trainee"
"17","Doctor and Nurse"
"18","Landlord and Housekeeper"
"19","Foreman and Laborer"
"20","Superior and Subordinate"
"21","Club Member and Club President"
"22","Chief and Deputy"
"23","Athlete and Referee"
"24","Principal and Teacher"
"25","Judge and Lawyer"
"26","Coach and athlete"
"27","University student and Administrator"
"28","Leader and Follower"
"29","Man and God"
"30","Volunteer and Organizer"
"31","Manager and Staff"
"32","Owner and Manager"
"33","Manager and Assistant"
"34","Boss and Secretary"
"35","Professor and Teaching Assistant"
