,Parent and Child,Parent and Teenager,Wife and Husband,Fiance and Fiancee,Between Siblings,Between divorced spouses,Between a person and their in-laws,Between cousins,Employer and Employee,Interviewer and Job applicant,Guard and Prisoner,Nurse and Patient,Therapist and Patient,Salesperson and Customer,Between Business Partners,Between opposing negotiators,Between political opponents,Between business rivals,Between enemies,Teacher and Student,Professor and Graduate student,Master and Servant,Between Close Friends,Between casual acquaintances,Between teammates in sports,Between second cousins,Parent and Infant,Grandparent and Grandchild,Step-parent and Step-child,Foster-parent and Foster-child,Godparent and Godchild,Step-grandparent and Step-grandchild,Ancestor and Descendant,Bride and Groom,Man and His Mistress,Man Wife and Man Mistress,Brother and Sister,Between step-siblings,Between distant relatives,Between close relatives,Between twins,Between a person and their family friends,Between a person and their deceased spouse,Manager and Staff,Foreman and Laborer,Owner and Manager,Union leader and union member,Manager and Assistant,Chief and Deputy,Supervisor and Subordinate,Boss and Secretary,Entrepreneur and Investor,Intern and Employee,Lawyer and Client,Judge and Lawyer,Victim and Criminal,Drug dealer and Addict,Victim and Witness,Criminal and Police officer,Criminal and Prosecutor,Criminal and Hostage,Defendant and Plaintiff,Police officer and Offender,Police officer and Civilian,Parole officer and Parolee,Consultant and Client,Chef and Customer,Customer and Server,Customer and Businessman,Doctor and Patient,Doctor and Nurse,Patient and Caretaker,Driver and Passenger,Coach and athlete,Team Captain and Team Members,Club Member and Club President,Politician and Supporter,Leader and Follower,Representative and Citizen,Officer and Soldier,Babysitter and Infant,Religious leader and Congregant,Between religious followers,Prostitute and Customer,Guide and Tourist,Athlete and Referee,Slave and Master,Reader and Writer,Reviewer and Writer,Performer and Audience,Dealer and Buyer,Sugar-daddy and Sugar-baby,Director and Performer,Psychologist and Client,Judge and Contestant,Man and God,Between Co-workers,Between sports rivals,Between romantic rivals,Between criminal and their accomplice,Between diplomats,Principal and Teacher,Professor and Teaching Assistant,University student and Administrator,Student and Dorm Resident assistant,Mentor and Mentee,Athletic trainer and Trainee,Researcher and Research Subject,Between peers,Between classmates,Between roommates,Between sorority sisters,Between fraternity brothers,Bride and Bridesmaid,Groom and Groomsman,Predecessor and Successor,Landlord and Tenant,Landlord and Housekeeper,Guest and Host,Television host and Guest,Volunteer and Organizer,Celebrity and Fans,Celebrity and Haters,Native and Tourist,Bully and Victim,Between friends,Between Facebook Friends,Between a person and their social media follower,Between childhood friends,Between pen-friends,Between friends with benefits,Between political allies,Between romantic lovers,Between ex-lovers,Between life-partners,Between soul-mates,Between strangers,Between neighbors,Between church members,Between fans of the same sports team,Between fans of opposing sports teams,Superior and Subordinate,Aunt and Niece/Nephew,Uncle and Niece/Nephew,Between frenemies,Between half-siblings,Between adoptive parents and adopted kids,Mother and Infant,Between alumni,Between a monarch and their minister,Between confidants,Between a person and their significant other,Between companions,Between playmates,Between competitors in sports,Between a person and their crush,Between cohabitants,Between long-distance lovers,Between brothers-in-arms
Valence Evaluation,97.46428571428571,84.57575757575758,93.14814814814815,92.17241379310344,94.17241379310344,32.5,77.7,83.625,76.36,72.5,26.2,87.64285714285714,87.33333333333333,71.6,64.25,18.333333333333332,13.214285714285714,13.5,7.041666666666667,88.08571428571429,89.81818181818181,66.9090909090909,93.48,59.09375,86.57692307692308,84.2258064516129,95.64864864864865,93.46875,82.63333333333334,85.0,90.36363636363636,87.03225806451613,89.19354838709677,95.35483870967742,63.45,8.6,91.55,68.17241379310344,71.31818181818181,88.6,90.62962962962963,84.62962962962963,78.9,78.79166666666667,77.6,79.03448275862068,76.75757575757575,86.26666666666667,58.074074074074076,78.07692307692308,79.8,91.03571428571429,47.0,87.03225806451613,63.0,7.6521739130434785,62.48,61.57575757575758,8.428571428571429,11.863636363636363,13.434782608695652,7.481481481481482,37.44444444444444,80.70588235294117,50.16129032258065,79.8,79.28571428571429,83.33333333333333,71.60714285714286,88.36666666666666,90.47058823529412,87.29166666666667,84.42307692307692,93.47058823529412,75.6,76.46666666666667,72.64285714285714,81.74285714285715,85.79166666666667,80.55555555555556,91.47368421052632,79.84,79.33333333333333,65.51351351351352,78.52,69.88461538461539,24.65625,80.53571428571429,63.96,90.63333333333334,79.35714285714286,68.53333333333333,81.5,82.73076923076923,68.38461538461539,75.31818181818181,63.689655172413794,16.151515151515152,5.6,71.76470588235294,47.041666666666664,85.92592592592592,90.38095238095238,85.65625,74.6,88.55172413793103,87.7,91.64285714285714,78.03703703703704,88.97222222222223,82.3,79.48,83.45161290322581,87.78571428571429,89.9,54.53333333333333,75.5925925925926,83.26086956521739,83.64285714285714,81.34615384615384,91.64516129032258,81.375,10.925925925925926,72.6,8.52,93.90322580645162,73.75757575757575,82.27586206896552,87.33333333333333,85.93939393939394,82.5,74.6,94.32,54.964285714285715,94.34375,95.68,45.392857142857146,82.48,77.82352941176471,88.88,11.88888888888889,75.375,91.35,89.96666666666667,16.6875,69.0,90.23809523809524,86.5,74.65384615384616,75.17241379310344,94.6923076923077,92.88888888888889,77.35714285714286,86.63636363636364,15.966666666666667,72.19354838709677,86.65,91.0,94.45833333333333
Equality,25.357142857142858,19.89189189189189,93.4090909090909,92.3913043478261,87.75,84.72727272727273,33.58064516129032,84.72727272727273,23.625,27.130434782608695,22.607142857142858,59.26086956521739,51.5,60.86206896551724,74.77777777777777,77.48,63.03333333333333,80.36363636363636,70.375,27.526315789473685,22.24,12.206896551724139,90.65625,81.47826086956522,89.74285714285715,81.03448275862068,22.545454545454547,34.6,26.529411764705884,30.91176470588235,24.771428571428572,13.076923076923077,18.0,99.4,47.25,25.620689655172413,85.91304347826087,74.07142857142857,66.04761904761905,58.44827586206897,95.96551724137932,30.703703703703702,87.92,17.862068965517242,16.61111111111111,22.785714285714285,26.424242424242426,27.40625,19.25,14.64,10.1,30.20689655172414,36.53846153846154,60.607142857142854,43.07142857142857,41.6,39.205882352941174,63.625,24.296296296296298,24.3125,18.74074074074074,76.81481481481481,52.03846153846154,46.041666666666664,29.03448275862069,48.26923076923077,52.88235294117647,54.827586206896555,48.55172413793103,52.588235294117645,24.696969696969695,50.608695652173914,67.44827586206897,27.23076923076923,25.75,15.444444444444445,23.26923076923077,22.10810810810811,40.05882352941177,3.8666666666666667,37.766666666666666,13.384615384615385,63.82857142857143,34.588235294117645,57.121212121212125,34.34782608695652,14.0,71.41176470588235,63.53125,63.06666666666667,81.21875,22.03030303030303,31.45,60.888888888888886,29.14814814814815,26.26086956521739,78.53571428571429,87.90625,77.66666666666667,51.333333333333336,73.26923076923077,24.384615384615383,26.03846153846154,27.136363636363637,39.8125,26.3125,30.838709677419356,63.03225806451613,81.27272727272727,89.89285714285714,90.89655172413794,86.3103448275862,88.63888888888889,85.39285714285714,84.63157894736842,50.875,50.73076923076923,28.0,54.3,62.142857142857146,64.96875,34.48,47.266666666666666,74.66666666666667,29.2,93.1304347826087,86.46666666666667,53.6875,91.5925925925926,90.24324324324324,80.04,73.14814814814815,88.72727272727273,90.1,95.2,90.27272727272727,78.58823529411765,90.08571428571429,50.282051282051285,88.44827586206897,78.34782608695652,10.88888888888889,25.73913043478261,35.458333333333336,61.53846153846154,73.0,30.863636363636363,41.08695652173913,86.21428571428571,6.36,97.8,91.42307692307692,85.90322580645162,90.57575757575758,89.5,60.4,87.89655172413794,90.74074074074075,93.60606060606061
Activity Intensity,97.25,89.05,98.26086956521739,90.95454545454545,94.52631578947368,57.2,75.93939393939394,77.94736842105263,42.476190476190474,20.62857142857143,50.9,50.82608695652174,47.53333333333333,42.81818181818182,52.23529411764706,37.526315789473685,61.78947368421053,55.5625,41.1764705882353,78.65517241379311,74.57894736842105,67.15789473684211,87.11111111111111,25.238095238095237,86.5,50.73913043478261,95.82857142857142,89.6875,69.45,86.05263157894737,76.29166666666667,81.55,64.66666666666667,94.91304347826087,68.44,14.37037037037037,90.64285714285714,72.21739130434783,43.35,83.47826086956522,92.62962962962963,47.5625,75.90322580645162,68.0,62.36842105263158,59.125,51.1,64.38888888888889,52.9,50.8,60.28,66.5909090909091,50.38461538461539,49.733333333333334,34.94444444444444,25.846153846153847,37.733333333333334,24.2,39.9,46.714285714285715,19.476190476190474,42.22222222222222,12.842105263157896,47.535714285714285,35.95454545454545,42.68,20.44736842105263,25.366666666666667,17.52173913043478,48.65625,70.83333333333333,49.52,25.266666666666666,84.31818181818181,76.86363636363636,53.1,45.55555555555556,66.8076923076923,34.51428571428571,77.85185185185185,65.8076923076923,66.375,61.78947368421053,15.181818181818182,34.73684210526316,41.64,45.87096774193548,45.48,44.95454545454545,33.2,33.0,38.3125,55.38709677419355,45.958333333333336,31.848484848484848,38.60606060606061,76.73333333333333,61.56521739130435,27.125,60.0,45.275862068965516,68.65,63.69230769230769,66.64,49.58064516129032,72.36363636363636,74.03333333333333,48.73913043478261,70.3,77.28571428571429,82.32142857142857,74.5,62.21052631578947,77.35714285714286,78.14814814814815,38.84,24.5625,40.529411764705884,52.916666666666664,34.041666666666664,60.4,49.82142857142857,43.142857142857146,27.096774193548388,27.806451612903224,92.57142857142857,46.08695652173913,50.53333333333333,83.46153846153847,73.91666666666667,44.041666666666664,59.40909090909091,91.8695652173913,68.8108108108108,94.96551724137932,91.24,13.222222222222221,59.411764705882355,63.36,43.7,25.516129032258064,60.78787878787879,71.28571428571429,84.1875,26.533333333333335,72.70588235294117,84.96296296296296,97.3103448275862,51.77777777777778,68.5909090909091,87.41379310344827,93.75862068965517,47.16129032258065,92.47619047619048,51.666666666666664,53.26315789473684,82.35483870967742,74.68181818181819,93.31818181818181
Socioemotional,90.64,90.15384615384616,89.82142857142857,83.26666666666667,92.71428571428571,71.6,79.1875,86.36363636363636,22.548387096774192,13.542857142857143,22.928571428571427,29.523809523809526,17.925925925925927,21.21212121212121,21.46153846153846,12.631578947368421,30.03846153846154,16.692307692307693,38.166666666666664,39.766666666666666,32.5625,37.86363636363637,87.58620689655173,51.4,55.67741935483871,77.83333333333333,90.48571428571428,87.12121212121212,82.78787878787878,85.23684210526316,79.25,83.85714285714286,89.04347826086956,84.54166666666667,82.5,72.18181818181819,87.22222222222223,81.37037037037037,73.82608695652173,86.39285714285714,88.52631578947368,78.25,89.15384615384616,19.653846153846153,17.6,19.3125,28.513513513513512,21.424242424242426,19.25,18.08695652173913,19.705882352941178,21.59259259259259,23.458333333333332,25.2972972972973,6.741935483870968,46.69230769230769,33.861111111111114,45.225806451612904,16.130434782608695,13.761904761904763,28.666666666666668,39.5,16.73913043478261,35.4375,22.258064516129032,23.03125,19.3125,19.6,21.210526315789473,37.4,23.419354838709676,24.85185185185185,16.52173913043478,38.189189189189186,27.392857142857142,32.48,36.36363636363637,48.516129032258064,37.9,32.6551724137931,45.82142857142857,46.26086956521739,62.241379310344826,30.9,20.72972972972973,14.0,36.529411764705884,51.666666666666664,39.74193548387097,47.392857142857146,25.77777777777778,40.758620689655174,22.2,22.79310344827586,14.84375,58.72727272727273,33.04545454545455,32.55555555555556,64.70370370370371,33.4,16.77777777777778,29.06451612903226,31.692307692307693,25.894736842105264,33.83870967741935,38.44117647058823,25.52173913043478,17.125,75.24324324324324,78.14285714285714,74.48,68.5925925925926,78.76,81.81481481481481,76.75675675675676,27.966666666666665,26.423076923076923,25.379310344827587,65.83333333333333,22.5,47.24,64.17857142857143,60.90625,36.77142857142857,52.96,85.65714285714286,65.85714285714286,56.193548387096776,80.96428571428571,80.59375,67.22222222222223,34.12903225806452,91.72727272727273,79.13513513513513,91.11538461538461,86.9047619047619,35.21621621621622,69.77142857142857,57.86363636363637,69.25,52.70967741935484,26.555555555555557,83.45454545454545,82.33333333333333,42.53125,79.64285714285714,73.90625,93.97142857142858,74.03571428571429,31.08,91.79411764705883,88.08,49.629629629629626,88.16129032258064,33.516129032258064,81.14285714285714,78.1470588235294,92.23809523809524,77.46153846153847
Formality and Regulation,23.838709677419356,21.87878787878788,41.80555555555556,27.04,26.03448275862069,50.96296296296296,32.629629629629626,37.75,86.72727272727273,84.06666666666666,82.13333333333334,78.66666666666667,90.17241379310344,74.25806451612904,73.41379310344827,84.58064516129032,65.75862068965517,67.44117647058823,40.94285714285714,77.16216216216216,74.11111111111111,58.54545454545455,15.75,33.5,65.89285714285714,20.071428571428573,31.676470588235293,21.357142857142858,33.921052631578945,37.275862068965516,43.63636363636363,28.789473684210527,25.962962962962962,54.53846153846154,23.294117647058822,24.379310344827587,18.08,28.586206896551722,27.565217391304348,19.75,16.48,24.741935483870968,27.727272727272727,88.85185185185185,79.07692307692308,89.44827586206897,84.33333333333333,84.0,85.65517241379311,87.78571428571429,87.70370370370371,84.52,71.75,93.32352941176471,89.58064516129032,34.88,40.03333333333333,55.225806451612904,80.52777777777777,93.84,43.48275862068966,78.21428571428571,87.88571428571429,71.8,82.58333333333333,85.08,68.77777777777777,70.57142857142857,78.6,82.7741935483871,90.2258064516129,79.5,71.70370370370371,75.96,77.14814814814815,79.86206896551724,80.27586206896552,63.2962962962963,74.6,89.79310344827586,56.6,69.36,56.851851851851855,50.125,79.65517241379311,82.13333333333334,58.89473684210526,62.44,61.333333333333336,54.875,72.79310344827586,27.15,80.45454545454545,81.32,94.54545454545455,29.0,64.6,82.96875,25.79310344827586,40.733333333333334,92.47826086956522,85.57692307692308,75.43333333333334,76.5609756097561,71.17647058823529,70.28571428571429,81.26923076923077,72.21875,31.5,29.032258064516128,41.225806451612904,34.78260869565217,35.0,24.09090909090909,33.810810810810814,66.0,82.57142857142857,74.0,37.958333333333336,75.81481481481481,78.82608695652173,52.08,28.03846153846154,43.0,22.214285714285715,9.870967741935484,35.7037037037037,39.6,21.724137931034484,32.34615384615385,25.565217391304348,81.85714285714286,35.52,25.02857142857143,27.413793103448278,31.884615384615383,36.333333333333336,23.633333333333333,56.75,33.166666666666664,37.18181818181818,85.66666666666667,22.97142857142857,30.40740740740741,26.896551724137932,33.07142857142857,38.34782608695652,34.46666666666667,41.45161290322581,85.80645161290323,27.379310344827587,13.241379310344827,33.73913043478261,18.62962962962963,82.03333333333333,17.392857142857142,33.193548387096776,33.15384615384615,39.1875
Intimacy,95.5625,88.96551724137932,97.0,95.65384615384616,88.86666666666666,32.46875,71.79310344827586,78.16216216216216,33.972972972972975,17.533333333333335,15.766666666666667,46.833333333333336,40.148148148148145,33.67741935483871,41.03846153846154,14.74074074074074,12.407407407407407,17.862068965517242,7.481481481481482,70.0,56.90909090909091,46.82608695652174,90.95833333333333,28.74074074074074,81.0,60.774193548387096,98.93333333333334,94.4074074074074,76.89189189189189,80.58333333333333,76.28,85.86666666666666,79.03846153846153,97.78947368421052,78.35483870967742,13.0,90.7,69.53571428571429,50.5,88.15384615384616,97.45833333333333,60.76923076923077,88.46666666666667,38.7,32.64,38.18518518518518,41.2,36.027027027027025,39.43333333333333,38.85,37.54838709677419,37.285714285714285,43.92,28.115384615384617,18.766666666666666,17.608695652173914,23.82608695652174,22.470588235294116,7.423076923076923,7.28,9.391304347826088,13.041666666666666,13.09375,49.57142857142857,26.75,45.60606060606061,23.1,22.363636363636363,28.16,44.0,47.44444444444444,43.916666666666664,20.096774193548388,62.32258064516129,41.714285714285715,44.54545454545455,40.67857142857143,50.13333333333333,45.47826086956522,54.225806451612904,60.96551724137931,54.31818181818182,58.607142857142854,26.695652173913043,37.48148148148148,21.8,12.761904761904763,44.21739130434783,28.13157894736842,27.16,23.655172413793103,61.233333333333334,43.09090909090909,49.03225806451613,17.178571428571427,38.9,46.61290322580645,24.923076923076923,12.9375,35.529411764705884,33.2962962962963,39.0,61.21739130434783,48.857142857142854,26.473684210526315,52.096774193548384,47.44827586206897,37.21875,65.6875,73.14285714285714,76.39285714285714,74.88,67.0909090909091,82.60714285714286,72.38888888888889,27.903225806451612,29.3,37.75,73.32,25.17241379310345,42.96551724137931,44.73913043478261,10.318181818181818,14.933333333333334,5.125,85.23809523809524,47.03846153846154,29.40909090909091,83.5,67.17142857142858,73.36363636363636,49.96296296296296,95.73913043478261,65.9047619047619,99.25,94.82142857142857,13.088235294117647,57.2,45.833333333333336,61.333333333333336,14.724137931034482,37.86486486486486,80.88888888888889,85.43333333333334,12.84375,68.14814814814815,85.85714285714286,96.875,63.2962962962963,47.583333333333336,90.85,94.70588235294117,48.3448275862069,86.875,29.8,57.964285714285715,83.36363636363636,87.14285714285714,92.21428571428571
Visibility,73.75757575757575,75.80555555555556,67.19354838709677,62.30769230769231,61.57142857142857,46.111111111111114,71.88,82.32432432432432,82.43478260869566,74.12820512820512,56.62068965517241,79.91666666666667,68.46153846153847,79.51515151515152,80.20833333333333,73.3913043478261,61.111111111111114,52.43333333333333,50.25806451612903,85.75675675675676,81.81481481481481,54.8,77.625,61.291666666666664,84.3076923076923,62.26923076923077,66.23076923076923,82.6086956521739,62.23076923076923,68.62857142857143,74.03125,72.92,62.56,79.4375,5.636363636363637,13.25,85.86666666666666,63.17857142857143,74.6086956521739,54.375,77.625,75.29629629629629,45.95238095238095,80.48,87.22727272727273,83.6896551724138,80.19444444444444,76.24242424242425,78.59375,86.46428571428571,73.48275862068965,75.88461538461539,85.97222222222223,76.39285714285714,84.90625,45.15384615384615,8.464285714285714,48.72222222222222,66.20689655172414,73.86363636363636,37.03703703703704,87.1,83.91666666666667,87.76470588235294,61.935483870967744,71.51851851851852,85.51515151515152,86.4,85.44,80.6842105263158,89.56666666666666,81.41935483870968,80.76,89.5,84.86666666666666,74.96428571428571,74.60714285714286,85.26923076923077,87.88571428571429,77.3,81.96,66.73913043478261,73.9375,2.875,86.16666666666667,87.62857142857143,59.484848484848484,79.71428571428571,82.78571428571429,88.18518518518519,68.25,17.129032258064516,84.32432432432432,36.111111111111114,89.47368421052632,57.708333333333336,81.87096774193549,87.0,40.696969696969695,8.533333333333333,82.92592592592592,89.62068965517241,74.4,86.8108108108108,81.7,82.46428571428571,86.82142857142857,64.03333333333333,87.03225806451613,86.7741935483871,64.0,68.9,84.6086956521739,76.71428571428571,76.17391304347827,67.76470588235294,65.0,73.0,54.72,86.84615384615384,90.29166666666667,83.43478260869566,56.3448275862069,82.74285714285715,31.04,61.39393939393939,54.51724137931034,74.26666666666667,71.4375,35.18421052631579,7.529411764705882,67.13636363636364,50.68181818181818,31.806451612903224,67.51428571428572,45.875,61.945945945945944,86.97222222222223,66.75,79.6,68.0,77.44444444444444,65.17647058823529,69.96428571428571,36.1,64.45833333333333,72.16666666666667,81.21739130434783,82.87878787878788,69.5,53.241379310344826,54.10344827586207,72.75862068965517,64.62162162162163,84.10810810810811,15.53125,48.523809523809526,60.1875,78.80952380952381
Communal Sharing,91.92857142857143,89.89655172413794,82.73076923076923,83.42307692307692,86.60714285714286,36.7,75.9,81.77777777777777,32.30769230769231,31.62857142857143,22.125,35.5,15.321428571428571,20.814814814814813,28.20689655172414,17.033333333333335,21.28,16.517241379310345,9.91304347826087,73.47058823529412,67.23529411764706,20.11111111111111,86.29032258064517,41.07692307692308,88.37931034482759,64.48275862068965,96.97560975609755,92.0,72.53571428571429,74.8,80.6,84.41025641025641,85.41379310344827,90.66666666666667,27.846153846153847,19.8,85.73333333333333,73.76923076923077,55.61904761904762,83.48,92.82352941176471,56.34782608695652,82.8,33.8,13.76,22.454545454545453,56.648648648648646,36.8125,35.794117647058826,31.11111111111111,18.363636363636363,25.541666666666668,47.724137931034484,19.05263157894737,36.25806451612903,17.655172413793103,15.935483870967742,42.370370370370374,27.545454545454547,31.96,12.903225806451612,15.75,39.3235294117647,69.29411764705883,19.93103448275862,21.25925925925926,20.7,15.045454545454545,15.433333333333334,26.65714285714286,57.82142857142857,25.21212121212121,20.96153846153846,52.94117647058823,49.92857142857143,40.58064516129032,35.48275862068966,49.1,63.891891891891895,58.111111111111114,27.11111111111111,55.30769230769231,70.2,4.564102564102564,32.80769230769231,46.70967741935484,20.448275862068964,37.53333333333333,51.55172413793103,31.344827586206897,16.71875,15.551724137931034,18.263157894736842,29.636363636363637,29.933333333333334,63.666666666666664,46.25,31.823529411764707,29.363636363636363,34.5,35.142857142857146,55.541666666666664,54.793103448275865,62.829268292682926,43.857142857142854,58.333333333333336,53.793103448275865,28.344827586206897,63.5,78.5,81.38888888888889,59.56,81.63636363636364,81.20689655172414,72.78571428571429,46.44444444444444,11.533333333333333,23.03448275862069,65.58333333333333,41.44444444444444,73.7,43.8,29.25,32.80555555555556,17.185185185185187,90.1,58.25925925925926,31.970588235294116,81.88235294117646,72.54545454545455,33.93939393939394,37.791666666666664,84.3103448275862,66.56666666666666,89.48717948717949,94.74074074074075,27.3125,59.2,60.7,66.70833333333333,36.6,40.5,89.88888888888889,79.09375,21.58823529411765,74.39285714285714,81.625,95.9,65.13793103448276,33.75,91.0,89.76923076923077,64.73333333333333,86.52777777777777,35.15384615384615,63.04,77.04761904761905,86.73333333333333,84.72413793103448
Expected Reciprocity,27.416666666666668,31.08695652173913,37.3235294117647,43.13636363636363,57.6,42.12903225806452,45.65384615384615,45.30555555555556,82.625,62.666666666666664,20.15625,46.0,67.78260869565217,74.86206896551724,92.82142857142857,50.125,49.6,29.14814814814815,31.428571428571427,38.208333333333336,66.19444444444444,75.92592592592592,40.8,49.83870967741935,68.31428571428572,39.56,33.625,28.61764705882353,44.0,34.411764705882355,36.96153846153846,24.566666666666666,38.041666666666664,43.38095238095238,41.80952380952381,13.1,37.8,41.58620689655172,51.78947368421053,53.964285714285715,45.24,45.27272727272727,30.5625,82.96551724137932,75.9,84.81481481481481,75.48387096774194,80.45454545454545,61.774193548387096,75.58620689655173,72.7741935483871,88.32,77.6875,76.77777777777777,34.96666666666667,12.423076923076923,70.8076923076923,27.0,22.193548387096776,17.125,21.0,16.24,23.884615384615383,44.07692307692308,53.416666666666664,69.5925925925926,76.04761904761905,52.611111111111114,77.08,54.93333333333333,65.3,52.68421052631579,83.88888888888889,77.6875,70.88,73.85714285714286,72.76923076923077,44.241379310344826,57.23529411764706,52.473684210526315,63.041666666666664,35.96153846153846,32.5,69.27777777777777,74.06666666666666,35.41379310344828,28.857142857142858,60.4,57.125,49.3125,67.88888888888889,59.15625,81.0909090909091,67.17391304347827,51.333333333333336,21.157894736842106,70.89655172413794,35.0,20.307692307692307,79.06666666666666,68.04545454545455,64.76923076923077,73.69565217391305,61.666666666666664,40.714285714285715,59.93103448275862,74.93103448275862,72.0625,54.375,64.14285714285714,56.666666666666664,65.95833333333333,54.02857142857143,42.608695652173914,42.7,37.2,70.9,69.07894736842105,60.470588235294116,62.52,37.5,39.3125,19.352941176470587,50.611111111111114,6.961538461538462,67.26086956521739,59.0,45.8,49.25,50.92857142857143,72.04545454545455,89.14285714285714,53.82142857142857,41.869565217391305,53.0,61.96153846153846,44.37931034482759,64.58620689655173,53.121212121212125,56.95,17.266666666666666,70.47368421052632,24.263157894736842,33.333333333333336,44.111111111111114,38.5,36.68421052631579,34.75,59.03448275862069,66.36,66.86363636363636,50.61904761904762,60.47826086956522,47.36666666666667,25.11111111111111,25.846153846153847,63.7,53.935483870967744,37.53333333333333
Strategic,7.181818181818182,15.545454545454545,17.0,28.041666666666668,11.55,72.11111111111111,20.24137931034483,21.0,74.88888888888889,82.25641025641026,55.55,44.09090909090909,53.23809523809524,86.95238095238095,78.0,87.63157894736842,90.16666666666667,90.15789473684211,79.84210526315789,39.32258064516129,48.88235294117647,56.0625,19.523809523809526,46.2,60.15,22.114285714285714,13.862068965517242,5.176470588235294,29.3,19.15,28.15,19.956521739130434,16.157894736842106,19.0,37.130434782608695,69.96,13.708333333333334,39.53333333333333,42.11764705882353,20.0,14.083333333333334,19.555555555555557,19.310344827586206,88.6470588235294,74.15,82.5,76.22222222222223,74.0,83.27777777777777,84.66666666666667,77.72727272727273,87.34782608695652,67.90322580645162,76.9,84.15,64.16666666666667,89.6842105263158,45.833333333333336,81.33333333333333,79.41379310344827,78.375,79.35,53.34782608695652,37.233333333333334,83.42105263157895,89.4074074074074,79.41666666666667,63.5625,86.25,58.75,46.473684210526315,57.357142857142854,71.5,60.03125,71.2,58.0,71.70588235294117,46.13333333333333,48.54545454545455,53.806451612903224,51.03333333333333,47.92,39.43478260869565,75.6470588235294,82.63157894736842,64.10526315789474,61.35897435897436,44.857142857142854,57.75,45.15,75.6875,86.9047619047619,71.51351351351352,65.07142857142857,66.30434782608695,32.857142857142854,66.0,87.70588235294117,71.84210526315789,79.89285714285714,80.8076923076923,51.5,54.7,49.30952380952381,43.28125,46.142857142857146,71.34782608695652,72.52380952380952,29.885714285714286,34.63157894736842,21.484848484848484,30.833333333333332,43.04761904761905,19.956521739130434,25.694444444444443,67.92307692307692,76.89473684210526,62.31818181818182,39.666666666666664,69.16666666666667,37.10526315789474,52.38095238095238,59.142857142857146,66.3103448275862,50.806451612903224,15.0,30.791666666666668,48.6,26.814814814814813,24.85,55.9,87.44444444444444,19.714285714285715,37.729729729729726,13.848484848484848,19.916666666666668,49.51724137931034,39.22222222222222,49.333333333333336,32.16,59.916666666666664,76.45714285714286,20.3125,22.9,69.0,43.8421052631579,15.90625,12.03448275862069,47.666666666666664,78.0,19.62857142857143,17.066666666666666,39.785714285714285,15.0,87.14814814814815,46.31578947368421,36.36363636363637,23.310344827586206,8.7
