,Parent and Child,Parent and Teenager,Wife and Husband,Fiance and Fiancee,Between Siblings,Between divorced spouses,Between a person and their in-laws,Between cousins,Employer and Employee,Interviewer and Job applicant,Guard and Prisoner,Nurse and Patient,Therapist and Patient,Salesperson and Customer,Between Business Partners,Between opposing negotiators,Between political opponents,Between business rivals,Between enemies,Teacher and Student,Professor and Graduate student,Master and Servant,Between Close Friends,Between casual acquaintances,Between teammates in sports,Between second cousins,Parent and Infant,Grandparent and Grandchild,Step-parent and Step-child,Foster-parent and Foster-child,Godparent and Godchild,Step-grandparent and Step-grandchild,Ancestor and Descendant,Bride and Groom,Man and His Mistress,Man Wife and Man Mistress,Brother and Sister,Between step-siblings,Between distant relatives,Between close relatives,Between twins,Between a person and their family friends,Between a person and their deceased spouse,Manager and Staff,Foreman and Laborer,Owner and Manager,Union leader and union member,Manager and Assistant,Chief and Deputy,Supervisor and Subordinate,Boss and Secretary,Entrepreneur and Investor,Intern and Employee,Lawyer and Client,Judge and Lawyer,Victim and Criminal,Drug dealer and Addict,Victim and Witness,Criminal and Police officer,Criminal and Prosecutor,Criminal and Hostage,Defendant and Plaintiff,Police officer and Offender,Police officer and Civilian,Parole officer and Parolee,Consultant and Client,Chef and Customer,Customer and Server,Customer and Businessman,Doctor and Patient,Doctor and Nurse,Patient and Caretaker,Driver and Passenger,Coach and athlete,Team Captain and Team Members,Club Member and Club President,Politician and Supporter,Leader and Follower,Representative and Citizen,Officer and Soldier,Babysitter and Infant,Religious leader and Congregant,Between religious followers,Prostitute and Customer,Guide and Tourist,Athlete and Referee,Slave and Master,Reader and Writer,Reviewer and Writer,Performer and Audience,Dealer and Buyer,Sugar-daddy and Sugar-baby,Director and Performer,Psychologist and Client,Judge and Contestant,Man and God,Between Co-workers,Between sports rivals,Between romantic rivals,Between criminal and their accomplice,Between diplomats,Principal and Teacher,Professor and Teaching Assistant,University student and Administrator,Student and Dorm Resident assistant,Mentor and Mentee,Athletic trainer and Trainee,Researcher and Research Subject,Between peers,Between classmates,Between roommates,Between sorority sisters,Between fraternity brothers,Bride and Bridesmaid,Groom and Groomsman,Predecessor and Successor,Landlord and Tenant,Landlord and Housekeeper,Guest and Host,Television host and Guest,Volunteer and Organizer,Celebrity and Fans,Celebrity and Haters,Native and Tourist,Bully and Victim,Between friends,Between Facebook Friends,Between a person and their social media follower,Between childhood friends,Between pen-friends,Between friends with benefits,Between political allies,Between romantic lovers,Between ex-lovers,Between life-partners,Between soul-mates,Between strangers,Between neighbors,Between church members,Between fans of the same sports team,Between fans of opposing sports teams,Superior and Subordinate,Aunt and Niece/Nephew,Uncle and Niece/Nephew,Between frenemies,Between half-siblings,Between adoptive parents and adopted kids,Mother and Infant,Between alumni,Between a monarch and their minister,Between confidants,Between a person and their significant other,Between companions,Between playmates,Between competitors in sports,Between a person and their crush,Between cohabitants,Between long-distance lovers,Between brothers-in-arms
Valence Evaluation,96.6,75.375,91.5,91.8,94.07142857142857,38.625,71.73684210526316,78.05882352941177,70.0,71.61538461538461,23.6,86.05882352941177,87.52631578947368,75.23076923076923,60.357142857142854,11.0,12.846153846153847,10.0,9.76923076923077,89.21052631578948,87.95652173913044,68.3157894736842,91.45454545454545,58.526315789473685,86.4,80.38461538461539,95.76470588235294,91.47058823529412,81.53846153846153,90.88888888888889,88.88888888888889,86.13333333333334,88.5,94.5,70.6,6.0,91.91666666666667,58.6875,59.22222222222222,89.33333333333333,89.53333333333333,88.72727272727273,81.0,69.55555555555556,77.46153846153847,75.0,76.27272727272727,84.06666666666666,57.23076923076923,81.15384615384616,77.11111111111111,92.88235294117646,58.07142857142857,87.61538461538461,61.666666666666664,8.529411764705882,55.13333333333333,50.63636363636363,5.714285714285714,12.0,15.181818181818182,8.461538461538462,39.76923076923077,93.0,47.421052631578945,88.75,77.92307692307692,82.53846153846153,65.88235294117646,93.15384615384616,88.81818181818181,83.85714285714286,83.06666666666666,91.33333333333333,77.0,76.46153846153847,70.85714285714286,83.94736842105263,82.6,81.0,93.28571428571429,75.63636363636364,76.33333333333333,71.26315789473684,80.6923076923077,75.71428571428571,29.533333333333335,82.53333333333333,64.3,94.46666666666667,78.07692307692308,66.57142857142857,80.15384615384616,88.83333333333333,73.0,71.33333333333333,58.27272727272727,13.473684210526315,5.4,70.6,48.266666666666666,88.71428571428571,86.07692307692308,89.75,72.6,92.57142857142857,83.3125,91.83333333333333,76.66666666666667,86.75,76.92307692307692,76.35714285714286,76.88235294117646,91.35714285714286,86.28571428571429,40.55555555555556,79.47058823529412,81.5,83.3076923076923,77.93333333333334,92.625,80.0,7.3076923076923075,79.4,1.1428571428571428,94.57142857142857,78.5,81.76923076923077,87.125,88.88888888888889,85.4,74.42857142857143,92.17647058823529,42.142857142857146,93.21052631578948,96.47058823529412,49.266666666666666,81.07142857142857,84.13333333333334,91.57142857142857,4.125,70.7,88.45454545454545,88.46153846153847,9.1,72.36363636363636,87.0,92.0,74.86666666666666,69.0,94.08333333333333,93.3157894736842,74.70588235294117,88.0,20.38888888888889,69.5,90.5,86.66666666666667,95.9
Equality,30.076923076923077,22.529411764705884,93.63636363636364,91.2,94.72727272727273,87.22222222222223,38.31578947368421,83.93333333333334,29.923076923076923,25.416666666666668,27.53846153846154,65.26666666666667,44.4375,59.3125,79.86666666666666,86.16666666666667,80.61538461538461,91.4,72.4375,25.384615384615383,27.157894736842106,15.1875,88.5,77.0909090909091,93.61111111111111,72.46666666666667,11.555555555555555,39.61538461538461,18.066666666666666,33.625,29.375,13.733333333333333,12.714285714285714,99.77777777777777,50.69230769230769,31.466666666666665,82.18181818181819,78.41666666666667,57.4,55.94117647058823,98.58823529411765,34.63636363636363,90.53846153846153,18.454545454545453,14.095238095238095,14.0,29.130434782608695,34.266666666666666,20.5,15.333333333333334,12.636363636363637,28.444444444444443,46.07692307692308,49.92857142857143,44.13333333333333,37.85,40.47826086956522,70.9,14.846153846153847,20.466666666666665,13.1,86.07692307692308,49.92857142857143,48.2,21.058823529411764,37.55555555555556,51.333333333333336,58.357142857142854,48.9375,30.571428571428573,19.6,44.09090909090909,69.33333333333333,25.75,21.933333333333334,19.083333333333332,25.0,23.772727272727273,34.0,4.277777777777778,31.923076923076923,17.46153846153846,58.473684210526315,24.7,53.529411764705884,31.846153846153847,15.857142857142858,72.9090909090909,75.42857142857143,54.5,76.3125,18.8,35.0,63.5,24.785714285714285,28.142857142857142,77.0,87.38461538461539,77.05263157894737,39.09090909090909,68.0,8.0,24.083333333333332,29.833333333333332,44.77777777777778,34.705882352941174,21.733333333333334,51.15384615384615,84.44444444444444,89.53333333333333,92.64285714285714,86.2,88.36842105263158,84.14285714285714,89.2,63.27272727272727,59.0,34.36363636363637,58.0,62.666666666666664,60.8,32.07692307692308,45.642857142857146,77.84615384615384,23.933333333333334,92.125,86.0,46.733333333333334,93.3,89.95833333333333,74.1,67.64285714285714,85.45454545454545,93.45454545454545,92.8,94.07692307692308,80.3076923076923,91.6,43.888888888888886,94.27272727272727,77.0,4.733333333333333,16.0,30.09090909090909,60.642857142857146,68.86666666666666,32.1,31.875,89.33333333333333,1.625,98.0,89.86666666666666,86.15789473684211,94.42105263157895,87.92307692307692,49.583333333333336,92.33333333333333,92.18181818181819,96.63157894736842
Activity Intensity,98.0,88.15384615384616,97.66666666666667,93.875,95.0909090909091,58.142857142857146,76.85,78.33333333333333,40.166666666666664,19.31578947368421,50.0,56.53333333333333,47.166666666666664,40.76923076923077,67.41666666666667,30.181818181818183,64.5,51.125,41.77777777777778,80.71428571428571,74.6,63.416666666666664,85.8,24.7,86.63636363636364,46.833333333333336,97.57894736842105,86.875,73.2,89.25,68.375,79.0,69.16666666666667,94.0909090909091,69.58333333333333,13.846153846153847,94.75,73.61111111111111,40.285714285714285,83.86666666666666,92.7,54.166666666666664,80.17647058823529,65.25,53.46153846153846,63.8,48.625,67.83333333333333,56.357142857142854,36.833333333333336,60.61538461538461,72.0,50.0,52.22222222222222,48.0,22.666666666666668,36.44444444444444,19.875,33.09090909090909,44.166666666666664,18.76923076923077,36.42857142857143,7.818181818181818,50.5,31.833333333333332,47.875,23.842105263157894,19.77777777777778,15.0,26.0,66.72727272727273,46.625,23.363636363636363,86.57142857142857,80.0,50.333333333333336,49.75,63.1875,32.94117647058823,78.26315789473684,69.18181818181819,65.54545454545455,63.416666666666664,15.0,36.7,42.4375,51.57142857142857,52.90909090909091,44.0,25.0,26.90909090909091,35.5,49.75,51.75,25.375,39.07692307692308,85.28571428571429,57.5625,33.0,48.9,41.05,70.33333333333333,66.93333333333334,62.63636363636363,39.5,72.5,69.71428571428571,57.416666666666664,67.84615384615384,75.0,74.5,74.47058823529412,63.69230769230769,78.7,74.84615384615384,22.8,28.818181818181817,44.90909090909091,53.84615384615385,31.09090909090909,58.90909090909091,47.86666666666667,37.7,30.666666666666668,31.266666666666666,91.92857142857143,48.0,57.3,83.07142857142857,73.26666666666667,46.857142857142854,54.666666666666664,90.46666666666667,72.65,97.21428571428571,96.92307692307692,15.88888888888889,52.083333333333336,59.4,51.357142857142854,23.705882352941178,55.416666666666664,79.54545454545455,81.7,16.642857142857142,70.5,83.14285714285714,95.81818181818181,63.875,71.07142857142857,90.3,95.85,50.76470588235294,90.41666666666667,50.38461538461539,53.9,86.83333333333333,71.9090909090909,95.46153846153847
Socioemotional,98.5,87.61538461538461,89.73333333333333,82.16666666666667,91.63157894736842,83.2,79.15789473684211,83.5,20.285714285714285,12.444444444444445,27.375,24.454545454545453,15.8,17.77777777777778,19.823529411764707,10.95,33.45454545454545,13.545454545454545,39.0,36.294117647058826,25.63157894736842,26.666666666666668,88.76923076923077,50.083333333333336,54.88235294117647,80.77777777777777,93.94117647058823,78.6470588235294,83.3157894736842,85.38095238095238,80.18181818181819,88.15,88.53333333333333,82.0909090909091,85.66666666666667,71.5625,92.83333333333333,77.0,69.22222222222223,86.45,97.85714285714286,82.46153846153847,86.85714285714286,24.272727272727273,14.909090909090908,14.68421052631579,32.23076923076923,14.5,9.142857142857142,14.461538461538462,19.38095238095238,11.4,22.928571428571427,29.0,6.684210526315789,49.166666666666664,36.86363636363637,31.642857142857142,8.88888888888889,17.7,37.76923076923077,54.2,11.285714285714286,33.64705882352941,19.294117647058822,26.176470588235293,15.0,8.833333333333334,29.5,24.7,28.11764705882353,22.8,15.0,42.52,22.705882352941178,29.0,26.789473684210527,50.0,40.875,35.1578947368421,49.42857142857143,51.583333333333336,61.333333333333336,32.53846153846154,9.0,14.421052631578947,32.111111111111114,65.33333333333333,28.625,46.388888888888886,30.058823529411764,41.15384615384615,24.272727272727273,20.923076923076923,6.375,68.72222222222223,40.375,31.7,57.3125,27.625,18.526315789473685,23.76923076923077,30.875,28.5,29.307692307692307,41.857142857142854,22.727272727272727,17.384615384615383,71.88235294117646,81.78571428571429,86.66666666666667,70.53333333333333,76.14285714285714,79.6,80.89473684210526,24.333333333333332,19.533333333333335,26.583333333333332,62.23076923076923,19.23076923076923,38.214285714285715,74.13333333333334,60.21052631578947,33.84615384615385,44.142857142857146,86.11111111111111,58.666666666666664,58.76923076923077,90.17647058823529,83.04761904761905,65.84615384615384,27.333333333333332,88.81818181818181,80.61111111111111,95.13333333333334,91.0,32.59090909090909,71.57894736842105,69.7,81.4,52.93333333333333,22.2,93.375,79.1875,41.2,85.0909090909091,79.72222222222223,96.94117647058823,69.26666666666667,34.46666666666667,94.1875,88.46666666666667,49.785714285714285,92.17647058823529,37.26315789473684,84.0,81.0625,93.1,92.46666666666667
Formality and Regulation,13.6,29.153846153846153,32.578947368421055,29.46153846153846,27.785714285714285,53.916666666666664,30.0,40.0625,90.57142857142857,93.5,90.0,78.47826086956522,96.4,73.4375,78.73684210526316,89.9375,76.92857142857143,74.07692307692308,41.05263157894737,79.36842105263158,75.95652173913044,50.416666666666664,22.0,30.1875,55.64705882352941,24.307692307692307,15.285714285714286,18.666666666666668,22.58823529411765,31.0,31.818181818181817,18.35,27.58823529411765,47.416666666666664,14.777777777777779,17.555555555555557,12.384615384615385,27.571428571428573,38.083333333333336,14.333333333333334,6.25,24.642857142857142,32.76923076923077,88.84615384615384,82.54545454545455,91.375,83.13636363636364,83.76470588235294,86.52631578947368,90.73684210526316,84.125,85.75,69.6470588235294,93.75,88.19047619047619,30.88235294117647,42.27777777777778,55.4,89.0,92.57142857142857,43.06666666666667,77.46153846153847,92.35,76.625,80.16666666666667,79.08333333333333,73.25,65.2,75.55555555555556,87.29411764705883,88.0,76.18181818181819,58.666666666666664,74.73333333333333,79.5,68.0,79.8125,61.4375,76.5625,89.1875,54.857142857142854,72.42857142857143,55.75,61.68421052631579,89.0,87.70588235294117,72.1875,41.61538461538461,63.666666666666664,56.1578947368421,70.52941176470588,28.666666666666668,76.5,89.53846153846153,97.1,25.416666666666668,69.52941176470588,81.07142857142857,24.727272727272727,52.15384615384615,91.52941176470588,88.14285714285714,80.4375,79.66666666666667,69.3125,66.64285714285714,80.8125,76.41666666666667,24.307692307692307,19.733333333333334,47.0,42.5,28.428571428571427,23.05263157894737,32.65,66.52941176470588,80.10526315789474,72.76923076923077,39.42857142857143,83.9,70.73333333333333,55.42857142857143,19.0625,43.09090909090909,26.09090909090909,8.875,23.357142857142858,33.9,18.125,31.705882352941178,30.444444444444443,92.25,26.76923076923077,12.428571428571429,21.5,30.88235294117647,30.666666666666668,20.6,62.15384615384615,27.11111111111111,36.375,90.25,21.666666666666668,28.333333333333332,34.86666666666667,21.53846153846154,35.416666666666664,25.25,38.64705882352941,84.11111111111111,23.142857142857142,13.38888888888889,32.0625,17.5,75.8,12.857142857142858,32.53846153846154,23.75,20.058823529411764
Intimacy,93.35714285714286,92.76923076923077,98.78571428571429,94.18181818181819,90.35714285714286,30.923076923076923,63.64705882352941,75.63157894736842,41.94736842105263,5.857142857142857,11.272727272727273,47.06666666666667,36.27272727272727,27.875,45.0,14.857142857142858,9.2,20.2,10.0625,71.44444444444444,56.68181818181818,45.92857142857143,91.42857142857143,36.0,75.94444444444444,50.611111111111114,98.57142857142857,91.33333333333333,72.89473684210526,85.63636363636364,75.13333333333334,83.07142857142857,77.22222222222223,97.9,84.52941176470588,12.25,95.0,66.46666666666667,49.0,83.14285714285714,96.18181818181819,57.13333333333333,85.26666666666667,43.2,31.214285714285715,35.53333333333333,43.67857142857143,34.0625,42.93333333333333,37.5,42.6,43.53846153846154,40.42857142857143,24.583333333333332,18.5,19.526315789473685,23.75,32.166666666666664,4.333333333333333,6.466666666666667,3.1538461538461537,10.125,13.333333333333334,42.0,26.88235294117647,43.705882352941174,22.533333333333335,17.214285714285715,27.0,43.875,47.0,35.27272727272727,23.133333333333333,68.05263157894737,44.06666666666667,47.214285714285715,38.266666666666666,53.5625,44.27272727272727,54.27777777777778,65.71428571428571,43.111111111111114,58.333333333333336,16.142857142857142,31.833333333333332,18.444444444444443,14.2,50.23076923076923,30.65,26.466666666666665,25.352941176470587,67.53846153846153,42.53333333333333,59.3125,15.117647058823529,37.5,50.6,29.083333333333332,12.666666666666666,34.76470588235294,35.72727272727273,40.142857142857146,59.416666666666664,53.375,32.5,51.6,37.0,33.214285714285715,67.0,66.05882352941177,68.35714285714286,70.5625,68.6,85.58823529411765,68.3076923076923,33.5,34.36842105263158,36.583333333333336,68.23076923076923,24.555555555555557,41.8235294117647,47.2,10.5,19.833333333333332,4.8,84.21428571428571,48.6,32.81818181818182,83.72727272727273,68.47619047619048,76.71428571428571,46.411764705882355,94.53846153846153,57.833333333333336,99.2,93.15384615384616,14.277777777777779,59.95238095238095,49.470588235294116,63.875,8.75,32.05263157894737,86.44444444444444,81.4,8.55,75.72727272727273,80.78571428571429,95.91666666666667,61.86666666666667,38.8,93.63636363636364,95.57142857142857,35.6,90.125,28.166666666666668,64.41666666666667,80.13333333333334,86.11111111111111,95.94117647058823
Visibility,73.53333333333333,67.15384615384616,61.9375,62.785714285714285,60.5,35.0,74.6875,76.08695652173913,83.83333333333333,73.14285714285714,64.38461538461539,81.8,68.6,90.11111111111111,84.94117647058823,74.28571428571429,67.57142857142857,66.45454545454545,52.0,93.26315789473684,83.47619047619048,52.11764705882353,76.1,55.266666666666666,81.57142857142857,71.46153846153847,60.73684210526316,80.16666666666667,51.083333333333336,75.27777777777777,67.47058823529412,58.57142857142857,64.42857142857143,79.73333333333333,4.277777777777778,10.272727272727273,91.5,58.857142857142854,75.44444444444444,48.3125,71.53333333333333,62.81818181818182,55.666666666666664,83.15384615384616,93.76923076923077,86.875,81.34782608695652,80.0,81.63157894736842,87.625,72.88235294117646,76.8,90.04761904761905,80.92857142857143,92.23809523809524,42.65,10.5,45.411764705882355,72.46666666666667,84.6,41.5,86.07692307692308,84.0952380952381,88.625,64.4375,80.07142857142857,86.42857142857143,85.11111111111111,84.4,83.3157894736842,89.26315789473684,84.0,84.75,94.6,85.89473684210526,75.16666666666667,64.5,85.6923076923077,83.4375,85.0625,93.22222222222223,68.125,71.0,2.869565217391304,85.58823529411765,92.3157894736842,54.88235294117647,80.0909090909091,87.5,89.25,70.2,15.733333333333333,85.14285714285714,34.705882352941174,97.0,48.2,82.08333333333333,94.6,47.0,5.5,86.1,89.76923076923077,79.47058823529412,93.1875,88.0,79.41176470588235,88.0,69.46666666666667,88.25,89.26666666666667,67.78571428571429,58.54545454545455,80.8,76.28571428571429,76.61904761904762,65.0,60.30769230769231,74.0,62.15384615384615,84.0,90.42857142857143,85.0,39.45454545454545,92.3125,26.46153846153846,67.57142857142857,56.6875,73.3076923076923,73.71428571428571,39.54545454545455,6.266666666666667,65.46153846153847,63.583333333333336,28.88888888888889,72.70588235294117,43.857142857142854,72.70588235294117,85.35,74.78571428571429,75.75,78.0,83.0,57.875,69.73333333333333,43.0,68.77777777777777,71.86666666666666,85.6,82.70588235294117,74.76923076923077,43.470588235294116,51.294117647058826,78.41176470588235,64.1,85.27272727272727,10.642857142857142,56.38461538461539,51.588235294117645,75.54545454545455
Communal Sharing,88.2,95.3,69.25,80.54545454545455,92.53846153846153,27.333333333333332,75.15789473684211,80.0,23.5,30.1875,15.625,37.94444444444444,16.6,20.071428571428573,22.529411764705884,20.8,16.11111111111111,11.2,5.2,64.9,61.13636363636363,14.25,85.8125,42.9375,91.05555555555556,62.18181818181818,98.11111111111111,87.36363636363636,67.0,80.8,85.5,80.88235294117646,82.23529411764706,86.5,32.0,22.823529411764707,83.875,74.25,43.1,80.46666666666667,95.82352941176471,60.875,90.1,43.84615384615385,9.384615384615385,19.866666666666667,64.29166666666667,28.545454545454547,32.375,33.25,27.57894736842105,37.30769230769231,43.285714285714285,24.647058823529413,27.75,19.36,19.642857142857142,46.0,20.0,28.692307692307693,9.055555555555555,9.833333333333334,38.81818181818182,59.333333333333336,17.533333333333335,17.5625,25.083333333333332,9.0,18.526315789473685,23.928571428571427,64.5,22.3,26.785714285714285,53.375,46.625,42.125,43.8125,48.07692307692308,66.15,54.72727272727273,26.857142857142858,60.61538461538461,71.17647058823529,5.818181818181818,33.2,39.07142857142857,19.90909090909091,39.93333333333333,46.714285714285715,23.428571428571427,13.444444444444445,18.142857142857142,16.25,19.692307692307693,27.571428571428573,67.44444444444444,50.916666666666664,30.692307692307693,32.0,53.333333333333336,40.476190476190474,54.583333333333336,60.44444444444444,66.8125,43.81818181818182,63.411764705882355,48.0,25.916666666666668,62.85,75.5,76.5,48.61538461538461,79.04761904761905,77.5,74.625,42.2,9.608695652173912,18.5,55.666666666666664,45.38461538461539,71.125,36.72727272727273,28.692307692307693,28.5,25.083333333333332,86.73333333333333,58.0,33.1875,87.1,75.44444444444444,30.642857142857142,21.23076923076923,84.73684210526316,70.70588235294117,84.9047619047619,95.61111111111111,27.642857142857142,53.95,73.33333333333333,62.5,35.5,43.666666666666664,85.125,72.5,18.714285714285715,80.3076923076923,85.4,94.54545454545455,58.77777777777778,27.642857142857142,95.1,85.14285714285714,58.26315789473684,91.43478260869566,45.916666666666664,66.9,74.22222222222223,79.14285714285714,86.58823529411765
Expected Reciprocity,13.666666666666666,34.55555555555556,36.05882352941177,69.5,52.64705882352941,43.0,47.388888888888886,43.95238095238095,77.58333333333333,51.125,13.714285714285714,42.06666666666667,63.0,82.28571428571429,93.88888888888889,34.36363636363637,51.266666666666666,32.8,34.214285714285715,48.15384615384615,66.18181818181819,81.13333333333334,34.833333333333336,55.529411764705884,61.25,36.07142857142857,15.25,14.153846153846153,39.1875,33.11764705882353,33.86666666666667,24.307692307692307,40.42857142857143,47.75,47.76923076923077,11.470588235294118,46.714285714285715,36.18181818181818,66.88888888888889,51.1875,41.90909090909091,54.7,25.833333333333332,82.5625,70.0,85.125,77.43478260869566,78.72222222222223,65.6842105263158,79.94117647058823,71.72222222222223,89.61538461538461,83.375,78.0,41.611111111111114,13.0,71.45,32.5,12.571428571428571,14.214285714285714,21.071428571428573,21.375,21.235294117647058,39.8,57.666666666666664,68.3125,78.15384615384616,59.888888888888886,78.5625,40.857142857142854,63.625,45.1,88.53846153846153,73.42857142857143,79.0,75.375,75.46153846153847,40.88235294117647,62.25,56.7,77.66666666666667,31.416666666666668,20.11111111111111,68.91666666666667,78.6,30.8125,39.9,61.76923076923077,61.6,50.523809523809526,64.66666666666667,76.5625,86.42857142857143,52.53846153846154,42.8,19.923076923076923,69.57142857142857,32.357142857142854,23.352941176470587,71.0,72.14285714285714,64.58333333333333,71.61538461538461,57.0,41.1,63.857142857142854,73.8,63.6,54.285714285714285,61.111111111111114,48.4,63.0,57.57142857142857,42.833333333333336,48.5,34.583333333333336,76.5,69.2,58.833333333333336,61.9,39.5,43.5,16.0,43.77777777777778,6.428571428571429,65.5,60.733333333333334,47.25,67.2,47.13333333333333,75.71428571428571,89.625,54.6875,42.53333333333333,60.333333333333336,59.705882352941174,46.75,62.86666666666667,47.88235294117647,38.75,19.25,67.88888888888889,31.1,37.214285714285715,41.45454545454545,30.90909090909091,37.0,22.071428571428573,61.26315789473684,74.85714285714286,51.54545454545455,46.6,70.07142857142857,51.421052631578945,22.470588235294116,35.4,70.2,47.875,43.57142857142857
Strategic,6.166666666666667,10.75,23.11111111111111,29.88888888888889,6.454545454545454,73.0,26.5,27.5,76.6,84.72222222222223,41.63636363636363,39.5,53.0,86.6923076923077,77.75,89.66666666666667,94.22222222222223,97.5,81.9090909090909,33.53333333333333,47.111111111111114,42.8,12.625,54.27272727272727,68.0,18.666666666666668,10.0,3.25,33.54545454545455,17.272727272727273,26.181818181818183,24.2,6.25,27.545454545454547,46.3,60.083333333333336,13.090909090909092,34.857142857142854,39.72222222222222,22.19047619047619,6.2,13.571428571428571,20.647058823529413,95.85714285714286,73.18181818181819,84.0,67.9090909090909,66.18181818181819,88.0,89.58333333333333,75.5,88.58333333333333,65.4375,80.66666666666667,87.6923076923077,65.57142857142857,91.55555555555556,37.0,83.22222222222223,79.46153846153847,86.66666666666667,77.11111111111111,59.55555555555556,41.22222222222222,82.41666666666667,89.58333333333333,68.23529411764706,50.0,87.44444444444444,50.61538461538461,51.18181818181818,62.30769230769231,62.72727272727273,57.61904761904762,72.70588235294117,62.0,57.625,38.666666666666664,56.357142857142854,45.31578947368421,48.15384615384615,48.083333333333336,29.416666666666668,80.23529411764706,75.45454545454545,62.54545454545455,63.388888888888886,36.1875,53.111111111111114,42.642857142857146,82.6,87.36363636363636,70.85,67.57142857142857,55.857142857142854,25.333333333333332,77.14285714285714,86.9090909090909,72.9090909090909,86.9090909090909,74.6842105263158,60.4,60.05,42.25,33.875,48.7,64.41666666666667,62.0,26.692307692307693,38.333333333333336,14.538461538461538,30.428571428571427,46.90909090909091,22.25,26.529411764705884,64.07142857142857,74.9,67.33333333333333,48.15384615384615,77.0,35.0,43.0,58.23076923076923,62.77777777777778,57.57142857142857,8.0,28.4,32.63636363636363,24.666666666666668,13.2,66.25,87.72727272727273,21.53846153846154,35.25,13.875,13.235294117647058,49.9375,35.2,47.666666666666664,30.88888888888889,44.25,68.25,12.23076923076923,16.666666666666668,67.4375,52.0,24.833333333333332,7.0,44.44444444444444,80.76470588235294,22.25,14.266666666666667,51.5625,12.25,88.13333333333334,47.0,39.63636363636363,17.916666666666668,7.5
