,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance
Parent and Child,0.6131520034350283,-1.269996774451325,1.9082969198619364,1.525270160988705,-1.232223750928589,1.9613172504046763,-0.7146392350993467,1.7320805351563189,-0.01419033614970309,-1.1769774247042997,-0.7525914283694572,1.1204876011110736,1.7495318954099184,1.4674426163488974,0.05380159845344485,0.8640428498634852,-0.6792224963780373,1.7625143995179233,1.8325408938448027,0.7756600303599007,-0.09081202876156066,0.24084391436354327,1.7441262811796479,1.7752450999400284,0.5871864845299856,-0.8756345019486134,1.4798143994743322,1.7796073442463394,0.41629302042386895,1.2657671498490695
Parent and Teenager,-0.2521645404705796,-0.8356213539206728,1.5688841022919964,1.353383466696029,-1.0959531189596146,1.0296163682610548,-0.9367209539130259,1.7195145722677592,0.4639076199947387,-0.9974107023481773,-0.6652023636776117,1.149175108488671,1.55935912089105,1.0868872843717108,0.19796798656286663,1.4435144208235113,-0.25037457448481976,1.3273036042559692,1.1880746287626422,1.33516635295012,1.4728531208304716,1.192112127464276,1.4537592014476022,1.511899111676299,0.6958070842472394,-0.7290012473530862,1.0986831837197928,1.4588819931185282,-0.28133026140230966,1.2620917115252381
Wife and Husband,1.1890502805334981,1.4451798994705884,1.8385287295836712,1.5582644124832414,-1.1048363929726697,2.6316574881892096,-0.8559517362282688,1.6860352568575254,1.7279911251754267,-0.9611898806126444,-0.27923766334843875,2.1850076506456593,1.8051572209349667,1.0671609743228867,0.1306803978604713,1.2684815268450804,-0.01071808283638513,1.6784408817895893,3.277344541830544,0.1486902979685015,1.4161530229898862,-0.3367210613219683,1.1730477323301427,1.8132080390332699,1.4542756692350456,-1.054264838315131,1.6672206521924589,1.6005221228044142,1.6089952962366851,1.3150699045756338
Fiance and Fiancee,1.3065166660241903,1.5090709263082005,1.93541402856726,1.4863557628258175,-1.0929371925971576,2.6180500481867672,-1.0978758840128329,1.464533233883329,1.7181914399560825,-1.234045204959944,-0.6985426210653745,1.7436633686613234,1.7816803511230797,0.09620588536825674,-0.3469386152232124,0.3920775726253078,-0.6128276778905355,1.6028858262099415,3.0975353072110154,-0.38533392146312023,0.767017272503668,-0.6560296901703393,-0.1100768612980586,1.7104160808731086,1.0728144681075327,-1.0372634401630572,1.490305730229856,1.2802309176679771,0.6075665570924514,1.202472963607392
Between Siblings,-0.0846839190694943,1.0866990691441767,1.5536690449526542,1.5992920469503606,-1.509384921657681,0.9324026317472583,-0.7943029672921689,1.36565705732592,1.1527573755825646,-0.9551264289604822,-0.5869819249823484,1.680068210606082,1.518944240979983,0.43339524544546365,-0.9712171073561986,0.21157478041848135,-0.8592957882064225,1.4494520972699225,-0.5311564774050389,0.7890506882599461,0.7957612909753824,0.45164325864958405,0.8565917230027376,1.4897678258569023,1.2759960891654722,-1.2036342649369227,0.6361559796078636,1.6353814921118266,0.7046933552465031,0.5328672459898354
Between divorced spouses,-1.384862427314763,0.45275170396620384,-0.40348149314221193,0.2708399459438805,0.14523280453441514,-0.2194013246867726,-1.151332787676366,-0.8979064536670771,-0.9679527021025134,-0.02848834705945692,0.4181138654771686,1.7545937864520684,-0.4412956068702537,-1.3190660157859238,1.0727986254612003,0.2070402694311139,-1.4250350890912409,-0.5967965873702626,0.7600760035201898,2.2905618969143826,1.3710907856982921,0.5628026277655729,-0.5492514834452751,-0.9580865147733353,-1.6304051788014866,-1.1342408030917233,-1.099469552576206,0.050904072287960275,-2.0892616226820846,-2.141032365938386
Between a person and their in-laws,-0.37978707348330637,0.4218570976350607,0.39400394052112786,0.9444322284862064,-0.4732074097745701,0.27051833681657256,-1.4965675112175327,0.22179540695589176,-0.051282533344055456,-0.9196017357513436,-1.0735771634245044,1.0218583247343278,0.647998514375195,-0.06122747438904505,-0.6927830889925649,-0.2574939392871769,-1.004277029568709,0.3580032758367254,-0.1180541361295402,0.177888888376522,0.2649424761720762,-0.6002539684953465,-0.24244413854804636,0.6478600785871003,0.05936484457146656,-0.9706834306296249,-0.5007455963164374,0.9534895435168346,-1.084731194122503,-0.8025924984590618
Between cousins,0.2899437866960916,1.4068656092514262,0.23700306445736072,1.1668532119873136,-1.369527611973468,-0.34131097314724146,-0.8725434662188939,0.9881639506209725,0.11794888242673675,-1.486284793689892,-1.2306998629051955,0.9927294710893821,1.1762449668802912,-0.42130515597878365,-1.253066097326909,-0.979721706964375,-1.586014260534883,0.6908168379680167,-0.37675168333163395,-0.4617155281801529,-0.9324037234382003,-1.1463248435609894,-0.340442007040136,0.5900396021220099,0.24116031790160508,-1.0859972615741258,-0.3284247414111682,1.1936911500540202,-0.7770501627583561,-1.284488910560305
Employer and Employee,0.3861049090316433,-1.2412243572752493,0.31521167929953475,-1.02928741137252,1.2550907345625593,-0.6729949836812185,1.12558784558241,-0.7629042187783067,0.3089988977376497,0.9329452286363292,1.9567574310013613,0.129665230915574,-0.7215746560446443,1.2810289863875144,2.0234068221816335,0.39588071087277704,1.4440936839369025,-0.43584142351422495,-0.43369679669112526,0.18154677630434954,0.7406892383431536,0.5824189870213354,1.4809564430001523,0.49531000728098196,0.6363678686192985,1.47287155843242,0.626014359877523,-0.2873617206870091,0.914547922280364,0.7359924317437038
Interviewer and Job applicant,-0.1476465586939626,-1.157587765732371,-1.2144724223964478,-1.0351793904988915,1.186013903301017,-0.9824587115834703,0.40301418292031205,-0.2653406785808178,0.07217317160348945,0.9898148568771973,0.2821808500756552,-0.5230374210984071,-1.0948720796175229,0.8905725641742838,0.03828352504541827,-0.8584122861639857,0.5010566094394853,-1.3660980542561834,-0.573131175871243,-0.544476238704095,1.0150125405680521,-0.3302286492751437,0.7817668169248684,-0.895695249654878,-0.5744043549430884,1.1777230625625663,-0.27629583613057834,-1.6179593020437288,0.6370987785150899,0.4876032272234395
Guard and Prisoner,-1.3901816848002784,-1.4341169907924096,-0.2926731909355548,-1.2941001409013726,0.7668398306646607,-0.6555951337399808,-0.08071713936393829,-0.39731163318788604,-1.749813145608221,-0.0037955575257645076,0.9511651477385609,-0.759947223608196,-1.240558752593083,-1.2243545352825453,-0.913455301887934,-1.300576390703107,0.394015264355771,-1.1296886839206584,-0.6158999902543753,1.990424463280727,-2.3937019461633717,2.9885532659462757,0.9047580445715182,-1.0564864529030165,-2.2881680066916292,0.9474797801100457,-0.09103571661209207,-0.48038302845205133,-0.4824698207609517,0.3692018943248956
Nurse and Patient,1.0215696591324122,0.04120337971555051,-0.46250980924133167,-0.6019027052931037,0.8731021184262235,-0.16126396529058346,-0.3034954758652388,-0.24652007852517058,-1.4036696532719393,0.24654664945038457,1.4873862096764332,-0.7643706771422802,-0.13409018615945859,0.9674154677466004,0.0661178082131224,-0.5668681002293673,1.4507851258459314,0.17459795261921301,-0.40581916716671845,-0.5371265935157747,-0.5793221503842078,0.027749518410113312,1.7491923005646028,0.46968502339304447,0.04750861804993577,0.8537461089565873,0.23600021839591814,-0.6958388303213641,1.0458089198089877,0.8985598960670146
