"","V1","V2","V3","V4","V5"
"Valence.Evaluation",-0.925049340034669,0.0746103099660298,-0.0574530459756839,0.15722387057295,0.0112123825085663
"Equality",-0.04986594166561,-0.314345737046244,0.281791979803807,-0.0816229900187995,-0.816335835980758
"Activity.Intensity",-0.613596360305906,-0.394949732293447,0.0374306229209846,0.558204529514962,-0.0550829425266168
"Socioemotional",-0.42851541853296,-0.660105672183725,0.498419437840681,0.0984873909212449,-0.0780695195439665
"Formality.and.Regulation",0.190120002000555,0.549988908235393,-0.682191753409043,-0.0226669147113704,0.123581481687325
"Intimacy",-0.725728757460625,-0.36446374351351,0.203696193260728,0.433863900246821,-0.135105365931102
"Visibility",-0.217274154631779,-0.101042702316041,-0.813774821507254,-0.0165745643065301,0.00456379742333773
"Communal.Sharing",-0.631587718432739,-0.651469048386875,0.0349567448941572,0.258989717527208,-0.0848373159172688
"Expected.Reciprocity",-0.578703986595212,0.546512299943357,-0.176176570774364,0.0829026116747779,-0.291737269092869
"Strategic",0.443403226355105,0.724744800744335,-0.380987955991117,-0.0610444562907367,-0.0504057131656493
"Concreteness",-0.0522970593044311,0.703856459381835,0.0342395358307038,0.270576649595414,0.0701999611143503
"Uniqueness",-0.0258461346319685,-0.373522623446846,0.408175279754445,0.607555169035452,0.0528584163784306
"Love.Expression",-0.717621393592896,-0.55022165655711,0.165534972405581,0.25572657271991,-0.0381314954325073
"Information.Exchange",-0.706135339708767,0.0566311136686822,-0.335326189569845,0.419305496481435,-0.15697040172087
"Money.Exchange",0.107659373806474,0.925397661165296,0.0212393468857104,-0.115740615178928,0.00775299960799831
"Goods.Exchange",0.0594001620083316,0.885287664195497,0.126007919552653,-0.162984422076331,-0.0782789302830025
"Service.Exchange",-0.0832530539856188,0.838642283058506,-0.342326919373739,-0.139681967293466,0.157315979554796
"Attachment",-0.758522039943702,-0.351247325642463,0.179639162960435,0.399848480859129,-0.0383314710354456
"Mating",-0.301695485450738,-0.305306204450242,0.592658564771638,0.358190012456651,0.0446870536873331
"Conflict",0.91555886342454,0.0905803401518024,0.014915729628675,0.000200432366287826,-0.00232629701002538
"Negotiation",-0.342095692634397,0.421839751830498,-0.199875590116268,0.219865370256217,-0.55878335199995
"Coercion",0.802919624789558,0.160284319452363,0.0278552871349653,0.145920147415151,0.388382320833551
"Importance.for.society",-0.252644828173033,-0.069243775696287,-0.776178841382887,0.249905781843077,0.0132365661061302
"Importance.for.individuals",-0.593050365403512,-0.273690207106029,-0.149179680209056,0.583509969113843,-0.0486758292896152
"Affiliation.Coalition",-0.875917708983004,0.0112356648649799,-0.0966946272430556,0.250100481677519,-0.0210232578513591
"Occupational",0.164059924585295,0.62564857925202,-0.667336153351475,-0.0217490643007634,0.0856419866416693
"Activeness",-0.609265418993678,0.112324768980437,0.00269275748044437,0.31512391398114,-0.378882010928901
"Endurance",-0.557363487541982,-0.569602359206377,0.148808153539278,0.312115763723135,0.121886482388377
"Synchronicity",-0.331617993292736,0.0904065583703,-0.222654289517077,0.552028531825723,-0.444939825446962
"Spatial.Distance",-0.298256037204715,0.0887290035195939,-0.0604169487276092,0.753304469848204,0.0128120243563453
