,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap,cl_k3
Parent and Child,1.523781697928678,-1.2839230838681657,1.5814191822015518,1.5556852858822183,-0.0289290908601779,1.537155464785091,1.592183269569143,1.4645529509746906,0.0029738205436823,-1.876649653702731,-0.9569282854448444,1.0234709984098227,2.0373288846325344,1.032564899596596,-1.1195244511979705,-0.5977438121467439,-0.5753703553366737,1.5822067694940731,-0.2168673346434977,-1.9169069992851104,-0.6513200631260854,-0.8965955459985131,0.9906122715146768,1.6344715710591158,1.1608529708961954,-1.436216935616112,1.120936504400558,1.8374602490905871,0.3641820913828401,1.5917680141416504,-1.3498957515555694,1.570420162796194,1.896382728884489,1
Parent and Teenager,0.2326345975744485,-1.1486375796787998,1.526380665152575,1.5118887216422283,0.059423694554716,1.0302145665706697,1.2935945654097445,1.731191585578649,0.947404997045742,-0.6378762740817802,-0.1706662026523611,0.9494153875419796,1.7494725715292154,0.5595374142786724,-1.0865936236777176,-0.8223190453846192,-0.5963732569500554,1.4698062519830084,-0.4449974648069384,-0.9504275506681908,-0.4840248680328529,-1.1916942791564566,1.404622359768617,1.0769849885018743,0.5286501619292383,-1.4592564972125726,1.356499157286353,1.678542277491233,0.3290565289931558,1.607754056445046,-1.5384601565436633,1.2348106629803974,1.8557889791883813,1
Wife and Husband,0.8921413898417164,1.755491243586256,1.0493801840614452,1.4943700959462327,-0.0289290908601779,2.0038629583793206,0.0550043851929794,1.7407143939573613,1.1385398780044915,-0.2343364610234396,-0.7806971289568742,1.4159657360093898,1.8090290501023163,0.4475045888086378,-0.4883502570597881,-0.8223190453846192,-0.6436297855801637,1.5040151051385502,2.4573247467168358,0.2610748567530178,0.2548622436289243,-1.7499891797255394,0.787512982937272,2.082150190385385,0.3251825912272291,-1.228860881247965,1.3746193613544913,1.4893542160634303,0.2851495760060505,1.5757819718382549,-1.1047620250710473,1.5375172706573903,-1.9275484924888584,1
Fiance and Fiancee,1.1893838877649927,1.6021676721716414,1.5630730098518932,1.5118887216422283,-0.055434926484646,2.0762830866956663,0.3646519302471709,1.7407143939573613,0.8574591707122119,-0.5158758654827468,-0.8620345857974759,0.7938986047195098,1.6899160929561152,0.6466740563109216,-0.6914236934346817,-0.4684429202825126,-0.7959008222771792,1.3671796925163844,2.527031175377888,-0.4603816330596121,0.1433321135667692,-1.7260622554154357,0.021984895222439,0.713774033199429,0.5213834629755951,-1.5514147435984156,0.1786858928573775,1.5044892609776546,-0.1802641256572658,0.7525007932133824,-1.887304305771637,0.8465565357425153,-2.0980422412125117,1
Between Siblings,0.0468580363724009,1.548053470495895,1.4346498034042814,1.4943700959462327,-0.3823402325197528,0.5796004348245168,1.40418297435767,1.5312126096256804,0.7112972029202271,0.0847415306971083,-0.4824597872080007,1.5788880799186449,1.277983782825505,0.54708932255978,-0.883520187302824,-0.9107880766601456,-0.895664604940741,1.1863614686942368,-1.5983220117443333,-0.8074974913656887,-0.1982289097485805,-1.2235968449032613,0.8812511161268435,0.9756237916732848,0.2161821069225813,-0.9408663612922064,0.4686091579475868,1.6861097999483452,-0.0924502196830551,0.5526752644209376,-1.830734984275209,1.109779672852944,-1.9194297425496367,1
Between divorced spouses,-1.5043762496646942,0.2042174622148599,-0.8494486541282478,-0.8969223115572074,0.9164457130791852,-0.9170822170466322,-0.365231568809137,-1.3827667542604347,-0.4467553111239647,1.398592084840541,0.859608250661928,-0.9834360561087192,-0.1960390618587289,-1.4570534441819496,-0.3895577744990291,-0.7134340838147403,-0.8169037238905605,-0.4605504617939714,0.0556214319406121,1.213941918769699,0.2827447761444634,-0.2346173067523149,-1.1184957252506795,-1.9891912155629536,-1.949294181263088,-1.822129592356829,-3.4362948187361706,-1.166846166382918,-2.480988462181584,-3.10812842305665,-0.0676577976365305,-2.660891766253945,-1.93566724242808,2
Between a person and their in-laws,-0.2782509457311816,0.6371310756208309,-0.8953140850023947,-0.8356071216212217,-0.0377643694016672,-0.5388882136168257,0.3757107711419633,-0.3352578326020274,-0.4579985394156557,0.0565875902511775,0.3038022955844826,0.7198429938516667,0.2456714875584321,-0.5919110697189051,-0.7298429922083103,-1.0605048988187291,-0.8746617033273596,0.0525823355391499,-1.0723553227564009,-0.3038391871568716,-0.7767914594460098,-1.3751340322005836,-0.8997734144750129,-0.4687732631341135,-1.367958264971633,-1.8048499211594835,-0.6367232902088363,-0.1679332020441201,-1.7784772143878993,-2.085021715639333,-1.859019645023423,-0.6340736105036453,1.7583639799177229,2
Between cousins,0.5856100638583382,1.5300154032706457,0.9943416670124686,1.117719643482321,-0.5413752462665616,0.2738265597110564,1.2161826791461972,1.350279250430137,0.2728112995442706,-0.4595679845908854,-0.7535846433433401,-0.2502855085170747,0.5335278006617504,-0.1313316761198737,-1.015243497383836,-0.8835668362676761,-1.299970460998334,0.2382875383835176,-1.3575179854607016,-1.4472796615768888,-1.2926183109834768,-2.1248443272504947,-1.0950611919532869,-0.7221762552055869,-0.9174229298457556,-1.5168554012037243,-1.3615314529343598,0.5282788640101933,-0.8125242486715823,-1.3976218965933231,-1.755309222279971,0.2543044772440511,-1.5946797449807752,1
Employer and Employee,-0.040456947392561,-0.143917235232442,0.225637045561762,-0.0297503396054104,0.6725920253340785,-1.2244654283449006,-0.6262202139262413,-0.6837926192629158,-0.1094584623732293,-0.3431983640810386,0.7755595452599725,0.3939983060331582,-0.7767147279464574,0.9080839824076692,2.085742760773321,0.6136013853181589,1.7822053507653952,-0.5827249373494763,-0.3879649322660783,-0.0111728752517481,1.014661254677356,0.9298263430060572,0.9405267003496608,0.5667009240755938,0.5466031828735334,1.2546683320175804,0.6487453042720184,0.2576286490734782,0.1932032509271709,-0.2560304050449564,0.5579323459710284,0.3421745538970913,0.1952658298546573,0
Interviewer and Job applicant,-0.302401898687448,-0.6147107898114352,-0.7760639647296121,-0.1085841552373919,1.022469055577058,-1.1713573342462469,-1.216762317708163,-1.2380200669040005,-0.8110359077747589,-0.0616589596217314,-1.1846731645985291,-1.2278195719726006,-0.9702732833090334,-0.0006267130715004,-1.0317089111439626,-0.5909385020486264,0.128226848711605,-0.959022322060432,-0.6414428546699013,-1.0593266434700972,-0.0657868802997712,-0.4021057769230399,0.6060102250456999,0.1135567500183704,-0.486122974303051,1.1841943788989953,0.5421558685770885,-1.106305986726021,-0.0671391526669592,0.3006600092850546,0.5091274411505804,0.0355970177331802,0.3633717109491268,0
