"","Estimate","Std. Error","t value","Pr(>|t|)"
"(Intercept)",-1.72359998576905e-18,0.0734012518509764,-2.34818881463822e-17,1
"scale(x)Lexical",0.336270183440723,0.0956719829536824,3.51482401701155,0.000574311179092046
"scale(x)personality_all",-0.115341497475101,0.0833412360909235,-1.38396672385884,0.168320504283987
"scale(x)Coordinate",-0.085183411324888,0.0857089168394693,-0.993868718285571,0.321806426432788
"scale(x)Climatic_demands",0.0556158195951953,0.082021903006252,0.678060585731059,0.498725086031317
"scale(x)subsistence",0.0262302329648305,0.0854751465262981,0.306875554249682,0.759342160224596
"scale(x)disease",0.0110414825057984,0.084702195189739,0.130356509427703,0.896450191948215
"scale(x)modern",-0.0346732243649977,0.0799854171577058,-0.433494324304555,0.665246954143249
"scale(x)Hofstede_6D",-0.193114694822029,0.0889706441600117,-2.17054396588066,0.0314587079176325
"scale(x)new_gendist_weighted",-0.130128683969696,0.095140817219183,-1.36774822597864,0.173333165593703
"scale(x)religion_per",-0.0791645237161058,0.100619048188814,-0.78677472249143,0.432592266408036
"scale(x)idealogy",-0.0491410535845386,0.08023306601377,-0.612478819843488,0.541101492658617
"scale(x)demographics",0.00150575538816343,0.084691974324002,0.0177791980902811,0.985837431102508
