,Parent and Child,Parent and Teenager,Wife and Husband,Fiance and Fiancee,Between Siblings,Between divorced spouses,Between a person and their in-laws,Between cousins,Employer and Employee,Interviewer and Job applicant,Guard and Prisoner,Nurse and Patient,Therapist and Patient,Salesperson and Customer,Between Business Partners,Between opposing negotiators,Between political opponents,Between business rivals,Between enemies,Teacher and Student,Professor and Graduate student,Master and Servant,Between Close Friends,Between casual acquaintances,Between teammates in sports,Between second cousins,Parent and Infant,Grandparent and Grandchild,Step-parent and Step-child,Foster-parent and Foster-child,Godparent and Godchild,Step-grandparent and Step-grandchild,Ancestor and Descendant,Bride and Groom,Man and His Mistress,Man Wife and Man Mistress,Brother and Sister,Between step-siblings,Between distant relatives,Between close relatives,Between twins,Between a person and their family friends,Between a person and their deceased spouse,Manager and Staff,Foreman and Laborer,Owner and Manager,Union leader and union member,Manager and Assistant,Chief and Deputy,Supervisor and Subordinate,Boss and Secretary,Entrepreneur and Investor,Intern and Employee,Lawyer and Client,Judge and Lawyer,Victim and Criminal,Drug dealer and Addict,Victim and Witness,Criminal and Police officer,Criminal and Prosecutor,Criminal and Hostage,Defendant and Plaintiff,Police officer and Offender,Police officer and Civilian,Parole officer and Parolee,Consultant and Client,Chef and Customer,Customer and Server,Customer and Businessman,Doctor and Patient,Doctor and Nurse,Patient and Caretaker,Driver and Passenger,Coach and athlete,Team Captain and Team Members,Club Member and Club President,Politician and Supporter,Leader and Follower,Representative and Citizen,Officer and Soldier,Babysitter and Infant,Religious leader and Congregant,Between religious followers,Prostitute and Customer,Guide and Tourist,Athlete and Referee,Slave and Master,Reader and Writer,Reviewer and Writer,Performer and Audience,Dealer and Buyer,Sugar-daddy and Sugar-baby,Director and Performer,Psychologist and Client,Judge and Contestant,Man and God,Between Co-workers,Between sports rivals,Between romantic rivals,Between criminal and their accomplice,Between diplomats,Principal and Teacher,Professor and Teaching Assistant,University student and Administrator,Student and Dorm Resident assistant,Mentor and Mentee,Athletic trainer and Trainee,Researcher and Research Subject,Between peers,Between classmates,Between roommates,Between sorority sisters,Between fraternity brothers,Bride and Bridesmaid,Groom and Groomsman,Predecessor and Successor,Landlord and Tenant,Landlord and Housekeeper,Guest and Host,Television host and Guest,Volunteer and Organizer,Celebrity and Fans,Celebrity and Haters,Native and Tourist,Bully and Victim,Between friends,Between Facebook Friends,Between a person and their social media follower,Between childhood friends,Between pen-friends,Between friends with benefits,Between political allies,Between romantic lovers,Between ex-lovers,Between life-partners,Between soul-mates,Between strangers,Between neighbors,Between church members,Between fans of the same sports team,Between fans of opposing sports teams,Superior and Subordinate,Aunt and Niece/Nephew,Uncle and Niece/Nephew,Between frenemies,Between half-siblings,Between adoptive parents and adopted kids,Mother and Infant,Between alumni,Between a monarch and their minister,Between confidants,Between a person and their significant other,Between companions,Between playmates,Between competitors in sports,Between a person and their crush,Between cohabitants,Between long-distance lovers,Between brothers-in-arms
Australia,93.2,85.31428571428572,77.48571428571428,70.82857142857142,95.08571428571429,45.91428571428571,63.91428571428571,68.74285714285715,85.87096774193549,79.64516129032258,41.96774193548387,67.93548387096774,63.87096774193548,81.09677419354838,50.806451612903224,49.806451612903224,59.7,56.13333333333333,64.03333333333333,86.9,67.16666666666667,50.3,91.9,83.06666666666666,77.33333333333333,60.5,82.91666666666667,85.29166666666667,39.0,36.291666666666664,43.833333333333336,27.083333333333332,87.91304347826087,90.3913043478261,70.73913043478261,67.08695652173913,94.30434782608695,72.91304347826087,69.65217391304348,87.56521739130434,55.48,81.6,34.04,72.0,29.8,47.24,34.68,59.72,63.8,86.6,82.84,69.04,83.48,79.12,67.96,75.84,63.85294117647059,67.17647058823529,71.61764705882354,59.705882352941174,61.38235294117647,58.64705882352941,65.20588235294117,70.17647058823529,39.38461538461539,67.76923076923077,79.23076923076923,83.57692307692308,66.61538461538461,84.0,68.26923076923077,63.38461538461539,95.04347826086956,70.69565217391305,71.34782608695652,60.17391304347826,63.869565217391305,74.73913043478261,71.69565217391305,62.43478260869565,86.0,53.1,58.666666666666664,58.56666666666667,77.66666666666667,73.33333333333333,53.36666666666667,80.36666666666666,63.07692307692308,76.46153846153847,69.6923076923077,51.38461538461539,61.57692307692308,73.46153846153847,64.0,53.19230769230769,81.41379310344827,46.0,59.310344827586206,37.86206896551724,24.620689655172413,54.0,49.51724137931034,51.58620689655172,47.36,65.32,51.96,58.88,78.76,84.12,67.2,32.24,51.785714285714285,70.28571428571429,71.42857142857143,65.89285714285714,71.39285714285714,50.035714285714285,74.82142857142857,57.392857142857146,83.12,80.96,71.16,85.76,80.16,94.88,71.88,65.56,92.51851851851852,50.407407407407405,55.74074074074074,46.629629629629626,92.33333333333333,78.96296296296296,79.81481481481481,76.18518518518519,81.54545454545455,79.96969696969697,58.121212121212125,57.666666666666664,55.0,72.57575757575758,79.48484848484848,80.84848484848484,66.67567567567568,64.05405405405405,59.351351351351354,91.24324324324324,60.78378378378378,33.648648648648646,69.35135135135135,92.48648648648648,83.0,78.52631578947368,76.3157894736842,77.42105263157895,87.94736842105263,66.0,56.89473684210526
Brazil,91.73913043478261,84.56521739130434,84.82608695652173,72.65217391304348,91.08695652173913,39.0,63.21739130434783,73.69565217391305,70.88888888888889,61.22222222222222,28.75,52.166666666666664,52.94444444444444,67.5,56.111111111111114,49.111111111111114,60.36666666666667,59.1,47.6,82.03333333333333,61.6,52.86666666666667,80.76666666666667,65.73333333333333,66.39393939393939,51.57575757575758,72.93939393939394,81.15151515151516,38.63636363636363,43.15151515151515,59.03030303030303,40.06060606060606,75.07407407407408,83.88888888888889,56.22222222222222,47.592592592592595,83.4074074074074,61.77777777777778,60.629629629629626,80.85185185185185,62.15384615384615,77.23076923076923,68.53846153846153,51.5,52.19230769230769,51.88461538461539,42.15384615384615,47.46153846153846,75.14285714285714,76.42857142857143,71.57142857142857,63.714285714285715,70.07142857142857,69.14285714285714,54.714285714285715,51.32142857142857,45.82142857142857,45.642857142857146,50.607142857142854,36.357142857142854,42.42857142857143,50.035714285714285,60.857142857142854,61.67857142857143,37.24,68.88,62.6,63.92,59.8,73.24,59.28,45.96,75.94594594594595,60.729729729729726,57.189189189189186,42.5945945945946,49.45945945945946,58.37837837837838,64.75675675675676,47.729729729729726,71.77777777777777,58.074074074074076,56.0,42.333333333333336,53.77777777777778,50.03703703703704,26.333333333333332,61.666666666666664,64.34482758620689,58.48275862068966,74.72413793103448,55.758620689655174,57.206896551724135,71.44827586206897,57.51724137931034,70.34482758620689,66.37931034482759,47.06896551724138,35.44827586206897,24.06896551724138,29.17241379310345,57.10344827586207,48.689655172413794,52.48275862068966,61.94736842105263,59.8421052631579,62.578947368421055,46.63157894736842,77.63157894736842,77.89473684210526,55.05263157894737,49.1578947368421,70.47619047619048,57.92857142857143,65.57142857142857,54.76190476190476,55.0,49.785714285714285,70.42857142857143,54.0,66.58620689655173,67.72413793103448,54.206896551724135,60.0,67.65517241379311,82.34482758620689,71.3103448275862,63.06896551724138,80.73913043478261,50.26086956521739,54.56521739130435,44.95652173913044,75.78260869565217,49.34782608695652,70.21739130434783,67.34782608695652,51.1025641025641,61.48717948717949,47.333333333333336,54.76923076923077,43.97435897435897,56.02564102564103,77.7948717948718,75.2051282051282,59.233333333333334,70.93333333333334,73.0,84.13333333333334,58.166666666666664,39.3,71.63333333333334,76.0,66.57692307692308,59.76923076923077,43.38461538461539,68.61538461538461,62.46153846153846,54.92307692307692,44.57692307692308
Chile,94.36,90.44,70.84,59.24,93.04,39.56,50.72,72.96,67.83333333333333,53.766666666666666,23.233333333333334,62.8,60.43333333333333,70.33333333333333,41.43333333333333,30.566666666666666,43.77272727272727,29.272727272727273,35.27272727272727,83.45454545454545,47.54545454545455,21.181818181818183,95.86363636363636,83.13636363636364,47.38709677419355,45.32258064516129,79.93548387096774,92.3225806451613,39.935483870967744,35.516129032258064,46.03225806451613,20.193548387096776,61.206896551724135,82.44827586206897,54.48275862068966,39.41379310344828,94.34482758620689,33.13793103448276,50.6551724137931,85.82758620689656,54.12,72.52,40.2,42.36,24.8,27.72,21.4,20.76,72.5909090909091,67.68181818181819,54.04545454545455,36.13636363636363,72.22727272727273,47.27272727272727,34.31818181818182,39.09090909090909,36.37931034482759,44.689655172413794,32.241379310344826,26.0,26.379310344827587,39.93103448275862,38.51724137931034,54.206896551724135,19.38095238095238,59.38095238095238,53.095238095238095,79.61904761904762,52.523809523809526,83.38095238095238,57.523809523809526,66.95238095238095,69.96,59.08,57.44,34.2,29.12,43.0,45.56,41.8,56.34375,34.96875,42.125,27.34375,54.875,49.84375,22.90625,61.84375,41.30769230769231,68.73076923076923,75.5,25.923076923076923,48.03846153846154,57.07692307692308,54.23076923076923,40.65384615384615,66.89285714285714,43.964285714285715,34.82142857142857,33.42857142857143,29.321428571428573,40.57142857142857,55.035714285714285,62.32142857142857,39.38235294117647,76.94117647058823,47.61764705882353,54.55882352941177,83.61764705882354,86.82352941176471,65.23529411764706,54.470588235294116,61.6,34.6,26.16,30.56,62.2,20.4,61.6,32.72,34.55555555555556,59.18518518518518,41.074074074074076,51.629629629629626,44.77777777777778,88.77777777777777,50.55555555555556,36.7037037037037,78.03125,30.3125,31.03125,21.125,81.65625,49.9375,60.34375,60.8125,43.45,52.0,38.65,42.9,32.1,54.45,80.15,76.3,56.17391304347826,53.56521739130435,44.91304347826087,84.30434782608695,89.47826086956522,26.782608695652176,77.6086956521739,88.95652173913044,78.71428571428571,72.65714285714286,49.114285714285714,51.17142857142857,73.48571428571428,53.4,34.05714285714286
CHN,93.35454545454546,87.98148148148148,82.56701030927834,72.86734693877551,88.27678571428571,59.81,75.42,82.91964285714286,77.95283018867924,53.43636363636364,46.18348623853211,69.54117647058824,71.64814814814815,66.5754716981132,68.04504504504504,61.57843137254902,51.60526315789474,68.3529411764706,57.21904761904762,89.375,70.88679245283019,54.63809523809524,92.78217821782178,55.009803921568626,85.29824561403508,63.21212121212121,91.14545454545454,92.88349514563107,50.37614678899082,49.55555555555556,64.10576923076923,56.67289719626168,66.43564356435644,85.45192307692308,51.568627450980394,44.391752577319586,92.77083333333333,52.14705882352941,57.45652173913044,89.67368421052632,72.28125,64.53921568627452,55.66346153846154,74.8989898989899,61.23853211009175,69.37,51.55263157894737,68.70642201834862,63.623931623931625,73.82291666666667,69.61261261261261,63.31481481481482,68.03636363636363,53.77777777777778,51.84158415841584,43.229166666666664,38.375,41.93,58.70873786407767,45.35353535353536,33.36274509803921,60.10891089108911,55.547008547008545,69.86238532110092,30.62962962962963,65.87755102040816,58.11818181818182,67.0,68.94,71.35779816513761,73.56603773584905,60.227722772277225,62.18627450980392,65.41379310344827,86.08849557522124,45.584070796460175,52.02105263157895,69.6355140186916,59.00925925925926,51.705882352941174,66.20754716981132,38.666666666666664,40.0,24.75221238938053,62.68468468468468,58.45132743362832,49.333333333333336,61.714285714285715,48.44117647058823,50.927927927927925,65.39622641509433,30.740384615384617,58.940677966101696,53.111111111111114,59.25,28.175925925925927,80.5233644859813,66.03809523809524,51.991150442477874,45.161904761904765,32.60204081632653,74.20588235294117,67.73958333333333,82.14018691588785,78.42477876106194,67.96330275229357,70.50450450450451,58.82178217821782,84.23584905660377,90.25,91.68518518518519,67.45631067961165,74.97142857142858,72.85849056603773,77.78761061946902,38.642857142857146,63.93939393939394,57.91428571428571,80.01190476190476,60.15686274509804,73.22222222222223,61.958333333333336,53.44954128440367,51.86607142857143,48.67289719626168,93.08490566037736,53.96875,60.728971962616825,88.93333333333334,58.25892857142857,39.245098039215684,51.54639175257732,89.03191489361703,71.5607476635514,78.44954128440367,80.74137931034483,28.55045871559633,79.42201834862385,41.25,56.25471698113208,41.888888888888886,78.57407407407408,77.15315315315316,84.49557522123894,54.846846846846844,56.38095238095238,60.61904761904762,90.36792452830188,71.59,62.960396039603964,91.01801801801801,89.88571428571429,64.13761467889908,92.12871287128714,55.029126213592235,68.49484536082474,78.71551724137932,71.8252427184466,72.90816326530613
Egypt,87.7,73.85,73.55,61.7,74.45,28.85,57.05,67.95,81.94444444444444,71.80555555555556,46.44444444444444,64.94444444444444,70.19444444444444,57.138888888888886,56.44444444444444,44.19444444444444,47.407407407407405,60.333333333333336,55.74074074074074,70.88888888888889,59.44444444444444,53.44444444444444,76.48148148148148,59.666666666666664,79.18518518518519,62.18518518518518,77.4074074074074,72.44444444444444,49.370370370370374,49.7037037037037,57.0,59.888888888888886,62.733333333333334,88.43333333333334,67.9,66.76666666666667,74.76666666666667,69.76666666666667,58.7,78.43333333333334,68.0,74.17857142857143,57.642857142857146,63.82142857142857,62.75,63.75,54.785714285714285,66.25,72.96428571428571,65.39285714285714,58.892857142857146,63.214285714285715,69.53571428571429,62.714285714285715,62.17857142857143,40.25,40.96153846153846,50.19230769230769,58.34615384615385,46.65384615384615,41.57692307692308,54.92307692307692,66.88461538461539,77.0,42.37931034482759,64.82758620689656,78.72413793103448,79.65517241379311,79.65517241379311,83.6896551724138,79.72413793103448,76.6896551724138,78.82857142857142,81.57142857142857,81.28571428571429,70.57142857142857,60.2,62.34285714285714,72.54285714285714,79.11428571428571,74.5,72.63636363636364,52.86363636363637,53.77272727272727,73.9090909090909,80.63636363636364,45.90909090909091,94.22727272727273,78.31818181818181,84.4090909090909,93.81818181818181,63.36363636363637,76.9090909090909,71.27272727272727,77.36363636363636,85.0,73.23076923076923,70.38461538461539,55.96153846153846,38.88461538461539,42.96153846153846,62.34615384615385,58.30769230769231,64.96153846153847,73.36666666666666,69.0,69.5,68.0,65.23333333333333,76.66666666666667,72.8,43.2,53.38709677419355,60.83870967741935,64.87096774193549,58.25806451612903,77.3225806451613,61.74193548387097,73.90322580645162,65.2258064516129,73.45454545454545,73.31818181818181,53.72727272727273,71.63636363636364,43.95454545454545,80.63636363636364,82.22727272727273,71.81818181818181,73.0,71.72413793103448,51.793103448275865,36.13793103448276,69.72413793103448,53.689655172413794,72.82758620689656,78.58620689655173,60.30555555555556,76.47222222222223,77.33333333333333,68.86111111111111,57.72222222222222,62.77777777777778,77.86111111111111,79.08333333333333,56.714285714285715,48.75,48.75,48.535714285714285,64.07142857142857,59.357142857142854,62.107142857142854,51.607142857142854,76.58064516129032,76.87096774193549,68.03225806451613,64.09677419354838,68.41935483870968,57.96774193548387,56.064516129032256
France,87.5,80.44444444444444,65.97222222222223,57.69444444444444,80.16666666666667,29.333333333333332,45.166666666666664,60.22222222222222,72.65384615384616,64.46153846153847,22.615384615384617,53.76923076923077,50.76923076923077,73.5,45.23076923076923,35.80769230769231,45.088235294117645,24.147058823529413,41.470588235294116,78.88235294117646,52.05882352941177,20.147058823529413,83.58823529411765,81.5,44.63636363636363,50.04545454545455,54.5,73.72727272727273,47.63636363636363,26.772727272727273,36.45454545454545,19.5,65.86206896551724,44.3448275862069,42.44827586206897,36.827586206896555,61.6551724137931,28.655172413793103,32.0,71.93103448275862,26.095238095238095,67.14285714285714,26.142857142857142,60.714285714285715,20.523809523809526,27.142857142857142,13.0,22.428571428571427,47.9375,51.0,56.0625,32.28125,77.90625,29.65625,20.84375,35.5625,31.875,29.083333333333332,35.041666666666664,17.833333333333332,19.166666666666668,27.416666666666668,34.625,40.666666666666664,18.085714285714285,57.0,48.48571428571429,75.94285714285714,68.68571428571428,67.08571428571429,34.51428571428571,53.6,67.46666666666667,47.96666666666667,73.06666666666666,38.266666666666666,29.066666666666666,49.166666666666664,49.56666666666667,28.1,50.32,21.4,20.84,22.88,53.12,40.44,27.24,57.6,34.666666666666664,47.074074074074076,69.4074074074074,29.85185185185185,40.48148148148148,48.51851851851852,47.333333333333336,35.370370370370374,60.705882352941174,52.23529411764706,34.1764705882353,37.11764705882353,26.764705882352942,24.58823529411765,46.88235294117647,67.29411764705883,32.392857142857146,54.57142857142857,55.42857142857143,60.25,66.14285714285714,87.39285714285714,52.642857142857146,25.678571428571427,64.58823529411765,27.235294117647058,22.558823529411764,8.588235294117647,66.88235294117646,21.38235294117647,63.73529411764706,12.852941176470589,65.27586206896552,43.0,30.0,75.0,40.827586206896555,94.58620689655173,58.3448275862069,27.551724137931036,66.08,38.36,61.96,31.16,73.52,46.92,67.04,66.36,42.65625,53.53125,20.625,36.5,26.15625,50.0,70.59375,72.09375,68.9090909090909,45.0,31.454545454545453,59.90909090909091,73.5909090909091,26.772727272727273,81.95454545454545,72.86363636363636,65.0,81.78571428571429,45.892857142857146,44.464285714285715,62.75,41.464285714285715,23.357142857142858
Germany,93.96551724137932,87.03448275862068,78.13793103448276,59.10344827586207,79.48275862068965,46.06896551724138,64.24137931034483,75.24137931034483,87.77142857142857,71.74285714285715,27.37142857142857,61.285714285714285,51.371428571428574,88.97142857142858,48.68571428571428,49.22857142857143,55.18181818181818,44.484848484848484,54.36363636363637,86.42424242424242,43.333333333333336,34.515151515151516,91.60606060606061,74.15151515151516,67.0909090909091,54.515151515151516,83.36363636363636,76.60606060606061,36.27272727272727,29.939393939393938,39.15151515151515,30.636363636363637,80.58620689655173,86.44827586206897,75.03448275862068,61.41379310344828,93.24137931034483,59.55172413793103,61.93103448275862,79.89655172413794,52.75,80.04166666666667,36.083333333333336,64.58333333333333,41.708333333333336,53.416666666666664,40.833333333333336,56.166666666666664,64.375,77.3125,68.1875,44.1875,81.5,50.5,46.0625,47.25,54.69230769230769,57.26923076923077,64.1923076923077,46.11538461538461,47.0,54.15384615384615,60.84615384615385,67.1923076923077,25.52,80.2,48.64,82.44,64.64,74.48,45.72,59.16,83.53333333333333,74.33333333333333,67.0,44.4,42.36666666666667,56.13333333333333,43.166666666666664,38.6,67.29166666666667,38.041666666666664,33.625,26.25,61.875,62.083333333333336,21.458333333333332,58.833333333333336,55.583333333333336,77.08333333333333,88.05555555555556,53.19444444444444,67.22222222222223,60.47222222222222,49.97222222222222,42.916666666666664,87.83333333333333,45.2,38.96666666666667,16.2,18.433333333333334,44.43333333333333,42.233333333333334,58.56666666666667,48.45454545454545,70.66666666666667,59.90909090909091,66.78787878787878,85.48484848484848,90.66666666666667,78.06060606060606,27.818181818181817,50.92307692307692,60.07692307692308,65.3076923076923,52.58974358974359,75.43589743589743,37.666666666666664,88.23076923076923,46.94871794871795,49.2,78.05,59.45,78.0,70.35,97.0,47.1,52.8,85.74074074074075,43.074074074074076,52.55555555555556,45.18518518518518,73.48148148148148,64.77777777777777,66.18518518518519,49.7037037037037,57.708333333333336,67.33333333333333,28.208333333333332,46.708333333333336,33.875,68.20833333333333,68.375,71.08333333333333,73.29629629629629,33.592592592592595,27.555555555555557,69.55555555555556,45.888888888888886,15.25925925925926,78.37037037037037,94.48148148148148,82.0952380952381,77.71428571428571,64.47619047619048,78.33333333333333,83.95238095238095,79.76190476190476,32.76190476190476
HK,91.28571428571429,84.25,82.0,66.25,81.28571428571429,44.392857142857146,58.392857142857146,64.5,76.6,56.666666666666664,36.0,65.26666666666667,65.16666666666667,68.83333333333333,56.8,50.666666666666664,42.0,57.6875,57.09375,77.59375,57.625,63.15625,80.03125,53.5,64.44827586206897,59.689655172413794,90.48275862068965,85.82758620689656,46.6551724137931,46.310344827586206,50.48275862068966,47.793103448275865,52.83870967741935,75.03225806451613,44.25806451612903,40.064516129032256,81.58064516129032,37.25806451612903,43.16129032258065,67.70967741935483,67.96969696969697,75.54545454545455,60.18181818181818,51.84848484848485,49.15151515151515,54.121212121212125,47.06060606060606,58.84848484848485,65.53333333333333,76.16666666666667,70.8,63.266666666666666,69.26666666666667,53.733333333333334,55.13333333333333,56.333333333333336,43.38235294117647,53.23529411764706,60.411764705882355,60.61764705882353,49.205882352941174,58.94117647058823,66.08823529411765,76.8529411764706,42.1875,70.21875,69.09375,78.28125,72.34375,80.3125,72.4375,63.09375,62.44827586206897,58.89655172413793,71.13793103448276,51.0,43.10344827586207,56.3448275862069,56.44827586206897,60.793103448275865,58.75757575757576,30.696969696969695,30.151515151515152,21.363636363636363,57.03030303030303,47.515151515151516,25.757575757575758,54.81818181818182,44.70967741935484,51.96774193548387,67.09677419354838,31.741935483870968,53.38709677419355,50.41935483870968,54.935483870967744,38.61290322580645,66.71428571428571,50.02857142857143,44.22857142857143,45.77142857142857,43.34285714285714,59.05714285714286,60.68571428571428,56.628571428571426,70.1875,76.90625,62.21875,55.09375,73.0625,76.75,85.625,73.0,58.28125,74.625,76.0625,39.71875,48.125,55.46875,64.625,47.21875,65.75,67.125,51.46875,60.40625,49.875,76.625,60.03125,52.875,74.76666666666667,53.166666666666664,36.36666666666667,48.13333333333333,79.83333333333333,53.766666666666666,79.9,73.23333333333333,20.774193548387096,50.54838709677419,39.74193548387097,47.67741935483871,27.29032258064516,61.193548387096776,69.80645161290323,70.64516129032258,50.72727272727273,49.09090909090909,42.24242424242424,81.18181818181819,66.48484848484848,39.878787878787875,81.03030303030303,67.84848484848484,54.61764705882353,74.32352941176471,39.05882352941177,59.3235294117647,65.3529411764706,58.0,70.3529411764706
India,72.83333333333333,66.46666666666667,73.56666666666666,71.93333333333334,67.06666666666666,41.2,58.833333333333336,68.93333333333334,72.48387096774194,62.29032258064516,55.58064516129032,67.19354838709677,64.93548387096774,67.54838709677419,67.03225806451613,59.806451612903224,65.0909090909091,67.57575757575758,72.06060606060606,76.72727272727273,78.6969696969697,76.18181818181819,84.15151515151516,69.33333333333333,74.5925925925926,82.11111111111111,82.66666666666667,80.4074074074074,55.851851851851855,47.51851851851852,51.44444444444444,52.2962962962963,67.62068965517241,79.62068965517241,63.86206896551724,71.3103448275862,82.27586206896552,68.27586206896552,65.51724137931035,78.58620689655173,64.38888888888889,75.66666666666667,57.55555555555556,66.38888888888889,58.666666666666664,60.5,51.166666666666664,67.55555555555556,73.04166666666667,73.91666666666667,76.54166666666667,75.45833333333333,69.5,73.79166666666667,72.83333333333333,75.375,51.05882352941177,53.911764705882355,57.470588235294116,54.05882352941177,49.64705882352941,46.294117647058826,63.911764705882355,67.94117647058823,46.72,62.0,64.36,59.16,72.08,75.2,73.12,71.12,72.37931034482759,59.41379310344828,67.55172413793103,51.6551724137931,65.34482758620689,65.13793103448276,68.62068965517241,60.55172413793103,65.35483870967742,59.38709677419355,63.83870967741935,50.225806451612904,60.41935483870968,58.70967741935484,58.12903225806452,67.87096774193549,69.25925925925925,74.66666666666667,71.18518518518519,54.18518518518518,70.14814814814815,68.66666666666667,69.44444444444444,65.4074074074074,70.5,55.36666666666667,63.93333333333333,48.0,51.4,68.2,62.8,62.5,66.37037037037037,68.14814814814815,64.37037037037037,63.0,59.370370370370374,78.96296296296296,71.92592592592592,63.629629629629626,68.12903225806451,64.64516129032258,69.16129032258064,66.7741935483871,64.45161290322581,65.54838709677419,68.6774193548387,66.25806451612904,59.0,64.8125,56.3125,61.25,52.8125,65.84375,61.65625,64.65625,74.2258064516129,54.774193548387096,58.225806451612904,52.70967741935484,68.09677419354838,53.096774193548384,75.06451612903226,68.7741935483871,68.45,71.6,60.5,56.8,52.0,72.05,72.15,74.5,60.357142857142854,64.57142857142857,60.17857142857143,73.60714285714286,61.642857142857146,53.92857142857143,51.17857142857143,65.0,61.11538461538461,64.42307692307692,61.07692307692308,69.1923076923077,61.07692307692308,65.34615384615384,63.73076923076923
Israel,98.64285714285714,87.85714285714286,82.0,62.892857142857146,92.5,29.714285714285715,60.17857142857143,77.78571428571429,91.53846153846153,72.66666666666667,27.692307692307693,45.17948717948718,63.1025641025641,73.43589743589743,34.61538461538461,40.35897435897436,60.205882352941174,50.85294117647059,53.55882352941177,87.67647058823529,66.6470588235294,39.6764705882353,87.5,82.20588235294117,66.96,76.24,83.6,86.32,25.32,12.16,23.84,24.4,62.172413793103445,78.86206896551724,43.41379310344828,39.724137931034484,83.41379310344827,48.58620689655172,76.89655172413794,85.96551724137932,40.095238095238095,97.85714285714286,27.38095238095238,84.80952380952381,66.9047619047619,60.23809523809524,32.57142857142857,63.38095238095238,65.36363636363636,62.90909090909091,76.84848484848484,51.78787878787879,56.21212121212121,74.6969696969697,42.36363636363637,49.15151515151515,43.40625,43.03125,55.34375,48.125,52.1875,61.59375,68.09375,77.71875,29.789473684210527,70.34210526315789,59.6578947368421,88.5,64.65789473684211,90.15789473684211,53.86842105263158,78.92105263157895,83.88888888888889,57.407407407407405,45.148148148148145,42.74074074074074,47.407407407407405,50.74074074074074,52.111111111111114,74.5925925925926,74.77142857142857,48.542857142857144,55.142857142857146,33.2,70.0,46.17142857142857,41.22857142857143,65.88571428571429,54.18421052631579,68.44736842105263,91.89473684210526,30.526315789473685,49.36842105263158,62.18421052631579,55.05263157894737,56.3421052631579,95.07692307692308,47.92307692307692,49.15384615384615,24.423076923076923,23.0,41.76923076923077,42.0,58.61538461538461,54.41379310344828,78.41379310344827,69.48275862068965,61.724137931034484,85.24137931034483,92.37931034482759,76.62068965517241,39.13793103448276,39.87096774193548,56.83870967741935,55.38709677419355,72.3225806451613,79.29032258064517,52.354838709677416,92.48387096774194,42.70967741935484,73.28571428571429,72.28571428571429,54.392857142857146,75.53571428571429,50.857142857142854,91.42857142857143,74.21428571428571,48.32142857142857,86.79166666666667,52.708333333333336,45.541666666666664,33.75,66.95833333333333,55.375,74.375,83.70833333333333,72.46875,82.0625,26.59375,45.75,41.5,83.21875,74.40625,73.65625,47.75,43.8125,23.34375,72.5625,79.78125,19.25,67.21875,77.84375,92.06060606060606,84.18181818181819,63.78787878787879,85.15151515151516,95.45454545454545,66.3030303030303,57.75757575757576
