"","Australia","Brazil","Chile","CHN","Egypt","France","Germany","HK(region)","India","Israel","Japan","Mexico","Portugal","Qatar","Russia","South Africa","Spain","UK","USA"
"Australia",0,0.0695187165775401,0.0467914438502673,0.089572192513369,0.124665775401069,0.517713903743315,0.0668449197860963,0.0952540106951871,0.112967914438503,0.20120320855615,0.0614973262032086,0.0474598930481284,0.0608288770053476,0.111631016042781,0.123663101604278,0.0240641711229946,0.0411096256684492,0.0651737967914439,0.0177139037433155
"Brazil",0.0695187165775401,0,0.0795454545454546,0.080548128342246,0.124331550802139,0.537433155080214,0.108288770053476,0.0828877005347594,0.163101604278075,0.203542780748663,0.0568181818181818,0.0544786096256684,0.0280748663101604,0.0875668449197861,0.113636363636364,0.0558155080213903,0.0564839572192514,0.0959224598930482,0.0497994652406417
"Chile",0.0467914438502673,0.0795454545454546,0,0.0591577540106952,0.0909090909090909,0.506016042780749,0.0521390374331551,0.0588235294117647,0.126671122994652,0.187834224598931,0.054144385026738,0.0160427807486631,0.0755347593582888,0.0728609625668449,0.097927807486631,0.0584893048128342,0.0190508021390374,0.0728609625668449,0.0574866310160428
"CHN",0.089572192513369,0.080548128342246,0.0591577540106952,0,0.070855614973262,0.498997326203209,0.0611631016042781,0.0200534759358288,0.188836898395722,0.243983957219251,0.054144385026738,0.0381016042780749,0.0835561497326203,0.0625,0.108622994652406,0.108957219251337,0.0397727272727273,0.0868983957219251,0.0848930481283422
"Egypt",0.124665775401069,0.124331550802139,0.0909090909090909,0.070855614973262,0,0.474933155080214,0.110294117647059,0.0681818181818182,0.158756684491979,0.274064171122995,0.0915775401069518,0.0658422459893048,0.120320855614973,0.0681818181818182,0.0775401069518716,0.130013368983957,0.071524064171123,0.0832219251336899,0.119318181818182
"France",0.517713903743315,0.537433155080214,0.506016042780749,0.498997326203209,0.474933155080214,0,0.50033422459893,0.510360962566845,0.548128342245989,0.698195187165775,0.456885026737968,0.487299465240642,0.50701871657754,0.507352941176471,0.438502673796791,0.503676470588235,0.521390374331551,0.509024064171123,0.50668449197861
"Germany",0.0668449197860963,0.108288770053476,0.0521390374331551,0.0611631016042781,0.110294117647059,0.50033422459893,0,0.0481283422459893,0.139705882352941,0.21524064171123,0.0591577540106952,0.0421122994652406,0.0929144385026738,0.115307486631016,0.107954545454545,0.0835561497326203,0.0454545454545454,0.0822192513368984,0.0695187165775401
"HK(region)",0.0952540106951871,0.0828877005347594,0.0588235294117647,0.0200534759358288,0.0681818181818182,0.510360962566845,0.0481283422459893,0,0.191510695187166,0.229946524064171,0.0591577540106952,0.0327540106951871,0.0922459893048129,0.0775401069518716,0.088903743315508,0.119318181818182,0.0367647058823529,0.0858957219251337,0.0862299465240641
"India",0.112967914438503,0.163101604278075,0.126671122994652,0.188836898395722,0.158756684491979,0.548128342245989,0.139705882352941,0.191510695187166,0,0.260026737967914,0.127005347593583,0.129344919786096,0.155080213903743,0.211564171122995,0.148395721925134,0.0929144385026738,0.143048128342246,0.134692513368984,0.113636363636364
"Israel",0.20120320855615,0.203542780748663,0.187834224598931,0.243983957219251,0.274064171122995,0.698195187165775,0.21524064171123,0.229946524064171,0.260026737967914,0,0.161764705882353,0.203877005347594,0.212566844919786,0.22927807486631,0.226604278074866,0.240641711229946,0.202540106951872,0.216243315508021,0.227941176470588
