code1,Country,InterdependentSubsistenceStyleComposite1990,InterdependentSubsistenceStyleComposite2000,HistoricalDiseasePrevalence7Items,ZIndividualismHofstede,Continent,Continent7,Continent8,Continent9,Continent10,LanguageFamilies,TightnessGelfand2021,TightnessGelfand2021ControllingPercentMuslim,TightnessControllingPercentMuslim,TightnessImputed,RelationalMobility,RelationalMobilityImputed,PercentMuslim,PercentMuslimSquared,RiceHarvestedAreaPerCerealProduc,RiceHarvestedAreaPerCerealProducSquared,RiceHarvestedAreaPerCerealProducBins,TotalPopulation,PopulationDensity,PopulationDensityLog,InternationalTrade,PopulationOver65,FreedomIndex,GiniInequality,GDPPerCapita2011PPP,GDPPerCapita2011PPP10k,LogGDPPerCapita2011PPP,GDP_2018,PercentPastureLand1961,ProportionPastureLand1990,MedianAge_2020_UN,Pop_Density2020_UN,Population_2020_UN,Region,PercentUrban,GlobalCollectivismIndex,filter_$
 ,West Bank and Gaza, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5157.568578, , ,20.769,847.4112957,5323,Middle East & North Africa,76.164, , 
1,Afghanistan,0.437,0.437,0.15, ,2,2,2,2,2,3, , , , , , ,99.7,9940.09,0.05,0.0025,0,32776.42,50.20448626,3.91610439,51.39438906,2.438405514,25.3,0.319776654, , , , ,45.95, , , , , , ,1.25,1
2,Albania,0.476, ,0.03, ,3,3,3,3,3,3, , , , , , ,58.8,3457.44,0,0,0,2910.771,105.5728796,4.659401516,76.22547206,11.98469257,66.4,0.399673253, , , , ,27.48, , , , , , ,-0.1, 
3,Algeria,0.651,0.648,0.63, ,1,1,1,1,1,1,0.694447099,0.103688893,0.103688893,0.694447099, ,-0.139,99,9801,0,0,0,38631.75,16.2199712,2.786243273,62.92896114,5.766011238,34.7,0.349261433, , , ,15481.78762,16.12, ,28.521,18.41134759,43333,Middle East & North Africa,72.629,0.73,1
4,Andorra, , ,-1.05, ,3,3,3,3,3,3, , , , , , ,2.6,6.76, , , , ,171.146383,5.142519231, , ,95.5,0.308042854, , , , ,53.19, , ,164.393617,77,Europe & Central Asia,88.062, , 
5,Angola,-0.417,-0.417,0.93, ,1,1,1,1,1,1, , , , , , ,0.3,0.09,0.01,0.0001,0,26551.01,21.29702839,3.058567551,81.93907465,2.305700779,28.4,0.502189577, , , , ,43.31, , , , , , ,0.85,1
6,Antigua and Barbuda, , , , ,6,6,6,6,6,3, , , , , , ,0.3,0.09, , , , ,208.7088636,5.340940284,101.8727435, ,81.1,0.473680854, , , , ,4.55, , , , , , ,0.21, 
7,Argentina,0.222,0.222,0.03,0.08,4,4,4,4,4,3,-0.531806346,-0.462317643,-0.462317643,-0.531806346, ,0.109,0.9,0.81,0.02,0.0004,0,42416.99,15.50778802,2.741342351,29.70054521,10.58332634,81.4,0.399638236, , , ,20610.56855,43.25,0.4,31.532,16.51475944,45510,Latin America & Caribbean,91.87,-0.37,1
8,Armenia,0.385,0.385,0.15, ,2,2,2,2,2,3,0.205163972,0.280036952,0.280036952,0.205163972, , ,0.1,0.01,0,0,0,2909.441,102.1933579,4.626866685,74.49432255,10.97146988,45,0.36606288, , , ,10343.17559,24.13, ,35.374,104.0826835,2939,Europe & Central Asia,63.149,0.08,1
9,Aruba, , ,-0.28, ,6,6,6,6,6,3, , , , , , ,0.4,0.16, , , , ,575.0483333,6.354454095,148.7508492, , , ,41894,4.1894,10.6428979, , ,0.65, , , , , ,-0.93, 
10,Australia,0.159,0.17,-0.14,1.88,7,7,7,7,7,3,-0.053445728,0.004601387,0.004601387,-0.053445728,0.138,0.138,2.6,6.76,0.008943683,8.00E-05,0,23387.68,3.031630864,1.109100714,42.25138521,14.39974594,97.2,0.324346066,44452,4.4452,10.70216523,51663.36509,56.13,0.25,37.875,3.319302943,25398,East Asia & Pacific,86.012,-1.17,1
11,Austria,0.169, ,-0.65,0.45,3,3,3,3,3,3,0.210177967,0.231881216,0.231881216,0.210177967, ,-0.011,8,64,0,0,0,8604.699,103.672585,4.641237712,101.9966382,18.44756126,95.2,0.277518988, , , , ,21.81, , , , , , ,-1.16, 
12,Azerbaijan,0.456,0.456,0.29, ,2,2,2,2,2,12, , , , , , ,96.9,9389.61,0,0,0,9441.253,114.4738952,4.740346808,79.74139335,5.867257118,17.9,0.30069375, , , ,18044.13678,29.22, ,32.333,122.6641704,10100,Europe & Central Asia,55.68,0.14,1
13,Bahamas, , ,-0.51, ,6,6,6,6,6,3, , , , , , ,0.1,0.01, , , , , , , , , , , , , , ,0.1, , , , , , ,-0.02, 
14,Bahrain, , ,0.15, ,2,2,2,2,2,2, , , ,0.8512609, , ,73.7,5431.69,0,0,0,1351.63,1751.676212,7.468328444,155.4722376,2.251919031,16,0.488498151, , , ,47303.04851,5.8,0.05,32.456,2238.925, ,Middle East & North Africa,89.287,-0.03, 
15,Bangladesh,0.548,0.548,0.66,-0.98,2,2,8,8,8,3, , , , , , ,90.4,8172.16,0.52,0.2704,6,153635.3,1180.241533,7.073474385,41.78270809,4.993366718,49.8,0.351511568, , , , ,4.61, , , , , , ,1.25,1
