Nations,Australia,Brazil,Chile,Egypt,Spain,Israel,Japan,Mexico,Portugal,Russia,South Africa,France,Germany,United Kingdom,United States,China,Hong Kong,Qatar,India
Australia,0.0,22.0,5.0,17.0,4.0,20.0,8.0,28.0,16.0,31.0,18.0,5.0,0.0,2.0,2.0,1.0,24.0,12.0,26.0
Brazil,22.0,0.0,17.0,5.0,18.0,2.0,30.0,6.0,6.0,53.0,4.0,17.0,22.0,20.0,24.0,23.0,2.0,10.0,4.0
Chile,5.0,17.0,0.0,12.0,1.0,15.0,13.0,23.0,11.0,36.0,13.0,0.0,5.0,3.0,7.0,6.0,19.0,7.0,21.0
Egypt,17.0,5.0,12.0,0.0,13.0,3.0,25.0,11.0,1.0,48.0,1.0,12.0,17.0,15.0,19.0,18.0,7.0,5.0,9.0
Spain,4.0,18.0,1.0,13.0,0.0,16.0,12.0,24.0,12.0,35.0,14.0,1.0,4.0,2.0,6.0,5.0,20.0,8.0,22.0
Israel,20.0,2.0,15.0,3.0,16.0,0.0,28.0,8.0,4.0,51.0,2.0,15.0,20.0,18.0,22.0,21.0,4.0,8.0,6.0
Japan,8.0,30.0,13.0,25.0,12.0,28.0,0.0,36.0,24.0,23.0,26.0,13.0,8.0,10.0,6.0,7.0,32.0,20.0,34.0
Mexico,28.0,6.0,23.0,11.0,24.0,8.0,36.0,0.0,12.0,59.0,10.0,23.0,28.0,26.0,30.0,29.0,4.0,16.0,2.0
Portugal,16.0,6.0,11.0,1.0,12.0,4.0,24.0,12.0,0.0,47.0,2.0,11.0,16.0,14.0,18.0,17.0,8.0,4.0,10.0
Russia,31.0,53.0,36.0,48.0,35.0,51.0,23.0,59.0,47.0,0.0,49.0,36.0,31.0,33.0,29.0,30.0,55.0,43.0,57.0
South Africa,18.0,4.0,13.0,1.0,14.0,2.0,26.0,10.0,2.0,49.0,0.0,13.0,18.0,16.0,20.0,19.0,6.0,6.0,8.0
France,5.0,17.0,0.0,12.0,1.0,15.0,13.0,23.0,11.0,36.0,13.0,0.0,5.0,3.0,7.0,6.0,19.0,7.0,21.0
Germany,0.0,22.0,5.0,17.0,4.0,20.0,8.0,28.0,16.0,31.0,18.0,5.0,0.0,2.0,2.0,1.0,24.0,12.0,26.0
United Kingdom,2.0,20.0,3.0,15.0,2.0,18.0,10.0,26.0,14.0,33.0,16.0,3.0,2.0,0.0,4.0,3.0,22.0,10.0,24.0
United States,2.0,24.0,7.0,19.0,6.0,22.0,6.0,30.0,18.0,29.0,20.0,7.0,2.0,4.0,0.0,1.0,26.0,14.0,28.0
China,1.0,23.0,6.0,18.0,5.0,21.0,7.0,29.0,17.0,30.0,19.0,6.0,1.0,3.0,1.0,0.0,25.0,13.0,27.0
Hong Kong,24.0,2.0,19.0,7.0,20.0,4.0,32.0,4.0,8.0,55.0,6.0,19.0,24.0,22.0,26.0,25.0,0.0,12.0,2.0
Qatar,12.0,10.0,7.0,5.0,8.0,8.0,20.0,16.0,4.0,43.0,6.0,7.0,12.0,10.0,14.0,13.0,12.0,0.0,14.0
India,26.0,4.0,21.0,9.0,22.0,6.0,34.0,2.0,10.0,57.0,8.0,21.0,26.0,24.0,28.0,27.0,2.0,14.0,0.0
