,United States,United Kingdom,Germany,France,Australia,South Africa,India,Chile,Mexico,Spain,Brazil,Portugal,Egypt,Russia,Israel,Japan,China,Hong Kong,Qatar
United States,0.0,1.2288222234642716,3.070034895857477,3.2192168138240693,0.35414089976762547,1.2853571288456003,3.3860925668863513,4.238374393861092,3.8895158238520966,3.226520735269476,3.22074034010908,4.666724301509504,4.27697522457476,5.382302638008856,2.9358063797760297,4.61822867846102,4.93952661988291,4.252756718605271,4.324860857141187
United Kingdom,1.2288222234642716,0.0,2.4776381470414037,3.3633021769118447,1.506459858344399,1.5933291566060335,3.3633085209415365,4.671380793429197,4.288648504075767,3.5200805994368896,3.490683242673309,5.168262904619973,4.786123251074928,5.413047474524049,3.1879118277158662,4.2353292820090775,4.476661538824299,4.023365307423988,4.537955718201852
Germany,3.070034895857477,2.4776381470414037,0.0,2.5402955143947703,3.237390029546783,2.536516993188336,2.919584275303284,4.362959460828558,4.560598648387288,2.677998103817552,3.0316809832893292,4.310646343575242,4.493093347834187,3.927890570949859,2.6968432729695953,2.5866884554307816,3.3992942513259865,3.238541650869221,3.770614991901587
France,3.2192168138240698,3.3633021769118447,2.5402955143947703,0.0,3.268071958305676,2.672373554464822,2.6568486457062575,2.8418508638487276,3.753593902525929,1.2170389803572381,1.819871550161837,2.7659677178219924,3.8126437905846773,2.421687263229557,2.9382956271860805,3.8227504170069895,3.9434816493013356,3.575900824399046,2.554329875839837
Australia,0.35414089976762547,1.506459858344399,3.237390029546783,3.268071958305676,0.0,1.385700030976459,3.5751257354000647,4.134778721793493,3.7952693759497502,3.2117267343757825,3.214046982921512,4.580461677384874,4.331208052401614,5.461513971847137,2.8380170606388773,4.721731383335466,5.156947851460288,4.442651651197664,4.361530747330571
South Africa,1.2853571288456005,1.5933291566060335,2.5365169931883353,2.672373554464822,1.385700030976459,0.0,2.4345857227256733,3.4182455567337158,3.0463629959252736,2.456651040520948,2.1670616139750414,3.8808008519817667,3.499999600842194,4.522609423482049,2.586641048494211,3.8520417300085312,3.860519574500516,3.2072097342104597,3.2125089232107102
India,3.3860925668863513,3.3633085209415365,2.919584275303284,2.6568486457062575,3.5751257354000647,2.4345857227256733,0.0,3.629572722279193,3.9998441053640246,2.518491142117762,2.2797232680931887,3.554408685090533,2.2795989175768594,3.128662311155789,3.7347071657600126,3.9766826731872187,2.1256237194902527,1.3260268075860342,2.3318275896791643
Chile,4.238374393861092,4.671380793429198,4.362959460828558,2.8418508638487276,4.134778721793493,3.4182455567337158,3.6295727222791925,0.0,3.1441012331071523,2.0225853001232217,1.7528709266530733,1.7658030849314665,3.892253268858142,3.4812632858477945,3.1669404571921254,5.291276533126632,4.726415451322412,4.066686979288018,2.5815310778044696
Mexico,3.8895158238520966,4.288648504075767,4.560598648387288,3.753593902525929,3.7952693759497502,3.0463629959252736,3.9998441053640246,3.1441012331071523,0.0,3.457752108061278,2.4180550613520717,4.0066600820872225,4.4720660797847565,4.822725856223558,4.351306804368795,4.33444114235947,4.808982004488833,4.634661185199294,2.6930215420166337
Spain,3.226520735269476,3.5200805994368896,2.677998103817552,1.2170389803572381,3.2117267343757825,2.456651040520948,2.518491142117762,2.0225853001232217,3.457752108061278,0.0,1.232129059277806,1.8090726863789084,3.2165497397021903,2.578477615056714,2.1763948355882237,3.9039789498377027,3.8606668004295974,3.2092652794177434,2.2399915926171268
Brazil,3.22074034010908,3.490683242673309,3.0316809832893292,1.819871550161837,3.214046982921512,2.1670616139750414,2.2797232680931887,1.7528709266530733,2.4180550613520717,1.232129059277806,0.0,2.2309178785442207,3.126415901012672,2.8706537691122844,2.822874739869276,3.7941443569199373,3.4483062259737642,2.953466199025119,1.4557434823309263
Portugal,4.666724301509504,5.168262904619973,4.310646343575242,2.7659677178219924,4.580461677384874,3.880800851981767,3.554408685090533,1.7658030849314665,4.0066600820872225,1.8090726863789084,2.2309178785442207,0.0,3.2029227267011824,2.8403566949035213,3.110595468501086,5.063963464842287,4.769697111880195,3.989122393311853,2.5922430564259678
Egypt,4.27697522457476,4.786123251074928,4.493093347834187,3.8126437905846773,4.331208052401614,3.499999600842194,2.2795989175768594,3.8922532688581417,4.472066079784756,3.2165497397021903,3.126415901012672,3.2029227267011824,0.0,3.93749376036158,4.199285276362559,5.1070732863886095,3.848079061286545,2.7515898429895196,2.9287793725704048
Russia,5.3823026380088566,5.413047474524049,3.9278905709498586,2.421687263229557,5.461513971847137,4.522609423482049,3.128662311155789,3.4812632858477945,4.822725856223558,2.578477615056714,2.8706537691122844,2.8403566949035213,3.93749376036158,0.0,4.537503157116864,4.432657651456739,3.5883780679475388,3.536178693292251,2.4088697193418
