,United States,United Kingdom,Germany,France,Australia,South Africa,India,Chile,Mexico,Spain,Brazil,Portugal,Egypt,Qatar,Russia,Israel,Japan,China,Hong Kong
United States,0,0,95.28,90.33500000000001,0,0,0,92.093,92.093,92.093,92.056,92.056,99.811,99.811,97.975,99.583,98.214,99.949,99.949
United Kingdom,0,0,95.28,90.33500000000001,0,0,0,92.093,92.093,92.093,92.056,92.056,99.811,99.811,97.975,99.583,98.214,99.949,99.949
Germany,95.28,95.28,0,95.838,95.28,95.28,95.28,96.422,96.422,96.422,95.384,95.384,99.762,99.762,97.039,99.454,98.751,99.959,99.959
France,90.33500000000001,90.33500000000001,95.838,0,90.33500000000001,90.33500000000001,90.33500000000001,88.804,88.804,88.804,88.021,88.021,99.728,99.728,97.565,99.447,98.594,99.961,99.961
Australia,0,0,95.28,90.33500000000001,0,0,0,92.093,92.093,92.093,92.056,92.056,99.811,99.811,97.975,99.583,98.214,99.949,99.949
South Africa,0,0,95.28,90.33500000000001,0,0,0,92.093,92.093,92.093,92.056,92.056,99.811,99.811,97.975,99.583,98.214,99.949,99.949
India,0,0,95.28,90.33500000000001,0,0,0,92.093,92.093,92.093,92.056,92.056,99.811,99.811,97.975,99.583,98.214,99.949,99.949
Chile,92.093,92.093,96.422,88.804,92.093,92.093,92.093,0,0,0,82.586,82.586,99.716,99.716,97.748,99.528,98.781,99.958,99.958
Mexico,92.093,92.093,96.422,88.804,92.093,92.093,92.093,0,0,0,82.586,82.586,99.716,99.716,97.748,99.528,98.781,99.958,99.958
Spain,92.093,92.093,96.422,88.804,92.093,92.093,92.093,0,0,0,82.586,82.586,99.716,99.716,97.748,99.528,98.781,99.958,99.958
Brazil,92.056,92.056,95.384,88.021,92.056,92.056,92.056,82.586,82.586,82.586,0,0,99.637,99.637,97.08,99.256,98.371,99.943,99.943
Portugal,92.056,92.056,95.384,88.021,92.056,92.056,92.056,82.586,82.586,82.586,0,0,99.637,99.637,97.08,99.256,98.371,99.943,99.943
Egypt,99.811,99.811,99.762,99.728,99.811,99.811,99.811,99.716,99.716,99.716,99.637,99.637,0,0,99.769,99.608,99.864,99.963,99.963
Qatar,99.811,99.811,99.762,99.728,99.811,99.811,99.811,99.716,99.716,99.716,99.637,99.637,0,0,99.769,99.608,99.864,99.963,99.963
Russia,97.975,97.975,97.039,97.565,97.975,97.975,97.975,97.748,97.748,97.748,97.08,97.08,99.769,99.769,0,99.573,99.149,99.937,99.937
Israel,99.583,99.583,99.454,99.447,99.583,99.583,99.583,99.528,99.528,99.528,99.256,99.256,99.608,99.608,99.573,0,99.789,99.917,99.917
Japan,98.214,98.214,98.751,98.594,98.214,98.214,98.214,98.781,98.781,98.781,98.371,98.371,99.864,99.864,99.149,99.789,0,97.741,97.741
China,99.949,99.949,99.959,99.961,99.949,99.949,99.949,99.958,99.958,99.958,99.943,99.943,99.963,99.963,99.937,99.917,97.741,0,0
Hong Kong,99.949,99.949,99.959,99.961,99.949,99.949,99.949,99.958,99.958,99.958,99.943,99.943,99.963,99.963,99.937,99.917,97.741,0,0
