,United States,United Kingdom,Germany,France,Australia,South Africa,India,Chile,Mexico,Spain,Brazil,Egypt,Qatar,Russia,Israel,Japan,China,Hong Kong
United States,0.0,0.0568306768820217,0.0673527545623959,0.0805660871492143,0.0302559955496343,0.0475672035716137,0.0758100916277077,0.063623457968634,0.0632761060472443,0.0586746746610526,0.0637408100411917,0.158179418162887,0.096736973176796,0.0700232469778673,0.0599886405865429,0.104184182167624,0.127591085383699,0.0897937320554999
United Kingdom,0.0568306768820217,0.0,0.112280933851443,0.0304654079053393,0.0397841255821628,0.0871427914643381,0.114965896166228,0.0675363255332608,0.0903518762105176,0.050686972088513,0.0703978258415164,0.36016086467177,0.125754531131816,0.132737432441113,0.0441694612599158,0.136607795781013,0.191960143749835,0.106639468128019
Germany,0.0673527545623959,0.112280933851443,0.0,0.120099629562221,0.0522646618760256,0.110468777005775,0.11273048102951,0.0691969588136385,0.104154700477901,0.0552988935190666,0.105135977567077,0.26112110562477,0.274929238157143,0.095853585399405,0.114239222605488,0.0502430161533935,0.122266396869246,0.0662964497849618
France,0.0805660871492143,0.0304654079053393,0.120099629562221,0.0,0.063225081245135,0.115109277276813,0.106319173030508,0.0711762812461773,0.101371301784865,0.0358575092509151,0.0680940044557171,0.430578763963235,0.142537327806576,0.111104146813522,0.0763167682062145,0.125518424790394,0.178091770711713,0.122339842984957
Australia,0.0302559955496343,0.0397841255821628,0.0522646618760256,0.063225081245135,0.0,0.101622227346385,0.0895864835893818,0.0755958052150595,0.0994373417766573,0.0662896247732851,0.0825741090395118,0.272447180038723,0.146575081275581,0.0980955291897164,0.0536590940502817,0.0821524437753189,0.114756430342892,0.091408607045239
South Africa,0.0475672035716137,0.0871427914643381,0.110468777005775,0.115109277276813,0.101622227346385,0.0,0.0401212129874466,0.0340893596089488,0.0258071762763479,0.0511762290995689,0.0376693508439019,0.0753775658050368,0.0986512007718426,0.0565504732378191,0.0882642320675758,0.119722951109738,0.128457878953203,0.11689506355465
India,0.0758100916277077,0.114965896166228,0.11273048102951,0.106319173030508,0.0895864835893818,0.0401212129874466,0.0,0.0614554336803442,0.0524033248406068,0.0667209012882863,0.0756065974558156,0.0977483972897268,0.120076659817711,0.0867086752186658,0.127764657994134,0.103185941399163,0.108084085451042,0.126091666057578
Chile,0.063623457968634,0.0675363255332608,0.0691969588136385,0.0711762812461773,0.0755958052150595,0.0340893596089488,0.0614554336803442,0.0,0.0164563676531053,0.0320648846563484,0.0388978367660751,0.149261033872474,0.106214959921735,0.0575337481531726,0.05151472954392,0.0844020004834263,0.125943697609764,0.0996344978296065
Mexico,0.0632761060472443,0.0903518762105176,0.104154700477901,0.101371301784865,0.0994373417766573,0.0258071762763479,0.0524033248406068,0.0164563676531053,0.0,0.0420670620709867,0.0337383395464037,0.103351669241321,0.0817673241092787,0.0680331341372842,0.0633514235487713,0.105160593860587,0.108149498019442,0.117480205805463
Spain,0.0586746746610526,0.050686972088513,0.0552988935190666,0.0358575092509151,0.0662896247732851,0.0511762290995689,0.0667209012882863,0.0320648846563484,0.0420670620709867,0.0,0.049831215251525,0.174892678236929,0.146690299335678,0.0504615852636721,0.0735321435686185,0.0723998921376607,0.100033011770566,0.0605413964565988
Brazil,0.0637408100411917,0.0703978258415164,0.105135977567077,0.0680940044557171,0.0825741090395118,0.0376693508439019,0.0756065974558156,0.0388978367660751,0.0337383395464037,0.049831215251525,0.0,0.166577938863166,0.0765274517279111,0.0727009103656715,0.0845287390291798,0.133798116042347,0.124924838983497,0.103826584048027
Egypt,0.158179418162887,0.36016086467177,0.26112110562477,0.430578763963235,0.272447180038723,0.0753775658050368,0.0977483972897268,0.149261033872474,0.103351669241321,0.174892678236929,0.166577938863166,0.0,0.0463165611605758,0.187917445941238,0.216800084522642,0.232710398819768,0.183736771168333,0.298609602878759
Qatar,0.096736973176796,0.125754531131816,0.274929238157143,0.142537327806576,0.146575081275581,0.0986512007718426,0.120076659817711,0.106214959921735,0.0817673241092787,0.146690299335678,0.0765274517279111,0.0463165611605758,0.0,0.168068987567878,0.0944566233758725,0.337995240885503,0.262575305083036,0.188608484290731
Russia,0.0700232469778673,0.132737432441113,0.095853585399405,0.111104146813522,0.0980955291897164,0.0565504732378191,0.0867086752186658,0.0575337481531726,0.0680331341372842,0.0504615852636721,0.0727009103656715,0.187917445941238,0.168068987567878,0.0,0.138957969883488,0.094312933947662,0.0879488370950575,0.126372121242456
Israel,0.0599886405865429,0.0441694612599158,0.114239222605488,0.0763167682062145,0.0536590940502817,0.0882642320675758,0.127764657994134,0.05151472954392,0.0633514235487713,0.0735321435686185,0.0845287390291798,0.216800084522642,0.0944566233758725,0.138957969883488,0.0,0.110033049490918,0.146937048067266,0.0955433276379128
Japan,0.104184182167624,0.136607795781013,0.0502430161533935,0.125518424790394,0.0821524437753189,0.119722951109738,0.103185941399163,0.0844020004834263,0.105160593860587,0.0723998921376607,0.133798116042347,0.232710398819768,0.337995240885503,0.094312933947662,0.110033049490918,0.0,0.137285123070773,0.0894835928646713
China,0.127591085383699,0.191960143749835,0.122266396869246,0.178091770711713,0.114756430342892,0.128457878953203,0.108084085451042,0.125943697609764,0.108149498019442,0.100033011770566,0.124924838983497,0.183736771168333,0.262575305083036,0.0879488370950575,0.146937048067266,0.137285123070773,0.0,0.101058877095636
Hong Kong,0.0897937320554999,0.106639468128019,0.0662964497849618,0.122339842984957,0.091408607045239,0.11689506355465,0.126091666057578,0.0996344978296065,0.117480205805463,0.0605413964565988,0.103826584048027,0.298609602878759,0.188608484290731,0.126372121242456,0.0955433276379128,0.0894835928646713,0.101058877095636,0.0
