,Australia,Brazil,Chile,France,Germany,Hong Kong,Japan,Mexico,Portugal,Russia,Spain,United Kingdom,United States,India,South Africa,Egypt,China,Israel,Qatar
Australia,0.0,0.09999999999997229,0.2100000000000006,0.17000000000000043,0.46000000000000074,0.2899999999999928,0.43999999999999595,0.33999999999999564,0.22999999999999457,0.6499999999999996,0.4799999999999995,0.11000000000000101,0.009999999999988346,0.38999999999999646,0.939999999999997,0.7700000000000001,0.19899999999999385,0.757000000000003,0.17922222222222042
Brazil,0.09999999999997229,0.0,0.3100000000000055,0.2700000000000012,0.5600000000000008,0.18999999999999362,0.34000000000000086,0.24000000000000157,0.32999999999999763,0.5500000000000018,0.579999999999998,0.2100000000000006,0.08999999999999381,0.289999999999999,0.8400000000000024,0.6700000000000014,0.09899999999999749,0.6570000000000056,0.07922222222223704
Chile,0.2100000000000006,0.3100000000000055,0.0,0.0400000000000422,0.2500000000000071,0.5000000000000036,0.6499999999999996,0.5499999999999986,0.02000000000006551,0.8600000000000017,0.2700000000000012,0.10000000000000782,0.22000000000001008,0.5999999999999995,1.1500000000000021,0.98,0.40900000000000325,0.9670000000000025,0.38922222222222425
France,0.17000000000000043,0.2700000000000012,0.0400000000000422,0.0,0.2900000000000051,0.46000000000000074,0.6099999999999968,0.5099999999999978,0.05999999999995969,0.8199999999999976,0.30999999999999406,0.0600000000000189,0.1799999999999975,0.5600000000000008,1.1099999999999979,0.9400000000000007,0.36900000000000177,0.9270000000000013,0.349222222222217
Germany,0.46000000000000074,0.5600000000000008,0.2500000000000071,0.2900000000000051,0.0,0.75,0.9000000000000012,0.8000000000000004,0.23000000000000229,1.1099999999999979,0.019999999999976693,0.35000000000000325,0.47000000000000036,0.8500000000000001,1.4000000000000028,1.229999999999998,0.6590000000000016,1.2169999999999987,0.6392222222222238
Hong Kong,0.2899999999999928,0.18999999999999362,0.5000000000000036,0.46000000000000074,0.75,0.0,0.15000000000002653,0.049999999999977264,0.5200000000000021,0.36000000000000487,0.7700000000000001,0.40000000000000463,0.28000000000000363,0.09999999999999006,0.6499999999999996,0.4800000000000106,0.09100000000000112,0.46700000000000663,0.11077777777779728
Japan,0.43999999999999595,0.33999999999999564,0.6499999999999996,0.6099999999999968,0.8999999999999992,0.15000000000001468,0.0,0.09999999999997229,0.6699999999999987,0.20999999999998367,0.9199999999999995,0.5499999999999986,0.42999999999999466,0.05000000000004832,0.5,0.32999999999999763,0.24100000000000288,0.3169999999999938,0.2607777777777845
Mexico,0.33999999999999564,0.24000000000000157,0.5499999999999986,0.5099999999999978,0.8000000000000004,0.049999999999977264,0.09999999999995453,0.0,0.5699999999999996,0.3099999999999998,0.8199999999999976,0.4500000000000006,0.32999999999999763,0.04999999999990621,0.5999999999999995,0.4299999999999905,0.14100000000000565,0.41700000000000315,0.1607777777777861
Portugal,0.22999999999999457,0.32999999999999763,0.02000000000006551,0.05999999999995969,0.23000000000000229,0.5200000000000021,0.669999999999996,0.5699999999999996,0.0,0.8799999999999959,0.25,0.1200000000000082,0.24000000000000157,0.6199999999999938,1.1699999999999984,0.9999999999999964,0.4290000000000048,0.9870000000000018,0.40922222222222393
Russia,0.6499999999999996,0.5499999999999986,0.8600000000000017,0.8199999999999976,1.1099999999999997,0.35999999999999993,0.20999999999998367,0.3100000000000055,0.879999999999998,0.0,1.1300000000000006,0.7600000000000002,0.6400000000000008,0.2599999999999976,0.289999999999999,0.11999999999997858,0.45099999999999946,0.10700000000002821,0.4707777777777751
