,Valence.Evaluation,Equality,Activity.Intensity,Socioemotional,Formality.and.Regulation,Intimacy,Visibility,Communal.Sharing,Expected.Reciprocity,Strategic,Concreteness,Uniqueness,Love.Expression,Information.Exchange,Money.Exchange,Goods.Exchange,Service.Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance.for.society,Importance.for.individuals,Affiliation.Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial.Distance,Morality,Trust,Generation.Gap,cl_k3
Parent and Child,88.9765313390313,28.8463275921609,90.9595204178538,86.6088988172322,25.807978287145,81.4075584908918,59.7230337563671,91.6695253820254,40.3176724510058,23.4401169817836,47.5476128809462,83.8822006697007,98.6201622451622,89.7748575498576,37.0862928737929,36.8619671994672,46.6256379423046,97.3806961556961,56.5506772548439,30.9560845019178,42.3207158582159,31.5378109544776,83.9353117561451,94.6412744662745,83.5492444284111,28.352109002109,81.1088138713139,92.7923420715087,73.0860327943661,92.5664673289673,92.1025955525955,95.9270356187023,82.4229455729456,0
Parent and Teenager,71.209451351118,31.5749751791418,81.0462153587154,82.4463912630579,26.0990060865061,69.6542745834412,58.1465628507295,87.0287479495813,42.2662598204265,28.8598085556419,49.3665738582405,78.4066691025024,87.572905643739,77.721852376019,40.6732202982203,38.4993511118511,43.007068702902,84.2159726076393,54.9040336207003,49.7789901456568,51.9017331433998,36.4235980069313,79.1515288723622,89.7997773831107,76.7761531678198,28.9032893032893,76.3779744946412,85.3108975900643,65.5347331680665,84.1331145706146,89.5603899187232,85.1069296444296,77.1141844266844,0
Wife and Husband,87.1229841146508,86.4270881895882,91.3605736855737,86.7904061987395,26.7310778727445,92.1852974186308,54.8032191573858,90.9532245532245,70.8753000086333,29.7565710524044,49.1149087024087,87.8919919586586,95.5781160197827,85.0287242078909,47.8744024494024,41.144537715371,44.1402481777482,90.9141657724991,90.7996329287996,41.6280631405631,56.8248766665433,23.3723768515435,77.1469397886065,93.4920761337428,85.4558105474772,34.7985210776878,84.3404384196051,85.8980135605136,80.8864900531567,89.5041575708242,90.793168714002,93.4003066378066,27.9897685647686,0
Fiance and Fiancee,87.1037317620651,85.9974974099974,88.2532655615989,85.625653975654,28.3471456013123,89.237822671156,54.0537285245619,87.0388025554692,68.2500787792454,31.6284479409479,45.8949743158076,82.634632959633,93.4446132571133,79.8396424563091,40.8882077798744,39.4734671193005,38.8778645736979,85.8058922558923,85.5936557269891,30.9709924334924,54.251726976727,17.9053821178821,58.1257242757243,85.0939056314056,77.119589361256,30.5812388229055,79.2205151330151,71.8998205498205,74.511406340573,80.2334861126528,88.1443221901555,88.1700247283581,27.1425744009077,0
Between Siblings,73.7744086160753,73.7722567555901,76.8455937580938,83.5817545109212,23.8322854614521,65.6518281101614,60.9711689545023,77.4026763360097,57.2277389277389,33.8462013295347,47.2330549080549,82.2360734944068,83.9553275428275,73.1823944573944,29.0457221790555,37.3435401018734,29.2213741505408,80.3720282803616,18.008021299688,48.8375835584169,48.3365167240167,28.3286355619689,69.2620361120361,87.504742942243,77.2863055154722,26.4404966946634,70.9388258346592,92.1462744046077,70.0041228832895,74.8840799632466,88.8998851457185,84.018849360516,33.6259979218313,0
Between divorced spouses,31.070529008029,63.141911637745,33.8613819822153,34.8271712855046,65.4812742812743,23.7117801951135,47.3557886557887,28.3133082966416,50.3375420875421,69.9038990330657,58.7387529137529,58.754812625646,30.7079477621144,36.8453372245039,47.8113141488141,37.3955687830688,23.6095037678371,27.1252952294619,28.99727664311,76.9122255830589,62.6772366522367,40.7195182903516,49.5042918501252,48.8421949963617,32.4193154068154,23.9476636018303,35.1136466928134,36.459525351192,38.4826212367879,23.7470361428695,52.6231712731713,28.0377699461033,28.518401968402,2
Between a person and their in-laws,60.8030551238885,47.794234006734,49.1620802037469,54.0458829750496,53.850653975654,38.3025619442286,56.6802026677027,55.8542422084089,48.616915954416,43.4496751705085,46.5320383320383,66.6814702273035,50.5396319729653,49.4481139231139,26.3131286922954,31.724025974026,29.1364316239316,42.9477730602731,17.7142171100504,46.5453111703112,39.4455939122606,24.4785703494037,49.3289284789285,61.7340270840271,45.934140704974,28.571628679962,47.99659337576,59.5145481062148,46.3988181571515,38.1998381248381,73.6978925395592,53.606914690248,73.4276712485046,2
Between cousins,72.1626500043167,72.7394619269619,59.0226873435207,70.085759302426,33.9676336009669,47.1250884917552,61.24804670638,63.5453865578866,51.4762237762238,33.1114586031253,41.32357334024,66.6640220890221,63.6849713558047,58.605377030377,22.8167676459343,30.367015700349,23.440649319816,51.786755682589,15.9787240537241,27.294092019092,35.3920281878615,17.8186529519863,49.9824587449587,63.819389715223,56.1913304288304,25.2093109051442,53.7146527854861,73.7086886878554,54.3714002047335,43.87878001628,79.4222988431322,67.9984077650744,36.9843377301711,0
Employer and Employee,77.3893507726841,29.9820327820328,63.5995442828776,28.3821447071447,85.380628322295,23.5729816479817,77.5873145373145,38.1311096311096,69.564228672562,77.0172944339611,76.4208122124789,46.8644320185987,25.1164021164021,77.0256413339747,84.0264189514189,49.2838945005612,73.8175464967132,39.8859126984127,16.5591730800064,44.7994087702421,59.2319223985891,36.6751122334456,81.201682739918,72.4189192071545,70.6753455876005,92.6848275362981,71.9488279603476,67.9787113848388,75.0184880478998,68.281845605375,76.4303816191071,65.5430913585325,59.377619394041,1
Interviewer and Job applicant,64.3198804282138,33.1281110864444,32.4923992673993,27.5533571366905,86.3396140896141,19.1972675472675,63.8863627113627,33.6398191314858,53.9819572402906,78.7218062801396,58.4783084199751,39.8060385602052,18.7825957992625,69.0686087061087,50.814728635562,36.8100489017156,47.7494809203143,21.297941718775,15.929164662498,28.4613536155203,54.6923500881834,24.3455848164181,68.0594566199958,61.6161394614826,48.1556140210552,85.4076183529615,61.739960565941,22.8124697833031,61.8583386656916,60.4846469344018,70.9186419880047,49.2420787817847,54.7178306443012,1
