"","Valence.Evaluation","Equality","Activity.Intensity","Socioemotional","Formality.and.Regulation","Intimacy","Visibility","Communal.Sharing","Expected.Reciprocity","Strategic","Concreteness","Uniqueness","Love.Expression","Information.Exchange","Money.Exchange","Goods.Exchange","Service.Exchange","Attachment","Mating","Conflict","Negotiation","Coercion","Importance.for.society","Importance.for.individuals","Affiliation.Coalition","Occupational","Activeness","Endurance","Synchronicity","Spatial.Distance","Morality","Trust","Generation.Gap"
"Parent.and.Child",89.2320868945869,28.6185498143831,91.7206315289649,87.5422321505655,25.6246449538116,79.9520029353363,59.5285893119226,91.586192048692,40.7065613398947,24.6456725373392,45.2587239920573,83.1766451141451,98.3284955784955,87.931801994302,36.6543484293484,36.7453005328005,46.0631379423046,97.6431961556961,54.2506772548439,29.5255289463623,42.0026603026603,30.2641998433665,82.764723520851,94.1605555120261,83.1178718793915,28.2909978909979,81.0022779236015,92.6175054702015,72.7889739708367,91.7765980479216,91.8440988205694,95.0423950958265,81.4869978605273
"Parent.and.Teenager",70.6538957955625,30.186086290253,80.5851042476042,82.5686134852802,24.637894975395,65.8042745834412,58.1743406285073,86.495414616248,41.8384820426487,27.9431418889752,46.6165738582405,78.9025024358358,88.2645723104056,76.1315745982413,39.9371091871092,37.7785177785178,42.2973464806798,84.518750385417,53.8484780651447,48.1428790345457,51.7100664767331,35.8347091180425,78.3636203756302,89.9148100628493,76.8205976122643,28.9238775385834,77.0374516188242,85.5916165443126,64.8974782661057,85.0121995379348,89.1005859971546,83.3582368339721,76.7566680868151
"Wife.and.Husband",87.6729841146508,87.2770881895882,91.9605736855737,87.3015173098507,26.0366334283001,93.0186307519641,54.5198858240525,92.5087801087801,69.9753000086333,29.5287932746266,47.5537975912976,87.4947697364364,95.8336715753382,84.0537242078909,47.4785691160691,40.9167599375933,43.8041370666371,91.1308324391658,90.9454662621329,40.5377853627854,56.2957099998767,22.7237657404324,76.1198156055999,93.1662591402788,84.5858759069543,35.249174672459,83.84828155686,85.3793861095332,80.7979279616534,89.165595479321,90.6644105440674,92.768934088787,28.1534940549646
"Fiance.and.Fiancee",87.142620650954,86.3363862988863,87.7365988949322,85.375653975654,27.4415900457567,86.6989337822671,53.5926174134508,86.716580333247,67.1445232236899,31.1117812742813,44.3116409824743,82.0624107374107,93.2460021460021,78.2563091229758,39.7701522243189,39.1123560081893,38.163975684809,85.8572811447811,83.4714335047668,30.2334924334924,53.6253380878381,17.5637154512155,58.2953321188615,85.6007683765037,77.4303736749815,30.9106505876114,79.1708419304008,71.8138728374022,74.5212102621416,79.3968848054632,88.3521653274104,87.7079332250901,27.7353848584241
"Between.Siblings",74.5132975049642,74.4278123111456,77.4733715358715,83.3539767331434,23.5156187947855,62.7296058879392,60.3600578433912,77.7748985582319,56.9277389277389,35.6850902184236,46.3830549080549,82.0485734944068,83.6428275428275,71.0268389018389,28.1498888457222,36.9227067685401,28.3199852616519,79.8525838359172,17.970521299688,48.5625835584169,47.6392945017945,28.3689133397467,68.7391602950427,87.3397102625044,77.3363055154722,26.4042221848594,70.6159500176657,91.3864704830391,69.4100052362307,75.5043414011551,88.3306040999668,83.9600258311042,34.6887430198705
"Between.divorced.spouses",29.6927512302512,63.791911637745,32.5336042044375,33.1160601743935,66.0201631701632,21.9340024173357,47.7502331002331,27.7688638521972,50.8819865319865,67.5594545886213,59.0554195804196,55.8950904034237,28.2690588732255,34.6036705578372,46.9210363710364,37.0497354497355,23.9456148789482,25.9836285627952,26.9556099764433,76.2677811386145,61.2425144300144,40.777851623685,50.7493898893409,50.72814270878,33.9513415506063,24.2166178501963,35.663973490199,36.8565841747214,39.6349088184872,23.9911537899283,52.3692497045438,27.9766588349922,29.0177483736307
"Between.a.person.and.their.in.laws",60.9919440127774,48.3553451178451,49.6509690926358,52.9069940861608,54.4062095312095,35.9081174997842,56.5857582232582,56.6486866528533,50.066915954416,44.4218973927307,47.0264827764828,64.3898035606369,50.1049097507431,47.784225034225,26.6131286922954,31.9351370851371,28.8405982905983,42.9213841713842,17.3656059989393,44.6828111703112,38.7789272455939,24.036903682737,49.920758544288,61.8722623781447,45.8233563912486,28.3291450198313,47.9711031796816,58.5295807859533,46.8850926669554,37.7802302817009,73.204101689886,52.9611630562611,72.84891307857
"Between.cousins",73.6182055598722,73.9339063714064,60.056020676854,69.9190926357593,35.278744712078,44.5806440473107,61.39804670638,63.5953865578865,53.0262237762238,33.2781252697919,42.5846844513511,65.3251332001332,64.2405269113602,57.2387103637104,21.9862120903788,30.4684045892379,23.8045382087049,51.9895334603668,16.1426129426129,27.4246475746476,36.2323059656393,18.0367085075418,49.7938966534555,63.0050106302557,56.8102846771964,25.6106180946867,54.2097508247018,72.656401106156,54.5070211197662,44.1526362254303,78.9239328300603,67.6121332552705,38.1160370765763
"Employer.and.Employee",75.928239661573,29.6246253746254,62.1356553939887,28.0747372997373,85.3593320259987,22.318352018352,77.2354626854627,37.8505540755541,67.6077471910805,77.1858129524796,77.2143307309974,45.3070246111913,23.9636243386243,78.1682339265673,82.8958633958634,46.6255611672278,73.6545835337502,37.4896164021164,15.9369508577842,43.7864458072791,58.5791446208113,37.0741863075196,81.7868679251032,73.2460797009817,71.0321357110573,93.1150744498784,73.2729020344216,68.6071064465672,75.5950312577764,69.5707344942639,76.9754433475022,67.3393876548288,59.4572490236706
"Interviewer.and.Job.applicant",64.09117672451,32.2484814568148,31.4849918599919,27.4533571366905,86.9099844599845,19.8491193991194,62.9659923409923,32.9231524648191,52.9486239069572,76.8986581319915,58.3218269384936,38.4643718935386,17.7177809844477,68.9593494468494,49.8526915985249,35.0322711239378,46.1355920314254,19.7396083854417,15.6356461439795,26.7169091710758,54.1719797178131,24.1965107423441,67.7452590891316,61.3667567454332,49.4062313050058,85.9094702048133,62.3337877264348,23.5044450919451,62.8589559496422,59.8290913788463,72.1914814941776,50.5914614978341,54.9369664467704
