"","Valence.Evaluation","Equality","Activity.Intensity","Socioemotional","Formality.and.Regulation","Intimacy","Visibility","Communal.Sharing","Expected.Reciprocity","Strategic","Concreteness","Uniqueness","Love.Expression","Information.Exchange","Money.Exchange","Goods.Exchange","Service.Exchange","Attachment","Mating","Conflict","Negotiation","Coercion","Importance.for.society","Importance.for.individuals","Affiliation.Coalition","Occupational","Activeness","Endurance","Synchronicity","Spatial.Distance","Morality","Trust","Generation.Gap"
"Parent.and.Child",89.0135683760684,30.6117596909264,90.9212488129155,87.3014914098247,27.7758795217129,79.9038547871881,62.4106880773547,91.0806364931365,40.7794008460675,25.2882651299318,47.5439091772425,82.4683117808118,98.0437733562733,88.3484686609687,37.3418484293484,37.6411338661339,47.6534157200824,96.844585044585,54.8409550326217,31.1852511685845,44.0373825248825,30.5628109544776,83.995026551154,93.8135858150564,82.582518344038,29.1601898101898,83.0467223680459,92.2361923388884,74.6864487183115,91.3781131994367,91.1839978104684,94.8307789342103,81.4678059413354
"Parent.and.Teenager",71.693401968402,31.8626295001295,80.8597956056289,82.9352801519468,26.8162900371234,66.3085955710956,60.7601430976431,86.1620812829146,41.8181116722783,28.670919666753,48.5369442286109,77.1038913247247,86.6881834215168,75.4579634871301,40.4509980759981,38.9868511118511,43.1931798140131,82.6506948298615,53.4318113984781,49.2817679234346,52.661455365622,35.3972091180425,78.9206910827009,89.1087494567887,76.0943349860017,30.2627664274723,77.8738152551878,85.0173741200702,66.5944479630754,83.4414924672278,88.2223031688718,83.2082368339721,76.3788903090374
"Wife.and.Husband",87.4007618924286,86.5912857204524,91.2926724510058,87.9669494086161,28.4002136752137,92.2704826038159,57.1488981697315,91.0260640593974,68.0024605024605,30.3380525338859,48.927254381421,87.5086586253253,95.173949353116,84.7134464301131,47.6452357827358,41.7709266042599,44.4777481777482,90.2211102169436,90.2301884843551,41.1836186961187,56.5387655554322,23.4737657404324,77.8516337874181,93.0405015645212,84.6596132806917,35.4931140663984,86.008887617466,85.3899921701392,83.0974229111484,88.6544843682099,90.0088549885118,92.7416613615143,28.5459182973889
"Fiance.and.Fiancee",86.1210157126824,85.3925591383925,86.843389018389,84.983678667012,29.4804789346456,85.4835016835017,55.9463211171545,84.9388025554692,64.9735355693689,32.2630158421825,45.5789249330916,80.9721329596329,92.009891034891,78.2979757896425,40.69376333543,40.0498560081893,38.9903645736979,84.4683922558923,82.0894890603224,30.5668257668258,54.0489491989492,17.9178821178821,58.9534129269423,84.4224855482208,76.8379494325573,31.5247920017528,80.4971045566634,71.2123576858871,75.9202001611315,78.9524403610188,87.2572158324609,86.9109635281204,28.4111424341817
"Between.Siblings",75.4707049123716,75.5833678667012,77.3344826469826,84.0669396961064,25.626112621946,62.9839268755935,63.1069714236381,76.8718121384788,56.0746525079858,35.8869420702754,47.7984870068203,81.333295716629,83.3094942094942,72.3185055685056,29.0457221790555,37.4574289907623,29.681096372763,79.2414727248061,18.4149657441324,48.6320280028613,48.8198500573501,28.7716911175244,70.1785542344366,86.736174908969,76.4125681417348,26.9461413767786,72.4311015328172,90.995056341625,70.452429478655,74.2396949365087,87.4952505646133,83.0559854270639,34.6301571612846
"Between.divorced.spouses",30.7347265388932,63.5172202797203,33.3539745748079,33.9123564706898,65.2627557627558,22.8019036519037,47.9002331002331,28.6454070620737,50.9745791245791,67.3236521194855,58.4943084693085,56.1450904034237,29.0607255398922,35.7286705578372,45.6988141488141,36.2025132275132,24.6122815456149,26.4280730072397,27.6500544208878,74.4761144719478,61.0550144300144,40.465351623685,50.6786828186338,49.9134962441335,34.398816298081,24.2625774461559,34.7740745003,35.9146649828022,38.9086461922246,24.3744871232616,50.8647042499984,27.9822143905477,29.4096675655499
"Between.a.person.and.their.in.laws",61.9758946300613,49.1226290684624,50.4336851420185,53.853290382457,54.4815181731848,36.8692286108953,58.0011903220237,56.9764644306311,49.7551875593542,44.0842430717431,47.7431494431494,63.8481368939702,50.4590764174097,48.6731139231139,26.6895175811842,31.6851370851371,30.2503205128205,43.7408286158286,17.9906059989393,45.6897556147556,40.2442050233717,24.5716259049592,50.9848999584294,61.2263027821851,46.6349725528647,28.5543975450838,48.124638533217,58.8235201798927,45.9032744851372,39.0034626049332,72.3369299727143,52.7581327532308,73.0069938866508
"Between.cousins",73.854008029008,74.176498963999,60.5856503064836,70.5252654752655,36.3478805145472,45.6361996028663,63.2060713977381,63.7626705085038,53.0873348873349,33.3114586031253,43.260610377277,64.7765220890221,63.9419158002491,58.0442659192659,23.4862120903788,31.517015700349,24.6100937642604,51.711755682589,16.5315018315018,27.8899253524254,37.0448059656393,18.5783751742085,50.4358158453747,62.6242025494476,56.955739222651,25.6944564785251,54.161771026722,72.6210475708025,54.004495867241,44.2617271345213,76.901205557333,66.0091029522402,37.7983603088995
"Employer.and.Employee",77.9528428361762,31.3008158508158,61.8951792035125,28.3675944425944,85.4474272640939,23.2429551929552,78.3505420505421,38.3910302660303,69.7553662386996,75.464384381051,76.7825846992514,46.4570246111913,25.0080687830688,77.0293450376784,82.6347522847523,49.1922278338945,74.2879168670835,38.3062830687831,16.7091730800064,43.9364458072791,60.0624779541446,37.257519640853,81.5979790362143,73.0090426639446,71.1321357110573,91.3539633387673,73.393272404792,68.6737731132339,75.2987349614801,68.9633270868565,75.9365544586133,66.287535802977,60.2368786533002
"Interviewer.and.Job.applicant",65.2530814864148,34.252449710783,32.7953093203093,27.6366904700238,86.1663336663337,19.9856273356273,64.9882145632146,34.5683905600572,53.3073540656874,75.6431025764359,58.2011920178587,40.0254830046497,18.6566698733365,68.4815716690717,49.9471360429694,37.1100489017156,47.3633698092031,21.0562750521084,16.141201699535,27.4613536155203,53.8664241622575,24.6742885201219,68.4804442743168,62.2371271158036,50.1210461198206,84.5520627974059,63.6819358745829,23.9951858326858,63.223770764457,60.1661284158833,70.6544444571405,50.4247948311674,55.4351145949185
