"","Valence.Evaluation","Equality","Activity.Intensity","Socioemotional","Formality.and.Regulation","Intimacy","Visibility","Communal.Sharing","Expected.Reciprocity","Strategic","Concreteness","Uniqueness","Love.Expression","Information.Exchange","Money.Exchange","Goods.Exchange","Service.Exchange","Attachment","Mating","Conflict","Negotiation","Coercion","Importance.for.society","Importance.for.individuals","Affiliation.Coalition","Occupational","Activeness","Endurance","Synchronicity","Spatial.Distance","Morality","Trust","Generation.Gap"
"Parent.and.Child",88.7959757834758,30.2004942588276,90.9775759734093,86.6116765950099,27.4649227315894,79.7950584908918,63.0688670897004,91.1084142709143,39.9815613398947,24.9595614262281,47.2962239920573,83.331407018907,98.1995273245273,88.0637464387464,36.4410547785548,37.1818084693085,46.8994474661141,97.0172040922041,55.3181375723042,29.6187829146162,42.1723031598032,30.3782871449538,84.714723520851,93.8716666231372,82.5252792867989,29.5187756687757,81.7596853310089,92.0434313961275,72.6519369337997,91.7358573071808,91.2403951168657,94.9275802810117,82.0258867494162
"Parent.and.Teenager",70.6663957955625,31.9305307346974,80.6823264698265,81.8380579297246,26.2476171976172,65.7514968056635,61.3187850729517,86.0509701718035,41.2023709315376,27.7125863334197,47.7915738582405,78.7050818009151,87.6871913580247,75.7139158680825,39.8160774410774,38.4461765086765,42.2586560044893,83.564385306052,54.634192350859,47.5059742726409,51.0850664767331,35.3386773720107,80.1673240793339,89.5666619147011,76.6928198344865,30.4757293904353,76.8578219891945,85.6545795072756,65.0178486364761,84.5677550934904,88.3468822934509,83.6619405376758,76.8418532720003
"Wife.and.Husband",87.2063174479841,87.3659770784771,91.4994625744626,87.0417950876284,27.8269112060779,92.6061307519641,57.7337747129414,91.3323912198912,69.7516888975222,29.7385154968488,48.873242035742,88.1356427523094,95.4051001467668,84.1231686523353,47.4220214970215,41.5159662867996,43.9965973840974,90.2816260899594,90.6091567383234,40.3661583786584,55.5883687300354,22.5422181213848,77.8364822722666,92.9032961773158,84.5914314625099,36.2843598576442,84.1890222976007,85.3201268502739,80.9997798135053,89.1174473311728,90.0181142477711,92.6356007554537,27.886827388298
"Fiance.and.Fiancee",85.8717873176207,86.0669418544419,86.6435433393767,84.4937095312095,29.1679789346456,85.7419893378227,56.6940063023396,85.0151914443581,66.4750787792454,32.2228923853924,45.565807649141,81.2489186739187,92.1993751618752,77.6650392817059,39.9477315893983,39.6242607700941,38.804848700682,84.5447811447811,82.9952430285764,30.1868654493655,52.7771238021238,17.1807789432789,58.9879247114541,84.6952128209481,76.5062996009074,32.2587987357595,78.6671382266971,71.0027617262911,73.8360250769564,79.3320699906484,87.5392023644475,87.496822113979,27.9464959695352
"Between.Siblings",74.9452419494086,74.4167012000345,76.4039270914271,82.9859211775878,25.1739521281188,63.607383665717,63.4572800656134,77.1526763360097,56.1819055944056,35.2225902184236,47.6372215747216,82.0376607959941,83.8799307174307,71.9157277907278,29.0457221790555,37.3046512129845,29.3785170076837,79.4418695502029,17.8842117758784,47.2312343520677,47.5738183113183,27.8103815937149,70.2947158505982,86.9508213736155,77.0177869969537,27.3560740367113,71.1196537213694,91.4327667793354,69.2748200510455,74.6395265863403,87.7065300258928,83.6544702755487,34.1554096865371
"Between.divorced.spouses",29.9260845635846,64.1321894155228,31.9349930933264,34.1507823966157,65.7257187257187,22.7270579728913,47.9974553224553,28.5258082966416,50.9375420875421,67.1608434775101,57.6540306915307,55.4278284986618,29.6658842700509,36.7207340499007,47.5073458948459,36.5606481481481,24.582519640853,27.0094222135889,27.5687052145385,74.5534954243288,62.5391414141414,39.7798357506691,50.7493898893409,50.5262908569281,34.0217119209766,25.0647659983444,35.763973490199,36.5325101006474,38.988612522191,23.8467093454839,51.2451756304697,28.0192514275848,28.7825631884455
"Between.a.person.and.their.in.laws",61.0669440127773,48.6095117845118,49.648191314858,53.3208829750496,54.8950984200984,36.8067286108953,57.701036001036,56.9209088750755,49.4488603988604,44.8288418371752,47.3056494431494,64.1655972114306,51.1793145126478,48.7346218596219,27.2083667875334,32.0343434343434,29.6808760683761,43.402534965035,17.5769155227489,44.9913429163429,39.3027367694034,23.7611100319434,50.4596474331769,61.2389290448114,45.6955786134708,29.6309968716831,47.2525846611631,58.1980993044719,46.2239815558443,38.0320821335527,71.841138726923,52.6815334266315,74.0044686341255
"Between.cousins",73.1626500043167,73.8339063714064,60.3032428990762,70.3524259690926,36.3718002676336,46.5598107139774,62.8063800397134,63.4856643356643,52.8165015540016,33.6934030475697,43.2374622291289,65.2576728826729,64.7167173875507,58.8061706811707,23.317561296728,31.1162220495554,24.088268367435,51.9399302857636,15.9660256410256,27.3155205905206,35.9198059656393,18.0416688250022,50.6050077645666,63.0846402598854,56.6417661586779,26.4958032798719,54.4041952691462,73.3971418468968,54.6922063049514,44.2044880772822,77.3498587559862,67.2195406626779,37.8252963358356
"Employer.and.Employee",76.7393507726841,30.9857364857365,61.3912109495443,28.5080706330706,84.9704431371098,22.7794631294631,77.168796018796,37.7283318533319,68.5744138577472,77.3524796191463,77.0032196198863,46.424196328363,25.400493025493,77.4212642295976,83.1009139009139,48.9492985409652,73.1096340388007,39.3244648869649,16.4707892416226,43.8137185345519,59.0210638127305,37.1292368125701,81.6868679251032,72.7905241454261,70.2154690443906,92.1261855609895,73.3117909233105,68.4237731132339,75.4172534799986,69.5207344942639,76.7698877919466,66.5504987659399,59.4294712458928
"Interviewer.and.Job.applicant",64.3967322800656,34.3540370123703,33.0516585266585,28.2255793589127,86.0599844599845,20.2268971768972,62.4882145632146,34.0009302425969,54.376401684735,77.9153247986581,57.7384936051603,39.2416446208113,18.9930335097002,67.925511063011,49.922893618727,37.1029781946449,46.2330667789001,21.5163760622094,16.0987774571108,28.1608485650152,54.4431918390252,24.2374198332532,68.4730368669094,61.3778678565443,49.0673424161169,84.97613687148,62.7837877264348,23.7766673141673,62.9589559496422,60.0568691566241,71.5414814941776,50.0803503867229,54.7091886689926
