"","Valence.Evaluation","Equality","Activity.Intensity","Socioemotional","Formality.and.Regulation","Intimacy","Visibility","Communal.Sharing","Expected.Reciprocity","Strategic","Concreteness","Uniqueness","Love.Expression","Information.Exchange","Money.Exchange","Goods.Exchange","Service.Exchange","Attachment","Mating","Conflict","Negotiation","Coercion","Importance.for.society","Importance.for.individuals","Affiliation.Coalition","Occupational","Activeness","Endurance","Synchronicity","Spatial.Distance","Morality","Trust","Generation.Gap"
"Parent.and.Child",91.8700498575499,27.1889201847535,94.3872981956315,89.3848247431581,23.6061264352931,82.1260770094103,60.8906263489597,93.4834142709143,39.0371168954502,20.8438206854874,44.8216869550203,83.728496965997,97.6775696525696,86.8896723646724,36.8048113923114,36.5304857179857,44.5071194237861,96.7603257853258,56.6210476252143,31.0764548722882,41.9966417841418,30.1378109544776,82.6790092351367,93.5016269405975,82.7885068000264,27.3163947163947,80.5040636378872,92.1631403908365,71.8506803200431,91.8922726510962,91.5651305666012,95.0747363656677,83.5596169081463
"Parent.and.Teenager",73.3214883881551,30.0694196235863,82.4369560994561,83.833428300095,22.4397468272468,67.4598301389968,59.1984147025814,88.2870812829146,41.234778338945,26.8144381852715,46.0045368212035,78.9807431765765,85.809942680776,74.4644449686116,39.7787758537758,37.3104622229622,41.3126242584576,81.6363429780096,54.6225521392188,48.4308419975087,49.549881291548,35.4087831921165,77.8812791057889,88.6880243485636,76.5519468186135,28.1933219830279,75.5211817775543,84.7223705125666,63.886565567693,83.6778741411094,88.6279669495356,83.6516892149245,76.9384141185612
"Wife.and.Husband",90.3220581887249,90.166903004403,93.7263144263144,91.0487395320729,24.5329297245964,96.2519640852974,54.201367305534,93.3624838124838,70.8188185271519,28.1482377190711,46.2899087024087,87.7827326993993,94.4595975012642,82.4990945782612,47.5947728197728,40.5982414190747,43.9958037333037,88.9456472539806,89.7311144102811,42.4132483257483,55.9656174072841,23.1205249996917,77.1271568754412,92.7710210450407,85.264050510129,32.9930238788082,84.2369720330504,86.2103384904855,79.7828485965741,89.2219446856702,90.2836565758134,92.7357991681521,26.9870258009964
"Fiance.and.Fiancee",89.017620650954,88.1363862988863,88.7060433393767,88.1534317534317,25.4665900457567,89.3646745230079,52.9324322282656,87.7813951480618,67.5352639644306,27.6580775705776,42.2440483898817,81.4642625892626,91.2001688126688,75.7618646785314,39.7456151872819,38.0105041563375,38.3982349440683,83.4355218855219,81.3306927640261,31.5283998408998,54.3795047545048,17.4850117475117,58.1066416426711,83.1406493288846,78.5932705003783,29.870571222532,78.7627070097658,71.406531567561,73.3664483573797,79.3810117895902,87.746212946458,87.1505919552488,26.8314166044558
"Between.Siblings",73.4012604679271,75.9768863852197,80.1354085729086,84.6826804368471,22.0072854614521,63.3620132953466,60.7674652507986,80.7406392989726,57.4851463351463,33.9749050332384,45.2367586117586,81.6990364573698,82.2405127280127,72.1823944573944,29.577203660537,36.062058620392,30.3621148912816,78.0275838359172,17.7246879663546,47.748694669528,48.182813020313,28.2490059323393,68.7976920410744,85.7424880402822,78.018448372615,25.7095793277166,70.9764658906816,92.040240324309,68.573100474326,75.0902540995678,87.361953306316,84.159430593009,33.0869573055848
"Between.divorced.spouses",30.5094178969179,63.3567264525598,32.1363819822153,33.5697638780972,66.0359039109039,20.7941876025209,49.1317145817146,27.3290490373824,50.5579124579125,68.9826027367694,59.2072714322714,57.3622200330534,30.0616514658181,35.5212631504298,46.0520548895549,37.4696428571429,25.6169111752445,26.2512211553878,28.6824618282952,74.9714848423182,60.6883477633478,39.6102590310924,49.1938343337853,47.3275474706847,33.8061034553682,24.3193956279741,36.6786560298815,37.7296000477373,40.405940564519,23.8100029962775,50.2379004981946,28.0199128032461,27.4121928180752
"Between.a.person.and.their.in.laws",61.7937958646292,50.0747895622896,50.6713394630061,55.1171792713459,53.2932465682466,35.9340434257101,57.2403878528879,57.8468348010015,48.7104344729345,45.1228233186567,47.0811124061124,65.1222109680443,50.7396319729653,49.5647805897806,27.7075731367398,31.8203222703223,30.0456908831909,42.9848100973101,17.3179208137541,44.8712370962371,39.7289272455939,24.0896814605148,50.5003220363515,59.5484528543352,47.3304992483914,28.5291450198313,49.089555560634,59.5585490399216,44.9154498098126,37.5274525039231,71.3279112136955,51.9381471832452,74.8993099039668
"Between.cousins",74.4820944487611,77.6996471121471,60.3865762324096,71.8987222653889,33.4713373046706,44.7843477510144,61.9174911508245,65.0250161875162,54.4808534058534,31.5475697142364,41.7189437106104,66.7010591260591,63.7868232076566,58.0961177711178,22.9556565348232,31.6559045892379,25.0721308012975,50.8293482751816,16.5842796092796,28.5792772042772,37.1438800397134,19.0445788779122,50.8877458598047,62.0651296778748,58.5650465819583,25.8215307930994,54.6928857453367,73.3915201537751,53.4088068340519,43.3952949555891,76.340599496727,65.9143157949531,36.9975846956239
"Employer.and.Employee",75.5226279892946,29.5732224565558,59.9304926554927,27.5448832032165,85.566514966515,21.9827740161074,79.4332741332742,35.619745994746,69.7792960126293,75.2252068918736,78.3673610340277,45.768753006253,25.3046737213404,76.7825857784191,82.7918510501844,48.740684624018,74.7334415584416,38.8164682539683,15.9156545614879,44.8248717332051,60.1671075837742,37.3718714927048,79.9525244907598,72.1743625292645,70.2008225797442,91.2206300054339,71.6622959738156,66.3808438203046,75.73139489414,69.791946615476,75.7921100141688,66.1484785639197,60.4102793267009
"Interviewer.and.Job.applicant",64.501558318225,31.0910740494074,32.3540715457382,25.7478015811349,87.0135759302426,17.2545066045066,67.1560035643369,32.081738323405,52.8764578014578,75.8563461230128,59.1310861977529,37.8392175725509,19.0148488856822,67.7507074715408,49.4358706108706,37.121005691839,47.177721661055,21.181429373096,15.3481461439795,28.4351190476191,55.2610229276896,23.9821588904922,66.8932388871114,61.0697870484635,48.6930999918745,83.716035861379,63.2034846961318,24.5423238798239,64.6554205961069,60.9068691566241,71.0298653325614,51.1783301847027,55.753633113437
