,Parent and Child,Parent and Teenager,Wife and Husband,Fiance and Fiancee,Between Siblings,Between divorced spouses,Between a person and their in-laws,Between cousins,Employer and Employee,Interviewer and Job applicant,Guard and Prisoner,Nurse and Patient,Therapist and Patient,Salesperson and Customer,Between Business Partners,Between opposing negotiators,Between political opponents,Between business rivals,Between enemies,Teacher and Student,Professor and Graduate student,Master and Servant,Between Close Friends,Between casual acquaintances,Between teammates in sports,Between second cousins,Parent and Infant,Grandparent and Grandchild,Step-parent and Step-child,Foster-parent and Foster-child,Godparent and Godchild,Step-grandparent and Step-grandchild,Ancestor and Descendant,Bride and Groom,Man and His Mistress,Man Wife and Man Mistress,Brother and Sister,Between step-siblings,Between distant relatives,Between close relatives,Between twins,Between a person and their family friends,Between a person and their deceased spouse,Manager and Staff,Foreman and Laborer,Owner and Manager,Union leader and union member,Manager and Assistant,Chief and Deputy,Supervisor and Subordinate,Boss and Secretary,Entrepreneur and Investor,Intern and Employee,Lawyer and Client,Judge and Lawyer,Victim and Criminal,Drug dealer and Addict,Victim and Witness,Criminal and Police officer,Criminal and Prosecutor,Criminal and Hostage,Defendant and Plaintiff,Police officer and Offender,Police officer and Civilian,Parole officer and Parolee,Consultant and Client,Chef and Customer,Customer and Server,Customer and Businessman,Doctor and Patient,Doctor and Nurse,Patient and Caretaker,Driver and Passenger,Coach and athlete,Team Captain and Team Members,Club Member and Club President,Politician and Supporter,Leader and Follower,Representative and Citizen,Officer and Soldier,Babysitter and Infant,Religious leader and Congregant,Between religious followers,Prostitute and Customer,Guide and Tourist,Athlete and Referee,Slave and Master,Reader and Writer,Reviewer and Writer,Performer and Audience,Dealer and Buyer,Sugar-daddy and Sugar-baby,Director and Performer,Psychologist and Client,Judge and Contestant,Man and God,Between Co-workers,Between sports rivals,Between romantic rivals,Between criminal and their accomplice,Between diplomats,Principal and Teacher,Professor and Teaching Assistant,University student and Administrator,Student and Dorm Resident assistant,Mentor and Mentee,Athletic trainer and Trainee,Researcher and Research Subject,Between peers,Between classmates,Between roommates,Between sorority sisters,Between fraternity brothers,Bride and Bridesmaid,Groom and Groomsman,Predecessor and Successor,Landlord and Tenant,Landlord and Housekeeper,Guest and Host,Television host and Guest,Volunteer and Organizer,Celebrity and Fans,Celebrity and Haters,Native and Tourist,Bully and Victim,Between friends,Between Facebook Friends,Between a person and their social media follower,Between childhood friends,Between pen-friends,Between friends with benefits,Between political allies,Between romantic lovers,Between ex-lovers,Between life-partners,Between soul-mates,Between strangers,Between neighbors,Between church members,Between fans of the same sports team,Between fans of opposing sports teams,Superior and Subordinate,Aunt and Niece/Nephew,Uncle and Niece/Nephew,Between frenemies,Between half-siblings,Between adoptive parents and adopted kids,Mother and Infant,Between alumni,Between a monarch and their minister,Between confidants,Between a person and their significant other,Between companions,Between playmates,Between competitors in sports,Between a person and their crush,Between cohabitants,Between long-distance lovers,Between brothers-in-arms
Valence Evaluation,87.66666666666667,64.5,76.33333333333333,81.66666666666667,61.166666666666664,33.333333333333336,55.333333333333336,70.83333333333333,59.6,54.9,15.3,46.2,48.4,57.6,58.4,39.3,26.444444444444443,28.0,18.11111111111111,77.22222222222223,71.22222222222223,59.0,79.44444444444444,61.55555555555556,74.22222222222223,71.44444444444444,90.66666666666667,80.55555555555556,69.44444444444444,75.66666666666667,68.55555555555556,61.666666666666664,60.333333333333336,65.83333333333333,40.333333333333336,21.5,62.333333333333336,36.166666666666664,38.333333333333336,66.5,75.78571428571429,83.21428571428571,65.21428571428571,60.642857142857146,51.5,55.357142857142854,51.214285714285715,52.785714285714285,80.8,84.7,83.9,79.5,79.1,67.0,48.5,13.6,36.4,53.0,24.2,30.6,22.6,28.0,49.8,64.4,54.25,73.0,64.625,62.125,56.875,81.125,67.0,58.375,75.6923076923077,70.6923076923077,76.46153846153847,62.15384615384615,63.0,66.6923076923077,62.53846153846154,46.53846153846154,88.14285714285714,60.857142857142854,57.0,31.142857142857142,69.42857142857143,66.0,3.5714285714285716,65.85714285714286,47.27272727272727,75.36363636363636,66.72727272727273,61.45454545454545,63.90909090909091,74.27272727272727,58.81818181818182,79.18181818181819,69.5,46.583333333333336,29.333333333333332,36.5,51.833333333333336,63.833333333333336,67.41666666666667,64.75,56.166666666666664,71.83333333333333,75.83333333333333,53.5,65.66666666666667,62.5,72.83333333333333,66.66666666666667,80.84615384615384,77.92307692307692,80.53846153846153,48.61538461538461,48.46153846153846,54.23076923076923,68.6923076923077,63.61538461538461,53.333333333333336,62.333333333333336,38.111111111111114,56.22222222222222,43.888888888888886,69.0,63.666666666666664,62.44444444444444,90.2,62.2,60.2,57.8,91.2,33.6,82.2,93.0,40.30769230769231,62.92307692307692,79.92307692307692,73.6923076923077,25.53846153846154,47.76923076923077,80.07692307692308,77.38461538461539,24.5,74.66666666666667,81.66666666666667,93.91666666666667,55.916666666666664,50.5,74.58333333333333,81.33333333333333,67.0,50.57142857142857,30.714285714285715,64.28571428571429,57.142857142857146,79.42857142857143,53.857142857142854
Equality,24.833333333333332,27.333333333333332,81.0,78.16666666666667,77.16666666666667,52.333333333333336,60.333333333333336,76.83333333333333,45.9,37.2,30.9,39.2,34.5,49.9,58.8,33.6,52.77777777777778,49.111111111111114,55.77777777777778,33.666666666666664,33.77777777777778,27.11111111111111,81.77777777777777,61.0,87.44444444444444,81.22222222222223,25.444444444444443,21.555555555555557,23.77777777777778,18.666666666666668,23.88888888888889,30.11111111111111,33.5,56.166666666666664,36.833333333333336,26.5,33.5,38.166666666666664,43.666666666666664,48.333333333333336,75.07142857142857,78.71428571428571,60.57142857142857,33.92857142857143,32.214285714285715,42.5,41.92857142857143,40.714285714285715,38.3,37.5,38.4,59.3,46.7,60.9,43.2,32.3,47.4,77.8,26.8,24.8,23.8,37.2,53.2,54.8,14.125,54.875,52.875,44.875,57.875,24.375,34.0,41.0,70.6923076923077,40.23076923076923,44.46153846153846,28.46153846153846,33.38461538461539,22.384615384615383,53.38461538461539,24.53846153846154,31.285714285714285,22.0,42.285714285714285,19.0,38.42857142857143,32.285714285714285,4.714285714285714,48.142857142857146,48.72727272727273,39.90909090909091,44.45454545454545,43.0,36.54545454545455,48.09090909090909,31.90909090909091,46.18181818181818,64.58333333333333,52.833333333333336,52.916666666666664,33.083333333333336,32.583333333333336,38.583333333333336,45.5,44.666666666666664,42.333333333333336,24.833333333333332,22.833333333333332,65.66666666666667,79.83333333333333,82.16666666666667,82.33333333333333,68.33333333333333,85.6923076923077,62.15384615384615,74.61538461538461,47.76923076923077,52.38461538461539,54.92307692307692,60.92307692307692,56.07692307692308,57.111111111111114,53.55555555555556,37.22222222222222,43.22222222222222,28.555555555555557,75.88888888888889,56.44444444444444,59.77777777777778,56.0,39.8,47.4,26.2,75.0,42.6,75.4,82.4,83.53846153846153,79.76923076923077,78.0,80.6923076923077,70.84615384615384,15.846153846153847,42.07692307692308,43.92307692307692,57.416666666666664,62.333333333333336,63.0,55.666666666666664,52.583333333333336,23.333333333333332,62.5,77.91666666666667,62.142857142857146,54.142857142857146,53.0,68.71428571428571,56.42857142857143,83.0,51.57142857142857
Activity Intensity,80.33333333333333,79.33333333333333,70.66666666666667,80.0,77.66666666666667,36.166666666666664,35.333333333333336,69.66666666666667,55.7,37.5,44.4,44.4,56.3,40.6,53.0,28.9,29.666666666666668,30.333333333333332,24.77777777777778,61.666666666666664,60.0,32.888888888888886,77.33333333333333,54.111111111111114,58.55555555555556,30.444444444444443,88.88888888888889,79.88888888888889,66.0,78.55555555555556,61.888888888888886,59.333333333333336,25.0,61.0,40.333333333333336,22.166666666666668,63.333333333333336,28.333333333333332,14.0,61.5,78.35714285714286,79.5,55.857142857142854,47.857142857142854,48.5,46.785714285714285,35.357142857142854,43.57142857142857,75.8,74.0,71.4,67.4,64.9,66.8,49.9,39.2,38.0,32.4,22.2,24.2,27.4,19.2,32.4,37.0,24.625,56.375,50.625,52.75,49.625,43.75,57.375,42.0,37.07692307692308,69.07692307692308,74.46153846153847,38.84615384615385,34.61538461538461,49.46153846153846,42.38461538461539,45.07692307692308,58.42857142857143,47.857142857142854,34.285714285714285,11.428571428571429,26.0,33.285714285714285,18.0,30.428571428571427,48.36363636363637,51.09090909090909,52.90909090909091,70.0909090909091,67.9090909090909,69.0909090909091,40.36363636363637,72.45454545454545,58.583333333333336,41.666666666666664,31.25,40.25,33.416666666666664,46.25,34.916666666666664,37.166666666666664,55.333333333333336,64.5,59.0,42.666666666666664,62.333333333333336,65.83333333333333,77.0,72.16666666666667,71.46153846153847,64.46153846153847,57.38461538461539,54.53846153846154,44.15384615384615,45.15384615384615,47.30769230769231,45.07692307692308,53.77777777777778,45.888888888888886,41.0,45.0,57.888888888888886,63.0,52.77777777777778,57.77777777777778,67.8,43.8,52.2,49.6,82.4,40.6,81.6,81.0,13.076923076923077,41.46153846153846,54.53846153846154,51.76923076923077,14.307692307692308,37.38461538461539,76.84615384615384,79.23076923076923,14.0,77.16666666666667,79.16666666666667,86.75,43.0,32.333333333333336,80.25,78.41666666666667,62.857142857142854,54.42857142857143,35.285714285714285,76.14285714285714,48.57142857142857,67.28571428571429,54.142857142857146
Socioemotional,79.16666666666667,78.33333333333333,78.0,78.33333333333333,78.0,32.5,33.666666666666664,70.83333333333333,49.0,47.5,35.3,42.5,53.6,47.2,41.9,46.4,28.333333333333332,22.77777777777778,38.111111111111114,46.111111111111114,42.666666666666664,34.888888888888886,75.55555555555556,56.0,22.0,63.44444444444444,87.11111111111111,84.0,73.55555555555556,82.44444444444444,69.11111111111111,66.0,38.5,65.33333333333333,47.666666666666664,21.0,65.0,28.0,26.833333333333332,68.0,79.85714285714286,82.42857142857143,68.28571428571429,38.42857142857143,34.642857142857146,37.5,32.07142857142857,35.0,46.1,46.8,46.5,50.9,50.4,50.1,43.8,47.9,50.0,39.8,30.4,27.8,33.2,25.4,30.4,33.2,11.75,33.0,32.875,35.5,38.375,57.375,51.375,42.5,36.84615384615385,49.53846153846154,46.69230769230769,20.923076923076923,42.07692307692308,63.84615384615385,38.38461538461539,23.76923076923077,54.857142857142854,20.0,26.714285714285715,7.857142857142857,16.571428571428573,31.0,19.428571428571427,33.57142857142857,37.09090909090909,49.81818181818182,45.63636363636363,78.0,40.54545454545455,56.18181818181818,32.45454545454545,79.0,52.166666666666664,26.666666666666668,40.25,41.166666666666664,29.333333333333332,44.916666666666664,39.75,39.666666666666664,41.0,36.166666666666664,29.833333333333332,29.333333333333332,63.333333333333336,69.16666666666667,70.0,62.5,79.84615384615384,74.0,75.53846153846153,51.38461538461539,33.69230769230769,34.23076923076923,70.23076923076923,45.76923076923077,55.888888888888886,61.666666666666664,53.55555555555556,50.0,63.22222222222222,63.666666666666664,66.44444444444444,60.55555555555556,64.8,29.2,44.8,33.0,77.8,29.0,69.6,80.8,20.46153846153846,50.23076923076923,60.61538461538461,59.23076923076923,46.30769230769231,32.15384615384615,79.0,82.0,36.75,78.41666666666667,78.58333333333333,89.5,30.166666666666668,21.083333333333332,75.41666666666667,82.0,58.857142857142854,54.714285714285715,41.42857142857143,81.0,51.57142857142857,78.71428571428571,49.714285714285715
Formality and Regulation,50.166666666666664,51.833333333333336,50.166666666666664,49.666666666666664,43.5,68.0,50.0,40.5,63.4,70.0,50.5,52.7,56.4,57.4,53.5,50.5,81.11111111111111,66.33333333333333,31.77777777777778,79.66666666666667,75.77777777777777,80.0,23.88888888888889,39.22222222222222,69.55555555555556,26.22222222222222,6.222222222222222,6.555555555555555,10.444444444444445,8.0,12.777777777777779,14.555555555555555,54.833333333333336,12.5,23.166666666666668,38.333333333333336,29.666666666666668,23.166666666666668,48.833333333333336,29.0,32.0,39.214285714285715,33.785714285714285,72.64285714285714,74.78571428571429,71.35714285714286,58.42857142857143,76.71428571428571,82.3,76.9,81.3,80.8,72.5,71.8,76.4,37.4,37.2,76.2,83.2,84.2,61.0,76.2,71.0,68.8,53.5,74.25,67.25,63.25,60.5,58.375,52.25,54.375,45.38461538461539,49.38461538461539,45.07692307692308,53.69230769230769,58.92307692307692,55.53846153846154,47.69230769230769,83.84615384615384,25.571428571428573,62.57142857142857,53.42857142857143,49.857142857142854,58.57142857142857,58.857142857142854,63.857142857142854,59.857142857142854,71.18181818181819,53.90909090909091,61.36363636363637,30.272727272727273,63.81818181818182,69.0,65.72727272727273,38.27272727272727,57.916666666666664,37.75,27.75,28.083333333333332,61.583333333333336,76.5,53.0,47.583333333333336,51.666666666666664,70.0,71.83333333333333,79.33333333333333,22.0,24.5,15.333333333333334,26.5,55.38461538461539,48.07692307692308,50.0,72.0,57.30769230769231,56.92307692307692,54.07692307692308,67.6923076923077,62.111111111111114,39.77777777777778,41.666666666666664,49.0,37.44444444444444,42.111111111111114,38.55555555555556,31.22222222222222,35.8,40.8,60.6,80.4,31.6,60.4,32.4,32.0,56.30769230769231,34.84615384615385,54.23076923076923,35.23076923076923,35.46153846153846,80.15384615384616,33.53846153846154,36.61538461538461,45.666666666666664,28.583333333333332,33.75,28.25,47.416666666666664,76.83333333333333,34.5,39.25,31.285714285714285,37.42857142857143,56.285714285714285,32.0,50.57142857142857,30.571428571428573,40.42857142857143
Intimacy,78.0,67.5,87.66666666666667,89.16666666666667,58.166666666666664,27.166666666666668,35.0,51.833333333333336,20.8,21.9,29.9,39.4,50.0,30.3,54.4,21.3,32.111111111111114,24.22222222222222,35.888888888888886,29.22222222222222,34.333333333333336,37.22222222222222,86.44444444444444,50.333333333333336,29.11111111111111,41.0,86.11111111111111,77.33333333333333,61.77777777777778,74.77777777777777,61.55555555555556,61.22222222222222,24.833333333333332,63.666666666666664,56.0,22.5,54.5,26.166666666666668,38.5,55.833333333333336,76.64285714285714,82.42857142857143,75.28571428571429,33.642857142857146,36.214285714285715,37.42857142857143,32.285714285714285,35.0,50.3,47.7,57.0,44.8,43.9,53.1,28.8,23.4,41.6,35.2,25.4,34.4,32.2,34.0,25.8,33.4,14.625,25.25,24.125,28.625,39.0,49.375,42.125,30.375,24.384615384615383,58.76923076923077,52.30769230769231,27.0,21.153846153846153,30.076923076923077,29.615384615384617,14.0,77.14285714285714,35.142857142857146,36.0,70.0,27.285714285714285,31.857142857142858,18.857142857142858,32.42857142857143,40.72727272727273,43.45454545454545,40.18181818181818,86.27272727272727,44.27272727272727,59.54545454545455,34.90909090909091,85.0,53.166666666666664,35.666666666666664,34.5,31.333333333333332,18.833333333333332,39.083333333333336,33.5,29.083333333333332,33.666666666666664,29.166666666666668,32.333333333333336,18.5,64.16666666666667,66.5,73.66666666666667,71.66666666666667,75.07692307692308,71.92307692307692,64.92307692307692,42.07692307692308,32.46153846153846,33.38461538461539,55.69230769230769,38.92307692307692,39.111111111111114,39.333333333333336,38.55555555555556,35.0,41.111111111111114,68.11111111111111,56.55555555555556,48.0,68.2,38.4,38.6,27.6,93.8,28.8,79.6,97.8,7.615384615384615,35.15384615384615,52.53846153846154,38.23076923076923,12.692307692307692,24.46153846153846,85.15384615384616,87.0,25.916666666666668,73.0,76.83333333333333,92.08333333333333,31.166666666666668,17.0,72.08333333333333,76.5,57.42857142857143,48.714285714285715,35.285714285714285,84.57142857142857,51.285714285714285,73.42857142857143,42.714285714285715
Visibility,76.83333333333333,72.33333333333333,53.666666666666664,58.333333333333336,74.0,47.333333333333336,58.5,71.16666666666667,43.4,34.5,37.6,29.6,31.6,45.5,35.5,52.0,72.88888888888889,60.55555555555556,56.888888888888886,62.0,57.888888888888886,41.77777777777778,47.44444444444444,57.77777777777778,88.22222222222223,63.333333333333336,28.555555555555557,51.22222222222222,39.22222222222222,26.11111111111111,49.333333333333336,40.333333333333336,60.0,40.666666666666664,11.0,38.666666666666664,54.333333333333336,45.0,45.5,57.666666666666664,41.857142857142854,53.0,38.07142857142857,57.642857142857146,64.57142857142857,61.357142857142854,56.0,63.857142857142854,66.8,68.4,67.1,62.3,66.6,55.0,59.9,38.2,31.0,69.8,79.2,70.0,50.6,54.8,72.2,77.2,70.375,43.625,36.375,55.125,59.375,27.25,30.5,63.25,59.07692307692308,47.84615384615385,40.0,56.76923076923077,66.46153846153847,39.30769230769231,51.61538461538461,34.46153846153846,22.428571428571427,33.57142857142857,37.57142857142857,17.285714285714285,47.0,51.857142857142854,23.714285714285715,54.57142857142857,72.27272727272727,66.45454545454545,67.0909090909091,26.181818181818183,67.9090909090909,26.454545454545453,69.54545454545455,44.27272727272727,63.416666666666664,63.166666666666664,31.083333333333332,48.416666666666664,60.5,62.0,55.5,54.083333333333336,74.83333333333333,81.83333333333333,78.83333333333333,60.333333333333336,48.833333333333336,52.0,29.5,26.666666666666668,40.07692307692308,42.61538461538461,43.61538461538461,43.69230769230769,53.92307692307692,53.61538461538461,40.46153846153846,63.76923076923077,44.55555555555556,48.22222222222222,54.111111111111114,44.55555555555556,50.888888888888886,51.0,49.55555555555556,44.333333333333336,73.4,66.4,41.4,59.2,77.4,38.6,75.2,77.6,70.84615384615384,66.0,79.38461538461539,61.61538461538461,72.3076923076923,59.76923076923077,45.46153846153846,48.84615384615385,76.08333333333333,44.666666666666664,43.083333333333336,43.416666666666664,67.58333333333333,73.33333333333333,31.75,38.833333333333336,57.42857142857143,52.285714285714285,52.857142857142854,34.285714285714285,53.714285714285715,43.0,62.142857142857146
Communal Sharing,77.0,81.66666666666667,81.83333333333333,81.83333333333333,78.16666666666667,27.166666666666668,45.5,75.0,39.4,29.7,24.9,39.7,38.9,47.8,51.1,34.4,33.22222222222222,30.444444444444443,29.77777777777778,57.44444444444444,64.0,44.111111111111114,73.22222222222223,51.333333333333336,28.77777777777778,64.55555555555556,82.88888888888889,85.0,79.66666666666667,76.0,67.66666666666667,64.55555555555556,30.666666666666668,61.5,45.5,24.666666666666668,46.833333333333336,34.166666666666664,28.833333333333332,60.0,68.5,65.92857142857143,66.64285714285714,40.785714285714285,38.785714285714285,43.214285714285715,38.0,40.07142857142857,59.7,57.9,59.5,52.9,63.8,52.4,54.7,34.1,23.6,30.8,27.4,29.8,26.0,28.8,25.6,25.2,18.375,42.375,38.375,45.0,49.25,48.0,38.375,44.75,26.615384615384617,47.46153846153846,49.84615384615385,25.615384615384617,31.23076923076923,35.76923076923077,39.84615384615385,36.15384615384615,67.14285714285714,49.0,42.857142857142854,41.42857142857143,58.857142857142854,55.57142857142857,17.571428571428573,50.285714285714285,59.0,47.72727272727273,33.0,57.72727272727273,39.90909090909091,51.18181818181818,44.90909090909091,58.54545454545455,69.16666666666667,44.583333333333336,26.833333333333332,31.583333333333332,29.583333333333332,51.0,48.583333333333336,51.333333333333336,56.166666666666664,52.333333333333336,50.833333333333336,50.666666666666664,66.5,67.83333333333333,72.5,73.5,77.07692307692308,75.84615384615384,65.38461538461539,54.38461538461539,38.53846153846154,37.0,58.0,41.69230769230769,47.44444444444444,40.44444444444444,48.55555555555556,46.22222222222222,38.333333333333336,60.0,61.44444444444444,65.11111111111111,68.4,59.8,52.2,43.6,84.8,34.6,88.8,86.2,30.0,49.76923076923077,69.0,67.76923076923077,37.30769230769231,35.84615384615385,76.76923076923077,73.3076923076923,29.583333333333332,77.16666666666667,83.83333333333333,85.83333333333333,39.25,31.083333333333332,65.5,71.91666666666667,73.28571428571429,61.714285714285715,51.285714285714285,80.57142857142857,56.857142857142854,70.85714285714286,67.28571428571429
Expected Reciprocity,54.166666666666664,68.16666666666667,71.0,66.83333333333333,64.66666666666667,47.5,47.333333333333336,58.166666666666664,52.5,42.1,41.9,50.3,58.6,59.9,60.8,46.5,56.888888888888886,39.22222222222222,36.111111111111114,61.77777777777778,61.77777777777778,62.77777777777778,78.77777777777777,56.44444444444444,74.22222222222223,57.77777777777778,39.0,37.44444444444444,33.22222222222222,35.666666666666664,38.0,39.77777777777778,21.833333333333332,53.833333333333336,56.166666666666664,38.5,58.0,43.166666666666664,49.0,60.833333333333336,71.92857142857143,72.85714285714286,55.57142857142857,55.357142857142854,45.5,51.57142857142857,43.42857142857143,52.0,81.5,81.4,77.5,76.6,71.4,78.2,63.8,26.8,54.8,41.4,25.4,25.4,24.2,23.4,33.2,46.0,34.125,62.5,65.875,62.625,64.25,60.375,63.25,52.25,40.61538461538461,55.15384615384615,57.46153846153846,36.0,33.38461538461539,43.30769230769231,41.53846153846154,43.61538461538461,58.857142857142854,54.714285714285715,56.285714285714285,29.285714285714285,48.285714285714285,51.0,7.428571428571429,47.857142857142854,48.45454545454545,45.54545454545455,64.0,81.81818181818181,61.09090909090909,55.45454545454545,36.45454545454545,42.18181818181818,64.91666666666667,43.166666666666664,36.666666666666664,53.916666666666664,44.75,59.083333333333336,54.0,57.916666666666664,53.333333333333336,59.333333333333336,60.666666666666664,59.5,60.166666666666664,57.666666666666664,66.0,50.333333333333336,77.92307692307692,77.76923076923077,71.6923076923077,47.76923076923077,37.84615384615385,38.07692307692308,58.46153846153846,46.92307692307692,52.888888888888886,42.55555555555556,36.22222222222222,47.666666666666664,52.0,59.111111111111114,63.666666666666664,63.111111111111114,66.8,63.8,55.8,48.4,83.6,35.6,89.8,86.4,31.692307692307693,58.61538461538461,77.76923076923077,69.23076923076923,50.23076923076923,50.23076923076923,80.15384615384616,81.15384615384616,36.916666666666664,56.5,60.833333333333336,65.66666666666667,39.0,36.333333333333336,55.166666666666664,59.5,78.85714285714286,68.42857142857143,44.857142857142854,67.85714285714286,64.57142857142857,63.57142857142857,58.142857142857146
Strategic,19.166666666666668,41.166666666666664,48.333333333333336,43.333333333333336,54.0,77.33333333333333,53.5,44.333333333333336,46.4,51.4,25.6,36.6,50.0,61.3,68.6,75.9,72.88888888888889,69.88888888888889,58.44444444444444,52.55555555555556,48.666666666666664,48.22222222222222,23.22222222222222,34.55555555555556,86.88888888888889,33.0,17.88888888888889,16.22222222222222,18.88888888888889,16.77777777777778,19.22222222222222,18.444444444444443,30.833333333333332,39.833333333333336,34.166666666666664,26.0,43.166666666666664,36.833333333333336,50.833333333333336,54.0,34.42857142857143,38.785714285714285,31.071428571428573,73.78571428571429,72.14285714285714,76.14285714285714,60.0,78.57142857142857,85.1,81.6,85.5,84.9,82.3,76.9,75.4,36.5,53.0,70.2,81.0,80.0,81.8,77.6,60.0,58.4,42.25,65.875,65.125,63.125,72.375,60.375,59.25,41.375,54.23076923076923,64.3076923076923,66.6923076923077,59.30769230769231,49.15384615384615,56.38461538461539,63.0,61.07692307692308,29.714285714285715,60.714285714285715,45.0,40.714285714285715,33.857142857142854,73.0,32.857142857142854,40.142857142857146,67.18181818181819,65.0,77.54545454545455,45.45454545454545,54.72727272727273,57.09090909090909,66.9090909090909,41.63636363636363,52.416666666666664,57.833333333333336,49.083333333333336,54.333333333333336,49.416666666666664,58.5,49.75,56.25,64.0,76.0,83.16666666666667,82.33333333333333,36.333333333333336,33.0,43.0,54.666666666666664,63.84615384615385,54.07692307692308,48.76923076923077,65.23076923076923,62.0,53.30769230769231,45.76923076923077,63.30769230769231,54.44444444444444,55.44444444444444,49.22222222222222,52.111111111111114,44.888888888888886,46.333333333333336,46.22222222222222,58.44444444444444,27.8,64.0,74.2,87.4,32.0,57.0,28.2,17.0,35.46153846153846,38.38461538461539,36.38461538461539,41.92307692307692,49.61538461538461,73.6923076923077,32.84615384615385,38.69230769230769,74.58333333333333,29.166666666666668,23.75,23.666666666666668,53.75,77.66666666666667,34.0,35.75,48.142857142857146,42.57142857142857,65.57142857142857,34.857142857142854,46.57142857142857,47.57142857142857,52.0
