,Parent and Child,Parent and Teenager,Wife and Husband,Fiance and Fiancee,Between Siblings,Between divorced spouses,Between a person and their in-laws,Between cousins,Employer and Employee,Interviewer and Job applicant,Guard and Prisoner,Nurse and Patient,Therapist and Patient,Salesperson and Customer,Between Business Partners,Between opposing negotiators,Between political opponents,Between business rivals,Between enemies,Teacher and Student,Professor and Graduate student,Master and Servant,Between Close Friends,Between casual acquaintances,Between teammates in sports,Between second cousins,Parent and Infant,Grandparent and Grandchild,Step-parent and Step-child,Foster-parent and Foster-child,Godparent and Godchild,Step-grandparent and Step-grandchild,Ancestor and Descendant,Bride and Groom,Man and His Mistress,Man Wife and Man Mistress,Brother and Sister,Between step-siblings,Between distant relatives,Between close relatives,Between twins,Between a person and their family friends,Between a person and their deceased spouse,Manager and Staff,Foreman and Laborer,Owner and Manager,Union leader and union member,Manager and Assistant,Chief and Deputy,Supervisor and Subordinate,Boss and Secretary,Entrepreneur and Investor,Intern and Employee,Lawyer and Client,Judge and Lawyer,Victim and Criminal,Drug dealer and Addict,Victim and Witness,Criminal and Police officer,Criminal and Prosecutor,Criminal and Hostage,Defendant and Plaintiff,Police officer and Offender,Police officer and Civilian,Parole officer and Parolee,Consultant and Client,Chef and Customer,Customer and Server,Customer and Businessman,Doctor and Patient,Doctor and Nurse,Patient and Caretaker,Driver and Passenger,Coach and athlete,Team Captain and Team Members,Club Member and Club President,Politician and Supporter,Leader and Follower,Representative and Citizen,Officer and Soldier,Babysitter and Infant,Religious leader and Congregant,Between religious followers,Prostitute and Customer,Guide and Tourist,Athlete and Referee,Slave and Master,Reader and Writer,Reviewer and Writer,Performer and Audience,Dealer and Buyer,Sugar-daddy and Sugar-baby,Director and Performer,Psychologist and Client,Judge and Contestant,Man and God,Between Co-workers,Between sports rivals,Between romantic rivals,Between criminal and their accomplice,Between diplomats,Principal and Teacher,Professor and Teaching Assistant,University student and Administrator,Student and Dorm Resident assistant,Mentor and Mentee,Athletic trainer and Trainee,Researcher and Research Subject,Between peers,Between classmates,Between roommates,Between sorority sisters,Between fraternity brothers,Bride and Bridesmaid,Groom and Groomsman,Predecessor and Successor,Landlord and Tenant,Landlord and Housekeeper,Guest and Host,Television host and Guest,Volunteer and Organizer,Celebrity and Fans,Celebrity and Haters,Native and Tourist,Bully and Victim,Between friends,Between Facebook Friends,Between a person and their social media follower,Between childhood friends,Between pen-friends,Between friends with benefits,Between political allies,Between romantic lovers,Between ex-lovers,Between life-partners,Between soul-mates,Between strangers,Between neighbors,Between church members,Between fans of the same sports team,Between fans of opposing sports teams,Superior and Subordinate,Aunt and Niece/Nephew,Uncle and Niece/Nephew,Between frenemies,Between half-siblings,Between adoptive parents and adopted kids,Mother and Infant,Between alumni,Between a monarch and their minister,Between confidants,Between a person and their significant other,Between companions,Between playmates,Between competitors in sports,Between a person and their crush,Between cohabitants,Between long-distance lovers,Between brothers-in-arms
Valence Evaluation,86.84615384615384,71.6923076923077,90.46153846153847,91.07692307692308,63.69230769230769,29.0,57.84615384615385,73.46153846153847,71.23076923076923,56.61538461538461,33.0,66.46153846153847,77.0,74.23076923076923,68.46153846153847,38.53846153846154,19.916666666666668,22.083333333333332,9.166666666666666,78.33333333333333,70.33333333333333,31.666666666666668,94.16666666666667,49.916666666666664,66.33333333333333,65.58333333333333,86.16666666666667,86.25,55.333333333333336,58.333333333333336,67.08333333333333,45.166666666666664,71.57142857142857,93.57142857142857,74.57142857142857,54.142857142857146,73.42857142857143,49.857142857142854,52.0,65.0,76.14285714285714,85.14285714285714,82.28571428571429,37.142857142857146,36.42857142857143,41.714285714285715,58.57142857142857,31.857142857142858,63.0,69.4,94.8,83.0,76.6,94.2,38.4,3.4,28.166666666666668,46.333333333333336,4.333333333333333,10.5,14.5,4.333333333333333,6.0,59.166666666666664,38.888888888888886,63.888888888888886,62.44444444444444,73.0,54.111111111111114,68.66666666666667,71.11111111111111,79.0,83.11111111111111,87.66666666666667,81.0,81.33333333333333,69.88888888888889,50.666666666666664,69.88888888888889,59.22222222222222,77.0,68.57142857142857,49.142857142857146,65.85714285714286,83.42857142857143,31.857142857142858,17.428571428571427,77.14285714285714,57.53846153846154,72.23076923076923,70.6923076923077,55.61538461538461,77.61538461538461,83.15384615384616,37.76923076923077,41.76923076923077,72.66666666666667,14.416666666666666,15.166666666666666,52.75,59.5,69.0,67.41666666666667,60.5,57.083333333333336,70.58333333333333,61.166666666666664,71.5,51.083333333333336,60.083333333333336,75.58333333333333,63.0,60.6,92.8,92.5,59.9,54.6,66.7,78.5,65.2,79.0,83.0,4.0,53.666666666666664,1.0,83.66666666666667,52.333333333333336,67.33333333333333,83.55555555555556,78.22222222222223,69.77777777777777,51.666666666666664,84.33333333333333,23.555555555555557,83.88888888888889,89.22222222222223,48.111111111111114,56.77777777777778,54.111111111111114,71.66666666666667,18.0,49.22222222222222,72.55555555555556,73.22222222222223,60.0,60.5,62.5,85.5,23.125,48.25,85.75,90.0,77.66666666666667,83.66666666666667,22.0,58.666666666666664,65.83333333333333,89.66666666666667,58.5
Equality,10.692307692307692,29.0,88.46153846153847,89.92307692307692,69.3076923076923,62.92307692307692,48.92307692307692,80.07692307692308,35.61538461538461,33.0,20.307692307692307,47.23076923076923,56.61538461538461,57.53846153846154,77.0,55.30769230769231,60.416666666666664,60.416666666666664,46.166666666666664,26.666666666666668,26.416666666666668,8.5,93.16666666666667,71.58333333333333,83.75,76.25,37.833333333333336,34.0,26.083333333333332,26.083333333333332,29.166666666666668,19.166666666666668,31.428571428571427,78.57142857142857,65.14285714285714,49.714285714285715,78.28571428571429,46.857142857142854,23.428571428571427,43.57142857142857,92.71428571428571,69.42857142857143,69.85714285714286,15.571428571428571,28.285714285714285,28.857142857142858,46.714285714285715,11.285714285714286,37.6,5.4,22.4,62.2,24.8,54.2,44.6,3.4,29.5,40.166666666666664,9.333333333333334,10.666666666666666,5.666666666666667,23.666666666666668,10.333333333333334,53.166666666666664,18.666666666666668,39.44444444444444,38.888888888888886,32.44444444444444,44.55555555555556,23.333333333333332,23.666666666666668,51.666666666666664,67.11111111111111,29.333333333333332,32.55555555555556,40.111111111111114,39.22222222222222,16.555555555555557,44.44444444444444,11.555555555555555,14.571428571428571,7.714285714285714,57.57142857142857,43.57142857142857,66.28571428571429,26.428571428571427,2.2857142857142856,68.0,46.38461538461539,42.38461538461539,39.69230769230769,16.846153846153847,52.23076923076923,48.69230769230769,18.23076923076923,16.615384615384617,73.25,82.41666666666667,49.416666666666664,45.833333333333336,66.0,27.833333333333332,19.166666666666668,16.833333333333332,37.833333333333336,24.916666666666668,27.583333333333332,38.333333333333336,77.33333333333333,80.33333333333333,74.83333333333333,61.166666666666664,64.3,65.2,69.6,55.8,31.9,24.2,62.9,39.9,36.666666666666664,5.0,25.0,33.666666666666664,3.6666666666666665,90.66666666666667,58.333333333333336,30.333333333333332,72.22222222222223,82.0,60.111111111111114,50.666666666666664,76.44444444444444,37.111111111111114,84.22222222222223,86.0,53.55555555555556,70.66666666666667,67.0,76.66666666666667,47.0,27.11111111111111,49.0,47.0,69.25,64.875,26.875,16.625,61.875,15.5,94.125,94.125,57.833333333333336,83.0,41.833333333333336,34.0,70.0,89.83333333333333,38.666666666666664
Activity Intensity,95.38461538461539,77.6923076923077,93.3076923076923,91.0,73.07692307692308,24.23076923076923,40.92307692307692,48.07692307692308,64.61538461538461,35.84615384615385,46.15384615384615,51.84615384615385,78.84615384615384,39.23076923076923,69.07692307692308,43.38461538461539,37.75,36.0,42.333333333333336,61.0,50.166666666666664,51.916666666666664,95.91666666666667,32.083333333333336,53.833333333333336,41.833333333333336,89.0,74.75,53.75,63.25,57.0,48.166666666666664,29.428571428571427,100.0,81.14285714285714,58.857142857142854,65.57142857142857,40.57142857142857,25.142857142857142,59.285714285714285,97.42857142857143,84.71428571428571,98.0,29.428571428571427,38.42857142857143,39.42857142857143,41.0,27.142857142857142,76.6,56.2,83.8,57.0,54.4,58.8,26.6,23.2,54.333333333333336,41.166666666666664,31.0,30.666666666666668,35.333333333333336,31.5,30.666666666666668,45.833333333333336,45.333333333333336,28.666666666666668,21.333333333333332,36.666666666666664,38.44444444444444,50.77777777777778,73.11111111111111,70.0,19.444444444444443,87.66666666666667,80.33333333333333,51.111111111111114,39.666666666666664,52.888888888888886,39.77777777777778,65.66666666666667,67.71428571428571,51.857142857142854,41.285714285714285,46.0,38.285714285714285,46.857142857142854,40.857142857142854,29.285714285714285,42.84615384615385,42.46153846153846,28.153846153846153,47.38461538461539,56.61538461538461,66.15384615384616,23.692307692307693,31.23076923076923,54.333333333333336,47.333333333333336,37.25,60.75,45.583333333333336,52.25,54.083333333333336,26.416666666666668,28.916666666666668,59.5,62.416666666666664,54.166666666666664,56.5,60.666666666666664,49.166666666666664,57.166666666666664,66.9,79.0,79.6,38.1,25.6,31.8,59.6,27.9,39.666666666666664,63.333333333333336,13.0,29.0,20.0,89.33333333333333,36.666666666666664,35.333333333333336,85.33333333333333,42.666666666666664,54.333333333333336,37.333333333333336,86.0,33.666666666666664,90.33333333333333,87.66666666666667,12.444444444444445,32.888888888888886,40.44444444444444,52.888888888888886,14.333333333333334,48.333333333333336,63.44444444444444,66.11111111111111,41.875,74.625,89.0,95.125,15.5,44.125,75.75,98.5,51.166666666666664,69.33333333333333,49.166666666666664,42.5,69.83333333333333,74.0,44.833333333333336
Socioemotional,91.07692307692308,86.3076923076923,90.61538461538461,95.23076923076923,81.15384615384616,24.615384615384617,48.84615384615385,71.46153846153847,33.23076923076923,22.46153846153846,29.076923076923077,39.84615384615385,52.84615384615385,25.076923076923077,46.46153846153846,31.076923076923077,23.916666666666668,28.75,36.083333333333336,34.666666666666664,33.5,20.25,92.16666666666667,47.0,36.166666666666664,60.0,85.16666666666667,80.5,65.83333333333333,58.166666666666664,61.416666666666664,52.166666666666664,42.57142857142857,93.28571428571429,68.42857142857143,49.42857142857143,56.0,38.42857142857143,32.285714285714285,61.857142857142854,81.28571428571429,84.85714285714286,93.42857142857143,10.857142857142858,17.714285714285715,17.428571428571427,18.428571428571427,8.285714285714286,10.4,10.0,10.4,12.4,12.4,3.8,3.4,12.0,24.833333333333332,39.666666666666664,25.833333333333332,28.5,18.333333333333332,22.166666666666668,35.666666666666664,27.5,18.22222222222222,15.666666666666666,15.222222222222221,19.0,21.11111111111111,42.22222222222222,35.666666666666664,59.0,22.0,44.111111111111114,39.0,36.77777777777778,15.555555555555555,40.0,34.111111111111114,19.88888888888889,47.57142857142857,34.857142857142854,21.857142857142858,36.57142857142857,18.857142857142858,19.857142857142858,34.57142857142857,26.0,25.076923076923077,48.46153846153846,20.46153846153846,39.76923076923077,42.15384615384615,37.61538461538461,22.0,52.30769230769231,23.666666666666668,33.75,63.833333333333336,35.25,16.0,11.75,13.75,9.416666666666666,21.75,40.833333333333336,38.083333333333336,18.416666666666668,57.166666666666664,48.666666666666664,42.333333333333336,55.75,61.4,88.6,82.0,24.8,16.9,18.7,64.5,29.1,12.666666666666666,59.666666666666664,23.666666666666668,18.0,48.333333333333336,91.0,49.0,49.0,87.44444444444444,66.66666666666667,76.11111111111111,16.666666666666668,88.33333333333333,37.111111111111114,92.44444444444444,95.88888888888889,24.88888888888889,43.888888888888886,50.888888888888886,74.0,62.55555555555556,14.0,80.55555555555556,79.66666666666667,47.875,73.25,75.625,93.625,26.0,14.25,64.125,98.125,58.5,75.0,22.333333333333332,58.833333333333336,50.666666666666664,83.0,31.0
Formality and Regulation,9.307692307692308,9.461538461538462,9.846153846153847,7.230769230769231,9.846153846153847,64.07692307692308,47.84615384615385,24.846153846153847,75.07692307692308,77.0,62.53846153846154,56.53846153846154,63.84615384615385,64.92307692307692,63.0,74.23076923076923,73.83333333333333,71.0,28.166666666666668,67.41666666666667,70.16666666666667,53.916666666666664,18.5,25.333333333333332,42.5,27.75,14.25,17.583333333333332,26.5,20.0,22.0,19.0,53.285714285714285,10.0,6.857142857142857,17.714285714285715,2.7142857142857144,15.142857142857142,34.142857142857146,25.0,2.2857142857142856,4.285714285714286,2.0,96.57142857142857,85.42857142857143,94.14285714285714,84.71428571428571,96.71428571428571,88.8,84.6,72.4,89.6,78.4,98.6,99.0,31.2,18.833333333333332,37.0,71.0,80.33333333333333,36.0,62.0,62.5,62.833333333333336,75.77777777777777,73.77777777777777,59.55555555555556,56.55555555555556,76.33333333333333,74.88888888888889,62.333333333333336,44.77777777777778,56.44444444444444,46.22222222222222,38.44444444444444,54.333333333333336,68.66666666666667,45.333333333333336,60.44444444444444,81.88888888888889,50.42857142857143,69.0,38.285714285714285,66.57142857142857,70.28571428571429,74.71428571428571,50.42857142857143,55.714285714285715,68.23076923076923,44.84615384615385,82.46153846153847,27.23076923076923,56.38461538461539,73.53846153846153,78.76923076923077,22.923076923076923,59.416666666666664,41.833333333333336,11.75,25.416666666666668,92.0,83.91666666666667,78.41666666666667,89.83333333333333,71.16666666666667,76.25,66.33333333333333,80.0,34.916666666666664,33.25,24.166666666666668,45.666666666666664,25.5,23.1,21.2,69.5,81.9,71.9,31.9,65.3,89.0,55.666666666666664,32.666666666666664,60.0,14.333333333333334,28.666666666666668,33.666666666666664,31.333333333333332,16.88888888888889,47.55555555555556,18.444444444444443,76.33333333333333,15.444444444444445,38.111111111111114,17.11111111111111,15.11111111111111,63.55555555555556,36.888888888888886,46.111111111111114,20.666666666666668,37.111111111111114,76.22222222222223,16.88888888888889,16.444444444444443,19.5,23.25,25.5,24.375,26.125,76.375,34.875,22.75,25.333333333333332,12.0,75.16666666666667,22.0,40.333333333333336,8.166666666666666,60.0
Intimacy,93.38461538461539,72.46153846153847,97.07692307692308,97.6923076923077,63.53846153846154,13.384615384615385,25.53846153846154,33.69230769230769,16.615384615384617,13.846153846153847,18.307692307692307,36.30769230769231,47.76923076923077,16.076923076923077,23.23076923076923,20.153846153846153,4.916666666666667,7.25,15.5,29.583333333333332,26.083333333333332,26.166666666666668,83.83333333333333,34.416666666666664,15.666666666666666,22.083333333333332,78.91666666666667,65.66666666666667,54.833333333333336,54.916666666666664,38.666666666666664,34.75,15.142857142857142,100.0,84.28571428571429,53.42857142857143,37.42857142857143,23.714285714285715,8.571428571428571,32.142857142857146,63.857142857142854,55.857142857142854,99.0,7.0,7.428571428571429,4.571428571428571,6.571428571428571,5.0,2.2,1.6,12.2,2.0,2.0,11.0,3.6,48.6,20.666666666666668,31.5,21.666666666666668,24.0,35.333333333333336,25.166666666666668,18.5,25.833333333333332,23.333333333333332,4.888888888888889,16.22222222222222,17.0,5.0,36.111111111111114,32.888888888888886,51.44444444444444,20.333333333333332,32.111111111111114,32.888888888888886,12.333333333333334,8.444444444444445,20.333333333333332,9.88888888888889,12.555555555555555,59.57142857142857,44.57142857142857,33.714285714285715,77.14285714285714,9.714285714285714,15.142857142857142,26.714285714285715,20.428571428571427,19.53846153846154,28.76923076923077,8.692307692307692,73.3076923076923,30.23076923076923,38.46153846153846,8.846153846153847,30.384615384615383,18.166666666666668,13.666666666666666,37.666666666666664,10.916666666666666,5.833333333333333,7.25,5.916666666666667,4.333333333333333,8.083333333333334,23.083333333333332,18.25,9.333333333333334,42.083333333333336,32.583333333333336,42.833333333333336,34.416666666666664,39.2,68.1,62.6,19.5,8.8,10.5,46.5,20.8,3.0,24.666666666666668,12.333333333333334,3.0,18.0,64.33333333333333,26.333333333333332,20.333333333333332,58.55555555555556,25.555555555555557,76.77777777777777,4.555555555555555,83.77777777777777,27.22222222222222,86.0,85.66666666666667,8.11111111111111,15.777777777777779,34.0,51.666666666666664,14.777777777777779,17.0,66.66666666666667,66.33333333333333,21.0,51.25,70.25,79.875,19.75,2.375,41.375,97.25,37.833333333333336,40.5,12.666666666666666,43.666666666666664,38.333333333333336,75.0,36.5
Visibility,10.692307692307692,12.461538461538462,9.153846153846153,8.307692307692308,18.53846153846154,46.69230769230769,26.846153846153847,27.307692307692307,64.76923076923077,51.46153846153846,65.46153846153847,50.61538461538461,36.46153846153846,79.61538461538461,51.0,58.0,68.66666666666667,44.0,18.583333333333332,70.16666666666667,66.16666666666667,24.666666666666668,34.0,34.666666666666664,75.58333333333333,42.166666666666664,32.083333333333336,31.083333333333332,34.083333333333336,29.166666666666668,29.083333333333332,29.75,47.142857142857146,51.285714285714285,14.714285714285714,17.857142857142858,60.42857142857143,46.857142857142854,43.0,50.42857142857143,24.714285714285715,25.285714285714285,6.285714285714286,87.85714285714286,86.42857142857143,74.28571428571429,81.0,82.71428571428571,70.4,84.0,68.0,64.2,76.4,51.8,77.6,36.8,18.833333333333332,28.166666666666668,48.5,58.0,27.166666666666668,62.166666666666664,47.666666666666664,67.33333333333333,47.55555555555556,54.44444444444444,59.888888888888886,73.88888888888889,63.888888888888886,37.55555555555556,40.55555555555556,35.0,56.0,42.0,45.22222222222222,65.0,85.88888888888889,45.666666666666664,75.33333333333333,63.666666666666664,26.0,56.57142857142857,45.0,5.0,88.57142857142857,84.57142857142857,27.285714285714285,80.71428571428571,53.46153846153846,81.15384615384616,78.76923076923077,14.692307692307692,56.46153846153846,25.76923076923077,64.15384615384616,11.615384615384615,72.41666666666667,67.91666666666667,12.0,11.916666666666666,88.75,65.33333333333333,66.83333333333333,69.33333333333333,65.75,50.333333333333336,42.833333333333336,71.0,34.666666666666664,46.416666666666664,29.083333333333332,36.75,47.7,35.5,35.3,72.5,53.4,37.7,30.0,89.7,61.666666666666664,98.66666666666667,75.0,51.0,32.666666666666664,24.0,42.666666666666664,58.333333333333336,55.22222222222222,28.333333333333332,21.88888888888889,71.77777777777777,32.666666666666664,25.333333333333332,41.22222222222222,43.44444444444444,69.77777777777777,44.44444444444444,54.333333333333336,57.55555555555556,69.22222222222223,66.22222222222223,23.444444444444443,25.11111111111111,57.125,31.125,24.625,24.625,35.875,81.25,27.25,24.25,43.333333333333336,41.333333333333336,79.66666666666667,26.833333333333332,38.833333333333336,29.166666666666668,60.0
Communal Sharing,85.38461538461539,79.61538461538461,89.38461538461539,87.53846153846153,66.84615384615384,30.384615384615383,60.53846153846154,62.46153846153846,35.30769230769231,26.692307692307693,24.615384615384617,36.23076923076923,47.38461538461539,30.46153846153846,62.92307692307692,41.38461538461539,12.833333333333334,16.25,16.5,51.833333333333336,48.083333333333336,21.0,91.58333333333333,44.0,40.916666666666664,63.0,85.0,81.25,68.66666666666667,72.16666666666667,74.83333333333333,67.08333333333333,37.714285714285715,98.0,62.285714285714285,41.142857142857146,64.42857142857143,34.285714285714285,20.857142857142858,55.714285714285715,97.85714285714286,90.71428571428571,92.57142857142857,20.428571428571427,15.857142857142858,19.285714285714285,32.0,21.0,28.2,18.8,29.8,41.6,24.0,48.4,20.8,11.8,41.5,27.0,36.333333333333336,23.833333333333332,28.333333333333332,29.166666666666668,24.0,44.833333333333336,41.22222222222222,33.666666666666664,33.44444444444444,37.77777777777778,29.333333333333332,44.666666666666664,64.55555555555556,58.111111111111114,26.444444444444443,53.111111111111114,56.888888888888886,47.111111111111114,31.444444444444443,28.77777777777778,42.77777777777778,33.44444444444444,49.714285714285715,48.285714285714285,50.42857142857143,17.0,23.857142857142858,28.285714285714285,22.571428571428573,35.142857142857146,35.07692307692308,40.0,21.692307692307693,38.53846153846154,37.07692307692308,39.15384615384615,23.307692307692307,47.07692307692308,47.0,26.083333333333332,40.666666666666664,37.583333333333336,24.916666666666668,32.416666666666664,29.083333333333332,18.666666666666668,24.75,32.083333333333336,25.5,42.666666666666664,61.166666666666664,53.333333333333336,61.75,49.583333333333336,61.6,70.1,71.6,30.9,22.0,24.7,72.7,36.3,20.0,24.333333333333332,5.666666666666667,66.33333333333333,2.3333333333333335,99.33333333333333,57.666666666666664,28.666666666666668,74.22222222222223,51.888888888888886,35.55555555555556,17.11111111111111,81.66666666666667,24.11111111111111,88.33333333333333,87.66666666666667,20.333333333333332,38.333333333333336,41.111111111111114,54.77777777777778,15.444444444444445,22.0,75.0,75.33333333333333,35.0,70.625,88.0,99.125,27.875,11.0,64.375,98.75,61.666666666666664,70.5,14.833333333333334,50.5,54.0,86.0,34.0
Expected Reciprocity,18.23076923076923,22.307692307692307,66.23076923076923,64.3076923076923,40.53846153846154,43.53846153846154,45.46153846153846,40.07692307692308,68.07692307692308,63.30769230769231,23.615384615384617,36.30769230769231,44.07692307692308,60.61538461538461,76.76923076923077,62.30769230769231,38.5,32.0,16.833333333333332,40.25,51.0,24.166666666666668,86.66666666666667,49.833333333333336,80.16666666666667,57.5,47.5,44.916666666666664,42.083333333333336,45.416666666666664,36.75,34.833333333333336,26.285714285714285,71.71428571428571,59.714285714285715,45.142857142857146,69.85714285714286,49.857142857142854,38.714285714285715,74.42857142857143,57.42857142857143,52.142857142857146,43.57142857142857,58.57142857142857,57.857142857142854,63.142857142857146,62.714285714285715,52.0,81.0,67.8,69.6,96.6,69.8,89.2,51.6,1.0,80.33333333333333,34.333333333333336,24.333333333333332,31.166666666666668,26.833333333333332,34.666666666666664,35.666666666666664,45.333333333333336,23.11111111111111,56.111111111111114,49.44444444444444,51.44444444444444,63.77777777777778,43.44444444444444,40.666666666666664,32.22222222222222,70.44444444444444,50.77777777777778,64.0,64.55555555555556,45.888888888888886,51.77777777777778,53.22222222222222,47.0,60.142857142857146,33.57142857142857,30.714285714285715,60.57142857142857,61.42857142857143,46.714285714285715,32.57142857142857,61.0,48.92307692307692,47.23076923076923,48.53846153846154,49.23076923076923,52.61538461538461,38.15384615384615,35.23076923076923,22.46153846153846,73.33333333333333,34.0,15.333333333333334,61.416666666666664,77.0,46.666666666666664,52.5,29.333333333333332,42.833333333333336,58.833333333333336,60.916666666666664,46.083333333333336,64.41666666666667,65.58333333333333,69.25,56.916666666666664,73.3,51.9,50.7,61.1,46.4,48.6,60.2,34.7,60.333333333333336,39.333333333333336,10.0,61.666666666666664,1.0,95.0,48.333333333333336,28.333333333333332,38.22222222222222,49.55555555555556,52.77777777777778,68.77777777777777,45.55555555555556,32.111111111111114,44.333333333333336,51.111111111111114,42.111111111111114,60.55555555555556,48.666666666666664,60.77777777777778,29.555555555555557,54.111111111111114,46.22222222222222,46.333333333333336,31.875,64.5,42.375,27.125,43.5,77.875,66.375,47.625,68.16666666666667,86.33333333333333,38.333333333333336,43.833333333333336,74.83333333333333,75.0,35.0
Strategic,8.615384615384615,20.0,12.538461538461538,12.923076923076923,24.53846153846154,77.6923076923077,40.30769230769231,21.23076923076923,80.0,76.07692307692308,45.07692307692308,29.53846153846154,33.46153846153846,71.07692307692308,72.46153846153847,79.15384615384616,90.25,88.58333333333333,52.0,35.416666666666664,42.083333333333336,35.666666666666664,21.5,37.416666666666664,73.41666666666667,25.416666666666668,21.083333333333332,20.166666666666668,26.583333333333332,24.166666666666668,25.083333333333332,21.083333333333332,43.857142857142854,18.857142857142858,14.285714285714286,28.0,14.0,16.285714285714285,40.285714285714285,23.285714285714285,5.0,7.428571428571429,4.142857142857143,85.14285714285714,76.57142857142857,85.14285714285714,83.0,81.42857142857143,58.4,54.6,50.6,77.4,46.4,63.6,60.4,50.4,42.833333333333336,44.0,40.833333333333336,54.666666666666664,38.0,48.5,39.666666666666664,50.333333333333336,56.333333333333336,88.88888888888889,46.77777777777778,63.77777777777778,86.88888888888889,39.0,36.333333333333336,21.555555555555557,47.111111111111114,58.77777777777778,57.0,51.77777777777778,70.77777777777777,49.0,57.44444444444444,73.44444444444444,24.714285714285715,57.285714285714285,36.142857142857146,50.285714285714285,52.0,45.42857142857143,50.0,49.142857142857146,56.30769230769231,39.69230769230769,69.3076923076923,51.23076923076923,51.38461538461539,48.30769230769231,68.07692307692308,19.0,60.333333333333336,78.58333333333333,63.166666666666664,77.16666666666667,85.75,61.75,62.0,52.333333333333336,69.16666666666667,58.833333333333336,67.75,79.08333333333333,36.583333333333336,38.5,61.916666666666664,31.0,43.7,14.7,15.3,67.0,78.9,69.7,31.4,65.7,87.33333333333333,72.0,48.0,58.0,41.0,58.0,35.0,61.333333333333336,17.666666666666668,14.222222222222221,56.333333333333336,77.22222222222223,12.555555555555555,46.55555555555556,13.666666666666666,7.222222222222222,61.22222222222222,47.44444444444444,39.666666666666664,30.444444444444443,43.666666666666664,79.0,15.0,15.11111111111111,62.5,12.625,2.5,2.125,57.625,92.5,31.375,3.875,20.666666666666668,19.666666666666668,82.16666666666667,23.833333333333332,36.333333333333336,14.833333333333334,55.5
