,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Parent and Child,1.2209862486433214,-1.4119836065194713,1.9797700508015375,-1.4906042925383531,-1.482316118631618,2.048136172783258,-1.1192019179670738,1.8861449621492798,-0.9338913850322962,-1.70290784911562,-1.0487763327600383,2.1341705747946085,2.029165058617817,1.222016773402252,-0.7817631462986598,-1.09943524886192,-0.8771844320618208,2.0355988663355373,2.3765678471836544,-1.0901589575219537,-1.2042212296152406,-0.04801670881913017,1.222346049787222,1.921045587736865,1.453115918632271,-0.9964415862887027,-0.25632348710381897,1.627266093217711,1.557047737984048,1.900334124360868,1.0703242255949137,1.3273560433642801,2.0715689494582943
Parent and Teenager,0.005169239455811013,-1.0636236137877964,0.9938603766464706,-0.8379121199275722,-1.4448044611375557,1.315303752894116,-1.1050914121549396,1.54112891256848,-0.8542649679235351,-1.5195479080127086,-0.9180495169881088,2.154850142191421,1.9731921028163961,1.1095959399913806,-0.48545800374900716,-1.0630935540713589,-0.8295204885988373,2.0021340644969507,2.381797588152233,-0.3979073865292772,-0.6890463806449139,0.448622772287163,1.4908480309038834,1.7870476657671883,1.3993776104159834,-0.9808168597441468,-0.03201411350053336,1.4760923216489632,1.6953320547565265,1.7722843349313353,1.0573240408629103,1.0197516699189635,1.8632470997429502
Wife and Husband,1.0833465872258676,1.8092711410857691,1.7737590741124194,-1.1453395925340994,-1.4560579583857742,2.3496443683947903,-1.1380159257165863,1.9585557379872254,1.9874027926453717,-1.2314108577081333,-0.45505871112919055,1.9790738193185153,1.9651959662733358,0.7937469318370273,-0.1673657183648212,-0.7239044026927894,-0.6626966864783951,1.7917838815115488,3.4800431915537056,-0.30278885005700107,0.5639097335174854,-0.8303939735756195,0.5427004100856722,1.708497159784964,1.3205614250320952,-0.6969676608513807,0.08815162235836924,1.4465950003672559,1.070046448480972,1.8460099712695515,1.0139900917562341,1.1010723663470359,-1.5448983616000789
Fiance and Fiancee,1.1613423953624247,1.7877674378307273,1.6658485625133568,-1.457496718565343,-1.4072928036434929,2.3915205066741696,-1.1144984160296958,1.847809845529191,1.8828931201901227,-1.2925308380757703,-0.4986343163865007,1.612011498025095,1.8612461912135536,0.617085622191372,-0.5028877180166338,-0.7239044026927894,-0.7484917847117654,1.6961701619727299,3.485272932522284,-0.49831028613890205,0.3603838672576033,-0.9120333403328184,0.11477537768099266,1.3804332818592044,1.0088792373776287,-0.7360294772127705,-0.01599201538601314,0.9525148688986648,1.1421947876666125,1.3764940766945986,1.0096566968455665,1.2354282995760246,-1.4990675546627032
Between Siblings,0.07857705887845319,0.5534548709913363,1.013480469664482,-0.9088569212983092,-1.5048231131280556,1.3529922773455576,-1.3167489993369537,1.409085733099285,0.6636136082122207,-0.9432738074035578,-0.6783836880729041,1.7826179290487973,1.6053698218356283,0.14598879646962465,-0.6248957178900202,-0.7663030466151106,-1.1965328532638104,1.3471800856560407,-0.30105952872850744,-0.11255177711244879,-0.1865918983158299,-0.7351480456922208,0.3287378938833326,1.5051899678309721,1.338474194437525,-0.9365468012012382,-0.3684781739054617,1.8779933241122204,0.8235396229300322,1.3066487370057622,1.0919912001482517,1.1081437312538243,-1.0032615523401842
Between divorced spouses,-1.6648586524092976,0.6480711653135196,-1.4880813901319565,0.5809839074871693,0.5283087230501423,-0.6612499738925981,-0.3666416079865791,-0.9037996363127444,0.2953414290842013,0.816108484607713,0.9774893117048737,0.6710911814701301,0.10609422001184676,-0.8283250930912619,1.0178548518337895,0.7418772871931711,-0.8295204885988373,-0.6033397929358661,0.6978209962699748,2.032899656651113,1.5942594314581386,0.17649154976316675,-0.35510308927316514,-0.477055153720449,-1.3484412163768436,-0.6865511764883434,0.08014057330110944,-0.35642876297708165,1.045997002085758,-1.7393841327573623,-0.5503654709947793,-1.3137987493213696,-1.5032339916570099
Between a person and their in-laws,-0.3664578463713148,-0.30239251855932175,-0.6591324601209798,-0.05751930484946416,-0.1431499460935799,-0.12523540391654017,-0.5688921912938371,0.19939983086536905,0.24059826732192816,-0.03520552765580507,-0.19905203024249465,1.4414050670013925,0.8257465088872619,-0.5178294579564738,-0.21965486116770108,-0.2938610143378175,-0.9629795302951911,-0.2830338324808226,-0.4161138300372331,-0.0491394194642647,-0.43463904782006124,-0.5174430676730237,-0.7117072829437314,0.20217569212584213,-0.4993759465595031,-0.5641574852226553,-0.024003064443273565,0.4326245813085794,0.38463722621738305,-1.3047909080268272,0.00864247248134461,-0.1293451274342309,1.7007560569649818
Between cousins,0.07398907016453822,0.798597088098811,-0.3255908788147883,-0.620348062390645,-0.7808481234926457,0.36471541395220036,-0.7664392726637168,0.2718106067033146,0.45957091437102066,-0.45867967734586285,-0.37880140192889805,1.3328373381681273,0.9416904887616343,-0.14309334658690212,-0.982204860376366,-0.9237837240408749,-1.191766458917512,0.18069270728244935,-0.49455994456590974,-0.6885473590834543,-0.8353305970192042,-0.7895742901970201,-0.15792194689061673,0.34079423209447296,-0.1017124657589768,-0.7490500826665671,0.39257148653425716,1.1110629707878397,0.03592025348678523,-0.7305070039186204,0.8189873207761909,0.6485050123125469,-0.6657801558013269
Employer and Employee,-0.6361660400536115,-1.0556365240073524,0.6130203568147159,0.7401029619901083,1.0982179765492235,-0.48866046112686967,0.4981308196427931,-0.8904127701914434,0.08525565894456859,1.5760543629543045,1.5202390379008324,-0.8126677792511606,-0.6631341154305415,0.9104504636635508,1.9128706794764168,0.21007715342462838,0.9988683826412103,-0.22662173795291937,-0.5761439036757334,0.27637734979641376,0.05763914119602849,-0.1650331345044485,1.164450310108942,0.33124495489663397,0.20638716801440415,1.4941398249135123,0.12553651795891724,0.1767353191897717,-0.5717290920989461,0.7675461891852655,0.4419819635481074,0.23930869637303,0.16139646880173275
Interviewer and Job applicant,-0.8662209027084989,-1.0169298581482773,-1.2946833303829883,0.9924637554374446,1.3875936200748504,-0.9113103424751788,-0.45130464285938476,-1.1888790353049927,0.10765058875640761,1.7416396158890763,0.5397879196113586,-1.2552105215429463,-0.8262553009089688,0.19523982824962546,0.6195858808185212,-0.48283782724873475,-0.1641318378555874,-1.2401271650644003,-0.5845114892254589,-0.23937649240881698,0.942976659426516,-0.8235906930125195,0.3645381580322207,-0.6005796748924959,-1.18340490092149,1.1026536209360276,-1.4077782716006844,-1.499695773653907,0.7642176551551718,-0.0007525473919302533,0.24495694160975234,-0.6681831333315441,-0.03720369459356203
Guard and Prisoner,-2.128573225994291,-1.4620565155276395,0.6697784830453911,0.642807234395955,1.1826192059108644,-0.7578642072085952,0.16854971960222825,-1.3750781731739956,-1.5079836333834076,-0.18925282511301328,-0.2305665304732279,-0.7837163848956232,-0.9254073940429149,-1.260877633072139,-1.0920120602624137,-0.8268725379327123,-0.743725390365467,-1.0986188601469482,-0.5886952820003217,1.9124161771195636,-1.3823063625926373,3.7590990942915776,1.364428348128122,-0.6988448176702585,-1.6536748070453555,0.20128050738786776,-0.25632348710381897,-0.04769013356188199,0.4732193537730869,0.7077896207848168,-0.32387336366388436,-1.6716098136048876,-0.3641301174135086
Nurse and Patient,0.18967192845111275,-0.5303317730627632,0.042285865272923356,0.5759164216749737,0.4977635162335486,-0.07408669216101242,-0.9895196502650779,-0.7644545298682943,-1.0184944532103548,-0.7730110049508542,0.5572959752950994,-1.1973077328318715,-0.592768113851612,0.7305771302061568,-0.8654257747832675,-0.8850192495976098,1.3992455077302717,-0.4675683111907433,-0.3878732288069096,-0.4592059989225218,-1.4128352425316197,-0.03985277214341036,1.613631749352024,0.32446804849816796,-0.2560011195710729,0.6462379977622771,0.5250208309476255,-1.2725663997847634,0.6319456999814967,0.1614438525521443,0.8995884661146086,0.8071392983881776,0.25611346980564237
