,Valence Evaluation,Equality,Activity Intensity,Socioemotional,Formality and Regulation,Intimacy,Visibility,Communal Sharing,Expected Reciprocity,Strategic,Concreteness,Uniqueness,Love Expression,Information Exchange,Money Exchange,Goods Exchange,Service Exchange,Attachment,Mating,Conflict,Negotiation,Coercion,Importance for society,Importance for individuals,Affiliation Coalition,Occupational,Activeness,Endurance,Synchronicity,Spatial Distance,Morality,Trust,Generation Gap
Parent and Child,1.1575215661168015,-0.5703524206150455,2.03158722300614,1.2933692213307182,-1.129868137024161,1.4946431634089532,0.12364687397359557,2.2366039014913084,-0.5763399670228467,-1.3848365005215002,0.13707281260376644,1.3495022415431766,1.91022460630399,1.0043004211559414,0.7958932194134252,0.9417762873088958,-0.17581037586784296,2.020257750128884,0.32229617627183615,-0.432289360893915,0.1421063924732675,1.6882282898353707,1.5414552432765642,1.2955555621429558,1.37323590355368,-0.5192859477164221,0.6836370977405196,2.337033396290509,1.2455946804411655,1.645030370859052,0.27064914274496155,1.2074432590186648,2.14744729562215
Parent and Teenager,0.8049502316650329,-0.3226398173506129,1.778605506909865,0.5854945702273727,-0.836705241270655,0.8888406706781105,-0.017777338184455625,2.13157925468378,-0.633336062793487,-1.245095447724363,0.10249042519326455,0.5726176252714839,1.386719503411927,0.3709673692649764,0.9028022582628121,1.2533782182570348,-0.061917514900842706,1.5767174376644681,0.5250157345895258,1.003064011117757,0.5324806899913017,2.1142318398599906,1.1208321945381587,1.2710188091114236,1.282992107491857,-0.49112074151082924,0.8949499272209448,1.8894550864716864,0.9204112611042443,1.214383722296956,0.09966999572893329,0.6782600767017337,1.9084357688778741
Wife and Husband,1.358990900089241,1.8461093010257474,2.0632099375181743,1.3317810241037673,-1.172424041246444,3.0208897536223174,-0.04724071571738336,2.0265546078762515,0.10243171897295937,-0.8043736658256991,0.07367176901784647,1.3247080516621654,1.91022460630399,1.3974036947434374,1.3019293366338573,1.117551735536051,-0.13784608887884287,1.8344503219343316,3.2482151346571535,0.2758183026318428,0.7120528668495976,0.5892626100617137,1.1208321945381587,1.4673128333636825,1.6920973163054553,-0.44605641158188053,1.0240855452367605,1.6463261280515848,1.2107535997979237,1.98838377984775,0.3232581110575857,1.0177360804522178,-0.9456430504802373
Fiance and Fiancee,0.6185910977405259,1.5377323867577801,1.0354717158770568,1.1177724086539187,-0.9170886159127455,2.3775181140554533,-0.5540108092837336,0.9185445840568229,-0.5659770405190941,-1.857806217681042,-0.906162540946371,1.2337960220984563,2.17505659953174,1.5575568802790847,1.1522566822447158,0.5342968391459453,-0.45674609958644247,1.7085807738025376,3.086039488003003,-0.6555665520957309,0.9618924172611395,-0.1639610580977593,-0.5917045038967789,0.20980424049764906,0.5309604736433288,-0.733341514878929,0.7658143092051292,1.066132022730888,1.077196123998832,1.074714538979519,0.09309387468985507,0.892928726132187,-0.8472265394678886
Between Siblings,0.36171769692566624,1.0119750247271475,0.48734466433512835,0.8269401876579711,-1.6641811567039377,0.536629919090411,-0.6424009418825158,0.7767613108666592,-0.4623477754815663,-1.4493323710432557,-0.704431947718444,1.1098250726933996,1.6700281473299847,1.4410818362531594,0.32549344847612155,-0.04895805724416088,-0.7832389676918423,1.2170901572879147,-0.5156113314412802,0.25030090935163546,0.5012507461898591,0.6201324325272659,-0.1590636537658476,1.1422008556958787,1.042341984660328,-0.5418181126808967,0.6190692887326118,1.9557629842226232,0.8681496401393823,1.3773311028339645,0.2772252637840398,0.6582909000105283,-1.0581190630657786
Between divorced spouses,-1.9854000438532526,0.6530445179562349,-1.9476043530915184,-1.154011355352165,0.17517959245918807,-0.792378650233841,-0.8840006376525201,-1.2607168371993989,0.24233122677362165,0.6252847974065521,-0.767832991304364,-1.6092710842575257,-0.7011420245928894,-0.9175378052718162,-0.19479720725756233,-1.1994882638219042,-0.35803895341504266,-0.8387791288647138,0.26823762738711915,1.3603075170406616,-0.2951128207469307,0.0027359832162224054,-1.811511345238156,-1.2624009413942938,-1.6168418726280656,-1.7585550207625127,-1.3766629896936307,-0.35396212076834127,-1.187474117811868,-1.416052563514768,-0.20283157206865554,-1.2188117089627384,-1.4588148579017697
Between a person and their in-laws,-0.21246990489578615,0.3598336814391508,-0.5930980814927127,-0.7040445228678683,-0.24565101596116704,-0.47773704548216306,-0.3183037890203149,0.6717366640591304,-0.2654521719102638,-0.7560017629343823,-0.6237397104272732,0.258557886778672,0.2411671606128243,-0.28420475338085016,-0.14490632246118207,-0.3365906088885967,-0.2365532350502427,-0.9946176170278869,-0.4345235081142043,0.6330618085547483,0.6495929792467118,-0.26274448998752625,-0.9462296449762925,-0.3238701379381803,-0.05863232729391658,-0.8854336283891309,-0.5901096799609353,0.3422708056164948,-0.7403469162236016,-0.7468043934520504,-0.0647330302480173,-0.33018334620411743,1.6764539929201951
Between cousins,0.08973409606287285,0.13739787442619075,-0.8302684403329706,0.2397883452699252,-0.8036062046533236,-0.6467982062442588,-0.40669392161909673,0.3829188853384263,-0.9027721518910589,-1.422459091659191,-1.246222683816305,0.3412051863820432,0.9925509553520204,0.2472126349874316,-0.6295606319117367,-0.39251916059723707,-0.7680532528962424,-0.31731957231871166,-0.7453601642013282,0.09719654967039057,0.1421063924732675,0.31760817236485434,-0.39341078092010184,0.5594529711969848,0.7836431026164347,-0.44042337034076223,0.30796984533087346,1.4474024347987748,0.46167036596823136,0.48694005918530664,0.04706102741630916,0.3188148962600442,-0.5519770064308425
Employer and Employee,1.6192221231369748,-0.16128960127871175,0.45660035855953934,-0.5462817614785568,1.5755840702924677,-0.35876808050142894,1.3645461244020531,-0.41264281422860405,1.6391673617586304,1.3884859319139942,1.3248817579672523,0.4486466758664267,-0.35624454504047126,0.5384002450522433,1.8721108771639219,1.6129189078125796,1.6236968274107564,0.012338768026461864,0.4912291415365774,1.0668574943182758,1.1883095098215988,1.4536176390971738,1.4017483020884511,0.9367055490567952,0.8626064241705297,2.3239916187381873,1.3579304668117387,1.4087228277773947,1.4139932368834998,0.7517295525579467,0.4399842595012208,1.0002630508474137,0.4576709502940557
Interviewer and Job applicant,-0.2183460938033158,-0.10568064952547176,-0.29707433731061306,-0.41046860167384525,0.9687683989747274,0.12767410196913803,0.30042713917115965,-0.24897940628687162,0.5942389392968926,1.47224098599433,0.5482189740397326,0.07673382765125461,-0.4978988669995002,0.4510439620327992,-0.5083970545490982,0.18274594269163458,0.006418201679357242,-0.6469779126638856,0.21417907850240173,-0.12608064153142529,0.8057426982539254,0.5583927875961614,-0.15981476635288025,0.008909575051977358,-0.576782123015552,2.15359212119435,0.5024069974569598,-0.4907221598796484,0.8710530635263192,-0.7686277033454001,0.6027432552184018,-0.17355011653247845,0.0033733057102676794
