,Race_alternative
Latino,129
Hispano,34
Latina,33
latino,29
Mestizo,11
hispano,10
latina,7
Latinoamericano,7
LATINO,5
Hispana,5
Latino ,5
Hispano ,5
Mexicana,4
hispana,4
Latina ,4
Latin,4
Mexicano,4
Latina/Hispana,3
mestizo,3
Mestiza,2
Hispanic,2
latinoamericano,2
Latino / Hispano,2
Hispano/Latino,2
Hispanoamericano,2
HISPANO,2
Latino/Hispano,2
"Hispano, Latino",2
Hispánica,2
latin,2
latino/ hispano,2
Latinoamericano ,2
Latinoamericana ,1
Nativo mexicano,1
Latin/Mixed,1
Mexicano / Latino / Hispano,1
Mexican,1
mexicano,1
Hidpano,1
Latinoamericana,1
latina ,1
latino ,1
Hispanic ,1
Mexicana mestiza,1
Latinx,1
Mexicano/Latino,1
latíno,1
Chontal,1
Latina/Hispano,1
Latino/hispano,1
Latino blanco,1
hispanp/latino,1
Mestizo Latino,1
latinoamericana,1
amerindio ,1
latinoamericano ,1
Latino con ascendencia filipina,1
Mixed,1
Latino/Mexicano,1
Mezcla,1
Latina/hispana ,1
