,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5
0,100,100,89,25,1,2,100,100,11
2,94,46,54,9,5,12,74,100,21
3,100,57,47,29,4,6,100,100,22
4,100,100,59,2,2,5,77,100,29
5,99,78,78,5,5,9,86,96,20
6,100,55,70,1,2,10,91,100,25
7,100,28,26,1,1,1,100,100,1
8,90,56,58,27,2,5,81,88,22
9,87,56,26,10,1,1,80,84,9
10,100,50,40,5,2,8,65,100,30
11,90,75,21,13,1,1,100,99,11
12,81,88,41,3,3,12,55,90,27
13,90,15,14,45,8,24,59,84,45
14,67,54,69,32,0,10,58,100,24
15,75,33,28,5,1,1,100,100,1
17,90,84,28,4,3,10,57,96,20
18,98,47,38,3,4,3,97,98,11
19,100,44,46,0,0,0,100,100,0
20,100,50,50,1,1,2,100,80,20
21,100,53,53,4,6,6,100,100,6
22,100,50,50,4,2,8,66,95,28
23,90,13,25,14,5,5,94,90,7
24,100,50,30,0,1,6,84,100,30
25,96,51,36,7,5,14,100,100,30
26,100,73,48,5,0,0,100,100,0
27,94,2,14,5,3,4,100,100,5
28,100,50,35,5,3,10,70,98,24
29,80,72,43,3,3,10,65,96,30
32,100,50,50,0,0,0,100,100,0
33,100,100,36,2,4,5,100,100,4
34,100,54,5,2,0,0,100,100,0
35,100,50,50,2,5,10,89,100,19
36,95,49,44,1,5,9,88,100,15
37,67,49,23,3,1,10,99,93,25
38,82,74,66,5,4,10,89,100,17
39,97,72,46,1,5,9,83,100,20
40,100,50,10,1,1,8,90,100,20
41,95,50,48,43,0,0,98,98,9
42,97,5,4,5,1,1,98,100,2
43,99,50,50,5,3,0,77,100,29
44,94,64,23,8,9,16,88,98,5
46,100,53,54,1,2,1,100,100,1
47,90,40,40,18,7,7,96,98,8
49,100,78,49,13,2,2,100,100,14
50,100,66,53,1,2,2,100,100,6
51,90,56,51,5,1,7,63,98,24
52,96,14,8,1,3,2,98,99,14
53,90,56,56,5,4,21,99,93,18
54,100,79,50,3,5,19,90,100,25
55,86,53,9,3,6,8,92,91,21
56,100,61,50,1,1,1,100,100,11
57,100,30,10,1,1,1,100,100,2
58,93,93,37,5,5,6,98,98,7
59,100,72,26,17,1,1,100,100,1
60,96,71,54,3,1,1,100,100,2
61,98,76,56,2,1,1,100,100,1
62,100,91,49,2,1,1,99,100,1
63,90,51,89,5,5,15,99,99,22
64,100,100,100,5,1,3,90,99,9
66,100,64,0,0,3,2,100,100,5
68,86,66,54,1,0,6,87,100,15
69,99,99,100,0,5,8,100,100,9
70,95,94,60,2,2,5,97,98,11
71,100,92,40,4,1,7,80,69,12
73,100,61,8,10,8,6,100,95,6
74,100,50,78,0,0,5,80,100,32
75,99,98,5,5,2,10,99,100,25
76,100,85,50,5,3,3,100,100,5
77,100,66,50,8,3,5,94,100,37
78,100,50,50,3,2,3,100,100,9
79,100,68,54,4,1,1,100,100,1
80,62,43,79,30,1,3,81,100,11
81,94,93,40,4,19,26,99,100,42
82,91,8,5,8,6,2,100,95,3
83,100,90,65,25,5,20,60,100,35
84,99,51,34,3,2,5,80,100,8
85,84,38,39,2,3,22,100,100,42
86,81,87,91,5,4,9,80,100,18
87,100,50,50,0,2,5,84,100,13
88,100,100,63,40,0,0,100,100,0
89,100,50,50,0,0,0,100,100,0
90,100,50,45,1,1,8,70,100,30
91,100,54,9,2,0,0,100,100,0
92,61,16,10,8,0,6,100,90,20
93,100,84,49,3,4,4,100,100,2
94,100,47,39,4,1,1,100,100,1
95,100,73,58,5,4,4,100,100,4
96,90,70,32,1,1,7,60,97,25
97,100,53,50,2,0,5,100,100,16
98,99,51,16,2,2,19,96,100,38
99,96,41,6,4,0,0,100,100,0
100,96,91,16,11,6,20,90,100,1
101,100,100,11,12,5,6,100,100,19
102,83,49,10,0,1,5,58,94,17
103,90,10,9,12,4,2,99,64,1
104,100,70,82,0,1,1,100,100,3
105,63,51,57,23,8,19,63,100,41
106,94,52,39,6,7,7,90,89,15
107,100,58,53,4,0,0,82,100,7
108,100,50,50,0,1,19,72,100,32
