,Q39_1_1,Q39_1_2,Q39_1_3,Q39_1_4,Q40_1_1,Q40_1_2,Q40_1_3,Q40_1_4,Q40_1_5
0,0,50,55,100,0,0,100,100,0
1,2,50,61,97,3,4,100,100,2
2,5,45,70,95,5,10,80,95,30
3,0,50,53,100,0,0,100,100,0
4,4,29,35,93,2,8,100,99,5
5,0,51,53,100,0,0,100,100,6
6,1,29,61,100,4,4,100,100,5
7,6,49,77,98,5,5,98,98,13
8,8,43,44,100,6,3,100,100,3
9,1,50,50,100,1,1,100,100,1
10,1,48,46,100,6,5,100,100,18
11,4,1,51,100,2,3,100,100,3
13,6,51,82,100,9,12,100,100,11
14,2,50,49,100,5,4,100,100,5
15,0,50,50,100,0,0,100,100,5
16,5,50,92,100,2,3,100,100,5
17,5,51,50,95,3,3,97,95,2
18,5,89,99,99,8,5,98,99,7
19,1,49,50,78,1,2,100,100,1
21,0,16,17,100,0,0,99,97,0
22,3,35,29,100,3,7,95,86,9
23,0,1,58,99,0,0,100,100,0
25,1,1,2,100,3,2,100,100,1
26,5,56,65,100,0,0,100,100,4
27,4,34,34,96,5,6,100,100,5
28,3,13,36,100,1,2,100,100,5
29,16,46,73,97,6,23,85,91,48
30,1,50,78,100,3,4,100,100,2
31,0,37,57,100,0,32,92,87,14
32,2,53,71,100,2,2,100,100,5
33,1,37,64,95,3,6,98,99,4
34,20,64,66,100,5,8,100,100,20
35,3,48,49,100,2,3,100,100,2
36,15,58,56,100,11,9,100,100,10
37,5,45,91,91,6,14,84,82,15
38,5,44,42,100,5,10,99,93,10
39,6,18,14,100,9,10,100,100,7
40,0,51,51,100,0,0,100,100,0
41,0,8,28,100,0,0,100,100,15
42,0,50,50,100,0,0,100,100,0
43,6,17,49,88,2,9,93,87,24
44,1,1,100,100,1,1,100,100,1
45,1,38,84,100,1,1,100,100,1
46,0,0,74,100,0,0,100,100,5
47,4,53,58,100,4,4,100,100,4
49,10,43,90,100,2,5,100,100,4
50,1,45,50,95,1,1,100,100,10
51,5,51,27,92,1,2,86,84,24
52,10,85,40,100,5,16,70,100,30
53,7,46,40,100,8,8,100,100,10
54,1,50,50,100,0,0,100,100,0
55,2,57,58,100,1,3,100,100,8
56,0,50,50,100,0,5,100,100,15
57,2,50,60,90,3,6,80,100,36
58,3,50,50,99,4,4,100,100,3
59,3,50,50,93,3,3,96,96,14
60,3,57,69,95,2,3,90,100,6
61,0,50,81,100,0,0,100,100,0
62,5,26,82,99,5,9,83,98,20
63,1,1,96,100,1,1,100,100,1
64,5,38,34,100,3,3,100,100,6
65,8,55,81,100,5,4,100,100,12
66,0,50,52,100,0,0,100,100,7
67,10,36,76,100,4,6,100,100,10
68,7,30,45,98,1,3,100,100,12
69,7,56,56,100,7,6,100,100,8
70,0,23,38,100,0,0,100,100,0
71,23,44,65,100,0,0,100,100,0
72,3,58,76,100,4,9,100,100,40
73,8,56,79,100,3,3,100,100,4
74,0,54,68,100,0,0,100,100,0
75,4,50,50,100,7,6,100,100,9
76,10,27,48,100,6,6,100,100,19
77,1,50,66,100,2,1,100,100,2
78,9,22,27,94,12,14,88,99,31
79,7,4,100,100,4,4,100,100,5
80,8,43,50,99,11,11,98,98,14
81,11,50,50,100,5,5,100,90,19
82,8,62,68,86,4,7,98,96,24
83,5,54,53,98,5,5,98,98,5
84,3,50,68,100,3,6,94,100,12
85,4,41,51,100,5,7,100,100,9
86,3,4,52,100,2,1,100,100,3
87,8,29,43,100,10,7,100,100,9
88,5,11,27,100,1,4,92,100,5
89,2,30,53,100,0,19,100,78,25
90,1,22,4,98,4,6,100,100,5
91,1,50,50,100,1,3,100,100,9
92,6,44,53,100,4,6,99,96,7
94,5,15,25,100,4,5,100,100,7
95,3,22,80,100,3,6,100,100,7
96,4,51,53,99,0,0,100,98,0
98,1,48,63,86,4,7,100,100,13
99,1,20,25,90,2,5,70,90,15
100,6,46,50,98,1,1,99,96,1
101,10,49,50,100,5,25,80,100,35
102,0,22,44,100,5,8,100,100,10
103,5,6,29,97,1,3,100,100,6
104,1,49,49,100,0,1,100,100,2
105,4,30,20,100,6,6,100,100,38
106,6,55,55,100,3,3,100,99,12
107,4,46,46,100,5,4,100,100,6
108,7,6,32,100,10,11,100,100,14
109,2,15,14,100,5,32,100,100,21
111,0,45,43,100,0,0,100,100,0
112,7,9,55,98,0,0,99,99,0
113,7,48,46,98,2,24,81,100,41
114,2,50,51,98,14,16,99,99,5
115,0,38,38,100,0,0,100,100,0
116,0,17,1,100,3,4,100,100,2
117,7,53,71,93,6,21,97,96,38
118,5,56,49,99,6,6,94,96,12
119,6,52,51,96,7,16,98,97,26
120,3,56,56,96,5,17,83,95,27
121,1,47,65,100,1,1,100,100,1
122,6,50,50,95,1,7,84,94,13
123,7,41,69,89,4,3,99,100,0
124,8,51,56,97,5,12,79,99,28
125,11,40,65,100,0,0,100,100,13
126,3,53,68,100,1,1,100,100,21
127,5,46,46,100,5,7,100,100,6
128,5,52,52,100,7,8,100,100,8
129,14,55,57,100,4,4,99,100,7
130,9,50,50,82,5,5,100,100,4
131,4,55,82,100,0,0,100,100,0
132,19,56,60,93,5,8,88,96,27
133,0,50,84,100,1,1,100,100,10
134,0,50,49,100,0,17,76,100,34
135,0,50,60,100,0,0,100,100,0
136,8,50,50,100,0,4,100,100,21
137,11,100,70,100,4,1,99,100,3
138,15,40,36,85,1,3,98,100,5
139,7,55,56,100,6,6,100,100,6
140,7,100,61,100,11,15,96,85,15
141,5,51,52,100,1,1,100,100,2
142,1,50,100,100,1,11,100,100,29
143,1,50,50,100,2,2,100,100,2
145,4,24,62,100,5,15,100,100,25
146,5,52,50,86,4,4,96,91,32
147,17,56,72,100,0,0,100,100,0
148,0,17,10,100,0,0,100,100,5
149,14,55,51,99,3,3,79,85,3
150,8,6,14,99,5,7,99,99,16
151,8,26,58,100,6,5,100,100,21
152,18,65,74,100,8,25,83,100,44
153,0,42,58,100,0,0,100,100,26
154,0,34,46,100,0,0,100,100,0
155,4,51,48,100,5,6,100,100,43
156,5,38,59,100,5,12,100,100,19
157,1,49,68,100,0,6,100,100,38
158,5,26,42,100,4,6,100,100,6
159,2,52,49,94,2,3,97,98,3
160,4,53,52,100,1,3,100,100,14
161,8,54,55,77,1,2,100,100,4
162,3,50,50,100,3,4,100,100,4
163,6,28,60,100,5,3,89,90,17
164,0,50,50,100,0,0,100,100,0
165,6,21,6,100,6,7,100,100,8
166,1,50,50,100,1,0,100,100,1
167,5,34,23,98,7,18,82,100,38
168,2,50,51,100,1,6,96,100,16
169,6,50,52,100,8,8,82,100,22
170,14,74,61,87,12,14,99,100,14
171,0,49,48,100,0,0,100,100,0
172,1,10,10,96,2,2,100,100,7
173,0,55,54,100,0,0,97,98,0
174,16,44,62,95,3,26,67,99,40
175,7,30,44,96,0,0,100,100,0
176,2,50,50,100,2,6,100,100,15
177,7,9,12,100,5,5,100,100,6
178,0,47,62,100,0,0,100,100,0
179,4,55,54,88,4,8,100,100,7
180,3,52,58,100,4,6,100,100,7
181,20,50,50,100,5,10,100,100,20
182,4,52,81,100,5,5,100,100,6
183,0,50,60,100,0,0,100,100,0
184,0,50,51,100,0,0,100,100,0
185,3,50,60,100,1,2,100,100,3
186,2,50,49,100,2,1,100,100,2
188,5,55,47,91,2,3,94,77,10
190,4,50,57,100,3,8,77,100,17
191,2,53,73,100,1,3,85,100,17
192,4,3,68,100,4,6,100,100,6
193,6,50,49,100,7,6,100,100,9
194,17,50,44,100,3,5,100,100,4
195,7,70,50,100,19,32,100,100,45
197,4,50,49,100,2,2,100,100,2
198,15,8,28,100,5,7,100,100,5
199,9,5,72,100,3,4,73,100,7
202,2,45,50,100,3,11,100,100,14
203,5,54,53,100,4,5,100,99,5
204,4,52,54,100,4,3,100,100,4
205,1,50,50,100,1,3,85,100,15
206,6,5,6,100,3,4,100,100,6
207,0,25,51,100,1,6,72,100,26
208,0,55,54,100,0,0,100,100,0
209,5,45,43,100,6,7,100,100,8
210,5,48,47,100,2,16,84,100,33
211,1,10,10,90,1,2,100,100,5
212,5,50,60,100,1,1,100,100,5
213,6,22,45,100,5,11,100,100,38
214,5,6,18,100,5,7,100,100,16
215,6,51,51,98,5,5,77,99,14
