"","V1","V2","V3","V4","V5"
"Parent and Child",-1.55407510319473,-0.5329574179233,-1.72143703352616,0.617677337135143,0.857204148853413
"Parent and Teenager",-0.938975792565202,-0.567998349982941,-1.37086786581072,0.450791469327355,1.09936676787034
"Wife and Husband",-1.15470953003038,-0.455675699126071,-2.74433344289884,-0.26076565737167,1.38921350677301
"Fiance and Fiancee",0.0722551734356139,0.111304400488393,-1.40393826384972,0.273419054331529,-0.19813366274452
"Between Siblings",-1.28234115946642,-0.184191039324245,-1.9305665611217,0.853246529519466,1.64136003135061
"Between divorced spouses",1.22192824873623,0.119407258207287,1.67665417647991,0.776663028965448,-0.389836488258498
"Between a person and their in-laws",-0.166444062481018,-0.269033593255233,0.0591283241325264,0.918270360568504,0.450815477415278
"Between cousins",0.412616672493166,-0.376347833751696,0.166348550119687,0.668911030673901,-0.631345127329425
"Employer and Employee",-1.08266235082336,0.967524490726307,0.468961482850101,-1.27434072698067,0.933212623069772
"Interviewer and Job applicant",0.869441482292444,0.269029740977252,0.633634941583762,-1.19636593642445,-0.381785591577752
"Guard and Prisoner",0.938285782090344,-0.376565433305786,1.06267175635456,0.922301146822871,1.2545002518116
"Nurse and Patient",0.69312436506879,0.6518142432003,0.1981654536082,0.759523675569877,-1.24437623651913
"Therapist and Patient",0.455074588137179,0.716586709103368,-0.150420829649636,0.506789308747978,-1.01537216223212
"Salesperson and Customer",1.18676811915189,0.46719209932576,0.378195199704223,-1.94818396161637,-0.931905368764332
"Between Business Partners",0.820255185726678,0.528630285649553,-0.684085275080752,-1.28053906438961,-0.691327127876291
"Between opposing negotiators",1.6042839573928,-0.380832204978908,0.794510634677349,-0.161674156105506,0.0375652008594591
"Between political opponents",1.65147064418735,-0.44218622835432,0.606231041740637,-0.072372311898777,1.05722051966551
"Between business rivals",0.540680120252459,-0.00659900146583491,0.653274206343323,-0.626442705293868,1.31970518929895
"Between enemies",2.74880550199156,-0.59977523829666,0.444273168570328,-0.472401200716149,1.76814835120991
"Teacher and Student",-1.05458107227797,-0.506154758537695,0.16514222419736,0.578610933110281,0.454475816557629
"Professor and Graduate student",-0.891361636248238,-0.170707107549725,0.242830594575509,0.492846430323175,0.333811017787612
"Master and Servant",0.23188263965451,-0.427832515505653,0.532269868524133,-0.0568176931486975,0.669455449385136
"Between Close Friends",-0.792922386948726,-0.417010570102135,-0.860423963619709,0.613456645561164,0.100545346674557
"Between casual acquaintances",1.82371465781574,-0.223428643750667,-0.218544086365569,0.235344670725718,-0.151727458466098
"Between teammates in sports",-0.88371706543254,0.932950749558495,-0.160235240127924,-1.67891110427236,0.415159138988719
"Between second cousins",0.724678965433559,0.000376868097455393,-0.63591937651086,-0.347033639188408,-0.965821339215776
"Parent and Infant",-0.258484125847035,-1.46336361531479,-1.57984380990817,0.0432219319734752,-0.850454762759601
"Grandparent and Grandchild",-0.118892152138735,-1.39337395878183,-1.6745135401371,-0.302232288659068,-0.974899562593714
"Step-parent and Step-child",0.628784711158284,-0.443100659880813,-1.11688348764832,-0.0557837471148452,1.10368534170309
"Foster-parent and Foster-child",0.290801626460849,-0.547785236655828,-0.988766928757194,0.199840427356816,-0.90755380463523
"Godparent and Godchild",0.594521460969432,-0.531767883501342,-0.964250678341382,-0.525941811882735,-1.48599454068155
"Step-grandparent and Step-grandchild",0.251262059566899,-0.760670565917632,-1.3438601397366,-0.613632821104346,-0.0950759187818996
"Ancestor and Descendant",0.175834680057258,-0.344410192007595,0.0386411217069504,-0.000289777815827258,0.269414217374604
"Bride and Groom",-0.995011468094314,-1.10692220954595,-2.41057952803724,-0.677802515081574,0.846365257642982
"Man and His Mistress",2.12743493408619,-2.42587096882528,-1.54039861618264,-1.71753649336939,-0.0994266070738606
"Man Wife and Man Mistress",1.52808476135423,-2.67603109700913,-0.870930741230133,-1.08208696009193,-0.204756564752787
"Brother and Sister",-1.18590118020657,-0.734296035440157,-0.738454119586238,-0.0249488556397497,0.0572918283385786
"Between step-siblings",-1.02010934302659,-0.992327404757514,-0.0163814091858769,-0.197554270071447,0.591844270044572
"Between distant relatives",0.155240517886369,-1.32494352095536,1.07901303301945,-0.472284632438362,-0.216220789543077
"Between close relatives",-1.22349804925445,-0.589722830626148,-0.630773307975505,0.0738932098549118,-0.168655916263343
"Between twins",-1.22930475961584,-1.35899792530656,-0.673648932328667,0.883486978954988,-0.0987852236507166
"Between a person and their family friends",-1.35974968678271,-1.26520459208721,-0.397175865714048,0.914558556465884,0.30811828158092
"Between a person and their deceased spouse",0.302937764636697,-1.05302852948609,-0.582004417373307,1.41169235782562,-0.835150247597689
"Manager and Staff",-0.48779056655562,0.57312691797733,0.314141596508848,-0.201687492981742,0.892203958600932
"Foreman and Laborer",-0.670094629849101,0.255511392368137,0.440377419045506,-0.426864510561815,0.868897947041535
"Owner and Manager",-0.454157371950523,0.112771743817002,0.42455577526189,-0.550806976719737,0.747284185443367
"Union leader and union member",-0.654375982800028,0.215563437325508,0.64787264658814,-0.40284197809614,0.562285516280027
"Manager and Assistant",-0.611986494763082,0.160124058988184,0.733019656691009,-0.309417580152922,0.206543896308778
"Chief and Deputy",0.43905494849268,1.73590993093511,-0.386103335062064,-0.521660854735428,-0.368855819092499
"Supervisor and Subordinate",0.56161630158852,1.63160660404591,-0.378565470012789,-0.163509072557378,-0.282870657060053
"Boss and Secretary",0.985253926546299,1.3900791785922,-0.386503262466694,-0.468660895452701,-0.340020909139677
"Entrepreneur and Investor",-0.439573328410829,1.28471946539862,-0.424074780671748,-0.866598219188844,0.534723858197267
"Intern and Employee",0.693614610080425,1.68442712248134,-0.342392385732893,0.223283303445975,-0.515121282270883
"Lawyer and Client",0.141221064149033,1.79955540697784,-0.259512561267101,-0.514947519019905,-0.625137044417876
"Judge and Lawyer",0.402652856388072,2.2907965730857,-0.31305081205049,1.24669376417491,0.0465386961810092
"Victim and Criminal",1.60654456770768,-0.449625099294857,0.54096188346242,0.937882086958473,1.70337545530007
"Drug dealer and Addict",1.90689221420357,-1.55934712960977,0.926195117834217,-2.66565289756402,-0.956268281233493
"Victim and Witness",1.03182785975052,0.504114122618128,0.98484354177421,2.57226675291366,-2.01299177192186
"Criminal and Police officer",0.509918480062466,0.440561006745696,1.21991541407734,2.82674652559878,2.68741926426457
"Criminal and Prosecutor",1.42839196431968,0.790670570101996,1.41359933673634,2.72515786301144,0.599300200072314
"Criminal and Hostage",1.66622355506634,-0.894323797266579,0.900869974752551,1.46338353630902,1.65132015536025
"Defendant and Plaintiff",0.844396454445045,0.242654305242786,1.51259262949568,2.86070837815299,0.418520447858476
"Police officer and Offender",-0.14279488140947,0.037512453692207,1.65165242610394,0.690008550726806,1.66239637137751
"Police officer and Civilian",-0.244421738332903,0.345632597980478,1.01178884069029,2.01299783933911,-1.83389419688223
"Parole officer and Parolee",-0.543625884043146,0.163944643372495,1.26168773117932,1.15159113303291,2.50254801348957
"Consultant and Client",-0.221557739882764,0.787361048171169,0.869515290390054,-1.27331633365691,-0.644335119371695
"Chef and Customer",0.181960329539663,-0.0759925129119835,1.1936605972465,-1.82086682293105,-0.954189906169074
"Customer and Server",0.157644070081945,0.191948764809338,0.926574632752345,-1.80357155665562,-1.20633997275903
"Customer and Businessman",-0.430962297404455,0.079682900308226,0.742267823937266,-2.21918283740891,-0.42922974005737
"Doctor and Patient",-1.04714804728944,-0.303848133617332,0.264912021751213,-0.890821541317848,-0.842756555792139
"Doctor and Nurse",-1.76860866975675,-0.326647146687926,0.748498398762627,0.147394268116675,-0.797752045280998
"Patient and Caretaker",-1.03401839893643,-0.479863089671574,0.449077247906352,-0.762629594874632,-0.920640511021271
"Driver and Passenger",-0.0337105142722503,-0.0855950235075603,1.67507076742715,-1.74812246475429,-0.725984206887941
"Coach and athlete",-0.970033012168208,-0.606555504618573,0.590045749603416,-0.827772892691072,-0.278905286723287
"Team Captain and Team Members",-0.896176863175752,-0.186625139309514,-0.2376586204148,-0.605568397182193,0.0910343529929633
"Club Member and Club President",-0.60336225692335,-0.426606711913455,1.32220225469441,-0.904270870517416,-0.0523165253390478
"Politician and Supporter",-0.0402866544379677,-0.841232087356627,1.24424416145317,-0.26074033418901,-0.507642199136626
"Leader and Follower",-0.876973502839325,-0.440369609483391,0.774186470823159,-0.180870492402042,0.204218625109884
"Representative and Citizen",-0.887812556394327,-0.326245843306649,1.18120741820626,-0.0948173966574238,-0.0488184470524278
