"","V1","V2","V3","V4","V5"
"Valence Evaluation",-0.423081160325794,0.769577592724248,0.178519063855068,-0.255744943132839,0.0193845361276841
"Equality",-0.563983675904427,-0.00472593582442894,0.591694354274457,0.125246402530475,-0.236588485995248
"Activity Intensity",-0.81462683793047,0.227714472412297,0.0728040631655954,-0.364893744817783,0.0737310431307624
"Socioemotional",-0.924887993798024,0.183204291102727,0.0324576033665272,-0.0858779013580791,0.0198565113855426
"Formality and Regulation",-0.898602959769457,0.0317685339872634,0.162608485011801,-0.118841585151449,0.020935009934535
"Intimacy",0.615390155353315,-0.021533119924422,-0.157683458776474,0.191832306938975,-0.382505805587511
"Visibility",0.0821541403863679,0.299675063997355,0.0117967284167728,-0.0344946843190956,-0.530369260935134
"Communal Sharing",-0.872180581284173,0.291460933796926,0.0198005841102117,-0.151816992143726,-0.091574492790892
"Expected Reciprocity",0.140049499996667,-0.224382688733075,-0.69651343219441,-0.0210607855708911,0.276309883779388
"Strategic",0.814979420011574,-0.291225723737618,0.107157106378379,0.0495894446198449,0.0341489053848953
"Concreteness",0.62668847217449,0.0786419297960257,0.447538559562937,-0.209736618225544,-0.0708561270343422
"Uniqueness",-0.786110298395755,-0.118308555118603,0.000328620256158687,-0.310354348559748,-0.0159147621487713
"Love Expression",-0.905459278536385,0.110524108367931,-0.00570435137531174,-0.141880156548918,0.0791464908578307
"Information Exchange",-0.232386703818066,-0.168068486628332,0.0226415221669685,-0.139787498001559,-0.0192693998789119
"Money Exchange",-0.587710466317948,0.0316042396909863,0.0369301096378681,-0.110213604928062,-0.357299147412264
"Goods Exchange",0.419595970581814,0.16666400048958,0.560058908657892,0.0469991305584751,0.405580197819943
"Service Exchange",0.49383098734078,0.428121802671525,0.394298848344671,-0.252189263118598,0.261137434056637
"Attachment",-0.852622783226001,0.287691496860382,0.0203290147610017,-0.244262838055362,0.101375203590919
"Mating",0.0292019561771564,0.377651836456532,0.346671015642952,-0.0945014470317867,-0.237092379028833
"Conflict",0.175612071983019,-0.846883622609741,0.0765172167704974,0.0488725062990937,-0.142965729952925
"Negotiation",0.0155813878458591,-0.143885954864487,0.797078021471214,-0.158166342296844,0.11636519860548
"Coercion",0.304137963059065,-0.848609883080181,-0.0894627543084734,-0.0316276360066035,-0.00403527506081562
"Importance for society",0.161990112284032,0.34913709166713,-0.000199493016687743,-0.135269286892785,-0.0891407931949403
"Importance for individuals",-0.0300061635955102,0.210316062208963,-0.10014702896541,-0.0218495166968727,0.565757435169248
"Affiliation Coalition",-0.402977252086816,0.637659049078915,0.113980638866544,-0.454806697637327,0.0863935275953006
"Occupational",-0.841609557261944,-0.171817510320711,-0.17244724425863,0.0447829752035022,-0.0558405419332872
"Activeness",-0.349893792415392,0.249125358144346,0.129684198641789,-0.688895577679163,0.22995047222289
"Endurance",-0.715370362834861,0.167111467434084,-0.00944819093677387,-0.244153151747849,0.191683560013997
"Synchronicity",-0.164978429912725,0.111724770366836,0.0926663146649336,-0.833733804460245,-0.0523221180775216
"Spatial Distance",-0.224399885587977,0.119181632674562,-0.0310107379716482,-0.839736751288072,-0.0947292920781659
