"","V1","V2","V3","V4","V5"
"Valence Evaluation",-0.60217934557094,0.017233040310767,-0.709573483233518,0.103274445381327,0.0654694038584937
"Equality",-0.254068001096494,-0.217696996302174,-0.123788831793228,0.24646503647739,0.767751367154234
"Activity Intensity",-0.758398350416861,-0.208824606250688,-0.155954491942913,0.346610140529989,0.065423616424578
"Socioemotional",-0.39448278557671,-0.364783233143188,-0.336229929111639,0.665908587303333,0.101886213152404
"Formality and Regulation",0.0692113249103089,0.285232477055537,0.0179539016813576,-0.857882506820459,-0.110731160660531
"Intimacy",-0.570784385818517,-0.183572811027936,-0.325731594054809,0.618662383113783,0.124926573457977
"Visibility",0.0360554539749464,0.0740310963689459,-0.146608229253299,-0.881718133723421,0.073704263381602
"Communal Sharing",-0.58416908482062,-0.39394337108175,-0.388063367345145,0.450479450948676,0.12093048546537
"Expected Reciprocity",-0.411123761755161,0.332209091442683,-0.0692082327215603,-0.276707363200849,0.584254079204919
"Strategic",0.23541099270109,0.413284308839527,0.580662936604591,-0.479338903865521,0.13645116648652
"Concreteness",0.0114574554549328,0.644917381180254,0.130356523812247,-0.463622111251821,-0.0262019209441619
"Uniqueness",-0.311749593906842,-0.373458522967396,0.160044098887985,0.655425257621849,-0.0430328437442001
"Love Expression",-0.469338375894668,-0.323398093967486,-0.314870493379377,0.669125283797364,0.0219518998140143
"Information Exchange",-0.806827319418706,0.0734272916011141,-0.269639044676364,-0.0295035340172088,0.0896064657854592
"Money Exchange",-0.0620934989518417,0.901648767295584,-0.0137481211510042,-0.168459821330865,-0.0362465316572886
"Goods Exchange",0.0600330570613847,0.861021637480873,-0.0607821045230232,-0.0383118586447026,0.0940135854790631
"Service Exchange",-0.123512336596683,0.780931104961781,-0.169541130406065,-0.417546983561731,-0.232514560167953
"Attachment",-0.565464268967526,-0.263841901111637,-0.363240714461169,0.628100961385558,0.0339035269944523
"Mating",-0.336455785166677,0.121988243293952,-0.00634025999686469,0.677095865949375,0.0322189569023727
"Conflict",0.202461656836297,-0.136695458304213,0.926478576351504,0.0608501544534111,-0.0154547139890439
"Negotiation",-0.646085828613134,0.372744932824846,-0.00241514103862184,-0.158142403382065,0.256074366093216
"Coercion",0.308858012724709,-0.0513768824054974,0.877261197754497,0.0387104202356419,-0.153184581157627
"Importance for society",-0.298755572487712,0.0667412271260995,0.00484618842125295,-0.530744737934134,-0.481539230433727
"Importance for individuals",-0.757705220950318,-0.160571397385623,-0.1725291431747,0.306216418529614,-0.0914208623729837
"Affiliation Coalition",-0.731101141574121,0.0100097611409126,-0.511594905314099,0.105297613715937,0.0617191019106062
"Occupational",-0.085806050409687,0.462313657036501,0.0874195946919152,-0.769294511506705,-0.106521940354035
"Activeness",-0.731805754222883,0.131013710519544,-0.160468216138382,0.0505501817074087,0.312435704940837
"Endurance",-0.604242825589113,-0.38947895671758,-0.213467786034447,0.368198991286044,-0.0706520530544889
"Synchronicity",-0.789856360397286,0.0290226915466869,-0.145594908899548,0.103135111335771,0.177145197503296
"Spatial Distance",-0.730483747570923,0.0512030996812287,-0.0833590928631302,0.134699718753482,-0.159972471525422
